date,post_number,ohlc,dollar_volume,weekday,target,symbol
2010-09-23,3.0,18.0,0.0,3,0.0,adtm
2010-09-24,0.0,18.0,0.0,4,0.0,adtm
2010-09-27,0.0,18.0,0.0,0,0.0,adtm
2010-09-28,0.0,18.0,0.0,1,0.0,adtm
2010-09-29,0.0,11.4,3898.8,2,0.0,adtm
2010-09-30,0.0,7.5,3750.0,3,0.0,adtm
2010-10-01,0.0,11.7,351.0,4,0.0,adtm
2010-10-04,0.0,11.7,0.0,0,0.0,adtm
2010-10-05,0.0,11.7,0.0,1,0.0,adtm
2010-10-06,0.0,11.7,0.0,2,0.0,adtm
2010-10-07,0.0,11.7,0.0,3,0.0,adtm
2010-10-08,0.0,12.975,1946.25,4,0.0,adtm
2010-10-11,0.0,12.975,0.0,0,0.0,adtm
2010-10-12,0.0,11.7,1825.1999999999998,1,0.0,adtm
2010-10-13,0.0,10.425,5577.375,2,0.0,adtm
2010-10-14,0.0,7.5,2497.5,3,0.0,adtm
2010-10-15,0.0,9.0,297.0,4,0.0,adtm
2010-10-18,0.0,9.0,0.0,0,0.0,adtm
2010-10-19,0.0,9.0,0.0,1,0.0,adtm
2010-10-20,0.0,9.0,0.0,2,0.0,adtm
2010-10-21,0.0,9.0,0.0,3,0.0,adtm
2010-10-22,0.0,9.0,0.0,4,0.0,adtm
2010-10-25,0.0,9.0,0.0,0,0.0,adtm
2010-10-26,0.0,9.0,0.0,1,0.0,adtm
2010-10-27,0.0,9.0,0.0,2,0.0,adtm
2010-10-28,0.0,9.0,0.0,3,0.0,adtm
2010-10-29,0.0,9.0,0.0,4,0.0,adtm
2010-11-01,0.0,9.0,0.0,0,0.0,adtm
2010-11-02,0.0,13.5,3388.5,1,0.0,adtm
2010-11-03,0.0,13.5,0.0,2,0.0,adtm
2010-11-04,0.0,16.125,26783.625,3,0.0,adtm
2010-11-05,0.0,14.7,24637.199999999997,4,0.0,adtm
2010-11-08,0.0,14.325,8394.449999999999,0,0.0,adtm
2010-11-09,0.0,13.95,3110.85,1,0.0,adtm
2010-11-10,0.0,12.6,630.0,2,0.0,adtm
2010-11-11,0.0,22.95,20563.2,3,0.0,adtm
2010-11-12,0.0,22.95,0.0,4,0.0,adtm
2010-11-15,0.0,22.95,0.0,0,0.0,adtm
2010-11-16,0.0,22.5,1485.0,1,0.0,adtm
2010-11-17,0.0,22.5,0.0,2,0.0,adtm
2010-11-18,0.0,22.5,0.0,3,0.0,adtm
2010-11-19,0.0,22.5,1485.0,4,0.0,adtm
2010-11-22,0.0,22.5,0.0,0,0.0,adtm
2010-11-23,0.0,22.5,0.0,1,0.0,adtm
2010-11-24,0.0,22.5,0.0,2,0.0,adtm
2010-11-25,0.0,22.5,0.0,3,0.0,adtm
2010-11-26,0.0,22.5,0.0,4,0.0,adtm
2010-11-29,0.0,22.5,0.0,0,0.0,adtm
2010-11-30,0.0,22.5,225.0,1,0.0,adtm
2010-12-01,0.0,22.5,0.0,2,0.0,adtm
2010-12-02,0.0,22.5,0.0,3,0.0,adtm
