date,post_number,ohlc,dollar_volume,weekday,target,symbol
2015-01-20,43.0,0.192,5695680.0,1,0.0,amlh
2015-01-21,14.0,0.23592500000000002,1964949.7271250002,2,0.0,amlh
2015-01-22,7.0,0.261,2113212.6,3,0.0,amlh
2015-01-23,6.0,0.22812499999999997,2143318.5531249996,4,0.0,amlh
2015-01-26,1.0,0.25815,1354426.05345,0,0.0,amlh
2015-01-27,15.0,0.2649,1144604.8206000002,1,0.0,amlh
2015-01-28,3.0,0.227125,1335409.601,2,0.0,amlh
2015-01-29,14.0,0.211,583994.828,3,0.0,amlh
2015-01-30,4.0,0.22874999999999998,568060.59375,4,0.0,amlh
2015-02-02,6.0,0.21974999999999997,779781.1169999999,0,0.0,amlh
2015-02-03,10.0,0.2079,583232.0571,1,0.0,amlh
2015-02-04,3.0,0.23377499999999998,546447.426075,2,0.0,amlh
2015-02-05,6.0,0.262675,838613.840925,3,0.0,amlh
2015-02-06,18.0,0.31335,2799758.7487500003,4,0.0,amlh
2015-02-09,28.0,0.335475,3506308.5471750004,0,0.0,amlh
2015-02-10,9.0,0.29915,1371422.6617,1,0.0,amlh
2015-02-11,12.0,0.29674999999999996,715331.3059999999,2,0.0,amlh
2015-02-12,7.0,0.309,893069.637,3,0.0,amlh
2015-02-13,4.0,0.309,907263.243,4,0.0,amlh
2015-02-17,14.0,0.23737500000000003,2013947.8942500004,1,0.0,amlh
2015-02-18,0.0,0.1465,1010806.0499999999,2,0.0,amlh
2015-02-19,13.0,0.09625000000000002,628991.8250000001,3,0.0,amlh
2015-02-20,54.0,0.0611,1099665.7022,4,0.0,amlh
2015-02-23,21.0,0.040625,457757.54375,0,0.0,amlh
2015-02-24,18.0,0.0353,248979.2308,1,0.0,amlh
2015-02-25,4.0,0.035250000000000004,104372.25375,2,0.0,amlh
2015-02-26,3.0,0.029325,186625.9422,3,0.0,amlh
2015-02-27,5.0,0.025974999999999998,79965.154425,4,0.0,amlh
2015-03-02,1.0,0.021750000000000002,81232.53075,0,0.0,amlh
2015-03-03,5.0,0.026225000000000002,143814.17605,1,0.0,amlh
2015-03-04,38.0,0.0455,387018.4045,2,0.0,amlh
2015-03-05,39.0,0.0683,549714.3941,3,0.0,amlh
2015-03-06,18.0,0.059925000000000006,457395.36022500007,4,0.0,amlh
2015-03-09,2.0,0.046000000000000006,157822.73400000003,0,0.0,amlh
2015-03-10,5.0,0.0407,36470.3339,1,0.0,amlh
2015-03-11,2.0,0.03995,57304.24005,2,0.0,amlh
2015-03-12,0.0,0.03685,53260.37365,3,0.0,amlh
2015-03-13,0.0,0.037000000000000005,13624.880000000001,4,0.0,amlh
2015-03-16,0.0,0.04145,18594.1384,0,0.0,amlh
2015-03-17,0.0,0.039075,57428.175825,1,0.0,amlh
2015-03-18,0.0,0.034075,72398.0621,2,0.0,amlh
2015-03-19,5.0,0.03395,50653.637650000004,3,0.0,amlh
2015-03-20,0.0,0.03255,6137.4327,4,0.0,amlh
2015-03-23,0.0,0.0307,17183.0356,0,0.0,amlh
2015-03-24,0.0,0.0307,9217.061,1,0.0,amlh
2015-03-25,0.0,0.030175,18030.075475,2,0.0,amlh
2015-03-26,0.0,0.028200000000000003,16250.532000000001,3,0.0,amlh
2015-03-27,0.0,0.027624999999999997,7324.630624999999,4,0.0,amlh
2015-03-30,2.0,0.029975,21883.398625,0,0.0,amlh
2015-03-31,0.0,0.0319,8375.4726,1,0.0,amlh
2015-04-01,1.0,0.03165,9167.0427,2,0.0,amlh
2015-04-02,0.0,0.028999999999999998,11761.124,3,0.0,amlh
2015-04-06,0.0,0.02855,4869.97335,0,0.0,amlh
2015-04-07,0.0,0.03075,7156.1092499999995,1,0.0,amlh
2015-04-08,0.0,0.029375000000000002,12905.1425,2,0.0,amlh
2015-04-09,0.0,0.02845,5125.63735,3,0.0,amlh
2015-04-10,1.0,0.02675,2328.66775,4,0.0,amlh
2015-04-13,0.0,0.029325,13956.471300000001,0,0.0,amlh
2015-04-14,0.0,0.029875,18069.53525,1,0.0,amlh
2015-04-15,0.0,0.031525,19201.782925,2,0.0,amlh
2015-04-16,0.0,0.0315,9184.0455,3,0.0,amlh
2015-04-17,0.0,0.0304,19362.672,4,0.0,amlh
2015-04-20,0.0,0.03105,27077.431950000002,0,0.0,amlh
2015-04-21,0.0,0.031575,3377.419875,1,0.0,amlh
2015-04-22,0.0,0.03155,9041.81985,2,0.0,amlh
2015-04-23,0.0,0.03055,8142.4915,3,0.0,amlh
2015-04-24,0.0,0.02975,5752.430249999999,4,0.0,amlh
2015-04-27,0.0,0.029375,14870.359375,0,0.0,amlh
2015-04-28,0.0,0.029275,18447.52415,1,0.0,amlh
2015-04-29,0.0,0.02905,3352.37,2,0.0,amlh
2015-04-30,0.0,0.029124999999999998,3659.352375,3,0.0,amlh
2015-05-01,0.0,0.029375,1944.125625,4,0.0,amlh
2015-05-04,0.0,0.030875,4291.655875,0,0.0,amlh
2015-05-05,0.0,0.029025,9832.654125,1,0.0,amlh
2015-05-06,0.0,0.029500000000000002,2672.6705,2,0.0,amlh
2015-05-07,0.0,0.029775,5121.59775,3,0.0,amlh
2015-05-08,0.0,0.028525000000000002,4335.4577,4,0.0,amlh
2015-05-11,0.0,0.028525,2261.547575,0,0.0,amlh
2015-05-12,0.0,0.027625000000000004,6880.862625000001,1,0.0,amlh
2015-05-13,0.0,0.027325000000000002,2055.44115,2,0.0,amlh
2015-05-14,0.0,0.027825,6155.724749999999,3,0.0,amlh
2015-05-15,0.0,0.026699999999999998,3913.2587999999996,4,0.0,amlh
2015-05-18,0.0,0.0282,7048.59,0,0.0,amlh
2015-05-19,0.0,0.028274999999999998,2139.145125,1,0.0,amlh
2015-05-20,0.0,0.028900000000000002,395.93,2,0.0,amlh
2015-05-21,0.0,0.028224999999999997,613.89375,3,0.0,amlh
2015-05-22,0.0,0.02785,4400.55065,4,0.0,amlh
2015-05-26,1.0,0.0262,6238.3772,1,0.0,amlh
2015-05-27,0.0,0.0266,16248.211,2,0.0,amlh
2015-05-28,0.0,0.02675,15607.2875,3,0.0,amlh
2015-05-29,0.0,0.026225000000000002,597.2743750000001,4,0.0,amlh
2015-06-01,0.0,0.026875000000000003,10139.856875000001,0,0.0,amlh
2015-06-02,0.0,0.026225,1142.0987499999999,1,0.0,amlh
2015-06-03,0.0,0.025775,2193.4525,2,0.0,amlh
2015-06-04,0.0,0.024224999999999997,6954.997499999999,3,0.0,amlh
2015-06-05,0.0,0.023124999999999996,3705.6424999999995,4,0.0,amlh
2015-06-08,0.0,0.0235,1006.975,0,0.0,amlh
