date,post_number,ohlc,dollar_volume,weekday,target,symbol
2012-10-24,3.0,85.0,24905.0,2,0.0,azfl
2012-10-25,10.0,44.25,150582.75,3,0.0,azfl
2012-10-26,18.0,65.0,66105.0,4,0.0,azfl
2012-10-29,4.0,65.0,0.0,0,0.0,azfl
2012-10-30,0.0,65.0,0.0,1,0.0,azfl
2012-10-31,14.0,76.0,21584.0,2,0.0,azfl
2012-11-01,8.0,68.625,12215.25,3,0.0,azfl
2012-11-02,24.0,76.45,49616.05,4,0.0,azfl
2012-11-05,3.0,83.0,11952.0,0,0.0,azfl
2012-11-06,57.0,80.25,20303.25,1,0.0,azfl
2012-11-07,126.0,88.25,94692.25,2,0.0,azfl
2012-11-08,71.0,88.2,38455.200000000004,3,0.0,azfl
2012-11-09,93.0,85.5,34200.0,4,0.0,azfl
2012-11-12,472.0,97.5,64642.5,0,0.0,azfl
2012-11-13,75.0,88.75,17306.25,1,0.0,azfl
2012-11-14,51.0,78.0,24414.0,2,0.0,azfl
2012-11-15,37.0,75.975,3342.8999999999996,3,0.0,azfl
2012-11-16,29.0,77.0,14861.0,4,0.0,azfl
2012-11-19,123.0,74.025,122141.25000000001,0,0.0,azfl
2012-11-20,54.0,61.75,16549.0,1,0.0,azfl
2012-11-21,30.0,63.849999999999994,766.1999999999999,2,0.0,azfl
2012-11-23,14.0,57.35,114.7,4,0.0,azfl
2012-11-26,20.0,55.5,6382.5,0,0.0,azfl
2012-11-27,8.0,52.15,3337.6,1,0.0,azfl
2012-11-28,20.0,54.0,9990.0,2,0.0,azfl
2012-11-29,11.0,58.25,6407.5,3,0.0,azfl
2012-11-30,18.0,63.5,75438.0,4,0.0,azfl
2012-12-03,6.0,56.25,9450.0,0,0.0,azfl
2012-12-04,4.0,56.5,3955.0,1,0.0,azfl
2012-12-05,12.0,63.025,9516.775,2,0.0,azfl
2012-12-06,5.0,72.35,11648.349999999999,3,0.0,azfl
2012-12-07,2.0,75.0,1275.0,4,0.0,azfl
2012-12-10,5.0,67.525,18907.0,0,0.0,azfl
2012-12-11,0.0,65.5,3602.5,1,0.0,azfl
2012-12-12,1.0,66.6,3130.2,2,0.0,azfl
2012-12-13,2.0,64.6,968.9999999999999,3,0.0,azfl
2012-12-14,8.0,68.325,21112.425,4,0.0,azfl
2012-12-17,9.0,66.75,20091.75,0,0.0,azfl
2012-12-18,364.0,67.0,119863.0,1,0.0,azfl
2012-12-19,0.0,62.0,16244.0,2,0.0,azfl
2012-12-20,4.0,55.0,18865.0,3,0.0,azfl
2012-12-21,2.0,50.0,2900.0,4,0.0,azfl
2012-12-24,0.0,41.0,2132.0,0,0.0,azfl
2012-12-26,3.0,45.0,2115.0,2,0.0,azfl
2012-12-27,2.0,55.0,550.0,3,0.0,azfl
2012-12-28,0.0,55.0,0.0,4,0.0,azfl
2012-12-31,1.0,42.5,1572.5,0,0.0,azfl
2013-01-02,4.0,40.0,120.0,2,0.0,azfl
2013-01-03,0.0,40.0,640.0,3,0.0,azfl
2013-01-04,0.0,40.0,960.0,4,0.0,azfl
2013-01-07,1.0,32.5,1105.0,0,0.0,azfl
2013-01-08,0.0,32.5,520.0,1,0.0,azfl
2013-01-09,0.0,32.25,2322.0,2,0.0,azfl
2013-01-10,0.0,32.25,0.0,3,0.0,azfl
2013-01-11,0.0,33.35,7270.3,4,0.0,azfl
2013-01-14,0.0,34.0,1360.0,0,0.0,azfl
2013-01-15,0.0,33.25,1330.0,1,0.0,azfl
