date,post_number,ohlc,dollar_volume,weekday,target,symbol
2010-01-04,1.0,15.0,15.0,0,0.0,brvo
2010-01-05,0.0,15.0,30.0,1,0.0,brvo
2010-01-06,0.0,15.0,0.0,2,0.0,brvo
2010-01-07,0.0,15.0,0.0,3,0.0,brvo
2010-01-08,3.0,15.0,0.0,4,0.0,brvo
2010-01-11,0.0,15.0,15.0,0,0.0,brvo
2010-01-12,0.0,15.0,0.0,1,0.0,brvo
2010-01-13,0.0,15.0,0.0,2,0.0,brvo
2010-01-14,2.0,27.0,756.0,3,0.0,brvo
2010-01-15,0.0,24.75,247.5,4,0.0,brvo
2010-01-18,0.0,24.75,0.0,0,0.0,brvo
2010-01-19,0.0,20.25,850.5,1,0.0,brvo
2010-01-20,0.0,20.25,0.0,2,0.0,brvo
2010-01-21,0.0,23.7,165.9,3,0.0,brvo
2010-01-22,0.0,18.0,0.0,4,0.0,brvo
2010-01-25,0.0,18.0,0.0,0,0.0,brvo
2010-01-26,0.0,23.7,189.6,1,0.0,brvo
2010-01-27,0.0,23.7,0.0,2,0.0,brvo
2010-01-28,0.0,23.7,0.0,3,0.0,brvo
2010-01-29,0.0,23.7,0.0,4,0.0,brvo
2010-02-01,1.0,23.7,0.0,0,0.0,brvo
2010-02-02,2.0,23.7,0.0,1,0.0,brvo
2010-02-03,2.0,21.0,483.0,2,0.0,brvo
2010-02-04,1.0,22.5,742.5,3,0.0,brvo
2010-02-05,0.0,31.2,2714.4,4,0.0,brvo
2010-02-08,0.0,31.2,0.0,0,0.0,brvo
2010-02-09,0.0,31.2,0.0,1,0.0,brvo
2010-02-10,0.0,21.75,500.25,2,0.0,brvo
2010-02-11,1.0,21.75,0.0,3,0.0,brvo
2010-02-12,0.0,24.0,792.0,4,0.0,brvo
2010-02-15,0.0,24.0,0.0,0,0.0,brvo
2010-02-16,0.0,25.35,507.0,1,0.0,brvo
2010-02-17,0.0,13.95,6165.9,2,0.0,brvo
2010-02-18,0.0,14.7,823.1999999999999,3,0.0,brvo
2010-02-19,0.0,18.0,18.0,4,0.0,brvo
2010-02-22,0.0,18.0,0.0,0,0.0,brvo
2010-02-23,0.0,17.25,1897.5,1,0.0,brvo
2010-02-24,0.0,17.25,0.0,2,0.0,brvo
2010-02-25,1.0,85.5,2992.5,3,0.0,brvo
2010-02-26,0.0,28.5,1738.5,4,0.0,brvo
2010-03-01,0.0,24.0,0.0,0,0.0,brvo
2010-03-02,0.0,27.0,5130.0,1,0.0,brvo
2010-03-03,1.0,24.0,3720.0,2,0.0,brvo
2010-03-04,0.0,24.0,384.0,3,0.0,brvo
2010-03-05,2.0,19.5,1326.0,4,0.0,brvo
2010-03-08,0.0,19.5,117.0,0,0.0,brvo
2010-03-09,0.0,19.5,0.0,1,0.0,brvo
2010-03-10,1.0,19.875,1013.625,2,0.0,brvo
2010-03-11,1.0,21.0,1470.0,3,0.0,brvo
2010-03-12,0.0,20.924999999999997,3285.2249999999995,4,0.0,brvo
2010-03-15,1.0,22.5,112.5,0,0.0,brvo
2010-03-16,0.0,22.5,360.0,1,0.0,brvo
2010-03-17,0.0,23.25,4161.75,2,0.0,brvo
2010-03-18,0.0,24.0,3816.0,3,0.0,brvo
2010-03-19,1.0,29.174999999999997,9131.775,4,0.0,brvo
2010-03-22,1.0,33.75,13128.75,0,0.0,brvo
2010-03-23,11.0,45.75,7320.0,1,0.0,brvo
2010-03-24,5.0,49.5,9454.5,2,0.0,brvo
2010-03-25,0.0,46.35,6164.55,3,0.0,brvo
2010-03-26,0.0,46.650000000000006,3498.7500000000005,4,0.0,brvo
2010-03-29,7.0,48.0,192.0,0,0.0,brvo
2010-03-30,15.0,48.0,6768.0,1,0.0,brvo
2010-03-31,6.0,56.25,18900.0,2,0.0,brvo
2010-04-01,2.0,57.3,19080.899999999998,3,0.0,brvo
2010-04-02,1.0,57.3,0.0,4,0.0,brvo
2010-04-05,3.0,61.2,13831.2,0,0.0,brvo
2010-04-06,0.0,68.925,23916.975,1,0.0,brvo
2010-04-07,1.0,61.95,11089.050000000001,2,0.0,brvo
2010-04-08,1.0,59.099999999999994,11819.999999999998,3,0.0,brvo
2010-04-09,1.0,56.925000000000004,27836.325,4,0.0,brvo
2010-04-12,5.0,53.1,16779.600000000002,0,0.0,brvo
2010-04-13,4.0,49.8,21961.8,1,0.0,brvo
2010-04-14,2.0,62.849999999999994,96474.74999999999,2,0.0,brvo
2010-04-15,5.0,69.9,54102.600000000006,3,0.0,brvo
2010-04-16,1.0,64.125,17634.375,4,0.0,brvo
2010-04-19,6.0,64.5,13738.5,0,0.0,brvo
2010-04-20,16.0,62.4,34756.799999999996,1,0.0,brvo
2010-04-21,7.0,65.25,33473.25,2,0.0,brvo
2010-04-22,4.0,64.5,6127.5,3,0.0,brvo
2010-04-23,6.0,59.925,13842.675,4,0.0,brvo
2010-04-26,10.0,70.35,65636.54999999999,0,0.0,brvo
