date,post_number,ohlc,dollar_volume,weekday,target,symbol
2010-05-14,5.0,15406.25,1817937.5,4,0.0,bvtk
2010-05-17,0.0,14437.5,534187.5,0,0.0,bvtk
2010-05-18,1.0,12218.75,122187.5,1,0.0,bvtk
2010-05-19,1.0,11631.25,11631.25,2,0.0,bvtk
2010-05-20,1.0,11887.5,23775.0,3,0.0,bvtk
2010-05-21,0.0,12531.25,25062.5,4,0.0,bvtk
2010-05-24,0.0,12437.5,62187.5,0,0.0,bvtk
2010-05-25,1.0,12125.0,24250.0,1,0.0,bvtk
2010-05-26,3.0,13037.5,195562.5,2,0.0,bvtk
2010-05-27,0.0,13062.5,457187.5,3,0.0,bvtk
2010-05-28,0.0,13218.75,105750.0,4,0.0,bvtk
2010-05-31,8.0,13218.75,0.0,0,0.0,bvtk
2010-06-01,2.0,13187.5,39562.5,1,0.0,bvtk
2010-06-02,0.0,11912.5,23825.0,2,0.0,bvtk
2010-06-03,0.0,12075.0,12075.0,3,0.0,bvtk
2010-06-04,0.0,11887.5,11887.5,4,0.0,bvtk
2010-06-07,0.0,11750.0,0.0,0,0.0,bvtk
2010-06-08,0.0,11218.75,11218.75,1,0.0,bvtk
2010-06-09,0.0,11468.75,11468.75,2,0.0,bvtk
2010-06-10,0.0,11087.5,11087.5,3,0.0,bvtk
2010-06-11,0.0,10968.75,0.0,4,0.0,bvtk
2010-06-14,0.0,10687.5,10687.5,0,0.0,bvtk
2010-06-15,0.0,10406.25,20812.5,1,0.0,bvtk
2010-06-16,0.0,7618.75,45712.5,2,0.0,bvtk
2010-06-17,0.0,5937.5,35625.0,3,0.0,bvtk
2010-06-18,0.0,6125.0,6125.0,4,0.0,bvtk
2010-06-21,2.0,7000.0,7000.0,0,0.0,bvtk
2010-06-22,0.0,7000.0,7000.0,1,0.0,bvtk
2010-06-23,0.0,6687.5,6687.5,2,0.0,bvtk
2010-06-24,0.0,6375.0,6375.0,3,0.0,bvtk
2010-06-25,0.0,6062.5,6062.5,4,0.0,bvtk
2010-06-28,0.0,5500.0,5500.0,0,0.0,bvtk
2010-06-29,0.0,5187.5,0.0,1,0.0,bvtk
2010-06-30,0.0,5250.0,10500.0,2,0.0,bvtk
2010-07-01,0.0,5618.75,0.0,3,0.0,bvtk
