date,post_number,ohlc,dollar_volume,weekday,target,symbol
2009-04-03,4.0,1.13,1125519.5499999998,4,0.0,byoc
2009-04-06,0.0,1.535,2211867.46,0,0.0,byoc
2009-04-07,0.0,1.14025,459942.6425,1,0.0,byoc
2009-04-08,1.0,1.135,248234.715,2,0.0,byoc
2009-04-09,0.0,1.21,246193.86,3,0.0,byoc
2009-04-10,0.0,1.21,0.0,4,0.0,byoc
2009-04-13,0.0,1.2950000000000002,570564.05,0,0.0,byoc
2009-04-14,1.0,1.4099999999999997,334265.87999999995,1,0.0,byoc
2009-04-15,3.0,1.5325,541266.74,2,0.0,byoc
2009-04-16,0.0,1.6825,968441.9525,3,0.0,byoc
2009-04-17,0.0,1.57,660301.18,4,0.0,byoc
2009-04-20,0.0,1.5125,227774.9375,0,0.0,byoc
2009-04-21,0.0,1.515,268854.93,1,0.0,byoc
2009-04-22,0.0,1.615,423966.57,2,0.0,byoc
2009-04-23,0.0,1.65,476520.0,3,0.0,byoc
2009-04-24,0.0,1.5725,430212.4125,4,0.0,byoc
2009-04-27,0.0,1.5350000000000001,246562.44500000004,0,0.0,byoc
2009-04-28,0.0,1.4425,261825.28999999998,1,0.0,byoc
2009-04-29,0.0,1.3925,260308.38,2,0.0,byoc
2009-04-30,0.0,1.3925,215230.37000000002,3,0.0,byoc
2009-05-01,0.0,1.4024999999999999,215740.96499999997,4,0.0,byoc
2009-05-04,1.0,1.4075,195902.88749999998,0,0.0,byoc
2009-05-05,0.0,1.405,165014.44,1,0.0,byoc
2009-05-06,1.0,1.41,217947.93,2,0.0,byoc
2009-05-07,1.0,1.375,101168.375,3,0.0,byoc
2009-05-08,0.0,1.2725,365375.47,4,0.0,byoc
2009-05-11,1.0,1.0899999999999999,546782.1499999999,0,0.0,byoc
2009-05-12,0.0,1.0075,174729.7175,1,0.0,byoc
2009-05-13,0.0,0.965,174618.68,2,0.0,byoc
2009-05-14,1.0,1.0050000000000001,229836.46500000003,3,0.0,byoc
2009-05-15,1.0,1.1775,218231.9625,4,0.0,byoc
2009-05-18,1.0,1.2400000000000002,131132.48,0,0.0,byoc
2009-05-19,1.0,1.2075,111359.2725,1,0.0,byoc
2009-05-20,0.0,1.2349999999999999,97447.67499999999,2,0.0,byoc
2009-05-21,0.0,1.1662499999999998,121414.78874999998,3,0.0,byoc
2009-05-22,0.0,1.1175,230727.99,4,0.0,byoc
2009-05-25,0.0,1.1175,0.0,0,0.0,byoc
2009-05-26,2.0,1.0725,124941.96,1,0.0,byoc
2009-05-27,3.0,1.01,106640.85,2,0.0,byoc
2009-05-28,0.0,0.9625,139071.625,3,0.0,byoc
2009-05-29,1.0,0.895,230089.285,4,0.0,byoc
2009-06-01,0.0,0.9099999999999999,37223.549999999996,0,0.0,byoc
2009-06-02,1.0,0.9624999999999999,47112.45,1,0.0,byoc
2009-06-03,0.0,0.9249999999999999,63542.87499999999,2,0.0,byoc
2009-06-04,0.0,0.92,100306.68000000001,3,0.0,byoc
2009-06-05,0.0,0.9675,69076.5975,4,0.0,byoc
2009-06-08,0.0,0.98,43193.5,0,0.0,byoc
2009-06-09,0.0,0.98,65351.299999999996,1,0.0,byoc
2009-06-10,0.0,0.975,53395.875,2,0.0,byoc
2009-06-11,0.0,0.97,120473.03,3,0.0,byoc
2009-06-12,0.0,0.9624999999999999,56953.049999999996,4,0.0,byoc
2009-06-15,0.0,0.9525,106484.7375,0,0.0,byoc
2009-06-16,0.0,0.8975,130605.995,1,0.0,byoc
2009-06-17,0.0,0.89375,123173.05,2,0.0,byoc
2009-06-18,0.0,0.9199999999999999,19441.44,3,0.0,byoc
2009-06-19,0.0,0.8525,95742.57,4,0.0,byoc
2009-06-22,0.0,0.8424999999999999,117447.02749999998,0,0.0,byoc
2009-06-23,0.0,0.7775,120689.76999999999,1,0.0,byoc
2009-06-24,0.0,0.745,57724.835,2,0.0,byoc
2009-06-25,0.0,0.7925,44185.8375,3,0.0,byoc
2009-06-26,0.0,0.7324999999999999,68785.41249999999,4,0.0,byoc
2009-06-29,0.0,0.6653,230535.7642,0,0.0,byoc
2009-06-30,0.0,0.5327500000000001,193696.71225,1,0.0,byoc
2009-07-01,0.0,0.435,243081.48,2,0.0,byoc
2009-07-02,0.0,0.4172,294314.9916,3,0.0,byoc
2009-07-03,0.0,0.4172,0.0,4,0.0,byoc
2009-07-06,0.0,0.401,74960.534,0,0.0,byoc
2009-07-07,0.0,0.44625,103100.70749999999,1,0.0,byoc
2009-07-08,0.0,0.4125,116803.91249999999,2,0.0,byoc
2009-07-09,0.0,0.375,32992.5,3,0.0,byoc
2009-07-10,0.0,0.38,47376.5,4,0.0,byoc
2009-07-13,0.0,0.4125,39212.6625,0,0.0,byoc
2009-07-14,0.0,0.38725,66888.53074999999,1,0.0,byoc
2009-07-15,0.0,0.37744999999999995,45501.597499999996,2,0.0,byoc
2009-07-16,0.0,0.35375,23581.32875,3,0.0,byoc
2009-07-17,0.0,0.3562,90004.2598,4,0.0,byoc
2009-07-20,0.0,0.36225,35368.278750000005,0,0.0,byoc
2009-07-21,0.0,0.324,60342.084,1,0.0,byoc
2009-07-22,0.0,0.3075,43615.8,2,0.0,byoc
2009-07-23,2.0,0.307475,43340.4461,3,0.0,byoc
2009-07-24,0.0,0.3325,78913.2225,4,0.0,byoc
2009-07-27,0.0,0.33125,102459.59999999999,0,0.0,byoc
2009-07-28,0.0,0.3125,71301.875,1,0.0,byoc
2009-07-29,0.0,0.3325,66599.75,2,0.0,byoc
2009-07-30,0.0,0.3425,54519.15,3,0.0,byoc
2009-07-31,0.0,0.3765,134357.79,4,0.0,byoc
2009-08-03,0.0,0.36025,39046.777,0,0.0,byoc
2009-08-04,0.0,0.355,29582.149999999998,1,0.0,byoc
