date,post_number,ohlc,dollar_volume,weekday,target
2007-09-06,33.0,0.05,510.0,3,0.0
2007-09-07,19.0,0.05,2920.05,4,0.0
2007-09-10,24.0,0.05,870.0,0,0.0
2007-09-11,68.0,0.05,34075.1,1,0.0
2007-09-12,11.0,0.05,4660.3,2,0.0
2007-09-13,41.0,0.05,827.0,3,0.0
2007-09-14,225.0,0.05,809.95,4,0.0
2007-09-17,178.0,0.05,3537.0,0,0.0
2007-09-18,418.0,0.05,16151.2,1,1.0
2007-09-19,305.0,0.05,19391.0,2,1.0
2007-09-20,815.0,0.07500000000000001,178417.80000000002,3,0.0
2007-09-21,1126.0,0.11249999999999999,193347.1125,4,0.0
2007-09-24,1862.0,0.175,574772.7999999999,0,0.0
2007-09-25,1211.0,0.15,190766.4,1,0.0
2007-09-26,842.0,0.15,78319.5,2,0.0
2007-09-27,827.0,0.13749999999999998,49512.649999999994,3,0.0
2007-09-28,616.0,0.1375,47323.65,4,0.0
2007-10-01,586.0,0.16249999999999998,85183.47499999999,0,0.0
2007-10-02,541.0,0.17500000000000002,84023.8,1,0.0
2007-10-03,374.0,0.1375,28772.7,2,0.0
2007-10-04,370.0,0.1375,27866.7125,3,0.0
2007-10-05,246.0,0.125,46110.5,4,0.0
2007-10-08,177.0,0.11249999999999999,22879.8,0,0.0
2007-10-09,245.0,0.1375,28481.612500000003,1,0.0
2007-10-10,273.0,0.125,14394.875,2,0.0
2007-10-11,403.0,0.11249999999999999,29346.637499999997,3,0.0
2007-10-12,439.0,0.11249999999999999,21571.762499999997,4,0.0
2007-10-15,197.0,0.11249999999999999,19054.462499999998,0,0.0
2007-10-16,245.0,0.0875,12552.925,1,0.0
2007-10-17,258.0,0.0875,3818.2374999999997,2,0.0
2007-10-18,210.0,0.075,11275.425,3,0.0
2007-10-19,154.0,0.075,19055.7,4,0.0
2007-10-22,109.0,0.075,4033.95,0,0.0
2007-10-23,148.0,0.07500000000000001,3492.6750000000006,1,0.0
