date,post_number,ohlc,dollar_volume,weekday,target,symbol
2010-05-17,3.0,955.0,583505.0,0,0.0,cnxs
2010-05-18,0.0,930.0,228780.0,1,0.0,cnxs
2010-05-19,0.0,837.5,139862.5,2,0.0,cnxs
2010-05-20,2.0,727.5,130950.0,3,0.0,cnxs
2010-05-21,3.0,702.5,80787.5,4,0.0,cnxs
2010-05-24,0.0,815.0,95355.0,0,0.0,cnxs
2010-05-25,1.0,755.0,70215.0,1,0.0,cnxs
2010-05-26,0.0,745.0,55130.0,2,0.0,cnxs
2010-05-27,0.0,797.5,83737.5,3,0.0,cnxs
2010-05-28,0.0,740.0,13320.0,4,0.0,cnxs
2010-05-31,1.0,740.0,0.0,0,0.0,cnxs
2010-06-01,0.0,780.0,50700.0,1,0.0,cnxs
2010-06-02,1.0,895.0,135145.0,2,0.0,cnxs
2010-06-03,1.0,902.5,60467.5,3,0.0,cnxs
2010-06-04,0.0,862.5,21562.5,4,0.0,cnxs
2010-06-07,0.0,810.0,25110.0,0,0.0,cnxs
2010-06-08,0.0,780.0,17160.0,1,0.0,cnxs
2010-06-09,0.0,800.0,1600.0,2,0.0,cnxs
2010-06-10,0.0,745.0,19370.0,3,0.0,cnxs
2010-06-11,0.0,727.5,9457.5,4,0.0,cnxs
2010-06-14,0.0,681.075,8172.900000000001,0,0.0,cnxs
2010-06-15,0.0,652.5,39802.5,1,0.0,cnxs
2010-06-16,1.0,590.0,71390.0,2,0.0,cnxs
2010-06-17,0.0,597.5,17327.5,3,0.0,cnxs
2010-06-18,0.0,522.5,33962.5,4,0.0,cnxs
2010-06-21,0.0,465.0,25575.0,0,0.0,cnxs
2010-06-22,0.0,457.5,31110.0,1,0.0,cnxs
2010-06-23,0.0,402.5,28175.0,2,0.0,cnxs
2010-06-24,0.0,395.0,21330.0,3,0.0,cnxs
2010-06-25,0.0,367.5,16905.0,4,0.0,cnxs
2010-06-28,0.0,367.5,6982.5,0,0.0,cnxs
2010-06-29,0.0,351.5,31635.0,1,0.0,cnxs
2010-06-30,0.0,365.5,22661.0,2,0.0,cnxs
2010-07-01,0.0,368.0,12144.0,3,0.0,cnxs
2010-07-02,1.0,375.0,6750.0,4,0.0,cnxs
2010-07-05,0.0,375.0,0.0,0,0.0,cnxs
2010-07-06,0.0,376.5,6777.0,1,0.0,cnxs
2010-07-07,0.0,380.25,13689.0,2,0.0,cnxs
2010-07-08,0.0,382.5,5737.5,3,0.0,cnxs
2010-07-09,0.0,382.5,27922.5,4,0.0,cnxs
2010-07-12,0.0,382.5,12622.5,0,0.0,cnxs
2010-07-13,0.0,327.5,17357.5,1,0.0,cnxs
2010-07-14,0.0,300.0,4200.0,2,0.0,cnxs
2010-07-15,0.0,301.25,4217.5,3,0.0,cnxs
2010-07-16,0.0,310.0,5890.0,4,0.0,cnxs
2010-07-19,0.0,270.0,540.0,0,0.0,cnxs
2010-07-20,0.0,315.0,5040.0,1,0.0,cnxs
2010-07-21,0.0,310.025,3410.2749999999996,2,0.0,cnxs
2010-07-22,0.0,290.0,6090.0,3,0.0,cnxs
2010-07-23,0.0,285.0,3990.0,4,0.0,cnxs
2010-07-26,0.0,310.0,5890.0,0,0.0,cnxs
2010-07-27,0.0,350.0,3500.0,1,0.0,cnxs
2010-07-28,0.0,317.5,5080.0,2,0.0,cnxs
2010-07-29,0.0,305.025,3660.2999999999997,3,0.0,cnxs
2010-07-30,0.0,337.5,4387.5,4,0.0,cnxs
2010-08-02,0.0,292.5,4095.0,0,0.0,cnxs
2010-08-03,0.0,297.5,892.5,1,0.0,cnxs
2010-08-04,0.0,322.5,3547.5,2,0.0,cnxs
2010-08-05,0.0,335.0,4355.0,3,0.0,cnxs
2010-08-06,0.0,370.0,2960.0,4,0.0,cnxs
2010-08-09,0.0,353.75,707.5,0,0.0,cnxs
2010-08-10,0.0,320.025,2560.2,1,0.0,cnxs
2010-08-11,0.0,322.5,3225.0,2,0.0,cnxs
2010-08-12,0.0,302.5,1815.0,3,0.0,cnxs
2010-08-13,0.0,335.0,335.0,4,0.0,cnxs
2010-08-16,0.0,335.0,7035.0,0,0.0,cnxs
2010-08-17,0.0,330.0,990.0,1,0.0,cnxs
2010-08-18,0.0,320.5,8653.5,2,0.0,cnxs
2010-08-19,0.0,317.5,15557.5,3,0.0,cnxs
2010-08-20,0.0,315.0,31815.0,4,0.0,cnxs
2010-08-23,0.0,300.5,6611.0,0,0.0,cnxs
2010-08-24,0.0,280.0,4200.0,1,0.0,cnxs
2010-08-25,0.0,300.0,600.0,2,0.0,cnxs
2010-08-26,0.0,300.0,1200.0,3,0.0,cnxs
2010-08-27,0.0,290.0,2610.0,4,0.0,cnxs
2010-08-30,0.0,280.0,280.0,0,0.0,cnxs
2010-08-31,0.0,300.0,300.0,1,0.0,cnxs
2010-09-01,1.0,307.5,3382.5,2,0.0,cnxs
2010-09-02,0.0,286.875,5163.75,3,0.0,cnxs
2010-09-03,0.0,290.0,870.0,4,0.0,cnxs
2010-09-06,0.0,290.0,0.0,0,0.0,cnxs
2010-09-07,0.0,275.5,1653.0,1,0.0,cnxs
2010-09-08,0.0,251.0,251.0,2,0.0,cnxs
2010-09-09,0.0,257.5,7467.5,3,0.0,cnxs
2010-09-10,0.0,257.5,0.0,4,0.0,cnxs
2010-09-13,0.0,267.5,3210.0,0,0.0,cnxs
2010-09-14,0.0,248.75,9203.75,1,0.0,cnxs
2010-09-15,0.0,262.0,4192.0,2,0.0,cnxs
2010-09-16,0.0,253.75,1015.0,3,0.0,cnxs
2010-09-17,0.0,250.0,1250.0,4,0.0,cnxs
2010-09-20,0.0,255.0,7905.0,0,0.0,cnxs
2010-09-21,0.0,237.5,6412.5,1,0.0,cnxs
2010-09-22,0.0,262.5,11025.0,2,0.0,cnxs
2010-09-23,0.0,240.0,1680.0,3,0.0,cnxs
2010-09-24,0.0,245.0,6125.0,4,0.0,cnxs
2010-09-27,0.0,245.0,2940.0,0,0.0,cnxs
2010-09-28,0.0,248.75,30596.25,1,0.0,cnxs
2010-09-29,0.0,255.0,6630.0,2,0.0,cnxs
2010-09-30,0.0,230.0,460.0,3,0.0,cnxs
2010-10-01,0.0,240.0,19680.0,4,0.0,cnxs
2010-10-04,0.0,245.0,1225.0,0,0.0,cnxs
2010-10-05,0.0,228.75,17842.5,1,0.0,cnxs
2010-10-06,0.0,226.25,6108.75,2,0.0,cnxs
2010-10-07,0.0,247.5,247.5,3,0.0,cnxs
2010-10-08,0.0,242.5,28372.5,4,0.0,cnxs
2010-10-11,0.0,233.75,8648.75,0,0.0,cnxs
2010-10-12,0.0,220.0,2860.0,1,0.0,cnxs
2010-10-13,0.0,230.0,2530.0,2,0.0,cnxs
2010-10-14,0.0,221.25,29868.75,3,0.0,cnxs
2010-10-15,0.0,227.5,4095.0,4,0.0,cnxs
2010-10-18,0.0,217.5,3480.0,0,0.0,cnxs
2010-10-19,0.0,210.0,1050.0,1,0.0,cnxs
2010-10-20,0.0,187.5,10312.5,2,0.0,cnxs
2010-10-21,0.0,155.0,8215.0,3,0.0,cnxs
2010-10-22,0.0,145.0,1450.0,4,0.0,cnxs
2010-10-25,0.0,145.0,290.0,0,0.0,cnxs
2010-10-26,0.0,145.0,4640.0,1,0.0,cnxs
2010-10-27,0.0,167.5,335.0,2,0.0,cnxs
2010-10-28,0.0,167.5,4522.5,3,0.0,cnxs
2010-10-29,0.0,158.75,3016.25,4,0.0,cnxs
2010-11-01,0.0,165.0,2145.0,0,0.0,cnxs
2010-11-02,0.0,169.95,1529.55,1,0.0,cnxs
2010-11-03,0.0,154.95,464.84999999999997,2,0.0,cnxs
