date,post_number,ohlc,dollar_volume,weekday,target,symbol
2007-10-12,0.0,2.625,236.25,4,0.0,coho
2007-10-15,0.0,2.5,175.0,0,0.0,coho
2007-10-16,0.0,2.5,0.0,1,0.0,coho
2007-10-17,0.0,2.5,0.0,2,0.0,coho
2007-10-18,0.0,2.5,0.0,3,0.0,coho
2007-10-19,0.0,2.5,0.0,4,0.0,coho
2007-10-22,0.0,2.25,121.5,0,0.0,coho
2007-10-23,0.0,2.25,0.0,1,0.0,coho
2007-10-24,0.0,2.25,0.0,2,0.0,coho
2007-10-25,0.0,2.25,0.0,3,0.0,coho
2007-10-26,0.0,2.25,0.0,4,0.0,coho
2007-10-29,0.0,2.25,0.0,0,0.0,coho
2007-10-30,0.0,2.25,11.25,1,0.0,coho
2007-10-31,0.0,3.0,12.0,2,0.0,coho
2007-11-01,0.0,3.0,0.0,3,0.0,coho
2007-11-02,0.0,3.0,0.0,4,0.0,coho
2007-11-05,0.0,3.0,0.0,0,0.0,coho
2007-11-06,0.0,2.75,16.5,1,0.0,coho
2007-11-07,0.0,2.75,0.0,2,0.0,coho
2007-11-08,0.0,2.75,0.0,3,0.0,coho
2007-11-09,0.0,2.5,50.0,4,0.0,coho
2007-11-12,0.0,2.5,0.0,0,0.0,coho
2007-11-13,0.0,2.5,50.0,1,0.0,coho
2007-11-14,0.0,2.625,26.25,2,0.0,coho
2007-11-15,0.0,2.5625,386.9375,3,0.0,coho
2007-11-16,0.0,2.5,10.0,4,0.0,coho
2007-11-19,0.0,1.75,182.0,0,0.0,coho
2007-11-20,0.0,1.75,0.0,1,0.0,coho
2007-11-21,0.0,1.75,0.0,2,0.0,coho
2007-11-22,0.0,1.75,0.0,3,0.0,coho
2007-11-23,0.0,1.75,0.0,4,0.0,coho
2007-11-26,0.0,1.5,3.0,0,0.0,coho
2007-11-27,0.0,1.5,0.0,1,0.0,coho
2007-11-28,0.0,1.875,300.0,2,0.0,coho
2007-11-29,0.0,1.5,114.0,3,0.0,coho
2007-11-30,0.0,2.0,46.0,4,0.0,coho
2007-12-03,0.0,2.0,0.0,0,0.0,coho
2007-12-04,0.0,1.5,1.5,1,0.0,coho
2007-12-05,0.0,1.75,59.5,2,0.0,coho
2007-12-06,0.0,1.75,91.0,3,0.0,coho
2007-12-07,0.0,1.75,0.0,4,0.0,coho
2007-12-10,0.0,1.75,0.0,0,0.0,coho
2007-12-11,0.0,2.125,306.0,1,0.0,coho
2007-12-12,0.0,2.125,0.0,2,0.0,coho
2007-12-13,0.0,2.125,0.0,3,0.0,coho
2007-12-14,0.0,2.0,0.0,4,0.0,coho
2007-12-17,0.0,2.0,18.0,0,0.0,coho
2007-12-18,0.0,1.875,69.375,1,0.0,coho
2007-12-19,0.0,1.75,252.0,2,0.0,coho
2007-12-20,0.0,1.75,0.0,3,0.0,coho
2007-12-21,0.0,1.75,0.0,4,0.0,coho
2007-12-24,0.0,1.75,54.25,0,0.0,coho
2007-12-25,0.0,1.75,0.0,1,0.0,coho
2007-12-26,0.0,1.75,0.0,2,0.0,coho
2007-12-27,0.0,1.75,0.0,3,0.0,coho
