date,post_number,ohlc,dollar_volume,weekday,target,symbol
2009-11-20,1.0,68.75,8250.0,4,0.0,dolv
2009-11-23,65.0,185.625,84273.75,0,0.0,dolv
2009-11-24,22.0,227.5,20247.5,1,0.0,dolv
2009-11-25,12.0,192.5,22715.0,2,0.0,dolv
2009-11-26,0.0,192.5,0.0,3,0.0,dolv
2009-11-27,10.0,213.125,56904.375,4,0.0,dolv
2009-11-30,16.0,213.75,61773.75,0,0.0,dolv
2009-12-01,10.0,203.75,25061.25,1,0.0,dolv
2009-12-02,8.0,193.75,7750.0,2,0.0,dolv
2009-12-03,10.0,195.0,7410.0,3,0.0,dolv
2009-12-04,0.0,179.375,4663.75,4,0.0,dolv
2009-12-07,2.0,178.75,2860.0,0,0.0,dolv
2009-12-08,1.0,189.375,6438.75,1,0.0,dolv
2009-12-09,0.0,177.5,177.5,2,0.0,dolv
2009-12-10,0.0,177.5,2307.5,3,0.0,dolv
2009-12-11,0.0,189.375,2840.625,4,0.0,dolv
2009-12-14,0.0,225.0,225.0,0,0.0,dolv
2009-12-15,0.0,183.125,4395.0,1,0.0,dolv
2009-12-16,0.0,183.125,0.0,2,0.0,dolv
2009-12-17,3.0,146.25,4826.25,3,0.0,dolv
2009-12-18,0.0,146.25,0.0,4,0.0,dolv
2009-12-21,0.0,141.25,2825.0,0,0.0,dolv
2009-12-22,0.0,115.0,2070.0,1,0.0,dolv
2009-12-23,0.0,171.875,4468.75,2,0.0,dolv
2009-12-24,0.0,148.75,892.5,3,0.0,dolv
2009-12-25,0.0,148.75,0.0,4,0.0,dolv
2009-12-28,0.0,148.125,7850.625,0,0.0,dolv
2009-12-29,0.0,148.125,0.0,1,0.0,dolv
2009-12-30,0.0,148.125,0.0,2,0.0,dolv
2009-12-31,0.0,157.5,1260.0,3,0.0,dolv
2010-01-01,0.0,157.5,0.0,4,0.0,dolv
2010-01-04,0.0,157.5,0.0,0,0.0,dolv
2010-01-05,0.0,183.125,6226.25,1,0.0,dolv
2010-01-06,1.0,155.0,1085.0,2,0.0,dolv
2010-01-07,0.0,162.5,2112.5,3,0.0,dolv
2010-01-08,2.0,182.5,3102.5,4,0.0,dolv
2010-01-11,0.0,182.5,0.0,0,0.0,dolv
2010-01-12,0.0,182.5,0.0,1,0.0,dolv
2010-01-13,0.0,182.5,0.0,2,0.0,dolv
2010-01-14,0.0,182.5,0.0,3,0.0,dolv
2010-01-15,0.0,182.5,0.0,4,0.0,dolv
2010-01-18,0.0,182.5,0.0,0,0.0,dolv
2010-01-19,0.0,115.0,2300.0,1,0.0,dolv
2010-01-20,0.0,131.25,525.0,2,0.0,dolv
2010-01-21,0.0,150.0,3300.0,3,0.0,dolv
2010-01-22,0.0,150.0,0.0,4,0.0,dolv
2010-01-25,11.0,150.0,0.0,0,0.0,dolv
2010-01-26,12.0,150.0,0.0,1,0.0,dolv
2010-01-27,0.0,150.0,0.0,2,0.0,dolv
2010-01-28,0.0,150.0,0.0,3,0.0,dolv
2010-01-29,0.0,150.0,0.0,4,0.0,dolv
2010-02-01,0.0,150.0,0.0,0,0.0,dolv
2010-02-02,0.0,125.0,0.0,1,0.0,dolv
2010-02-03,0.0,125.0,0.0,2,0.0,dolv
2010-02-04,0.0,125.0,0.0,3,0.0,dolv
2010-02-05,0.0,125.0,0.0,4,0.0,dolv
2010-02-08,0.0,125.0,0.0,0,0.0,dolv
2010-02-09,0.0,125.0,0.0,1,0.0,dolv
2010-02-10,0.0,125.0,0.0,2,0.0,dolv
2010-02-11,0.0,200.0,3000.0,3,0.0,dolv
2010-02-12,0.0,165.625,4968.75,4,0.0,dolv
2010-02-15,0.0,165.625,0.0,0,0.0,dolv
2010-02-16,0.0,150.0,1800.0,1,0.0,dolv
2010-02-17,0.0,150.0,0.0,2,0.0,dolv
2010-02-18,0.0,121.25,1091.25,3,0.0,dolv
2010-02-19,0.0,121.25,0.0,4,0.0,dolv
2010-02-22,0.0,121.25,0.0,0,0.0,dolv
2010-02-23,0.0,102.5,1025.0,1,0.0,dolv
2010-02-24,0.0,100.0,400.0,2,0.0,dolv
2010-02-25,0.0,100.0,0.0,3,0.0,dolv
2010-02-26,0.0,100.0,0.0,4,0.0,dolv
2010-03-01,0.0,100.0,0.0,0,0.0,dolv
2010-03-02,0.0,100.0,0.0,1,0.0,dolv
2010-03-03,0.0,100.0,0.0,2,0.0,dolv
2010-03-04,0.0,100.0,0.0,3,0.0,dolv
2010-03-05,0.0,100.0,800.0,4,0.0,dolv
2010-03-08,0.0,100.0,0.0,0,0.0,dolv
2010-03-09,0.0,100.0,0.0,1,0.0,dolv
2010-03-10,0.0,61.25,1470.0,2,0.0,dolv
2010-03-11,0.0,100.0,4000.0,3,0.0,dolv
2010-03-12,0.0,100.0,100.0,4,0.0,dolv
2010-03-15,0.0,80.0,1120.0,0,0.0,dolv
2010-03-16,0.0,80.0,0.0,1,0.0,dolv
2010-03-17,0.0,80.0,0.0,2,0.0,dolv
2010-03-18,0.0,80.0,0.0,3,0.0,dolv
2010-03-19,0.0,75.0,975.0,4,0.0,dolv
2010-03-22,0.0,85.0,3740.0,0,0.0,dolv
2010-03-23,0.0,85.0,0.0,1,0.0,dolv
2010-03-24,0.0,85.0,0.0,2,0.0,dolv
2010-03-25,0.0,78.1875,10008.0,3,0.0,dolv
2010-03-26,0.0,78.1875,0.0,4,0.0,dolv
2010-03-29,0.0,78.1875,0.0,0,0.0,dolv
2010-03-30,0.0,78.1875,0.0,1,0.0,dolv
2010-03-31,0.0,37.75,755.0,2,0.0,dolv
2010-04-01,0.0,89.375,5273.125,3,0.0,dolv
2010-04-02,0.0,89.375,0.0,4,0.0,dolv
2010-04-05,0.0,25.25,101.0,0,1.0,dolv
2010-04-06,0.0,25.25,0.0,1,1.0,dolv
2010-04-07,0.0,86.9375,5390.125,2,0.0,dolv
2010-04-08,0.0,86.9375,0.0,3,0.0,dolv
2010-04-09,0.0,66.25,3511.25,4,0.0,dolv
2010-04-12,1.0,70.53125,2398.0625,0,0.0,dolv
2010-04-13,0.0,70.53125,0.0,1,0.0,dolv
2010-04-14,0.0,70.53125,0.0,2,0.0,dolv
2010-04-15,1.0,91.1125,26787.075,3,0.0,dolv
2010-04-16,0.0,113.125,47286.25,4,0.0,dolv
2010-04-19,1.0,163.75,51908.75,0,0.0,dolv
2010-04-20,0.0,135.0,36180.0,1,0.0,dolv
2010-04-21,1.0,116.25,33247.5,2,0.0,dolv
2010-04-22,0.0,112.5,57150.0,3,0.0,dolv
2010-04-23,0.0,113.75,1023.75,4,0.0,dolv
2010-04-26,0.0,86.25,10695.0,0,0.0,dolv
2010-04-27,0.0,111.25,13683.75,1,0.0,dolv
2010-04-28,0.0,75.0,1500.0,2,0.0,dolv
2010-04-29,0.0,86.31875,5610.71875,3,0.0,dolv
2010-04-30,0.0,62.25625,10396.79375,4,0.0,dolv
2010-05-03,0.0,62.5,2875.0,0,0.0,dolv
2010-05-04,0.0,77.5,5270.0,1,0.0,dolv
2010-05-05,0.0,73.75,4130.0,2,0.0,dolv
2010-05-06,0.0,76.25,3660.0,3,0.0,dolv
2010-05-07,0.0,53.125,4250.0,4,0.0,dolv
2010-05-10,0.0,65.625,6365.625,0,0.0,dolv
2010-05-11,0.0,65.625,0.0,1,0.0,dolv
2010-05-12,4.0,111.25,24808.75,2,0.0,dolv
2010-05-13,0.0,147.5,19027.5,3,0.0,dolv
2010-05-14,0.0,139.375,27038.75,4,0.0,dolv
2010-05-17,0.0,126.25,12625.0,0,0.0,dolv
2010-05-18,0.0,103.75,4150.0,1,0.0,dolv
2010-05-19,0.0,92.5,0.0,2,0.0,dolv
2010-05-20,0.0,108.75,2392.5,3,0.0,dolv
2010-05-21,0.0,80.625,5563.125,4,0.0,dolv
2010-05-24,0.0,90.0,360.0,0,0.0,dolv
2010-05-25,0.0,79.4375,5163.4375,1,0.0,dolv
2010-05-26,0.0,79.4375,0.0,2,0.0,dolv
2010-05-27,0.0,66.875,6687.5,3,0.0,dolv
2010-05-28,0.0,68.75,3575.0,4,0.0,dolv
2010-05-31,0.0,68.75,0.0,0,0.0,dolv
2010-06-01,15.0,90.0,13320.0,1,0.0,dolv
2010-06-02,6.0,81.9125,3767.975,2,0.0,dolv
2010-06-03,4.0,72.85,11146.05,3,0.0,dolv
2010-06-04,1.0,69.725,5089.924999999999,4,0.0,dolv
2010-06-07,0.0,68.4375,5201.25,0,0.0,dolv
2010-06-08,0.0,57.65,2306.0,1,0.0,dolv
2010-06-09,0.0,56.25,1856.25,2,0.0,dolv
2010-06-10,0.0,56.25,0.0,3,0.0,dolv
2010-06-11,0.0,46.94375,7417.1125,4,0.0,dolv
2010-06-14,0.0,55.7,11195.7,0,0.0,dolv
2010-06-15,0.0,56.25,7706.25,1,0.0,dolv
2010-06-16,0.0,46.375,6538.875,2,0.0,dolv
2010-06-17,0.0,51.875,9648.75,3,0.0,dolv
