date,post_number,ohlc,dollar_volume,weekday,target
2008-02-11,0.0,1470000.0,0.0,0,0.0
2008-02-12,0.0,1695000.0,0.0,1,0.0
2008-02-13,0.0,1795000.0,0.0,2,0.0
2008-02-14,0.0,1475000.0,0.0,3,0.0
2008-02-15,0.0,1417500.0,0.0,4,0.0
2008-02-18,0.0,1417500.0,0.0,0,0.0
2008-02-19,0.0,1735000.0,0.0,1,0.0
2008-02-20,0.0,1325000.0,0.0,2,0.0
2008-02-21,1.0,1025000.0,0.0,3,0.0
2008-02-22,0.0,1080000.0,0.0,4,0.0
2008-02-25,0.0,835000.0,0.0,0,0.0
2008-02-26,0.0,835000.0,0.0,1,0.0
2008-02-27,0.0,605000.0,0.0,2,0.0
2008-02-28,0.0,420000.0,0.0,3,0.0
2008-02-29,0.0,500000.0,0.0,4,0.0
2008-03-03,0.0,375000.0,0.0,0,0.0
2008-03-04,0.0,300000.0,0.0,1,0.0
2008-03-05,0.0,320000.0,0.0,2,0.0
2008-03-06,0.0,260000.0,0.0,3,0.0
2008-03-07,0.0,220000.0,0.0,4,0.0
2008-03-10,0.0,220000.0,0.0,0,0.0
2008-03-11,0.0,220000.0,0.0,1,0.0
2008-03-12,0.0,230000.0,0.0,2,0.0
2008-03-13,0.0,220000.0,0.0,3,0.0
2008-03-14,0.0,210000.0,0.0,4,0.0
2008-03-17,0.0,200000.0,0.0,0,0.0
2008-03-18,0.0,260000.0,0.0,1,0.0
2008-03-19,0.0,230000.0,0.0,2,0.0
2008-03-20,0.0,235000.0,0.0,3,0.0
2008-03-21,0.0,235000.0,0.0,4,0.0
2008-03-24,0.0,225000.0,0.0,0,1.0
2008-03-25,0.0,320000.0,0.0,1,1.0
2008-03-26,0.0,420000.0,0.0,2,0.0
2008-03-27,0.0,465000.0,0.0,3,0.0
2008-03-28,0.0,635000.0,0.0,4,0.0
2008-03-31,0.0,805000.0,0.0,0,0.0
2008-04-01,0.0,895000.0,0.0,1,0.0
2008-04-02,0.0,975000.0,0.0,2,0.0
2008-04-03,0.0,815000.0,0.0,3,0.0
2008-04-04,0.0,845000.0,0.0,4,0.0
2008-04-07,0.0,840000.0,0.0,0,0.0
2008-04-08,1.0,625000.0,0.0,1,0.0
2008-04-09,0.0,470000.0,0.0,2,0.0
2008-04-10,0.0,430000.0,0.0,3,0.0
2008-04-11,0.0,409000.0,0.0,4,0.0
2008-04-14,0.0,355000.0,0.0,0,0.0
2008-04-15,0.0,315000.0,0.0,1,0.0
2008-04-16,0.0,320000.0,0.0,2,0.0
2008-04-17,0.0,287500.0,0.0,3,0.0
2008-04-18,0.0,267500.0,0.0,4,0.0
2008-04-21,0.0,235000.0,0.0,0,0.0
2008-04-22,0.0,168500.0,0.0,1,0.0
2008-04-23,0.0,140500.0,0.0,2,0.0
2008-04-24,0.0,100000.0,0.0,3,0.0
2008-04-25,0.0,48000.0,0.0,4,0.0
