date,post_number,ohlc,dollar_volume,weekday,target,symbol
2015-03-09,0.0,1.1,0.0,0,0.0,hmpq
2015-03-10,0.0,1.1,0.0,1,0.0,hmpq
2015-03-11,0.0,1.1,0.0,2,0.0,hmpq
2015-03-12,0.0,1.1,0.0,3,0.0,hmpq
2015-03-13,0.0,1.1,0.0,4,0.0,hmpq
2015-03-16,0.0,0.75,150.0,0,0.0,hmpq
2015-03-17,0.0,0.75,0.0,1,0.0,hmpq
2015-03-18,0.0,0.3,660.0,2,0.0,hmpq
2015-03-19,0.0,0.3,60.0,3,0.0,hmpq
2015-03-20,0.0,0.3,269.4,4,0.0,hmpq
2015-03-23,0.0,0.3,0.0,0,0.0,hmpq
2015-03-24,2.0,0.3,0.0,1,0.0,hmpq
2015-03-25,0.0,0.3,291.0,2,0.0,hmpq
2015-03-26,0.0,0.3,0.0,3,0.0,hmpq
2015-03-27,0.0,0.1,1000.0,4,0.0,hmpq
2015-03-30,1.0,0.1,0.0,0,0.0,hmpq
2015-03-31,0.0,0.1,0.0,1,0.0,hmpq
2015-04-01,0.0,0.1,0.0,2,0.0,hmpq
2015-04-02,0.0,0.1,0.0,3,0.0,hmpq
2015-04-06,0.0,0.1,0.0,0,0.0,hmpq
2015-04-07,3.0,0.25,270.0,1,0.0,hmpq
2015-04-08,5.0,0.25,1250.0,2,0.0,hmpq
2015-04-09,9.0,0.25,0.0,3,0.0,hmpq
2015-04-10,5.0,0.25,0.0,4,0.0,hmpq
2015-04-13,5.0,0.25,0.0,0,0.0,hmpq
2015-04-14,1.0,0.25,0.0,1,0.0,hmpq
2015-04-15,1.0,0.3,402.0,2,0.0,hmpq
2015-04-16,0.0,0.2575,1648.0,3,0.0,hmpq
2015-04-17,0.0,0.2575,0.0,4,0.0,hmpq
2015-04-20,0.0,0.2,2606.0,0,0.0,hmpq
2015-04-21,0.0,0.27,130.95000000000002,1,0.0,hmpq
2015-04-22,1.0,0.25,2087.5,2,0.0,hmpq
2015-04-23,0.0,0.2789,290.056,3,0.0,hmpq
2015-04-24,1.0,0.2779,36.126999999999995,4,0.0,hmpq
2015-04-27,0.0,0.2779,0.0,0,0.0,hmpq
2015-04-28,0.0,0.2779,0.0,1,0.0,hmpq
2015-04-29,0.0,0.3,300.0,2,0.0,hmpq
2015-04-30,1.0,0.195,2020.2,3,0.0,hmpq
2015-05-01,0.0,0.195,0.0,4,0.0,hmpq
2015-05-04,0.0,0.2599,155.94,0,0.0,hmpq
2015-05-05,0.0,0.21745,8641.68045,1,0.0,hmpq
2015-05-06,0.0,0.1625,3379.35,2,0.0,hmpq
2015-05-07,0.0,0.1975,921.14,3,0.0,hmpq
2015-05-08,0.0,0.17550000000000002,565.461,4,0.0,hmpq
2015-05-11,0.0,0.20500000000000002,197.82500000000002,0,0.0,hmpq
2015-05-12,1.0,0.22,71.72,1,0.0,hmpq
2015-05-13,0.0,0.22,0.0,2,0.0,hmpq
2015-05-14,0.0,0.22,220.0,3,0.0,hmpq
2015-05-15,0.0,0.1975,1949.72,4,0.0,hmpq
2015-05-18,0.0,0.1975,0.0,0,0.0,hmpq
2015-05-19,0.0,0.17045,61.361999999999995,1,0.0,hmpq
2015-05-20,0.0,0.189,37.8,2,0.0,hmpq
2015-05-21,0.0,0.17,870.9100000000001,3,0.0,hmpq
2015-05-22,0.0,0.16,187.20000000000002,4,0.0,hmpq
2015-05-26,0.0,0.16,0.0,1,0.0,hmpq
2015-05-27,0.0,0.1899,130.0815,2,0.0,hmpq
2015-05-28,0.0,0.1899,102.546,3,0.0,hmpq
2015-05-29,0.0,0.16825,924.53375,4,0.0,hmpq
2015-06-01,0.0,0.2199,110.8296,0,0.0,hmpq
2015-06-02,0.0,0.19745000000000001,198.2398,1,0.0,hmpq
2015-06-03,0.0,0.18,145.79999999999998,2,0.0,hmpq
2015-06-04,0.0,0.18,45.36,3,0.0,hmpq
2015-06-05,0.0,0.14,794.5000000000001,4,0.0,hmpq
2015-06-08,0.0,0.145,10076.34,0,0.0,hmpq
2015-06-09,0.0,0.118725,6956.09775,1,0.0,hmpq
2015-06-10,4.0,0.13,2227.29,2,0.0,hmpq
2015-06-11,0.0,0.134075,1524.43275,3,0.0,hmpq
2015-06-12,0.0,0.1224,1066.3488,4,0.0,hmpq
2015-06-15,5.0,0.15000000000000002,1519.3500000000001,0,0.0,hmpq
2015-06-16,6.0,0.17225000000000001,17311.125,1,0.0,hmpq
2015-06-17,0.0,0.22499999999999998,2097.225,2,0.0,hmpq
2015-06-18,4.0,0.2525,1532.675,3,0.0,hmpq
2015-06-19,0.0,0.1982,839.377,4,0.0,hmpq
2015-06-22,0.0,0.1947,171.336,0,0.0,hmpq
2015-06-23,0.0,0.1947,0.0,1,0.0,hmpq
2015-06-24,0.0,0.153,3825.0,2,0.0,hmpq
2015-06-25,0.0,0.153,0.0,3,0.0,hmpq
2015-06-26,1.0,0.137475,874.3410000000001,4,0.0,hmpq
2015-06-29,0.0,0.13,130.0,0,0.0,hmpq
2015-06-30,0.0,0.13,0.0,1,0.0,hmpq
2015-07-01,0.0,0.1395,69.75,2,0.0,hmpq
2015-07-02,0.0,0.14942499999999997,285.2523249999999,3,0.0,hmpq
2015-07-06,0.0,0.1799,89.95,0,0.0,hmpq
2015-07-07,0.0,0.1799,89.95,1,0.0,hmpq
2015-07-08,0.0,0.1749,247.6584,2,0.0,hmpq
2015-07-09,0.0,0.1699,169.9,3,0.0,hmpq
2015-07-10,1.0,0.1599,236.81189999999998,4,0.0,hmpq
2015-07-13,3.0,0.11995,143.94,0,0.0,hmpq
2015-07-14,0.0,0.11995,0.0,1,0.0,hmpq
2015-07-15,0.0,0.11655,1383.56505,2,0.0,hmpq
2015-07-16,1.0,0.16,596.16,3,0.0,hmpq
2015-07-17,0.0,0.11502499999999999,4784.004774999999,4,0.0,hmpq
2015-07-20,2.0,0.11000000000000001,142.67000000000002,0,0.0,hmpq
2015-07-21,1.0,0.11000000000000001,81.62,1,0.0,hmpq
2015-07-22,0.0,0.09825,1442.8995,2,0.0,hmpq
2015-07-23,0.0,0.12975,1725.675,3,0.0,hmpq
2015-07-24,0.0,0.09505000000000001,2094.5218,4,0.0,hmpq
2015-07-27,0.0,0.1489,181.2113,0,0.0,hmpq
2015-07-28,0.0,0.1489,29.78,1,0.0,hmpq
2015-07-29,0.0,0.1489,0.0,2,0.0,hmpq
2015-07-30,0.0,0.1489,0.0,3,0.0,hmpq
2015-07-31,0.0,0.1199,577.6782000000001,4,0.0,hmpq
2015-08-03,2.0,0.1199,0.0,0,0.0,hmpq
2015-08-04,0.0,0.08,748.4,1,0.0,hmpq
2015-08-05,0.0,0.09625,2470.44875,2,0.0,hmpq
2015-08-06,0.0,0.10500000000000001,829.5000000000001,3,0.0,hmpq
2015-08-07,0.0,0.11,561.0,4,0.0,hmpq
2015-08-10,0.0,0.09015000000000001,866.7922500000001,0,0.0,hmpq
2015-08-11,0.0,0.09,180.0,1,0.0,hmpq
2015-08-12,0.0,0.1,1488.6000000000001,2,0.0,hmpq
2015-08-13,0.0,0.09997500000000001,3439.1400000000003,3,0.0,hmpq
2015-08-14,0.0,0.09985,1206.1879999999999,4,0.0,hmpq
2015-08-17,0.0,0.09985,0.0,0,0.0,hmpq
2015-08-18,0.0,0.07955,723.1094999999999,1,0.0,hmpq
2015-08-19,0.0,0.07745,842.6560000000001,2,0.0,hmpq
2015-08-20,0.0,0.07745,795.2566,3,0.0,hmpq
2015-08-21,0.0,0.07250000000000001,2090.32,4,0.0,hmpq
2015-08-24,1.0,0.09,9.0,0,0.0,hmpq
2015-08-25,0.0,0.09,0.0,1,0.0,hmpq
2015-08-26,0.0,0.09,0.0,2,0.0,hmpq
2015-08-27,0.0,0.09,0.0,3,0.0,hmpq
2015-08-28,0.0,0.09,0.0,4,0.0,hmpq
2015-08-31,2.0,0.09,162.0,0,0.0,hmpq
2015-09-01,1.0,0.066675,3188.3318249999998,1,0.0,hmpq
2015-09-02,0.0,0.09,10.98,2,0.0,hmpq
2015-09-03,3.0,0.09,135.0,3,0.0,hmpq
2015-09-04,0.0,0.09,0.0,4,0.0,hmpq
2015-09-08,7.0,0.0899,8.99,1,0.0,hmpq
2015-09-09,5.0,0.085,552.5,2,0.0,hmpq
2015-09-10,0.0,0.06625,5362.9375,3,0.0,hmpq
2015-09-11,0.0,0.060250000000000005,6107.843750000001,4,0.0,hmpq
2015-09-14,2.0,0.0425,939.2500000000001,0,0.0,hmpq
2015-09-15,1.0,0.058499999999999996,7283.25,1,0.0,hmpq
2015-09-16,3.0,0.054000000000000006,118.80000000000001,2,0.0,hmpq
2015-09-17,1.0,0.047,1413.666,3,0.0,hmpq
2015-09-18,3.0,0.03475,1742.7125,4,0.0,hmpq
