date,post_number,ohlc,dollar_volume,weekday,target,symbol
2013-04-25,1.0,1.05,68355.0,3,0.0,ihsi
2013-04-26,0.0,1.11,620.49,4,0.0,ihsi
2013-04-29,1.0,1.11,0.0,0,0.0,ihsi
2013-04-30,1.0,1.1524999999999999,53994.62499999999,1,0.0,ihsi
2013-05-01,0.0,1.1574999999999998,24018.124999999996,2,0.0,ihsi
2013-05-02,0.0,1.05,2161.9500000000003,3,0.0,ihsi
2013-05-03,0.0,1.05,0.0,4,0.0,ihsi
2013-05-06,0.0,1.065,2236.5,0,0.0,ihsi
2013-05-07,0.0,1.0775000000000001,22627.500000000004,1,0.0,ihsi
2013-05-08,0.0,1.125,7312.5,2,0.0,ihsi
2013-05-09,0.0,1.0925,18026.25,3,0.0,ihsi
2013-05-10,0.0,1.14,10829.999999999998,4,0.0,ihsi
2013-05-13,1.0,1.1449999999999998,10304.999999999998,0,0.0,ihsi
2013-05-14,0.0,1.15,4140.0,1,0.0,ihsi
2013-05-15,0.0,1.1175000000000002,5028.750000000001,2,0.0,ihsi
2013-05-16,0.0,1.125,27562.5,3,0.0,ihsi
2013-05-17,0.0,1.17,9594.0,4,0.0,ihsi
2013-05-20,0.0,1.15,3449.9999999999995,0,0.0,ihsi
2013-05-21,0.0,1.15,0.0,1,0.0,ihsi
2013-05-22,0.0,1.15,0.0,2,0.0,ihsi
2013-05-23,0.0,1.16,4640.0,3,0.0,ihsi
2013-05-24,0.0,1.16,0.0,4,0.0,ihsi
2013-05-28,0.0,1.16,1739.9999999999998,1,0.0,ihsi
2013-05-29,0.0,1.16,0.0,2,0.0,ihsi
2013-05-30,2.0,1.16,0.0,3,0.0,ihsi
2013-05-31,0.0,1.1625,14531.250000000002,4,0.0,ihsi
2013-06-03,0.0,1.17,2340.0,0,0.0,ihsi
2013-06-04,0.0,1.17,0.0,1,0.0,ihsi
2013-06-05,0.0,1.17,0.0,2,0.0,ihsi
2013-06-06,0.0,1.17,0.0,3,0.0,ihsi
2013-06-07,0.0,1.1549999999999998,2223.3749999999995,4,0.0,ihsi
2013-06-10,0.0,1.17,585.0,0,0.0,ihsi
2013-06-11,0.0,1.17,11700.0,1,0.0,ihsi
2013-06-12,0.0,1.1099999999999999,18631.35,2,0.0,ihsi
2013-06-13,0.0,1.1099999999999999,0.0,3,0.0,ihsi
2013-06-14,0.0,0.99,1980.0,4,0.0,ihsi
2013-06-17,0.0,0.99,0.0,0,0.0,ihsi
2013-06-18,0.0,0.99,0.0,1,0.0,ihsi
2013-06-19,0.0,0.99,0.0,2,0.0,ihsi
2013-06-20,0.0,1.08,21600.0,3,0.0,ihsi
2013-06-21,0.0,1.08,0.0,4,0.0,ihsi
2013-06-24,0.0,1.08,0.0,0,0.0,ihsi
2013-06-25,0.0,1.08,0.0,1,0.0,ihsi
2013-06-26,0.0,1.08,0.0,2,0.0,ihsi
2013-06-27,0.0,1.08,0.0,3,0.0,ihsi
2013-06-28,0.0,1.08,0.0,4,0.0,ihsi
2013-07-01,0.0,1.13,14011.999999999998,0,0.0,ihsi
2013-07-02,0.0,1.13,0.0,1,0.0,ihsi
2013-07-03,0.0,1.13,0.0,2,0.0,ihsi
2013-07-05,0.0,1.13,0.0,4,0.0,ihsi
2013-07-08,0.0,1.12,2240.0,0,0.0,ihsi
2013-07-09,0.0,1.12,0.0,1,0.0,ihsi
2013-07-10,0.0,1.0575,11103.750000000002,2,0.0,ihsi
2013-07-11,0.0,1.12,1232.0000000000002,3,0.0,ihsi
2013-07-12,0.0,1.12,0.0,4,0.0,ihsi
2013-07-15,0.0,0.7,1400.0,0,0.0,ihsi
2013-07-16,0.0,0.7,0.0,1,0.0,ihsi
2013-07-17,1.0,0.9400000000000001,56687.64000000001,2,0.0,ihsi
2013-07-18,0.0,0.9400000000000001,0.0,3,0.0,ihsi
2013-07-19,0.0,0.9400000000000001,0.0,4,0.0,ihsi
2013-07-22,0.0,0.9400000000000001,0.0,0,0.0,ihsi
2013-07-23,0.0,0.9400000000000001,0.0,1,0.0,ihsi
2013-07-24,0.0,0.9400000000000001,0.0,2,0.0,ihsi
2013-07-25,0.0,0.9400000000000001,0.0,3,0.0,ihsi
2013-07-26,0.0,0.9400000000000001,0.0,4,0.0,ihsi
2013-07-29,0.0,0.9400000000000001,0.0,0,0.0,ihsi
2013-07-30,0.0,0.9400000000000001,0.0,1,0.0,ihsi
2013-07-31,0.0,0.8250000000000001,2722.5,2,0.0,ihsi
2013-08-01,0.0,0.8250000000000001,0.0,3,0.0,ihsi
2013-08-02,0.0,0.8250000000000001,0.0,4,0.0,ihsi
2013-08-05,0.0,0.8250000000000001,0.0,0,0.0,ihsi
2013-08-06,0.0,0.76,342.0,1,0.0,ihsi
2013-08-07,0.0,0.9,1287.0,2,0.0,ihsi
2013-08-08,0.0,0.9,900.0,3,0.0,ihsi
2013-08-09,0.0,0.899,9556.37,4,0.0,ihsi
2013-08-12,0.0,0.9,900.0,0,0.0,ihsi
2013-08-13,0.0,0.899,12586.0,1,0.0,ihsi
2013-08-14,0.0,0.76,1520.0,2,0.0,ihsi
2013-08-15,0.0,0.83,2614.5,3,0.0,ihsi
2013-08-16,0.0,0.83,0.0,4,0.0,ihsi
2013-08-19,0.0,0.8,3600.0,0,0.0,ihsi
2013-08-20,0.0,0.8875,3993.75,1,0.0,ihsi
2013-08-21,0.0,0.84375,23793.75,2,0.0,ihsi
