date,post_number,ohlc,dollar_volume,weekday,target
2007-09-04,12.0,63.5,2032.0,1,0.0
2007-09-05,17.0,42.5,1445.0,2,0.0
2007-09-06,31.0,34.0,68.0,3,0.0
2007-09-07,9.0,30.0,210.0,4,0.0
2007-09-10,4.0,30.0,0.0,0,0.0
2007-09-11,9.0,30.0,180.0,1,0.0
2007-09-12,14.0,32.0,480.0,2,0.0
2007-09-13,11.0,45.0,1215.0,3,0.0
2007-09-14,15.0,40.0,80.0,4,0.0
2007-09-17,5.0,40.0,120.0,0,0.0
2007-09-18,2.0,40.0,360.0,1,0.0
2007-09-19,4.0,0.0,0.0,2,0.0
2007-09-20,0.0,0.0,0.0,3,0.0
2007-09-21,0.0,40.0,720.0,4,0.0
2007-09-24,0.0,0.0,0.0,0,0.0
2007-09-25,2.0,0.0,0.0,1,0.0
2007-09-26,2.0,0.0,0.0,2,0.0
2007-09-27,1.0,0.0,0.0,3,0.0
2007-09-28,4.0,36.0,252.0,4,0.0
2007-10-01,0.0,0.0,0.0,0,0.0
2007-10-02,0.0,0.0,0.0,1,0.0
2007-10-03,3.0,36.0,252.0,2,0.0
2007-10-04,1.0,38.0,722.0,3,0.0
2007-10-05,0.0,0.0,0.0,4,0.0
2007-10-08,0.0,0.0,0.0,0,0.0
2007-10-09,0.0,37.0,444.0,1,0.0
2007-10-10,0.0,0.0,0.0,2,0.0
2007-10-11,0.0,36.0,72.0,3,0.0
2007-10-12,0.0,0.0,0.0,4,0.0
2007-10-15,3.0,0.0,0.0,0,0.0
2007-10-16,9.0,38.0,304.0,1,0.0
2007-10-17,1.0,36.0,180.0,2,0.0
2007-10-18,0.0,36.0,720.0,3,0.0
2007-10-19,0.0,0.0,0.0,4,0.0
2007-10-22,0.0,0.0,0.0,0,0.0
2007-10-23,0.0,0.0,0.0,1,0.0
2007-10-24,0.0,0.0,0.0,2,0.0
2007-10-25,0.0,33.0,396.0,3,0.0
2007-10-26,0.0,26.0,0.0,4,0.0
2007-10-29,1.0,0.0,0.0,0,0.0
2007-10-30,0.0,0.0,0.0,1,0.0
2007-10-31,2.0,26.0,260.0,2,0.0
2007-11-01,0.0,0.0,0.0,3,0.0
2007-11-02,0.0,0.0,0.0,4,0.0
2007-11-05,0.0,26.0,0.0,0,0.0
2007-11-06,0.0,26.0,52.0,1,0.0
2007-11-07,0.0,0.0,0.0,2,0.0
2007-11-08,0.0,0.0,0.0,3,0.0
2007-11-09,0.0,26.0,234.0,4,0.0
2007-11-12,0.0,30.0,0.0,0,0.0
2007-11-13,2.0,0.0,0.0,1,0.0
2007-11-14,1.0,0.0,0.0,2,0.0
2007-11-15,1.0,26.0,0.0,3,0.0
2007-11-16,0.0,0.0,0.0,4,0.0
2007-11-19,0.0,0.0,0.0,0,0.0
2007-11-20,1.0,23.0,391.0,1,0.0
2007-11-21,0.0,21.5,365.5,2,0.0
2007-11-22,0.0,0.0,0.0,3,0.0
2007-11-23,0.0,0.0,0.0,4,0.0
2007-11-26,0.0,0.0,0.0,0,0.0
2007-11-27,0.0,20.0,100.0,1,0.0
2007-11-28,0.0,0.0,0.0,2,0.0
2007-11-29,0.0,0.0,0.0,3,0.0
2007-11-30,0.0,0.0,0.0,4,0.0
2007-12-03,0.0,0.0,0.0,0,0.0
2007-12-04,0.0,0.0,0.0,1,0.0
2007-12-05,0.0,0.0,0.0,2,0.0
2007-12-06,0.0,0.0,0.0,3,0.0
2007-12-07,0.0,0.0,0.0,4,0.0
2007-12-10,0.0,0.0,0.0,0,0.0
2007-12-11,0.0,0.0,0.0,1,0.0
2007-12-12,0.0,0.0,0.0,2,0.0
2007-12-13,0.0,0.0,0.0,3,0.0
2007-12-14,0.0,0.0,0.0,4,0.0
2007-12-17,0.0,0.0,0.0,0,0.0
2007-12-18,0.0,0.0,0.0,1,0.0
2007-12-19,0.0,0.0,0.0,2,0.0
2007-12-20,1.0,16.0,16.0,3,0.0
2007-12-21,0.0,16.0,32.0,4,0.0
2007-12-24,0.0,0.0,0.0,0,0.0
2007-12-25,0.0,0.0,0.0,1,0.0
