date,post_number,ohlc,dollar_volume,weekday,target,symbol
2007-10-10,0.0,36.32,8280.960000000001,2,0.0,nwbo
2007-10-11,0.0,37.0,197802.0,3,0.0,nwbo
2007-10-12,2.0,37.779999999999994,293361.69999999995,4,0.0,nwbo
2007-10-15,1.0,38.8,94516.79999999999,0,0.0,nwbo
2007-10-16,0.0,38.52,14560.560000000001,1,0.0,nwbo
2007-10-17,0.0,37.4,121550.0,2,0.0,nwbo
2007-10-18,0.0,37.4,79699.4,3,0.0,nwbo
2007-10-19,1.0,37.8,119750.4,4,0.0,nwbo
2007-10-22,0.0,36.760000000000005,53228.48000000001,0,0.0,nwbo
2007-10-23,3.0,37.8,87658.2,1,0.0,nwbo
2007-10-24,0.0,37.559999999999995,42067.2,2,0.0,nwbo
2007-10-25,1.0,37.68,25170.24,3,0.0,nwbo
2007-10-26,0.0,37.64,21944.12,4,0.0,nwbo
2007-10-29,1.0,39.120000000000005,127765.92000000001,0,0.0,nwbo
2007-10-30,2.0,42.199999999999996,110352.99999999999,1,0.0,nwbo
2007-10-31,0.0,43.96,54202.68,2,0.0,nwbo
2007-11-01,0.0,43.07599999999999,36399.219999999994,3,0.0,nwbo
2007-11-02,0.0,43.07599999999999,0.0,4,0.0,nwbo
2007-11-05,2.0,45.12,136036.8,0,0.0,nwbo
2007-11-06,0.0,44.8,21907.199999999997,1,0.0,nwbo
2007-11-07,0.0,42.6,31950.0,2,0.0,nwbo
2007-11-08,0.0,39.64,16648.8,3,0.0,nwbo
2007-11-09,1.0,40.64,47345.6,4,0.0,nwbo
2007-11-12,0.0,40.0,191480.0,0,0.0,nwbo
2007-11-13,0.0,39.28,42343.840000000004,1,0.0,nwbo
2007-11-14,2.0,39.760000000000005,86557.52,2,0.0,nwbo
2007-11-15,1.0,38.279999999999994,38624.52,3,0.0,nwbo
2007-11-16,0.0,36.16,84686.71999999999,4,0.0,nwbo
2007-11-19,0.0,36.0,17784.0,0,0.0,nwbo
2007-11-20,0.0,35.08,10944.96,1,0.0,nwbo
2007-11-21,0.0,35.56,15041.880000000001,2,0.0,nwbo
2007-11-22,0.0,35.56,0.0,3,0.0,nwbo
2007-11-23,0.0,34.92,9987.12,4,0.0,nwbo
2007-11-26,0.0,35.44,108907.12,0,0.0,nwbo
2007-11-27,0.0,34.96,37337.28,1,0.0,nwbo
2007-11-28,0.0,34.6,14255.2,2,0.0,nwbo
2007-11-29,1.0,33.44,30564.159999999996,3,0.0,nwbo
2007-11-30,1.0,33.879999999999995,38995.88,4,0.0,nwbo
2007-12-03,0.0,37.16,91190.63999999998,0,0.0,nwbo
2007-12-04,0.0,38.0,8474.0,1,0.0,nwbo
2007-12-05,0.0,38.4,20390.399999999998,2,0.0,nwbo
2007-12-06,1.0,38.4,31987.199999999997,3,0.0,nwbo
2007-12-07,0.0,38.76,20659.079999999998,4,0.0,nwbo
2007-12-10,0.0,40.519999999999996,66412.28,0,0.0,nwbo
2007-12-11,0.0,38.68,82504.44,1,0.0,nwbo
2007-12-12,0.0,40.2,47355.600000000006,2,0.0,nwbo
2007-12-13,2.0,39.0,89622.0,3,0.0,nwbo
2007-12-14,0.0,39.2,5527.200000000001,4,0.0,nwbo
2007-12-17,0.0,38.4,3955.2,0,0.0,nwbo
2007-12-18,0.0,38.6,71564.40000000001,1,0.0,nwbo
2007-12-19,2.0,37.760000000000005,58603.52000000001,2,0.0,nwbo
2007-12-20,3.0,39.28,107666.48,3,0.0,nwbo
2007-12-21,2.0,40.36,48432.0,4,0.0,nwbo
2007-12-24,1.0,40.0,25600.0,0,0.0,nwbo
2007-12-25,0.0,40.0,0.0,1,0.0,nwbo
2007-12-26,0.0,39.44,41017.6,2,0.0,nwbo
2007-12-27,1.0,40.08,71582.87999999999,3,0.0,nwbo
2007-12-28,2.0,40.28,24812.48,4,0.0,nwbo
2007-12-31,1.0,40.0,121640.0,0,0.0,nwbo
2008-01-01,0.0,40.0,0.0,1,0.0,nwbo
2008-01-02,0.0,41.120000000000005,13240.640000000001,2,0.0,nwbo
2008-01-03,1.0,40.68,9641.16,3,0.0,nwbo
2008-01-04,0.0,41.04,8659.44,4,0.0,nwbo
2008-01-07,0.0,39.48,100516.07999999999,0,0.0,nwbo
2008-01-08,0.0,39.8,39640.799999999996,1,0.0,nwbo
2008-01-09,1.0,39.480000000000004,60957.12,2,0.0,nwbo
2008-01-10,0.0,38.96000000000001,18583.920000000006,3,0.0,nwbo
2008-01-11,1.0,39.88,42113.280000000006,4,0.0,nwbo
2008-01-14,0.0,38.800000000000004,20447.600000000002,0,0.0,nwbo
2008-01-15,0.0,37.8,34473.6,1,0.0,nwbo
2008-01-16,0.0,36.4,21767.2,2,0.0,nwbo
2008-01-17,0.0,35.2,40867.200000000004,3,0.0,nwbo
2008-01-18,0.0,34.2,5335.200000000001,4,0.0,nwbo
2008-01-21,0.0,34.2,0.0,0,0.0,nwbo
2008-01-22,0.0,34.24,54201.920000000006,1,0.0,nwbo
2008-01-23,0.0,34.04,19334.72,2,0.0,nwbo
2008-01-24,0.0,32.64,3851.52,3,0.0,nwbo
2008-01-25,0.0,32.8,19942.399999999998,4,0.0,nwbo
2008-01-28,0.0,32.12,27494.719999999998,0,0.0,nwbo
2008-01-29,0.0,33.760000000000005,37338.560000000005,1,0.0,nwbo
2008-01-30,1.0,34.199999999999996,4856.4,2,0.0,nwbo
2008-01-31,1.0,34.76,21585.96,3,0.0,nwbo
2008-02-01,1.0,34.96,20976.0,4,0.0,nwbo
2008-02-04,0.0,33.6,940.8000000000001,0,0.0,nwbo
2008-02-05,0.0,32.4,19764.0,1,0.0,nwbo
2008-02-06,1.0,32.4,0.0,2,0.0,nwbo
2008-02-07,0.0,32.0,7968.0,3,0.0,nwbo
