date,post_number,ohlc,dollar_volume,weekday,target,symbol
2014-01-06,5.0,0.0875,420.0,0,0.0,ocsy
2014-01-07,9.0,0.075,1328.1,1,0.0,ocsy
2014-01-08,8.0,0.075,0.0,2,0.0,ocsy
2014-01-09,4.0,0.075,0.0,3,0.0,ocsy
2014-01-10,7.0,0.075,0.0,4,0.0,ocsy
2014-01-13,4.0,0.075,0.0,0,0.0,ocsy
2014-01-14,34.0,0.075,0.0,1,0.0,ocsy
2014-01-15,84.0,0.075,0.0,2,0.0,ocsy
2014-01-16,59.0,0.075,0.0,3,0.0,ocsy
2014-01-17,37.0,0.075,0.0,4,0.0,ocsy
2014-01-21,26.0,0.075,0.0,1,0.0,ocsy
2014-01-22,33.0,0.075,0.0,2,0.0,ocsy
2014-01-23,18.0,0.075,0.0,3,0.0,ocsy
2014-01-24,46.0,0.075,0.0,4,0.0,ocsy
2014-01-27,37.0,0.075,0.0,0,0.0,ocsy
2014-01-28,95.0,0.075,0.0,1,0.0,ocsy
2014-01-29,36.0,0.075,0.0,2,0.0,ocsy
2014-01-30,21.0,0.075,0.0,3,0.0,ocsy
2014-01-31,11.0,0.075,0.0,4,0.0,ocsy
2014-02-03,9.0,0.075,0.0,0,0.0,ocsy
2014-02-04,10.0,0.075,0.0,1,0.0,ocsy
2014-02-05,1.0,0.075,0.0,2,0.0,ocsy
2014-02-06,12.0,0.075,0.0,3,0.0,ocsy
2014-02-07,9.0,0.075,0.0,4,0.0,ocsy
2014-02-10,30.0,0.075,0.0,0,0.0,ocsy
2014-02-11,4.0,0.075,0.0,1,0.0,ocsy
2014-02-12,17.0,0.075,0.0,2,0.0,ocsy
2014-02-13,19.0,0.075,0.0,3,0.0,ocsy
2014-02-14,34.0,0.08900000000000001,1646.5000000000002,4,0.0,ocsy
2014-02-18,30.0,0.06520000000000001,1751.5328000000002,1,0.0,ocsy
2014-02-19,14.0,0.0649,1046.188,2,0.0,ocsy
2014-02-20,10.0,0.063,1477.539,3,0.0,ocsy
2014-02-21,4.0,0.06,900.0,4,0.0,ocsy
2014-02-24,4.0,0.0615,1045.623,0,0.0,ocsy
2014-02-25,7.0,0.070725,2788.96965,1,0.0,ocsy
2014-02-26,8.0,0.06875,1289.75,2,0.0,ocsy
2014-02-27,2.0,0.054625,1228.844,3,0.0,ocsy
2014-02-28,8.0,0.059075,2804.4084000000003,4,0.0,ocsy
2014-03-03,5.0,0.05525000000000001,1862.4775000000002,0,0.0,ocsy
2014-03-04,1.0,0.064875,7409.244000000001,1,0.0,ocsy
2014-03-05,4.0,0.06065000000000001,2321.6820000000002,2,0.0,ocsy
2014-03-06,3.0,0.065375,1307.63075,3,0.0,ocsy
2014-03-07,3.0,0.06135,428.46840000000003,4,0.0,ocsy
2014-03-10,3.0,0.0679,11920.048700000001,0,0.0,ocsy
2014-03-11,3.0,0.06747500000000001,4044.7888750000006,1,0.0,ocsy
2014-03-12,3.0,0.068025,5771.241,2,0.0,ocsy
2014-03-13,6.0,0.05965,4345.1446000000005,3,0.0,ocsy
2014-03-14,0.0,0.062475,6150.663750000001,4,0.0,ocsy
2014-03-17,1.0,0.0595,506.1665,0,0.0,ocsy
2014-03-18,8.0,0.070725,11511.837524999999,1,0.0,ocsy
2014-03-19,2.0,0.077025,1964.1374999999998,2,0.0,ocsy
2014-03-20,1.0,0.07155,64.395,3,0.0,ocsy
2014-03-21,49.0,0.11399999999999999,35967.227999999996,4,0.0,ocsy
2014-03-24,11.0,0.145,11930.164999999999,0,0.0,ocsy
2014-03-25,61.0,0.193475,43325.050225,1,0.0,ocsy
2014-03-26,50.0,0.24625,35399.17625,2,0.0,ocsy
2014-03-27,24.0,0.265,17550.685,3,0.0,ocsy
2014-03-28,22.0,0.253,45364.418,4,0.0,ocsy
2014-03-31,8.0,0.27,2818.8,0,0.0,ocsy
2014-04-01,3.0,0.261,6003.261,1,0.0,ocsy
2014-04-02,26.0,0.263,2775.176,2,0.0,ocsy
2014-04-03,8.0,0.2635,3819.4325000000003,3,0.0,ocsy
2014-04-04,16.0,0.2685,5229.0375,4,0.0,ocsy
2014-04-07,11.0,0.26275000000000004,2249.1400000000003,0,0.0,ocsy
2014-04-08,11.0,0.2825,1130.0,1,0.0,ocsy
2014-04-09,12.0,0.2905,3660.2999999999997,2,0.0,ocsy
2014-04-10,2.0,0.273775,709.8985749999999,3,0.0,ocsy
2014-04-11,1.0,0.294,294.0,4,0.0,ocsy
2014-04-14,3.0,0.2501,200.07999999999998,0,0.0,ocsy
2014-04-15,4.0,0.239075,3889.511175,1,0.0,ocsy
2014-04-16,6.0,0.22255000000000003,2483.6580000000004,2,0.0,ocsy
2014-04-17,5.0,0.221,22933.391,3,0.0,ocsy
2014-04-21,17.0,0.2235,340.61400000000003,0,0.0,ocsy
2014-04-22,3.0,0.2195,2743.75,1,0.0,ocsy
2014-04-23,6.0,0.21105,2110.5,2,0.0,ocsy
2014-04-24,2.0,0.2,140.0,3,0.0,ocsy
2014-04-25,16.0,0.17225000000000001,18563.382500000003,4,0.0,ocsy
