date,post_number,ohlc,dollar_volume,weekday,target,symbol
2011-06-29,1.0,1205.0,1205.0,2,0.0,omvs
2011-06-30,0.0,1200.0,2400.0,3,0.0,omvs
2011-07-01,0.0,1212.5,4850.0,4,0.0,omvs
2011-07-04,0.0,1212.5,0.0,0,0.0,omvs
2011-07-05,0.0,1175.0,0.0,1,0.0,omvs
2011-07-06,0.0,1312.5,2625.0,2,0.0,omvs
2011-07-07,0.0,1375.0,1375.0,3,0.0,omvs
2011-07-08,0.0,1312.5,1312.5,4,0.0,omvs
2011-07-11,0.0,1268.75,3806.25,0,0.0,omvs
2011-07-12,0.0,1337.5,1337.5,1,0.0,omvs
2011-07-13,0.0,1062.5,2125.0,2,0.0,omvs
2011-07-14,0.0,995.0,0.0,3,0.0,omvs
2011-07-15,0.0,1000.0,2000.0,4,0.0,omvs
2011-07-18,0.0,1148.75,9190.0,0,0.0,omvs
2011-07-19,0.0,1011.25,15168.75,1,0.0,omvs
2011-07-20,0.0,925.0,925.0,2,0.0,omvs
2011-07-21,0.0,925.0,925.0,3,0.0,omvs
2011-07-22,0.0,900.0,1800.0,4,0.0,omvs
2011-07-25,0.0,875.0,0.0,0,0.0,omvs
2011-07-26,0.0,850.0,850.0,1,0.0,omvs
2011-07-27,0.0,862.5,2587.5,2,0.0,omvs
2011-07-28,0.0,857.5,857.5,3,0.0,omvs
2011-07-29,0.0,893.75,16087.5,4,0.0,omvs
2011-08-01,0.0,893.75,0.0,0,0.0,omvs
2011-08-02,0.0,900.0,3600.0,1,0.0,omvs
2011-08-03,0.0,900.0,0.0,2,0.0,omvs
2011-08-04,0.0,900.0,0.0,3,0.0,omvs
2011-08-05,0.0,900.0,0.0,4,0.0,omvs
2011-08-08,0.0,900.0,0.0,0,0.0,omvs
2011-08-09,0.0,1000.0,0.0,1,0.0,omvs
2011-08-10,0.0,1000.0,0.0,2,0.0,omvs
2011-08-11,0.0,1000.0,0.0,3,0.0,omvs
2011-08-12,0.0,1000.0,0.0,4,0.0,omvs
2011-08-15,0.0,1000.0,0.0,0,0.0,omvs
2011-08-16,0.0,1000.0,0.0,1,0.0,omvs
2011-08-17,0.0,935.0,1870.0,2,0.0,omvs
2011-08-18,0.0,875.0,0.0,3,0.0,omvs
2011-08-19,0.0,875.0,0.0,4,0.0,omvs
2011-08-22,0.0,887.5,0.0,0,0.0,omvs
2011-08-23,0.0,850.0,3400.0,1,0.0,omvs
2011-08-24,0.0,875.0,6125.0,2,0.0,omvs
2011-08-25,0.0,875.0,4375.0,3,0.0,omvs
2011-08-26,0.0,825.0,825.0,4,0.0,omvs
2011-08-29,0.0,825.0,0.0,0,0.0,omvs
2011-08-30,0.0,837.5,2512.5,1,0.0,omvs
2011-08-31,0.0,862.5,6037.5,2,0.0,omvs
2011-09-01,0.0,908.75,10905.0,3,0.0,omvs
2011-09-02,0.0,881.25,13218.75,4,0.0,omvs
2011-09-05,0.0,881.25,0.0,0,0.0,omvs
2011-09-06,0.0,891.25,31193.75,1,0.0,omvs
2011-09-07,0.0,888.75,15997.5,2,0.0,omvs
2011-09-08,0.0,912.5,33762.5,3,0.0,omvs
2011-09-09,0.0,912.5,18250.0,4,0.0,omvs
2011-09-12,0.0,932.5,56882.5,0,0.0,omvs
2011-09-13,0.0,916.25,26571.25,1,0.0,omvs
2011-09-14,0.0,911.25,9112.5,2,0.0,omvs
2011-09-15,0.0,908.75,23627.5,3,0.0,omvs
2011-09-16,0.0,907.5,17242.5,4,0.0,omvs
2011-09-19,0.0,875.0,20125.0,0,0.0,omvs
2011-09-20,0.0,875.0,40250.0,1,0.0,omvs
2011-09-21,0.0,842.5,12637.5,2,0.0,omvs
