date,post_number,ohlc,dollar_volume,weekday,target,symbol
2010-03-05,1.0,1.3,0.0,4,0.0,rmrk
2010-03-08,0.0,1.3,0.0,0,0.0,rmrk
2010-03-09,0.0,1.3,0.0,1,0.0,rmrk
2010-03-10,0.0,1.3,0.0,2,0.0,rmrk
2010-03-11,0.0,1.3,0.0,3,0.0,rmrk
2010-03-12,0.0,1.3,0.0,4,0.0,rmrk
2010-03-15,13.0,3.2,400.0,0,0.0,rmrk
2010-03-16,61.0,3.1399999999999997,9027.499999999998,1,0.0,rmrk
2010-03-17,36.0,4.0,1000.0,2,0.0,rmrk
2010-03-18,12.0,4.0,0.0,3,0.0,rmrk
2010-03-19,3.0,4.0,0.0,4,0.0,rmrk
2010-03-22,15.0,7.96,995.0,0,0.0,rmrk
2010-03-23,6.0,7.96,0.0,1,0.0,rmrk
2010-03-24,0.0,7.96,0.0,2,0.0,rmrk
2010-03-25,0.0,7.96,0.0,3,0.0,rmrk
2010-03-26,0.0,7.96,0.0,4,0.0,rmrk
2010-03-29,21.0,5.74,2152.5,0,0.0,rmrk
2010-03-30,0.0,5.74,0.0,1,0.0,rmrk
2010-03-31,0.0,5.74,0.0,2,0.0,rmrk
2010-04-01,6.0,5.74,0.0,3,0.0,rmrk
2010-04-02,0.0,5.74,0.0,4,0.0,rmrk
2010-04-05,0.0,5.74,0.0,0,0.0,rmrk
2010-04-06,0.0,5.74,0.0,1,0.0,rmrk
2010-04-07,24.0,5.74,0.0,2,0.0,rmrk
2010-04-08,37.0,8.32,5200.0,3,0.0,rmrk
2010-04-09,35.0,8.32,0.0,4,0.0,rmrk
2010-04-12,8.0,8.32,0.0,0,0.0,rmrk
2010-04-13,11.0,8.32,0.0,1,0.0,rmrk
2010-04-14,10.0,8.32,0.0,2,0.0,rmrk
2010-04-15,2.0,8.32,0.0,3,0.0,rmrk
2010-04-16,9.0,8.32,0.0,4,0.0,rmrk
2010-04-19,1.0,8.32,0.0,0,0.0,rmrk
2010-04-20,5.0,8.32,0.0,1,0.0,rmrk
2010-04-21,6.0,8.32,0.0,2,0.0,rmrk
2010-04-22,1.0,8.32,0.0,3,0.0,rmrk
2010-04-23,0.0,8.32,0.0,4,0.0,rmrk
2010-04-26,4.0,8.32,0.0,0,0.0,rmrk
2010-04-27,0.0,8.32,0.0,1,0.0,rmrk
2010-04-28,11.0,8.32,0.0,2,0.0,rmrk
2010-04-29,10.0,8.32,0.0,3,0.0,rmrk
2010-04-30,8.0,8.32,0.0,4,0.0,rmrk
2010-05-03,1.0,8.32,0.0,0,0.0,rmrk
2010-05-04,12.0,6.52,4564.0,1,0.0,rmrk
2010-05-05,7.0,8.0,96.0,2,0.0,rmrk
2010-05-06,3.0,8.0,0.0,3,0.0,rmrk
2010-05-07,17.0,5.6,907.1999999999999,4,0.0,rmrk
2010-05-10,2.0,5.6,0.0,0,0.0,rmrk
2010-05-11,1.0,5.6,0.0,1,0.0,rmrk
2010-05-12,2.0,5.6,0.0,2,0.0,rmrk
2010-05-13,10.0,5.6,0.0,3,0.0,rmrk
2010-05-14,4.0,5.6,1120.0,4,0.0,rmrk
2010-05-17,8.0,5.6,0.0,0,0.0,rmrk
2010-05-18,0.0,5.6,0.0,1,0.0,rmrk
2010-05-19,0.0,5.6,0.0,2,0.0,rmrk
2010-05-20,6.0,5.6,0.0,3,0.0,rmrk
2010-05-21,1.0,5.6,0.0,4,0.0,rmrk
2010-05-24,5.0,5.4,945.0000000000001,0,0.0,rmrk
2010-05-25,0.0,5.4,0.0,1,0.0,rmrk
2010-05-26,9.0,5.4,0.0,2,0.0,rmrk
2010-05-27,0.0,5.4,0.0,3,0.0,rmrk
2010-05-28,0.0,7.6,425.59999999999997,4,0.0,rmrk
2010-05-31,0.0,7.6,0.0,0,0.0,rmrk
2010-06-01,25.0,7.8,1606.8,1,0.0,rmrk
