date,post_number,ohlc,dollar_volume,weekday,target,symbol
2015-01-02,21.0,0.04,1265.6000000000001,4,0.0,uoip
2015-01-05,14.0,0.04,0.0,0,0.0,uoip
2015-01-06,9.0,0.026250000000000002,3338.4225,1,0.0,uoip
2015-01-07,5.0,0.022500000000000003,8313.750000000002,2,0.0,uoip
2015-01-08,5.0,0.01865,2333.02175,3,0.0,uoip
2015-01-09,0.0,0.015050000000000001,360.16155000000003,4,0.0,uoip
2015-01-12,0.0,0.020025,3621.621375,0,0.0,uoip
2015-01-13,0.0,0.016,288.208,1,0.0,uoip
2015-01-14,1.0,0.01675,1306.634,2,0.0,uoip
2015-01-15,2.0,0.0185,4121.245,3,0.0,uoip
2015-01-16,5.0,0.017,3781.123,4,0.0,uoip
2015-01-20,1.0,0.014499999999999999,1250.3059999999998,1,0.0,uoip
2015-01-21,0.0,0.013349999999999999,265.01085,2,0.0,uoip
2015-01-22,1.0,0.0135,381.3075,3,0.0,uoip
2015-01-23,0.0,0.01375,620.235,4,0.0,uoip
2015-01-26,0.0,0.014224999999999998,703.8814499999999,0,0.0,uoip
2015-01-27,4.0,0.0155,914.779,1,0.0,uoip
2015-01-28,8.0,0.0148,1141.228,2,0.0,uoip
2015-01-29,1.0,0.01435,143.51435,3,0.0,uoip
2015-01-30,2.0,0.012275000000000001,486.65465000000006,4,0.0,uoip
2015-02-02,0.0,0.015,1741.83,0,0.0,uoip
2015-02-03,8.0,0.01625,2289.93375,1,0.0,uoip
2015-02-04,2.0,0.01735,4826.804700000001,2,0.0,uoip
2015-02-05,0.0,0.01735,0.0,3,0.0,uoip
2015-02-06,0.0,0.01735,0.0,4,0.0,uoip
2015-02-09,4.0,0.01735,0.0,0,0.0,uoip
2015-02-10,1.0,0.01735,0.0,1,0.0,uoip
2015-02-11,0.0,0.01735,0.0,2,0.0,uoip
2015-02-12,0.0,0.01735,0.0,3,0.0,uoip
2015-02-13,1.0,0.01735,0.0,4,0.0,uoip
2015-02-17,1.0,0.01735,0.0,1,0.0,uoip
2015-02-18,0.0,0.01735,0.0,2,0.0,uoip
2015-02-19,5.0,0.01735,0.0,3,0.0,uoip
2015-02-20,3.0,0.01735,0.0,4,0.0,uoip
2015-02-23,0.0,0.01735,0.0,0,0.0,uoip
2015-02-24,7.0,0.01735,0.0,1,0.0,uoip
2015-02-25,2.0,0.01735,0.0,2,0.0,uoip
2015-02-26,3.0,0.01735,0.0,3,0.0,uoip
2015-02-27,6.0,0.01735,0.0,4,0.0,uoip
2015-03-02,0.0,0.01735,0.0,0,0.0,uoip
2015-03-03,0.0,0.01735,0.0,1,0.0,uoip
2015-03-04,0.0,0.01735,0.0,2,0.0,uoip
2015-03-05,0.0,0.01735,0.0,3,0.0,uoip
2015-03-06,0.0,0.01735,0.0,4,0.0,uoip
2015-03-09,0.0,0.01735,0.0,0,0.0,uoip
2015-03-10,3.0,0.01735,0.0,1,0.0,uoip
2015-03-11,1.0,0.01735,0.0,2,0.0,uoip
2015-03-12,0.0,0.01735,0.0,3,0.0,uoip
2015-03-13,1.0,0.01735,0.0,4,0.0,uoip
2015-03-16,0.0,0.01735,0.0,0,0.0,uoip
2015-03-17,0.0,0.01735,0.0,1,0.0,uoip
2015-03-18,0.0,0.01735,0.0,2,0.0,uoip
2015-03-19,0.0,0.01735,0.0,3,0.0,uoip
2015-03-20,0.0,0.01735,0.0,4,0.0,uoip
2015-03-23,0.0,0.01735,0.0,0,0.0,uoip
2015-03-24,0.0,0.01735,0.0,1,0.0,uoip
2015-03-25,0.0,0.01735,0.0,2,0.0,uoip
2015-03-26,0.0,0.01735,0.0,3,0.0,uoip
2015-03-27,0.0,0.01735,0.0,4,0.0,uoip
2015-03-30,0.0,0.01735,0.0,0,0.0,uoip
2015-03-31,0.0,0.01735,0.0,1,0.0,uoip
2015-04-01,0.0,0.01735,0.0,2,0.0,uoip
2015-04-02,1.0,0.01735,0.0,3,0.0,uoip
2015-04-06,0.0,0.01735,0.0,0,0.0,uoip
2015-04-07,0.0,0.01735,0.0,1,0.0,uoip
