date,post_number,ohlc,dollar_volume,weekday,target
2010-08-17,12.0,0.1575,472.5,1,0.0
2010-08-18,0.0,0.1575,0.0,2,0.0
2010-08-19,0.0,0.1575,0.0,3,0.0
2010-08-20,3.0,0.1575,0.0,4,0.0
2010-08-23,1.0,0.1575,0.0,0,0.0
2010-08-24,0.0,0.1575,0.0,1,0.0
2010-08-25,0.0,0.1575,0.0,2,0.0
2010-08-26,0.0,0.1575,0.0,3,0.0
2010-08-27,0.0,0.1575,0.0,4,0.0
2010-08-30,0.0,0.1575,0.0,0,0.0
2010-08-31,0.0,0.1575,0.0,1,0.0
2010-09-01,0.0,0.1575,0.0,2,0.0
2010-09-02,0.0,0.1575,0.0,3,0.0
2010-09-03,0.0,0.1575,0.0,4,0.0
2010-09-06,0.0,0.1575,0.0,0,0.0
2010-09-07,0.0,0.1575,0.0,1,0.0
2010-09-08,0.0,0.1575,0.0,2,0.0
2010-09-09,0.0,0.1575,0.0,3,0.0
2010-09-10,0.0,0.1575,0.0,4,0.0
2010-09-13,0.0,0.1575,0.0,0,0.0
2010-09-14,0.0,0.1575,0.0,1,0.0
2010-09-15,0.0,0.1575,0.0,2,0.0
2010-09-16,0.0,0.1575,0.0,3,0.0
2010-09-17,0.0,0.1575,0.0,4,0.0
2010-09-20,0.0,0.1575,0.0,0,0.0
2010-09-21,0.0,0.1575,0.0,1,0.0
2010-09-22,0.0,0.1575,0.0,2,0.0
2010-09-23,0.0,0.1575,0.0,3,0.0
2010-09-24,0.0,0.1575,0.0,4,0.0
2010-09-27,0.0,0.1575,0.0,0,0.0
2010-09-28,0.0,0.1575,0.0,1,0.0
2010-09-29,0.0,0.1575,0.0,2,0.0
2010-09-30,0.0,0.1575,0.0,3,0.0
2010-10-01,0.0,0.1575,0.0,4,0.0
2010-10-04,0.0,0.1575,0.0,0,0.0
2010-10-05,0.0,0.1575,0.0,1,0.0
2010-10-06,0.0,0.1575,0.0,2,0.0
2010-10-07,0.0,0.1575,0.0,3,0.0
2010-10-08,0.0,0.1575,0.0,4,0.0
2010-10-11,0.0,0.1575,0.0,0,0.0
2010-10-12,0.0,0.1575,0.0,1,0.0
2010-10-13,0.0,0.1575,0.0,2,0.0
2010-10-14,0.0,0.1575,0.0,3,0.0
2010-10-15,0.0,0.1575,0.0,4,0.0
2010-10-18,0.0,0.1575,0.0,0,0.0
2010-10-19,0.0,0.1575,0.0,1,0.0
2010-10-20,0.0,0.1575,0.0,2,0.0
2010-10-21,0.0,0.1575,0.0,3,0.0
2010-10-22,0.0,0.1575,0.0,4,0.0
2010-10-25,0.0,0.1575,0.0,0,0.0
2010-10-26,0.0,0.1575,0.0,1,0.0
2010-10-27,0.0,0.1575,0.0,2,0.0
2010-10-28,0.0,0.1575,0.0,3,0.0
2010-10-29,0.0,0.1575,0.0,4,0.0
2010-11-01,0.0,0.1575,0.0,0,0.0
2010-11-02,0.0,0.1575,0.0,1,0.0
2010-11-03,0.0,0.1575,0.0,2,0.0
2010-11-04,0.0,0.1575,0.0,3,0.0
2010-11-05,0.0,0.1575,0.0,4,0.0
2010-11-08,0.0,0.1575,0.0,0,0.0
2010-11-09,0.0,0.1575,0.0,1,0.0
2010-11-10,0.0,0.1575,0.0,2,0.0
2010-11-11,0.0,0.1575,0.0,3,0.0
2010-11-12,0.0,0.1575,0.0,4,0.0
2010-11-15,0.0,0.1575,0.0,0,0.0
2010-11-16,0.0,0.1575,0.0,1,0.0
2010-11-17,0.0,0.1575,0.0,2,0.0
2010-11-18,0.0,0.1575,0.0,3,0.0
2010-11-19,0.0,0.1575,0.0,4,0.0
2010-11-22,0.0,0.1575,0.0,0,0.0
2010-11-23,0.0,0.1575,0.0,1,0.0
2010-11-24,0.0,0.1575,0.0,2,0.0
2010-11-25,0.0,0.1575,0.0,3,0.0
2010-11-26,0.0,0.1575,0.0,4,0.0
2010-11-29,0.0,0.1575,0.0,0,0.0
2010-11-30,0.0,0.1575,0.0,1,0.0
2010-12-01,0.0,0.1575,0.0,2,0.0
2010-12-02,0.0,0.1575,0.0,3,0.0
2010-12-03,0.0,0.1575,0.0,4,0.0
2010-12-06,13.0,0.1575,0.0,0,0.0
2010-12-07,0.0,0.1575,0.0,1,0.0
2010-12-08,0.0,0.1575,0.0,2,0.0
2010-12-09,0.0,0.1575,0.0,3,0.0
2010-12-10,0.0,0.1575,0.0,4,0.0
2010-12-13,0.0,0.1575,0.0,0,0.0
2010-12-14,0.0,0.1575,0.0,1,0.0
2010-12-15,0.0,0.1575,0.0,2,0.0
2010-12-16,0.0,0.1575,0.0,3,0.0
2010-12-17,0.0,0.1575,0.0,4,0.0
2010-12-20,0.0,0.1575,0.0,0,0.0
2010-12-21,0.0,0.1575,0.0,1,0.0
2010-12-22,0.0,0.1575,0.0,2,0.0
2010-12-23,0.0,0.1575,0.0,3,0.0
2010-12-24,0.0,0.1575,0.0,4,0.0
2010-12-27,0.0,0.1575,0.0,0,0.0
2010-12-28,0.0,0.1575,0.0,1,0.0
2010-12-29,0.0,0.1575,0.0,2,0.0
2010-12-30,0.0,0.1575,0.0,3,0.0
2010-12-31,0.0,0.1575,0.0,4,0.0
2011-01-03,0.0,0.1575,0.0,0,0.0
2011-01-04,0.0,0.1575,0.0,1,0.0
2011-01-05,0.0,0.1575,0.0,2,0.0
2011-01-06,0.0,0.1575,0.0,3,0.0
2011-01-07,0.0,0.1575,0.0,4,0.0
2011-01-10,0.0,0.1575,0.0,0,0.0
