date,post_number,ohlc,dollar_volume,weekday,target,symbol
2012-03-28,589.0,0.84,2181316.1999999997,2,0.0,wmih
2012-03-29,350.0,1.0075,1242072.195,3,0.0,wmih
2012-03-30,171.0,0.9149999999999999,345951.435,4,0.0,wmih
2012-04-02,144.0,0.8125,401970.5625,0,0.0,wmih
2012-04-03,262.0,0.665,1267366.975,1,0.0,wmih
2012-04-04,127.0,0.645,928954.155,2,0.0,wmih
2012-04-05,123.0,0.725,78126.0,3,0.0,wmih
2012-04-09,64.0,0.7725000000000001,121749.86250000002,0,0.0,wmih
2012-04-10,36.0,0.7749999999999999,121841.62499999999,1,0.0,wmih
2012-04-11,90.0,0.7075,157801.5075,2,0.0,wmih
2012-04-12,71.0,0.67625,393995.4225,3,0.0,wmih
2012-04-13,64.0,0.655,197971.785,4,0.0,wmih
2012-04-16,76.0,0.6739999999999999,909267.114,0,0.0,wmih
2012-04-17,57.0,0.6525000000000001,148661.03250000003,1,0.0,wmih
2012-04-18,55.0,0.64625,389981.50125,2,0.0,wmih
2012-04-19,59.0,0.64125,154552.7925,3,0.0,wmih
2012-04-20,63.0,0.64375,229923.68125000002,4,0.0,wmih
2012-04-23,42.0,0.625,69953.125,0,0.0,wmih
2012-04-24,57.0,0.62,185170.44,1,0.0,wmih
2012-04-25,50.0,0.605,116209.00499999999,2,0.0,wmih
2012-04-26,73.0,0.5687500000000001,47478.11250000001,3,0.0,wmih
2012-04-27,68.0,0.59,92635.9,4,0.0,wmih
2012-04-30,47.0,0.5775,166795.86000000002,0,0.0,wmih
2012-05-01,75.0,0.58,89044.5,1,0.0,wmih
2012-05-02,70.0,0.575,67727.525,2,0.0,wmih
2012-05-03,48.0,0.578,164461.808,3,0.0,wmih
2012-05-04,47.0,0.56675,259750.593,4,0.0,wmih
2012-05-07,47.0,0.5575000000000001,33518.01500000001,0,0.0,wmih
2012-05-08,37.0,0.5575,82056.19499999999,1,0.0,wmih
2012-05-09,53.0,0.5375000000000001,408071.07500000007,2,0.0,wmih
2012-05-10,56.0,0.54,36294.48,3,0.0,wmih
2012-05-11,66.0,0.5550250000000001,87509.68170000002,4,0.0,wmih
2012-05-14,38.0,0.547525,79790.81825000001,0,0.0,wmih
2012-05-15,17.0,0.552475,94961.060425,1,0.0,wmih
2012-05-16,54.0,0.535,527757.17,2,0.0,wmih
2012-05-17,32.0,0.5375000000000001,36621.4875,3,0.0,wmih
2012-05-18,23.0,0.5355,81016.3305,4,0.0,wmih
2012-05-21,30.0,0.5225,171394.10749999998,0,0.0,wmih
2012-05-22,71.0,0.5175000000000001,39772.98,1,0.0,wmih
