date,post_number,ohlc,dollar_volume,weekday,target
2009-12-09,7.0,36050.0,0.0,2,0.0
2009-12-10,1.0,34000.0,0.0,3,0.0
2009-12-11,2.0,23500.0,0.0,4,0.0
2009-12-14,0.0,25000.0,0.0,0,0.0
2009-12-15,0.0,19500.0,0.0,1,0.0
2009-12-16,0.0,23000.0,0.0,2,0.0
2009-12-17,0.0,18000.0,0.0,3,0.0
2009-12-18,0.0,22000.0,0.0,4,0.0
2009-12-21,0.0,0.0,0.0,0,0.0
2009-12-22,1.0,16000.0,0.0,1,0.0
2009-12-23,0.0,14000.0,0.0,2,0.0
2009-12-24,0.0,0.0,0.0,3,0.0
2009-12-25,0.0,0.0,0.0,4,0.0
2009-12-28,0.0,16100.0,0.0,0,0.0
2009-12-29,0.0,15000.0,0.0,1,0.0
2009-12-30,0.0,0.0,0.0,2,0.0
2009-12-31,0.0,15000.0,0.0,3,0.0
2010-01-01,0.0,0.0,0.0,4,0.0
2010-01-04,0.0,22000.0,0.0,0,0.0
2010-01-05,0.0,18500.0,0.0,1,0.0
2010-01-06,0.0,0.0,0.0,2,0.0
2010-01-07,0.0,0.0,0.0,3,0.0
2010-01-08,0.0,0.0,0.0,4,0.0
2010-01-11,0.0,0.0,0.0,0,0.0
2010-01-12,4.0,0.0,0.0,1,0.0
2010-01-13,0.0,0.0,0.0,2,0.0
2010-01-14,0.0,18000.0,0.0,3,0.0
2010-01-15,0.0,18000.0,0.0,4,0.0
2010-01-18,0.0,0.0,0.0,0,0.0
2010-01-19,0.0,0.0,0.0,1,0.0
2010-01-20,0.0,0.0,0.0,2,0.0
2010-01-21,0.0,20000.0,0.0,3,0.0
2010-01-22,0.0,0.0,0.0,4,0.0
2010-01-25,0.0,0.0,0.0,0,0.0
2010-01-26,0.0,16000.0,0.0,1,0.0
2010-01-27,0.0,20000.0,0.0,2,0.0
2010-01-28,3.0,19400.0,0.0,3,0.0
2010-01-29,0.0,22000.0,0.0,4,0.0
2010-02-01,0.0,19000.0,0.0,0,0.0
2010-02-02,0.0,0.0,0.0,1,0.0
2010-02-03,0.0,0.0,0.0,2,0.0
