,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
08-16-2017,tmxn,liga,ltsn,imtv,wshe,admd,txhd,btcs,drnk,mves,ungs,mcig,rbnw,epgl,ibrc,biei,cubv,digaf,amda,lclp,scie,fcgd,cvm,vgid,txtm,lvgi,amlh,azfl,chro,ihsi,fusz,mjna,wrfx,idgc,ilst,endv,sipc,dscr,psti,,usmj,oxis,wdrp,,mgti,,ffmgf,,vdrm,qedn
08-17-2017,tmxn,coho,admd,wrfx,btcs,ungs,mgti,digaf,txhd,arnh,ibrc,dcth,imtv,biei,oxis,endv,wshe,amlh,uamm,qtmm,hhse,psti,epgl,grnh,mydx,aphd,mjna,nugt,umax,rcha,,ltsn,azfl,stbv,bcci,ffmgf,sigo,cydy,,biel,flpc,gcei,vtsi,vgid,sipc,orrv,rad,pntv,uoip,bicx
08-18-2017,,stbv,futl,gigl,wrfx,agtk,sdvi,coho,pgpm,alkm,dcth,bdgn,imuc,bbrd,abvg,umax,btgi,pfwi,inoh,,tggi,mnkd,exol,mxsg,medt,sigo,cgra,lbsr,bmbm,lwlg,isbg,incc,eltz,icbu,fusz,mrib,rcha,,cydy,tmxn,vldi,,wmih,,admd,gahc,swhi,paog,,epgl
08-21-2017,suti,adtm,fern,eled,hmpq,mrib,sfrx,mmex,pgas,vdrm,lwlg,,haon,cydy,tggi,advt,,,kget,bldv,,bcci,ttcm,grnh,amhd,,dddx,wnbd,gncp,wmih,uhln,tsla,exol,idcc,sigo,mydx,,pmea,eaph,acgx,psru,knsc,usmj,azfl,qtmm,arioq,oxisd,gegi,icnm,lclp
08-22-2017,suti,adtm,fern,eled,hmpq,mrib,sfrx,mmex,pgas,lwlg,vdrm,bcci,icbu,haon,,kget,tggi,amhd,advt,,,uhln,idcc,ttcm,cctc,,,bldv,grnh,exol,cydy,,mydx,gncp,wnbd,tsla,eaph,psru,wmih,qtmm,pmea,knsc,,sigo,azfl,,owcp,dddx,acgx,tmps
08-23-2017,rtnb,rdar,suti,icbu,blkg,hmpq,ihsi,icty,futl,ecos,retc,imuc,newc,mymx,snmn,uoip,msmy,bcci,amhd,haon,,niobf,sgby,,tbev,tmps,canb,,zn,snap,mrib,icnm,,,ungs,dddx,,mgti,eled,,cydy,chro,bmbm,fern,,svte,knsc,pfwi,,nak
08-24-2017,rmrk,flpc,cnxs,ecos,aagc,pgus,snmn,innv,cvm,lbrg,cbmj,imuc,liga,icbu,xxii,rox,tggi,svte,mmex,ihsi,snap,soupq,qsep,inmg,icld,omhe,qedn,hemp,spom,tbev,,rtnb,ntek,nphc,uamm,mgti,kget,mxsg,ecsl,gegp,gcei,lwlg,mjtk,wnbd,lvgi,,eltp,,usei,qsim
08-25-2017,,tggi,neca,suneq,bitcf,cbmj,ehos,pgus,rmrk,snmn,ifan,ungs,ihsi,vgid,arth,imtl,dglt,msmy,aagc,qban,sipc,sanp,flpc,txtm,crqe,amda,liga,btsc,acgx,qedn,tops,,mgti,dolv,nak,titxf,usei,ubqu,potn,inmg,,ecsl,,apty,gegi,,nsav,,pfwi,
08-28-2017,aphd,uahc,aveo,knsc,abhi,ecsl,usrm,ffmgf,cbmj,drnk,ehos,nugt,jnsh,adxs,soupq,mcig,pfwi,tbev,,pmea,srmx,etbi,eegi,hmla,,,inoh,admd,wrfx,efln,biei,,sfor,inmg,wddd,arth,ubqu,psti,ipix,omvs,icty,btcs,,,dewm,,mzei,vate,omhe,talk
08-29-2017,afpw,aphd,etbi,ssof,uahc,nugt,ecsl,usrm,auph,jnsh,soupq,abhi,ffmgf,ehos,intv,srmx,fusz,,pfwi,tops,epgl,tbev,,vcps,,hmla,inoh,,,,msmy,,vplm,mgti,cbmj,mxsg,wdrp,,mrib,,sfor,adxs,,ipix,endv,mmeg,,omvs,arth,mcig
