post_number,subject,username,date
1,ABHI news : AmbiCom Receives Additional $1.1 Million,StocKTigeR,2010-05-10
2,Abhi is about to flyyyyyyyyy!,bmiller73,2010-06-21
3,Welcome to penny stock heaven!,bmiller73,2010-06-21
4,<DELETED>,<DELETED>,2010-06-21
5,The stock has a chance to reach $$$$$$$$$$$$$$,bmiller73,2010-06-21
6,Ambicom has sold over 300 thousand units to,bmiller73,2010-06-21
7,How much?,Arnold25764,2010-06-21
8,they didnt name the big pharma company in,S3lfMade,2010-06-21
9,Picked up 20K this morning! I like the,rapid_runner,2010-06-21
10,Poking around here and I like what I,Quik18holes,2010-06-24
11,"iBox is kind of let down though, lol",Quik18holes,2010-06-24
12,I  am  stalking  you :-)),Carlito,2010-06-24
13,I agree!!,rapid_runner,2010-06-24
14,Any near term projections here?,rapid_runner,2010-06-24
15,"New here, excited to see what this.morning is",Bearcat1,2010-06-24
16,"Just got done checking out the companies webpage,",Bearcat1,2010-06-24
17,Great news out this morning!,Bearcat1,2010-06-24
18,Nice way to start the morning!!,reese12,2010-06-24
19,Great  news !,Carlito,2010-06-24
20,New here as well! This company looks to,jrkcricket,2010-06-24
21,Agreed! This is a great PR for them!,jrkcricket,2010-06-24
22,"This one was alerted to me this morning,",NYC Trader,2010-06-24
23,".26,  hits   , 1left ",Carlito,2010-06-24
24,Setting up for a nice pop today and tomorrow!!,rapid_runner,2010-06-24
25,I agree Quik.  Website seems to be,reese12,2010-06-24
26,AmbiCom is committed to wireless design and development,seanmd,2010-06-24
27,".25  ,  .242  x .26",Carlito,2010-06-24
28,"Heheh ..that's good actually, 'cause I hadn't looked",Quik18holes,2010-06-24
29,"volume is heading out the gate pretty fast,",The_Champ ,2010-06-24
30,"Gm r_r, and everyone! Well, volume before PPS,",Quik18holes,2010-06-24
31,"Howdy reese, I've put together a few posts",Quik18holes,2010-06-24
32,L2 can be found on the OTC Market,The_Champ ,2010-06-24
33,"Yeah, I mentioned earlier that .25 looks to",Quik18holes,2010-06-24
34,ABHI - Where to Buy Ambicom Products? ..,Quik18holes,2010-06-24
35,You can buy ABHI products EVERYWHERE so it,The_Champ ,2010-06-24
36,And it doesn't stop there! ;-) ..,Quik18holes,2010-06-24
37,"Yep, they're the real deal and I like",Quik18holes,2010-06-24
38,Nice work Quik!,reese12,2010-06-24
39,Someone's getting some nice .24 blocks on the,Quik18holes,2010-06-24
40,ABHI - Products/Solutions ..,Quik18holes,2010-06-24
41,Great possibility for this dip to raise up,Bearcat1,2010-06-24
42,This dip is only a great spot to,NYC Trader,2010-06-24
43,all we need is volume IMO,The_Champ ,2010-06-24
44,Good post!,rapid_runner,2010-06-24
45,"First orders a good one, lets get this",CATD,2010-06-24
46,"Doing some more reading, much to be liked",CATD,2010-06-24
47,ABHI - Healthcare Solutions ..,Quik18holes,2010-06-24
48,The medical technology sector is a fast growing,NYC Trader,2010-06-24
49,They have blood glucose monitoring system that is,seanmd,2010-06-24
50,".205,,   >>>>>>",Carlito,2010-06-24
51,It definitely is expanding in my area of,reese12,2010-06-24
52,"booming industry, should see some good turnaround from",jmart419,2010-06-24
53,"imo, anything in the technological field, especially medical",jmart419,2010-06-24
54,Looks like power hour coming is helping this,NYC Trader,2010-06-24
55,"Almost 100% buy volume, weak dip, bounce coming.",NYC Trader,2010-06-24
56,Anybody have any information on the share structure,norel,2010-06-24
57,She might know:,The_Champ ,2010-06-24
58,"Volume has been dominated buy buyers today, over",seanmd,2010-06-24
59,Looks like the volume picked up a little,jrkcricket,2010-06-24
60,Hopefully we see some pay off tommorrw should,jmart419,2010-06-24
61,"noted, hopefully see some green tommorrow with this",jmart419,2010-06-24
62,"good power hour, lets see a big open",jmart419,2010-06-24
63,From the latest 10-Q filed 6/14/2010...,kingpindg,2010-06-24
64,Looking forward to some green here tomorrow!,jrkcricket,2010-06-24
65,As someone with diabetes this is excellent AND,jrkcricket,2010-06-24
66,Lot  of  info  on ,Carlito,2010-06-25
67,Good morning! Ready to see a great jump,Bearcat1,2010-06-25
68,100% agree. Hopefully the word fully gets around,Bearcat1,2010-06-25
69,This type of industry is soaring like you,Bearcat1,2010-06-25
70,Yesterdays announcement could open the door for ABHI,NYC Trader,2010-06-25
71,More  Eyes  on  it !,Carlito,2010-06-25
72,"This is in a good spot to move,",NYC Trader,2010-06-25
73,This industry never seems to have bad or,seanmd,2010-06-25
74,AmbiCom is also working with several other departments,NYC Trader,2010-06-25
75,"Agreed, the medical industry in particular is always",jrkcricket,2010-06-25
76,"the day is young, lets see what lunch",jmart419,2010-06-25
77,Lots of great info on the website too! ,jrkcricket,2010-06-25
78,nice spike towards green at about 1015 here,jmart419,2010-06-25
79,"Nce dip to load up on, ready to",seanmd,2010-06-25
80,starting out this morning with a dip,The_Champ ,2010-06-25
81,come on baby you just going to sit,The_Champ ,2010-06-25
82,"Start of an interesting day in the market,",CATD,2010-06-25
83,90k in Vol. could be a good mid-day goal!,CATD,2010-06-25
84,"That a girl, moving back toward the green",The_Champ ,2010-06-25
85,Mornin' everyone! ..so how we doing here today?,Quik18holes,2010-06-25
86,Ask has been getting most of the work,NYC Trader,2010-06-25
87,"As the volume here rises, I see a",seanmd,2010-06-25
88,"Wow, the chart is boucing around like a",reese12,2010-06-25
89,"True, but someone is still willing to sell",Quik18holes,2010-06-25
90,Bounce time probable through resistance.,NYC Trader,2010-06-25
91,"Could be, ..spread tightened up and Bid seems",Quik18holes,2010-06-25
92,Looks like we are trying to get to,seanmd,2010-06-25
93,"With 25's on deck, you know what that",Quik18holes,2010-06-25
94,ABHI is a US Registered OTCQB :-),Quik18holes,2010-06-25
95,high vol.  could be a good sign,jmart419,2010-06-25
96,"just like yesterday, power hour should really bring",jmart419,2010-06-25
97,".22,  agree ,not  bad  for",Carlito,2010-06-25
98,".201 ,  lod ! don't  let",Carlito,2010-06-25
99,"Agreed, all in all it wasn't bad today",jrkcricket,2010-06-25
100,"Agree , loking  forward  to ",Carlito,2010-06-25
101,"Volume on the rise, price all over the board.",CATD,2010-06-25
102,"A lot of dip opportunities today, I hope",Bearcat1,2010-06-25
103,There were plenty of opportunities!  As I,reese12,2010-06-25
104,Next week is another week of opp. for,jmart419,2010-06-25
105,ABHI- Prime for a run next week. HIGH VOL,CATD,2010-06-25
