post_number,subject,username,date
1,TEVT 8k,dijeetyet,2008-06-10
2,more from 8k,dijeetyet,2008-06-10
3,This maybe a good deal..,hostastock,2008-07-20
4,Running today --goody another opportunity to talk to myself,dijeetyet,2010-05-24
5,http://www.amfiltech.com/maybe this is why,dijeetyet,2010-05-24
6,150 mill o/s catching up,mkinhaw,2010-05-24
7,hmmmmmmmmmmm. way to pay attention :),bobkubecka,2010-05-24
8,Nice,mkinhaw,2010-05-24
9,Yes-I like Amfil ,antman,2010-05-24
10,Why the break out today?,smnlmn,2010-05-24
11,Not sure- I know they have been working,antman,2010-05-24
12,: > ) - I have a lot,dijeetyet,2010-05-24
13,This company should trade under the ticker symbol,Jstnelson2006,2010-05-27
14,Thanks- been waiting a while for that to,antman,2010-05-31
15,Anyone keeping an eye on this one?,antman,2010-06-03
16,Me :-),TraderLady,2010-06-03
17,ME 2,INTRUCULLO,2010-06-03
18,Bought a starter cause of the vol surge,TraderLady,2010-06-03
19,going through this change of business plans Haven't,seabreezing,2010-06-15
20,would be  nice to gether some interested,seabreezing,2010-06-15
21,http://www.amfiltech.com/,seabreezing,2010-06-15
22,http://www.otcmarkets.com/stock/AMFE/company-info,seabreezing,2010-06-15
23,<DELETED>,<DELETED>,2010-06-15
24,LOl I was wondering where that ticker came,dijeetyet,2010-06-15
25,I have you off block for the moment,Wisco Wolf,2010-06-16
26,AMFE .014 News... ,seabreezing,2010-06-30
27,That is great news!,antman,2010-06-30
28,I have been reading up on this Ozone,seabreezing,2010-06-30
29,I think the CEO has been in the,antman,2010-06-30
30,don't buy into that yet.,EUCT,2010-06-30
31,I didn't see any report from IHUB- it,antman,2010-07-01
32,"check your junkmail folder, that is where I",EUCT,2010-07-03
33,"NY Department of State Record shows AS 200,000,000",dannol48,2010-07-05
34,AMFE .013 News - ,seabreezing,2010-07-06
35,Patent Infringement Lawsuit and Settlement,dannol48,2010-07-06
36,I don't seem to have a junk mail folder,antman,2010-07-07
37,Agree this is a better news release by far,antman,2010-07-07
38,i get them at work in my junk,EUCT,2010-07-07
39,"NEWS------------AMFIL Technologies Announces Additional $150,000 Order F",antman,2010-08-02
40,AND MORE NEWS____________,antman,2010-08-02
41,NEWS: Sales looking good for this fiscal year.....,antman,2010-08-07
42,Plus an updated website,antman,2010-08-07
43,AMFIL Technologies on Track to Exceed $1 Million,seabreezing,2010-08-08
44,Go Amfil- get those clients signed up......,antman,2010-08-11
45,"So, what is the scoop with AMFE? ",Chae,2010-08-16
46,Interesting indeed.,*MARINE 1*,2010-08-16
47,Any reason for the noise?,*MARINE 1*,2010-08-16
48,didn't news come out today?,*MARINE 1*,2010-08-16
49,"http://www.pr-inside.com/amfil-technologies-in-discussions-with-r2061733.htmSAN LUIS OBISPO, CA ",*MARINE 1*,2010-08-16
50,Stock looks great-Hot news out last night and,ronsha,2010-08-17
51,Up as soon as I come over,*MARINE 1*,2010-08-17
52,Not a bad close for a quick one,*MARINE 1*,2010-08-17
53,what do you believe the float is on this?,Lucky_Charm$,2010-09-10
54,I am trying to find that out myself...,Masked Superstar,2010-09-10
55,"150M O/S as of May 2010, 200M A/S",Masked Superstar,2010-09-10
56,Website here: http://www.amfiltech.com/,Masked Superstar,2010-09-10
57,"Lots of fields their products are in, doing",Masked Superstar,2010-09-10
58,website is nice,Lucky_Charm$,2010-09-10
59,No clue on float size other than the,dannol48,2010-09-12
60,great post dannol48--thx,Lucky_Charm$,2010-09-12
61,"A/S is still 200M verified on Friday, I",Masked Superstar,2010-09-12
62,nice,Lucky_Charm$,2010-09-12
63,IBOX has been updated...,Masked Superstar,2010-09-13
64,masked superstar - many thanks,mrgoodtrade,2010-09-13
65,Amfe is extremely well positioned in the ozone,robertos,2010-09-13
66,check this out!!   http://www.wqpmag.com/Food-Contamination-Ozone-Answers-Concer,robertos,2010-09-14
67,"AMFE is a winner, just waiting to the",Masked Superstar,2010-09-14
68,This company is very similar to AMFIL. ,robertos,2010-09-14
69,I like what I see here so far.,WANG,2010-09-14
70,added here...GLA,rbb,2010-09-14
71,Nice volume today OS 200M looks like it,lukin4winners,2010-09-14
72,someone whacking as volume coming in??,WANG,2010-09-14
73,uhmm   ... I added more,WANG,2010-09-14
74,"me too,,,L2 is all over",rbb,2010-09-14
75,who the heck is whacking ??,WANG,2010-09-14
76,"WTF...don't know, but I wish they would stop.",rbb,2010-09-14
77,Probably long time holders from .02+ once they,lukin4winners,2010-09-14
78,wht whacking at .006???,WANG,2010-09-14
79,Adding myself here...,Masked Superstar,2010-09-14
80,"O/S is only 150M, A/S is 200M",Masked Superstar,2010-09-14
81,time to get this party started.....vol. preceeds move......2nd,ospreyeye,2010-09-14
82,Looking for Asst Mods if interested....,Masked Superstar,2010-09-14
