post_number,subject,username,date
1,ATM !!! play it as that and not,WarChest,2015-01-20
2,flip it like a hot pancake ..,WarChest,2015-01-20
3,"Well, let's see how this one goes. ",HarveyWallbanger,2015-01-20
4,+>>>AMLH - WOWZA!!! APS Promo Nearing 1 Million,Chrion Capital,2015-01-20
5,Is that almost 5 million shares that I,HarveyWallbanger,2015-01-20
6,why is this running?,Smokin1000,2015-01-20
7,APS.cash,power_forward,2015-01-20
8,"A promoter called ""Awesome Penny Stocks"" just announced",HarveyWallbanger,2015-01-20
9,+>>>AMLH - This is Running because Awesome Penny,Chrion Capital,2015-01-20
10,Thanks I was just asking,Smokin1000,2015-01-20
11,+>>>AMLH - WOW! APS is BACK!!! Almost 2.5,Chrion Capital,2015-01-20
12,ATM BABY !!!!,WarChest,2015-01-20
13,I thought the SEC bagged ATM and put,MACH1,2015-01-20
14,the list was resold ... and its APS,WarChest,2015-01-20
15,"its APS and yes, the SEC got them,",power_forward,2015-01-20
16,+>>>AMLH - I Guess APS Made a Comeback!,Chrion Capital,2015-01-20
17,It's not APS. It's the PR..,A.L._is_retired,2015-01-20
18,+>>>AMLH - i'd say its a combined effort.,Chrion Capital,2015-01-20
19,Wroblewski Oil and Gas Company in final stages,A.L._is_retired,2015-01-20
20,"that's old news, they were back in Nov,their",power_forward,2015-01-20
21,APS guys are in JAIL !!!,A.L._is_retired,2015-01-20
22,Lol bs comeback gapped up then now it's,TracFoneDaddy,2015-01-20
23,"NOT OLD.. MONDAY, JANUARY 19, 2015...Just bad DD",A.L._is_retired,2015-01-20
24,+>>>AMLH - well someone must have taken their,Chrion Capital,2015-01-20
25,Over600 mil shares out plus convertible prefereds. Lol,Thanksforplaying,2015-01-20
26,Big Pump and Dump Sacm should be reported,TooFrank ,2015-01-20
27,"APS.cash got $400,000.00 to hype this thing",power_forward,2015-01-20
28,American Leisure Holdings Completes Acquisition of Profitable Petroleum,A.L._is_retired,2015-01-20
29,"Easy Money here, Count me in.",HowToBeatTheSystem,2015-01-20
30,I'm going to say 96% on this one.,HowToBeatTheSystem,2015-01-20
