post_number,subject,username,date
1,Take your time wicha perdy lil self. MR,A_1daytrader,2012-10-27
2,CH my man.,A_1daytrader,2012-10-27
3,MR NASTY STILL WAITING,A_1daytrader,2012-11-09
4,Hahaha you SOB! Nice. Woulda been here this,TMcNasty,2012-11-19
5,This thing going to start trading anytime soon?,KwikKash,2012-11-20
6,Interesting 8k out a few mins ago.,TMcNasty,2012-11-29
7,just got priced at .50,gopats22,2012-12-14
8,Bout time....,Jbob,2012-12-14
9,Oh damn.,A_1daytrader,2012-12-14
10,and it traded at .50    sweet,gopats22,2012-12-14
11,wonder if anyone will hit the 60's. Looks,gopats22,2012-12-14
12,Looking for $APHD to get going here soon,flatrader,2013-01-02
13,What are you expecting here?,gopats22,2013-01-02
14,this is like a time bomb waiting to explode,flatrader,2013-01-04
15,9.5mil O/S as of Dec 2012 that is,flatrader,2013-01-04
16,http://appiphanytech.com/,flatrader,2013-01-04
17,Welcome to Appiphany Technologies (OTCBB: APHD ) a,flatrader,2013-01-04
18,MMA is a huge sport and growing and,flatrader,2013-01-04
19,"01/08/13...Appiphany Technologies corporate update for 2012,",kimzerfantastik,2013-01-09
20,they just posted on twitter: http://mmaanimals.com/,gopats22,2013-01-14
21,How's everybody doing in here? Good. Glad to,TMcNasty,2013-01-23
22,New 8-k 3/5/13,Big_Money_Upward,2013-03-15
23,One possible potential!!,mula101,2013-03-15
24,The website looks improved.,TMcNasty,2013-03-16
25,LIKE,TraderTrisha,2013-03-17
26,Filings/pr frequency is increasing.,TMcNasty,2013-03-22
27,I'm thinking maybe.....2 weeks? ;),TMcNasty,2013-03-22
28,NEWS: Appiphany Technologies enters into agreement with independent,Big_Money_Upward,2013-05-08
29,Looks  AWESOME  to me.,TMcNasty,2013-05-08
30,"Hehe, too bad there's nothing awesome about the O/S",Big_Money_Upward,2013-05-09
31,Hi there guys =] eom,Bodach,2013-05-09
32,Could be more bullish than awesome.,rlwinvestor,2013-05-09
33,Thanks for exchanging thoughts!,Big_Money_Upward,2013-05-09
34,"Lets get this party started.....riiiggghht! Kids MMA, what",Kenswift,2013-05-09
35,DARTH?,terexberd,2013-05-12
36,More News: First episode of MMA animals cartoon,Big_Money_Upward,2013-05-13
37,Weeeeeeeeeeeeeeeeeeeee - Here we go!,TraderTrisha,2013-05-15
38,Promotion starts today.,rlwinvestor,2013-05-15
39,LOOKING GOOD...,mirza3,2013-05-15
40,Damn missed the party...,Jbob,2013-05-15
41,"APHD, looking good. Don't sell, buy.",110dstout,2013-05-15
42,"APHD, Have you seen the graphics from this",110dstout,2013-05-15
43,"Ok 2 post Mcgee, no need for unnecessary",EarlyToRide,2013-05-16
44,"Check out RANF, there is a tie between",Jglove,2013-05-16
45,"It looks that way,Check this out~",drivenbypain,2013-05-16
