post_number,subject,username,date
1,Don't know where this came from but it,Sylvrewynde,2010-01-04
2,was JVGI and did a R/S and symbol,racerdave42,2010-01-08
3,Ahhh! The old Java Group.  Now I,Sylvrewynde,2010-01-08
4,you're welcome. Now come on 1.00!! :),racerdave42,2010-01-08
5,spread tightening,racerdave42,2010-01-14
6,<DELETED>,<DELETED>,2010-01-14
7,Hey now Sylvrewynde. ,MuchCompensation,2010-02-01
8,I sure hope so:-),Sylvrewynde,2010-02-02
9,"Well, this webcam shot doesn't show the recently",MuchCompensation,2010-02-02
10,I like that it also shows actual workers too.,Sylvrewynde,2010-02-03
11,who owns the other 71% of the property,dsully,2010-02-03
12,Glad I'm in at 0.007 and owning the,tmsocha,2010-02-04
13,We have entered into a lease of our,tmsocha,2010-02-11
14,Good news for PM's and miners.,muaythai,2010-02-14
15,Bid 0.01 Ask 0.16,tmsocha,2010-02-25
16,STAY AWAY FROM THIS POS SHARE CHURNING SCAM.,madoffmadememoney,2010-03-03
17,What does jvgi mean? Can you be a,SOUTHPEN,2010-03-05
18,jvgi is symbol for Java Group.  Look,madoffmadememoney,2010-03-05
19,I would have to agree with you. GHDC,SOUTHPEN,2010-03-10
20,War Eagle Mountain is a Gold and Silver,pmunch,2010-03-11
21,the only thing and biggest thing you have,madoffmadememoney,2010-03-15
22,http://images.investorshub.advfn.com/images/uploads/2010/3/15/zlqwsmill_011.jpg ,bobby joe,2010-03-19
23,"Thanks Bobby Joe, sure beats looking at the",tmsocha,2010-03-20
24,"Oh I think so to, I'm well vested",bobby joe,2010-03-20
25,"Greetings,I am getting two totaly different views on",SOUTHPEN,2010-03-20
26,GHDC is like a silver wheaton they collect,tmsocha,2010-03-21
27,"Up 20 percent, doubled up on that one.",bobby joe,2010-03-22
28,Up 100% today. Hmmmmm.....,sphindog,2010-03-23
29,Don't be stupid everyone.   Pierre quilliam,madoffmadememoney,2010-03-23
30,Three words for GHDC the NEXT SILVER WHEATON,tmsocha,2010-03-23
31,look at the last shell he scammed....jvgi less,madoffmadememoney,2010-03-23
32,I never buy coffee products.  huge loss,tmsocha,2010-03-23
33,"Great one tmsocha, I'm still laughing!!! Bout spit",bobby joe,2010-03-23
34,"i think they have found some precious metal,",superstop,2010-03-23
35,I live here and there is gold up there...,bobby joe,2010-03-23
36,"Bobby joe ,I have read your posts on",SOUTHPEN,2010-03-23
37,Ya it's spring in Melba and there's gold,bobby joe,2010-03-23
38,<DELETED>,<DELETED>,2010-03-23
39,If Sfmi is at 8 cents should Ghdc,SOUTHPEN,2010-03-24
40,<DELETED>,<DELETED>,2010-03-24
41,"95,000 shares bought under FORM T",superstop,2010-03-24
42,I think that just indicates an after hours trade.,Sylvrewynde,2010-03-24
43,<DELETED>,<DELETED>,2010-03-24
44,"Remember, if you own GHDC you have a",tmsocha,2010-03-28
45,I decided to buy both.100% revenue from tailings.I,SOUTHPEN,2010-03-29
46,<DELETED>,<DELETED>,2010-03-29
47,<DELETED>,<DELETED>,2010-03-29
48,<DELETED>,<DELETED>,2010-03-29
49,"I have 100,000 shares of GHDC.  I",superstop,2010-03-29
50,I asked if you could detail How you,SOUTHPEN,2010-03-29
51,Thats great news. Why not share it with,SOUTHPEN,2010-03-29
