post_number,subject,username,date
1,This company is on FIRE! It has had,harbecu,2009-04-03
2,Up 49% today Go baby go.,harbecu,2009-04-03
3,siiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiick!!,Bull Trader,2009-04-03
4,OH YEA MUCH HIGHER WATCH NEXT WEEK$$$$$$$$$$$$,ajetforallofus,2009-04-03
5,Got in at .50 Sold at .6o buying,vonster,2009-04-04
6,MOMO is HERE.,Bull Trader,2009-04-04
7,This is not a MOMO. This company is,harbecu,2009-04-08
8,Nice move today. It's only the beginning.,harbecu,2009-04-14
9,Wow! What a chart. It's hard to believe,harbecu,2009-04-15
10,This company is still under the radar. My,crymeariver,2009-04-15
11,It won't be under the radar for long.,harbecu,2009-04-15
12,"Beyond Commerce, Inc. Announces i-SUPPLY Division Will Begin",di4,2009-05-04
13,"Beyond Commerce, Inc. Announces Record Week of Revenues",di4,2009-05-06
14,Beyond Commerce Enters Strategic Relationship With Credit Card,di4,2009-05-07
15,Beyond Commerce Announces Charles Payne as LocalAdLink Ribbon,di4,2009-05-11
16,"Beyond Commerce, Inc. Announces LocalAdLink's Expansion Into Asian",di4,2009-05-14
17,"Beyond Commerce, Inc. CEO, Bob McNulty, Interviewed Live",di4,2009-05-15
18,"I was pretty positive about this company, but",crymeariver,2009-05-18
19,"Beyond Commerce, Inc. Announces LocalAdLink Ranks in the",di4,2009-05-19
20,Beyond Commerce Announces the Selection of Global Leadership,di4,2009-05-26
21,WARNING!Still no commissions from From adlink!!!!I Guess they,crymeariver,2009-05-26
22,Have you earned commissions? If you are due,harbecu,2009-05-27
23,"Of coarse we earned commission, why would I",crymeariver,2009-05-27
24,Read this and decide if you should invest:,crymeariver,2009-05-27
25,"Beyond Commerce Announces Annual Shareholder Meeting, July 24,",di4,2009-05-29
26,"Beyond Commerce, Inc. Announces its i-SUPPLY Division has",di4,2009-06-02
27,"Wake up shareholders, meeting tommorow",pmunch,2009-07-23
28,After six months we finally got all our,crymeariver,2009-07-23
29,"Beyond Commerce, Inc.",pmunch,2009-07-25
30,"Beyond Commerce, Inc. (OTCBB: BYOC) www.beyondcommerce.com, an E-commerce",pokertime1,2009-08-31
31,BYOC looks like it's gonna bounce fast. Huge,Craniac,2009-08-31
32,<DELETED>,<DELETED>,2009-08-31
33,stupid pumpers. trix r for kids.,Kamillion,2009-08-31
34,"BYOC  great time to buy in, volume up",pokertime1,2009-08-31
35,<DELETED>,<DELETED>,2009-08-31
36,BYOC hit bottom ready to bounce,hice,2009-08-31
37,BYOC .... been accumulating throughout the day...,Dani,2009-08-31
38,where it says news tomorrow?,apocalypsenow73,2009-08-31
39,BYOC nice volume building  I like it,pokertime1,2009-08-31
40,"BYOC  Real nice volume yesterday, expect more today",lucky77777,2009-09-01
41,"in here @0,10 for a quick bounce",pucara,2009-09-29
42,<DELETED>,<DELETED>,2009-09-29
43,Nice. Congrats.,ChartPoP,2009-10-04
44,I love how quiet this one is... I,Superhoops,2009-10-05
45,It is just quiet as some of us,$NoClue$,2009-10-05
46,this thing is toast....Bob is smart but his,cherrpicker,2009-10-09
47,this was the short of the year !!!,cherrpicker,2009-10-13
48,beyond help...kabooom !...nighty night Bob,cherrpicker,2009-10-20
49,where is all the multi levelers ?,cherrpicker,2009-12-10
50,BOTTOM-BUSTERS & POWER-SCANS (weekend) 01-02-2010,$NoClue$,2010-01-01
51,Federal authorities scrutinizing Vicis Capital execs,MoneyMan,2010-01-17
52,nobody on this?,Lucky_Charm$,2010-02-16
53,"Cmarjr123, just ran into this scanning for chart",budgetcuts0,2010-02-16
54,"Beyond Commerce, Inc Announces New Website and Business Strategy",hawkmd,2010-03-11
55,CEO Message to Shareholders,hawkmd,2010-03-11
56,Current Ownership:,hawkmd,2010-03-11
57,Beyond Commerce Announces 4th Quarter Profit:,hawkmd,2010-03-11
58,Short Interest Daily from FINRA:,hawkmd,2010-03-16
59,"This is to bad, it seems like this",sno43wolf,2010-04-11
60,The buy signals is there!. 100% BUY for,hawkmd,2010-04-15
61,"BYOC news, DKMZ at $6 right now, that's",Wayne R,2010-04-29
62,noticed that the other day too..dabbled..heck they goin,DF,2010-04-29
63,"So far, it seems to be going un",Wayne R,2010-04-29
64,I grabbed a few,TOAD,2010-04-29
65,Grabbed some also.,Wildbilly,2010-04-29
66,well i BET this gets noticed after DKMZ,DF,2010-04-29
67,nice bro im goin to start gettin a,DF,2010-04-29
68,added a few more.. .10 break equals bluesky,DF,2010-04-30
69,"Looks great, another 100k and we're off.",Wildbilly,2010-04-30
70,actually wouldnt mind it holdin under .10 fer,DF,2010-04-30
71,dabbling a few more here.)hopefully this gets noticed,DF,2010-05-03
72,Just got in BYOC.,patou,2010-05-03
73,sweettt GG brotha!! nice ta be rolling with,DF,2010-05-03
74,It looks better and better...,patou,2010-05-03
75,agreed fully!)),DF,2010-05-03
76,If it's same CEO we're in good hands,patou,2010-05-03
77,yup thats what im thinking.)heck their holdings worth,DF,2010-05-03
78,"NEWS!Beyond Commerce, Inc. Announces Letter of Intent to",DF,2010-05-04
79,i have a feeling these,DF,2010-05-06
80,that'd be nice,Wayne R,2010-05-06
81,agreed..curious as to when DKMz hits the daily,DF,2010-05-06
82,"NEWSQualityStocks: QualityStocks News - Beyond Commerce, Inc. (BYOC.O",muenther,2010-05-07
83,"""BYOC News"" Beyond Commerce Completes Acquisition of AdJuice, Inc.",B7$4,2010-05-17
84,Wow great news!!!,patou,2010-05-17
85,nice 95k ask hit HOD .075 would love,DF,2010-05-21
86,Just back... What a day out... Finally some,patou,2010-05-21
87,afternoon bro!) yes would love to see 075s,DF,2010-05-21
88,Have any of you guys seen the kaching,woodchuc,2010-05-25
89,"""BYOC News""  Beyond Commerce, Inc. Announces Letter",B7$4,2010-05-26
90,GREAT news imo!),DF,2010-05-26
91,"Just starting my BYOC DD here, but over",levelnever,2010-05-26
92,I like it!!!  eom,Yuri Orlov,2010-05-26
93,Looks good.,Wildbilly,2010-05-26
94,jus got home yesssssss .14 BOOOOOOOOM!,DF,2010-05-26
95,"Nice movement, people waking up I guess",Wayne R,2010-05-26
96,indeed peeps putting 2 and 2 together..ceo and,DF,2010-05-26
97,"Level, this thing is HUGE. I'm locked and",CollegeGrad22,2010-05-26
98,"thanks cg, have only just begun on DD,",levelnever,2010-05-26
99,I bought this news today.. very interested in,amadeus,2010-05-26
100,"info on their management, not your usual pinksheet",amadeus,2010-05-26
101,not to mention BYOCs ceo the founder of,DF,2010-05-26
102,.12 nice hits,gumzsa,2010-05-26
103,.14 HOD up!,DF,2010-05-26
104,if these go watch out!,gumzsa,2010-05-26
105,"Yep, once .14 falls she will be off",CollegeGrad22,2010-05-26
106,agreed mms best have their running shoes on,DF,2010-05-26
107,.14 hits,gumzsa,2010-05-26
108,dar she goes!!,DF,2010-05-26
109,Yeah baby!!!,patou,2010-05-26
110,finally gettin noticed bro!))like clockwork!)))lets hope this is,DF,2010-05-26
111,"reason i'm interested in watching this one, is",amadeus,2010-05-26
112,THE PILE IS WAKING !!!,patou,2010-05-26
113,nice to see indeed bro..,DF,2010-05-26
114,just starting then,Wayne R,2010-05-26
115,great day today lookin for much more,gumzsa,2010-05-26
116,.13,gumzsa,2010-05-27
117,.15,gumzsa,2010-05-28
118,.13 x .14,gumzsa,2010-05-28
119,DKMZ on today's d\l,Churak,2010-06-04
120,nice!!,DF,2010-06-04
121,nice bro,gumzsa,2010-06-04
122,KCKC now 1.00x2.00 BYOC now owns over 80m,DF,2010-06-14
123,I'm all confused over these...no clue...,Churak,2010-06-14
124,hmm well im sure something gonna give here,DF,2010-06-14
125,NYstock report is pumping your stock.  I,Chemistry guy,2010-06-15
126,movin nicely so far so good..and they werent,DF,2010-06-15
127,nice news today imo..,DF,2010-06-24
128,didn't see it...nice,Churak,2010-06-24
129,Slowly going back up,patou,2010-07-08
130,yes it is..,DF,2010-07-08
131,Never seen that many MM on one stock.,patou,2010-07-12
132,i hear ya..BB stocks typically have more MMs,DF,2010-07-12
133,"Up movement, hope to catch .08 n more",patou,2010-08-02
134,yup would love to see this really wake,DF,2010-08-02
135,Sure is PRIMED better n better everyday.,patou,2010-08-02
136,agreed..lets continue to build momentum into Fall all,DF,2010-08-02
137,I feel like a rookie @ training camp.,patou,2010-08-02
138,hahahaha funny..hey dont forget to stretch before practice lol,DF,2010-08-02
139,News out !!! Lets see what up with,patou,2010-08-16
140,sweet bro good stuff!)lets go!!!,DF,2010-08-16
141,Oh well so far....,patou,2010-08-16
142,why it would sell off on that news,DF,2010-08-16
143,I dont get it either,patou,2010-08-16
144,maybei should add here and do the opposite,DF,2010-08-16
145,well their 10.5m owned of Kaching now worth,DF,2010-08-17
146,whoosh! no idea about this one,Churak,2010-08-17
147,ya know lol,DF,2010-08-17
148,k...glty,Churak,2010-08-17
149,tnx ,DF,2010-08-17
150,adding a few more jic..,DF,2010-08-19
151,k..GLTY,Churak,2010-08-19
152,07 now gettin noticed a bit..i figured if,DF,2010-08-19
153,Kaching 1.95 now another milly gained net so,DF,2010-08-19
154,added few more 07..so 065 ave on my,DF,2010-08-19
155,"Recent news..KACHING KACHING, Inc. Announces the Grand Opening",DF,2010-08-19
156,"Beyond Commerce, Inc. (www.beyondcommerce.com) (OTC Bulletin Board: BYOC)",DF,2010-08-19
157,"Beyond Commerce, Inc. Files Multi-Million Dollar Lawsuit Against",DF,2010-08-19
158,"Beyond Commerce, Inc. Announces Launch of New Corporate Brand",DF,2010-08-19
159,"KACHING KACHING, Inc. Announces Implementation of Phase II",DF,2010-08-19
160,waking a bit 071 HOD 08s up could,DF,2010-08-19
161,08s hittin..someone else chippin..nice imo!)),DF,2010-08-19
162,HOD .08 close nice imo!)see what manana brings,DF,2010-08-19
163,"The +38% just might Help get it ""Noticed"".",AUminer,2010-08-19
164,GM..lets see how she closes out the week!,DF,2010-08-20
165,"It's Got my ""Close Attention""!!!  And Green",AUminer,2010-08-20
166,nice nice!)),DF,2010-08-20
167,UTs 8s gobbled 08x09 9s go its on imo,DF,2010-08-20
168,80k ask hit someones chippin UTs .10s up,DF,2010-08-20
169,"Still in here, always thought there was potential,",Wayne R,2010-08-22
170,GM Wayne..yes sir lets see what haps!)),DF,2010-08-23
171,What did happen? ,altonR,2010-08-26
172,got an E added for late filing..BUT on,DF,2010-08-26
173,Thank's !!!,altonR,2010-08-26
174,no prob hopefully they file it shortly..,DF,2010-08-26
175,.036 hittin,gumzsa,2010-09-28
176,nice..still wayy cheap imo..we both know with BYOCs,DF,2010-09-28
177,"KCKC news looks significant, maybe it'll trickle down",Wayne R,2010-10-27
178,GM Wayne..would be fitting..been waiting for wakeage..,DF,2010-10-27
179,"been chippin a few here,",XxJamesAxX,2010-10-28
180,Looking good here!  .03 up on the,GlassCrasher,2010-11-10
181,"Revenues have increased from $ 168,972 for the",biologic,2010-11-16
182,"lesse, they lost 17 million last year selling",Wayne R,2010-11-19
183,30-Dec-2010Change in Directors or Principal Officers,biologic,2011-01-05
184,lookin better!,DF,2011-01-31
185,03 nHOD,DF,2011-01-31
186,nice news today imo,DF,2011-01-31
187,"Beyond Commerce, Inc. Announces Launch of New Daily",DF,2011-01-31
188,note they still own over 10milly of KCKC,DF,2011-01-31
189,cant believe more arent takin notice of todays,DF,2011-01-31
190,There were some major buys near the end,FYB_10,2011-01-31
191,"IMO, this will fly tomorrow! Great support today",FYB_10,2011-01-31
192,fingers crossed..lets roll!,DF,2011-02-01
193,lookin good here,stockbird55,2011-02-01
