post_number,subject,username,date
1,Brazil Gold Reports on Prospecting & Exploration Activities,kiwisteve,2010-05-16
2,Brazil Gold Provides Summary of Western Amazon Properties,kiwisteve,2010-05-16
3,Brazil's Emerging Commodity Market,kiwisteve,2010-05-16
4,Our new gold pick is BRZG trading on,kiwisteve,2010-05-16
5,brzg looking to make a run??,Canadianmoney1,2010-05-17
6,Brazil Gold to Accelerate Exploration Program at Manicore,kiwisteve,2010-05-17
7,i want this to run tomorrow!!haha,Canadianmoney1,2010-05-17
8,Brazil Gold Signs Definitive Agreement for Amazonia Mineral Package,kiwisteve,2010-05-20
9,"It's worth checking out the caliber of Directors,",kiwisteve,2010-05-20
10,this was a paid promotion classic pump n,Canadianmoney1,2010-05-21
11,"Thanks, your input is appreciated, BRZG is on",kiwisteve,2010-05-21
12,it is possible but it most likely wont,Canadianmoney1,2010-05-21
13,Brazil Gold Reports on Exploration at Madeirinha,kiwisteve,2010-05-25
14,Not Brazil Gold Corp - (not to be confused!),kiwisteve,2010-05-31
15,"""BRZG News"" Brazil Gold Completes Amazonia Acquisition",B7$4,2010-06-02
16,Lets see a buck on this one guys.,jc_penny ,2010-06-03
17,Brazil Gold Releases Amazonia Geological Report,kiwisteve,2010-06-16
18,Brazil Gold Appoints Jennings as President & Chief,kiwisteve,2010-07-02
19,bigcharts.marketwatch.com/charts/big.chart?symb=brzg&compidx=aaaaa%3A0&ma,RonnieD,2010-09-01
20,Why isn't there any activity on this board?,Midwestinvest,2011-01-09
21,"Lots of volume coming in here, could be",kiwisteve,2011-01-20
22,Any thoughts on the PR about the LOI,Sho-Nuff,2011-01-21
23,are these guys actually mining any gold or,Mr Kirby,2011-01-25
24,Not sure yet. I'm doing some DD on,Jevabyu51,2011-01-25
25,"i bought in, lets see what these guys",Mr Kirby,2011-01-25
26,So let's see where we go from here?,b4ucry,2011-01-25
27,anyone have confederates in brazil ??,Mr Kirby,2011-01-25
28,INTERESTING STORY HERE.  Hammer,Hammer1,2011-01-26
29,Anyone had contact with IR? Sounds like I'm,Justified,2011-01-26
30,Not to bad the accumulation line looks great.,b4ucry,2011-01-26
31,How high is this bird going to fly?,b4ucry,2011-01-27
32,Nice size blocks going through at ask today.,Justified,2011-01-27
33,Very active from looking back at pass volumes.,b4ucry,2011-01-27
34,Well there you go.,Justified,2011-01-27
35,that's what i am talking about. Nice close.Yes,b4ucry,2011-01-27
36,Brazil Gold Appoints Veteran Mining Exec to Advisory,Pro-Life,2011-01-27
37,"In terms of the weekly chart, It looks",kiwisteve,2011-01-28
38,BRZG Security Details,kiwisteve,2011-01-28
39,I found this promo on BRZG - http://brzgnews.com/index.html,kiwisteve,2011-01-28
40,"Brazil Gold Aggressively ""Prospecting"" in Brazil ",Pro-Life,2011-01-28
41,"i'm out, clean and green. will be back",Mr Kirby,2011-01-28
42,Good to see more volume. And some positive,b4ucry,2011-02-16
43,"Cheers, b4ucry! Doing some DD on BRZG now.",New Waters,2011-02-16
44,Yea wish i would have found this when,b4ucry,2011-02-16
45,Just recently discovered... cup'n handle?,New Waters,2011-02-16
46,Alot of MM trading back and forth. Saw,b4ucry,2011-02-17
47,You would think by now they would have,b4ucry,2011-02-22
48,Gold prices back up over 1400/oz. Come on,b4ucry,2011-02-22
49,B4 add another follower of BRZG. Will try,Al4343,2011-02-24
50,I now see what the action in BRZG,Al4343,2011-02-25
51,"Having read this, is anyone around that can",Al4343,2011-02-25
52,Last post for awhile. My first take is,Al4343,2011-02-25
53,This stock moving up..... no news..... something coming?,SurfinNj,2011-03-03
54,I don't know... tempting to buy back in.,thelaibon,2011-03-03
55,With the price of gold up i would,b4ucry,2011-03-06
56,"According to the company, next week.....progress continues on",Al4343,2011-03-06
57,I've been trying to do DD on this,Randizzle,2011-03-09
58,Well it has been awhile since they posted,b4ucry,2011-03-17
59,Plenty of LOIs and due diligence going on...when,Al4343,2011-03-17
60,and when this 90 days will be over?,Risk,2011-03-17
61,Not a hard & fast 90 days.....BUT the,Al4343,2011-03-18
62,Thanks Al,Risk,2011-03-20
63,I believe we are overdue on some sort,b4ucry,2011-03-21
64,GM BRZGERS,b4ucry,2011-03-22
65,Oh come on let's have some news around here.,b4ucry,2011-03-28
66,It has been quite some time since LOIs,Al4343,2011-03-29
67,I think you are correct. They were putting,b4ucry,2011-03-29
68,Does anyone have a clue what is going,maverictx,2011-04-25
69,"This holds little credibility, but I questioned IR",Al4343,2011-04-25
70,I am still in it at .37. ,maverictx,2011-04-26
71,"WOW .37 ouch, Just stumbled across this, its",New0Castle,2011-04-26
72,IMO Much depends on updating their LOIs....I was,Al4343,2011-04-26
73,Your not kidding.  Ouch!  Will ride,maverictx,2011-04-27
74,"I hear you, I am waiting on assay",New0Castle,2011-04-27
75,news out,Randizzle,2011-05-18
76,Brazil Gold Enters Into Binding Letter of Intent,Al4343,2011-05-18
77,Good to see some progress...FWIW This is the,Al4343,2011-05-22
78,read 10k shell looking for suitor. 92m o/s,PENNYBUSTER,2012-12-31
79,http://otcshortreport.com/BRZG,PENNYBUSTER,2012-12-31
80,http://www.otcmarkets.com/edgar/GetFilingHtml?FilingID=8857267,PENNYBUSTER,2012-12-31
81,http://www.otcmarkets.com/stock/BRZG/chart,PENNYBUSTER,2012-12-31
82,info@brazilgold.com,PENNYBUSTER,2012-12-31
83,Shares Authorized,PENNYBUSTER,2013-01-01
84,Phillip E. Jennings: President and Chief Operating Officer:,PENNYBUSTER,2013-01-01
85,"Common stock at $0.001 par value: 250,000,000 shares authorized,",PENNYBUSTER,2013-01-01
86,http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=B,PENNYBUSTER,2013-01-01
87,BRZG - I Like it down here in,wholelotamoney,2013-01-01
88,BRZG http://www.marketwire.com/press-release/Brazil-Gold-Launches-Next-Generati,wholelotamoney,2013-01-01
89,Talk about a shake out! I wish I,DTGoody,2013-01-10
90,i wasnt paying attention today. was there a,PENNYBUSTER,2013-01-10
91,Somebody let some go today. I had seen,DTGoody,2013-01-10
92,Thanks DTG nice grab at .0007,PENNYBUSTER,2013-01-10
93,You're welcome PB! Any word on this company,DTGoody,2013-01-10
94,i've tried to email and call. no luck,PENNYBUSTER,2013-01-10
95,Cool! Let me know if you hear anything? ,DTGoody,2013-01-10
96,will do :),PENNYBUSTER,2013-01-10
97,i got in on this in May 2010,DugTown1,2013-01-11
98,Ouch!! I am sorry for your loss bud.,DTGoody,2013-01-11
99,BRZG could be biggest mover 2013,Make-a-Bet,2013-01-11
100,LOL thanks!  I guess I will keep,DugTown1,2013-01-11
101,10K,PENNYBUSTER,2013-01-11
102,What's the mineral invention they supposed to have?,Make-a-Bet,2013-01-11
103,BRZG Market Maker VNDM is finally off the,DTGoody,2013-01-11
104,I hope so!,wholelotamoney,2013-01-11
105,"Level II moving up again. .0012, .0013, @",DTGoody,2013-01-11
106,Seller is gone! Short Squeeze Trigger Alert!,Make-a-Bet,2013-01-11
107,Interesting Bio on Phillip Jennings CEO of BRZG;,DTGoody,2013-01-12
108,Can anyone fill me in on why this,SiliconVKid,2013-01-14
109,http://miningalmanac.com/stock/Brazilian-Gold-Corp-BGC-5RDIs this the same c,Shark Attack,2013-01-14
110,This thing looks like it trades for .18,Shark Attack,2013-01-14
111,No.It's this one:  http://sedar.com/DisplayProfile.do?lang=EN&issuerType=03,downsideup,2013-01-14
112,Guess Someone wanted out and whacked it with,DTGoody,2013-01-15
113,Does anyone know the authorized shares or float,SiliconVKid,2013-01-21
114,A/S is 260M per NV SOS site link,mkt_predictor,2013-01-31
115,BRZG .0011 x .0012 Someone is Eyeing This Here!,PENNYBUSTER,2013-02-07
116,BRZG .001 new ceo filing. 260 mill AS,$treet Trader,2013-02-13
117,BRZG .0012,$treet Trader,2013-02-13
118,BRZG .0016,$treet Trader,2013-02-13
119,Conrad Huss new CEO check this >>Effective January,$treet Trader,2013-02-13
120,Great Find Street! Thanks :),PENNYBUSTER,2013-02-13
121,"HMMMMM, thanks ST! HMMMMM.",Zoom-Zoom-Away,2013-02-14
122,yup BRZG looking good,$treet Trader,2013-02-14
123,Took a small starter. Like the 8K. BRZG,Underboss,2013-02-14
124,$BRZG - Looking golden! Happy they allowed us,wholelotamoney,2013-02-15
125,From 8K 2/13/13:,Underboss,2013-02-15
126,"Based on Mr Conrad Huss' credentials (per 8K),",Underboss,2013-02-15
127,BRZG 2/13/13 8K http://www.otcmarkets.com/edgar/GetFilingHtml?FilingID=90,Underboss,2013-02-15
128,BRZG definitely looks like its gonna do something,Underboss,2013-02-15
129,Short DD of BRZG:,Underboss,2013-02-15
130,Very nice breakdown. Thanks,WakingBake,2013-02-15
131,DUDE I hope you are right!been holding this,driver103,2013-02-16
132,"Well, the old management has been replaced by",Underboss,2013-02-16
133,yup I think your on to something! I,driver103,2013-02-16
134,I would think so ;-) I doubt he,Underboss,2013-02-16
135,Booom! 4M bid at .0015!!!,Underboss,2013-02-20
136,Thin as hell BRZG is,WakingBake,2013-02-20
137,.002 bid now!,Underboss,2013-02-20
138,Check this out: The 10-q has a new,StockPrez,2013-02-20
139,That's a good fine. Matches up with that,WakingBake,2013-02-20
140,Expecting to see more filings soon,WakingBake,2013-02-20
141,You're welcome! Also talked to the CEO. News,StockPrez,2013-02-20
142,Thanks. Things heating up. Big question is...WHAT'S coming,Underboss,2013-02-20
143,"Don't know what's coming in, but I think",StockPrez,2013-02-21
144,Yea bro!,Underboss,2013-02-21
145,Nothing like waking up to some green,WakingBake,2013-02-21
146,"up 50%, nice",StockPrez,2013-02-21
147,Serious bidness today ;-),Underboss,2013-02-21
148,BRZG checking this puppy out.....,HDOGTX,2013-02-21
149,"Cool H, welcome aboard. SS is tiny for",WakingBake,2013-02-21
150,I see and signs of RM too...,HDOGTX,2013-02-21
151,BRZG .0034,$treet Trader,2013-02-21
152,$BRZG~~~going to take a bite of this tasty morsel,GEM,2013-02-21
