post_number,subject,username,date
1,This Board is Officially Open!,PowerPole,2005-01-22
2,"Musk,Thanks for putting this board together. I look",AVATAR270,2005-01-23
3,Avatar--I'll post when DD is done...,PowerPole,2005-01-23
4,just published in Barron's!,JUST 10-11-12,2005-01-23
5,oilbaron--Welcome to the Board!,PowerPole,2005-01-23
6,"Powerpole, it might be on the website.",JUST 10-11-12,2005-01-23
7,Bottomed yet?,PowerPole,2005-01-24
8,Here's the article in Barron's on CYTR:,PowerPole,2005-01-24
9,300K Buying Interest Today At ThomsonFN:,PowerPole,2005-01-24
10,"Make that ""400K"" shares...",PowerPole,2005-01-24
11,I'm new to this board.  This is,LickitySplit,2005-01-24
12,Welcome to the Board--LickitySplit!,PowerPole,2005-01-24
13,We are up to 900K Buy Interest at ThomsonFN:,PowerPole,2005-01-24
14,We ended up today with 1.2 Million shares,PowerPole,2005-01-24
15,thanks Brother!!!!,JUST 10-11-12,2005-01-24
16,Some chart analysis chat on CYTR:,PowerPole,2005-01-25
17,"One additional fact I missed ""from the Prophet"":",PowerPole,2005-01-25
18,Todays Chart Chat:,PowerPole,2005-01-25
19,<DELETED>,<DELETED>,2005-01-25
20,<DELETED>,<DELETED>,2005-01-25
21,<DELETED>,<DELETED>,2005-01-25
22,Some DD results on CYTR:,PowerPole,2005-01-29
23,OT--LickitySplit--Chart Reading 101:,PowerPole,2005-01-30
24,"Thanx Powerpole,",LickitySplit,2005-02-01
25,Nice Breakout to the UPside today!,PowerPole,2005-02-02
26,"Yes, this one's beginning to:",LickitySplit,2005-02-02
27,CYTR is on the SHO List:,PowerPole,2005-02-04
28,CytRx to Participate in Alzheimer's and Parkinson's Disease,PowerPole,2005-02-17
29,The Latest News:,PowerPole,2005-02-23
30,Big AH on Friday.  Industry was featured,ease2002,2005-03-19
31,Welcome to the board ease2002!,PowerPole,2005-03-21
32,Awesome NEWS out,PowerPole,2005-03-22
33,"Hey Power,",ease2002,2005-03-24
34,ease...re: your question:,PowerPole,2005-03-26
35,Press Release Source: CytRx Corporation,PowerPole,2005-03-31
36,Here's a link to the latest 8-K:,PowerPole,2005-04-03
37,<DELETED>,<DELETED>,2005-04-03
38,HAPPY NEW YEAR TO ALL!  ;^),PowerPole,2006-01-01
39,"PowerPole - Happy New Year to you, too!",stilltrying,2006-01-16
40,It is looking good. I think till end,ano66,2006-06-06
41,Hi 'ano66'...And Welcome! to the Board...,PowerPole,2006-06-08
42,"Hi power pole,",ano66,2006-06-08
43,OT The reference was in regards to when,monkeyfrog,2006-08-24
44,<DELETED>,<DELETED>,2006-08-24
45,Thanks for that info- !  Thanks again,monkeyfrog,2006-08-24
46,CytRx Receives $24.5 Million from the ALS Charitable,PowerPole,2006-08-29
47,Thanks for the post...I just jumped in and,psichedout,2006-08-29
48,Hi! 'psichedout' and Welcome! to the Board...,PowerPole,2006-08-29
49,"I am just like you guys very, very long.",ano66,2006-08-30
50,It's nice to see you back 'ano66'...It looks like...,PowerPole,2006-08-30
51,hello can anyone explain me what all this,startingboy,2006-08-30
52,CYTR had a nice close today .03 above...,PowerPole,2006-08-30
53,Hi! 'startingboy' and Welcome! to the board...,PowerPole,2006-08-30
54,"In yesterdays action especially the mm cin shorted,",ano66,2006-08-31
55,Look at the premarket. :),ano66,2006-08-31
56,Wow!...Look at CYTR in pre-market today!!!...,PowerPole,2006-08-31
57,this is why yesterday action nice!!!,startingboy,2006-08-31
58,The start of a short squeeze?,ano66,2006-08-31
59,News and price action looking real good: The,Gateway_Stocks,2006-09-01
60,Hi! 'Gateway_Stocks' and WELCOME! To the Board...,PowerPole,2006-09-01
61,"Thnx PowerPole and yes, a major bost for",Gateway_Stocks,2006-09-01
62,I've been in this one since January '05...,PowerPole,2006-09-01
63,"Would be great to close over 1.7, in",ano66,2006-09-05
64,Did anyone listen to the CC?? I did,psichedout,2006-09-07
65,"Much venture capital was there,",ano66,2006-09-07
66,RSI coming off of being overbought...looking for an,Gateway_Stocks,2006-09-07
67,Where is everyone?,psichedout,2006-09-13
68,Hi Sue...This board doesn't get very many posts...,PowerPole,2006-09-13
69,thanks for the post...nice to have a fellow,psichedout,2006-09-14
70,It looks like the MACD will cross over,psichedout,2006-09-14
71,"Good Morning Sue...Yes, I'm ""Long"" this stock...",PowerPole,2006-09-14
72,I think the phase 2a results are coming,ano66,2006-09-15
73,Good Morning 'ano66'...No I didn't see...,PowerPole,2006-09-15
74,"Good morning power pole,",ano66,2006-09-18
75,Good Morning ano66...,PowerPole,2006-09-18
76,"Hi power pole, do your dd, thats always",ano66,2006-09-18
77,CytRx Scientific Advisory Board Member Dr. Craig C. Mello,PowerPole,2006-10-15
78,CytRx to Present at the 2006 BIO InvestorForum...,PowerPole,2006-10-15
79,CytRx's Arimoclomol Meets Primary Safety and Tolerability Endpoints,PowerPole,2006-10-15
80,CytRx Awarded Federal Grant to Explore Novel Type,PowerPole,2006-10-15
81,News for 'CYTR' - (CytRx's Arimoclomol Granted Orphan,PowerPole,2006-10-31
82,'CYTR' - (bellwetherreport.com: Orphaned in Europe) ,PowerPole,2006-10-31
83,News for 'CYTR' - (=DJ Merck's Buy Shows,PowerPole,2006-10-31
84,News for 'CYTR' - (Afternoon Movers: CytRx Corporation.) ,PowerPole,2006-10-31
85,News for 'CYTR' - (CytRx CEO Receives Lou,PowerPole,2006-11-01
86,News for 'CYTR' - (CytRx to Present at,PowerPole,2006-11-03
87,PPS may pick up steam soon ? ,Land Agent,2006-11-03
88,I don't expect the pps to do a,PowerPole,2006-11-03
89,Their product is similar to ACOR and look,Land Agent,2006-11-05
90,Only $4.00?...If they finish Phase III...,PowerPole,2006-11-06
91,News for 'CYTR' - (CytRx Reports Third Quarter,PowerPole,2006-11-13
92,News for 'CYTR' - (CytRx Phase IIa Arimoclomol,PowerPole,2006-11-28
93,HI folks!,mlkrborn,2006-12-01
94,News for 'CYTR' - (CytRx to Present at,PowerPole,2006-12-04
95,Hi! 'mlkr' and...,PowerPole,2006-12-04
96,thnx general!  agree.,mlkrborn,2006-12-04
97,DECIDED TO TRADE IT TO RECOUP MY LOSES!,mlkrborn,2006-12-07
98,News for 'CYTR' - (www.streetinvesting.com: Continuing Our Look,PowerPole,2006-12-08
99,general; ,mlkrborn,2006-12-08
100,News for 'CYTR' - (CytRx Provides Update on,PowerPole,2006-12-18
101,GOOD REENTRY LEVEL?  what do u think,mlkrborn,2006-12-19
102,Hi 'mlkr'...If it keeps up the pattern...,PowerPole,2006-12-19
103,thnx general powell,mlkrborn,2006-12-19
104,;^)),PowerPole,2006-12-19
105,GENERAL POWELL,mlkrborn,2006-12-28
106,WHAT IS THE worst case low level for CYTR?,mlkrborn,2006-12-28
107,I'd like to wish EVERYONE...,PowerPole,2007-01-01
108,If it ever closes below $1.60,PowerPole,2007-01-01
109,THNX GENERAL!,mlkrborn,2007-01-03
110,You're Welcome!  ;^)),PowerPole,2007-01-03
111,General powell Interesting business development plan underway! ,mlkrborn,2007-01-12
112,"News for 'CYTR' - (CytRx Corporation Subsidiary, RXi",PowerPole,2007-01-12
113,There sure isn't much chatter going on on,choo choo trader,2007-01-12
114,"Hey there, I'm on board, LOVE the chart..",wildworks,2007-01-30
115,in @,LMRI T/A,2007-01-31
116,"acting a little postive today, will keep the",wildworks,2007-01-31
117,Sorry now I bought stock without knowing they,Coopermun,2007-04-18
118,Sold all. Enjoy your greed cytr,Coopermun,2007-04-18
