post_number,subject,username,date
1,"Interesting company, hard to believe it has not",kphone2004,2005-05-11
2,Been in this company for over 2 years,ceez,2005-05-12
3,.,Gateway_Stocks,2006-02-22
4,Your Director took possession of  a lot,energymanNJ,2007-04-18
5,do you still own this? I bought after,energymanNJ,2007-04-21
6,anyone still here?,USC-Trader,2007-07-20
7,Just added this to my Portfolio. 2000 shares,SharonB,2007-12-10
8,Why? Japanese patent granted to Delcath Systems Inc,SharonB,2007-12-10
9,Why: Insider Transaction Summary — Last 6 Months,SharonB,2007-12-10
10,"Daily updated chart..http://stockcharts.com/h-sc/ui?c=dcth,uu[h,a]daclyyay[pb50!b200!f][vc60][iut!ub",SharonB,2007-12-11
11,The Delcath System ( What it is ),SharonB,2007-12-11
12,Date Open High Low Last Change Volume %,SharonB,2007-12-11
13,Delcath investor... Hey delcath is going strong. I,philife,2008-08-18
14,News today - big jump.,daveyjones22,2009-02-04
15,My  broker at GMP recommended this stock.,Xplosivestocks,2009-02-04
16,This is a great piece of news. ,Xplosivestocks,2009-02-04
17,Are you still in?,Xplosivestocks,2009-02-04
18,DCTH is coming alive,Xplosivestocks,2009-02-04
19,Nice close on Friday,Xplosivestocks,2009-02-14
20,Quiet,Xplosivestocks,2009-02-19
21,Back to where I got in,Xplosivestocks,2009-02-20
22,I'd like to see this one move!,daveyjones22,2009-03-18
23,Crazy slow.,Xplosivestocks,2009-03-18
24,Big Day!  Need to get more interest,daveyjones22,2009-03-23
25,Sneaking up to 2; 3 in the future!,daveyjones22,2009-03-31
26,Hit 2.00 today!!!,daveyjones22,2009-04-14
27,busting out opened near 2.50 and settling at,daveyjones22,2009-04-15
28,3.01 high today - hopes of big news,daveyjones22,2009-04-15
29,New high today.  Lots of interest and,daveyjones22,2009-05-07
30,Anyone have idea re timeline on FDA??,chilar4567,2009-05-26
31,I think they need to finish Phase III,daveyjones22,2009-05-27
32,Phase III ,daveyjones22,2009-05-27
33,"davey, thx. please don't construe this as spaming,",chilar4567,2009-05-27
34,Great News - $4 pre-market.  New high,daveyjones22,2009-06-02
35,There is one analyst that put out some,philife,2009-06-30
36,Hoping the potential for a short squeeze occurs,chilar4567,2009-07-30
37,4 days till the short squeeze? ,dumber6,2009-08-05
38,"Can it possibly not be correct, the 10",dumber6,2009-08-05
39,IT SURE AIN'T ACTING VERY HEALTHY!,chilar4567,2009-08-05
40,STILL DOWN!!!!!,dumber6,2009-08-06
41,Looks like the shorts were right and there,chilar4567,2009-08-13
42,No doubt who is in charge of whats,chilar4567,2009-08-17
43,still 1 mil shares short.  shorts rule! (unfortunately),chilar4567,2009-08-27
44,Sold a few & bot em back to,chilar4567,2009-09-02
45,Did they buy back the shorts on the,dumber6,2009-09-03
46,"dumber, still lot of shorts out there:",chilar4567,2009-09-03
47,NOW LOOKS LIKE THE SHORTS ARE FINALLY ON,chilar4567,2009-09-16
48,The Buzz: Business news,Millenium323,2009-11-20
49,ISTOCKAnalyist.com and Tradingmarkets.com,Millenium323,2009-11-20
50,Delcath Systems Reports Substantial Progress (Nov 19),Millenium323,2009-12-07
51,By the way the recent addition of Dr.,Millenium323,2009-12-09
52,DCTH has the potential to break-out to the,thxbiotech,2010-01-07
53,yep .. ,fourkids_9pets,2010-01-09
54,Just found out about this one... Looks promising.,Camaro1093,2010-02-07
55,News should be out by April on Phase,Camaro1093,2010-02-07
56,Delcath Systems Begins Data Analysis of Phase III Trial,Camaro1093,2010-02-07
57,Lots of insider purchases recently: http://www.mffais.com/dcth,Camaro1093,2010-02-07
58,Delcath Signs First Partner Agreement in Asia,Camaro1093,2010-02-10
59,Delcath to Initiate Expanded Access Treatment Program for,Camaro1093,2010-02-16
60,Delcath Systems Names Michael D. Dellario as Vice,Camaro1093,2010-03-01
61,Do you think DCTH will PR the ph,Kenticus Maximus,2010-03-10
62,http://www.sec.gov/Archives/edgar/data/872912/000119312510065904/ds3.htm,Millenium323,2010-03-24
63,Nice day today...,Millenium323,2010-03-25
64,Millenium323:  Hello.  I had forgotten about,bbotcs,2010-03-25
65,"Hello bbotcs, yes this stock is a bit",Millenium323,2010-03-25
66,Maybe the results of the American Phase III,bbotcs,2010-03-25
67,The move continues.  Good volume again today.,bbotcs,2010-03-26
