post_number,subject,username,date
1,Dolat Ventures Inc. to Acquire 100% of Dove,tk2007,2009-11-20
2,Smart move into diamonds,BRIG_88,2009-11-21
3,Looks like an interesting shell has been rolled over,BRIG_88,2009-11-21
4,Dove sells cut diamonds...end use,BRIG_88,2009-11-21
5,DOLV info: http://www.pinksheets.com/pink/quote/quote.jsp?symbol=dolv#getCompany,BRIG_88,2009-11-21
6,"PSC email: DOLV, We know mining, WE BROUGHT",RULiquid,2009-11-22
7,Hmm....I may have to keep my eye on,Larry_Hughes,2009-11-22
8,Sierra Leone? Kanye West said its Blood Dimonds.,stocktrader001,2009-11-22
9,Watchlist--DOLV,THECRAPSMAN,2009-11-23
10,Anyone BUYING today?,Dick P,2009-11-23
11,"TD AMERITRADE states ""The symbol could not be",Dick P,2009-11-23
12,Dolat Ventures Inc. to Acquire 100% of Dove,BRIG_88,2009-11-23
13,why would PSC announce in their e-mail that,Weak4WallST,2009-11-23
14,it looks like the symbol change was FRIDAY,Dick P,2009-11-23
15,I'm trying to dig up some information on Dove,BRIG_88,2009-11-23
16,"Form 8-K for DOLAT VENTURES, INC.",BRIG_88,2009-11-23
17,I'm showing .35 by .80 premarket,BRIG_88,2009-11-23
18,i hope thats wrong!  TOO HIGH!,Dick P,2009-11-23
19,Can't get my arms around it yet....let's see,BRIG_88,2009-11-23
20,Interesting,InvestorSuisse,2009-11-23
21,is DOLV still the symbol?,Anxious_1,2009-11-23
22,""" With the economic climate you can say",$tock Rev,2009-11-23
23,Showing .80 bid....,SHORT CABAL,2009-11-23
24,What's the share structure?,InvestorSuisse,2009-11-23
25,Same here on L2  .80 bid no,BRIG_88,2009-11-23
26,Geeeez...opens .80 up .60,BRIG_88,2009-11-23
27,""" Is this another one of your amazing",$tock Rev,2009-11-23
28,Gold is going through the roof and diamonds,BRIG_88,2009-11-23
29,"yea ONE MORON bought 5,000 shares...  its",Dick P,2009-11-23
30,"+325% .80 X .85, another incredible call BRIG!!!",SHORT CABAL,2009-11-23
31,Looks like an order imbalance to the buy,BRIG_88,2009-11-23
32,Geeeeezzz.....monstering here,BRIG_88,2009-11-23
33,Nuts!!!  $2+ today?,SHORT CABAL,2009-11-23
34,All out boomer so faaaaarrr .85!!,BRIG_88,2009-11-23
35,Little trades going off at .85,SHORT CABAL,2009-11-23
36,""" True enough and Diamonds have always been",$tock Rev,2009-11-23
37,Its Blood Dimonds but i guess no one,stocktrader001,2009-11-23
38,There's no volume and this went up 350%??,Kiwi99,2009-11-23
39,Very tiny float apparently.,SHORT CABAL,2009-11-23
40,something FISHY going on!  i smell a RAT!,Dick P,2009-11-23
41,Really nice potential from the web page this,$tock Rev,2009-11-23
42,"It wasn't a purchase, it was a SALE.",Chunky Munky,2009-11-23
43,Dick I do not agree with you often,TEFFY-TRADER,2009-11-23
44,LOL...  BUY at HIGH now..  SELL,Dick P,2009-11-23
45,This looks good Hudson on ask with no,TEFFY-TRADER,2009-11-23
46,the most people are not even able to,stocktrader001,2009-11-23
47,you mean buy at  90 cent now,billiondollarman,2009-11-23
48,HOW MANY WERE PICKED UP @ .50? ,Dick P,2009-11-23
49,I know this company very well and we,seankonnery,2009-11-23
50,DOLV = US2565961073,LuckyMe77,2009-11-23
52,"thanks but still nothig comes up, its okay",stocktrader001,2009-11-23
53,Am i seeing this correctly? .55 by .85?,BRIG_88,2009-11-23
54,I show a bid of .70,SHORT CABAL,2009-11-23
55,Thanks...i think my streamer and L2 is screwed,BRIG_88,2009-11-23
56,.70 X .85 I'm snhowing with some volume,SHORT CABAL,2009-11-23
57,That .90 hod print correct as well?,BRIG_88,2009-11-23
58,Absolutely.,SHORT CABAL,2009-11-23
59,*** DOLV showing .55 by .85 looking really,$tock Rev,2009-11-23
60,is there an Oceanic promotion coming on this?,Modern_Rock,2009-11-23
61,PSC pump DOLV actually just out on this ahahah!,Modern_Rock,2009-11-23
62,"i was right, some sort of promo started",Modern_Rock,2009-11-23
64,Here's the PSC twitter on this upcoming pump.,Modern_Rock,2009-11-23
65,Driving back up toward hod into the close,BRIG_88,2009-11-23
66,PSC paid $80k to pump DOLV wowsers! See,Modern_Rock,2009-11-23
67,Some nice money made here today....congrats to all!!!,BRIG_88,2009-11-23
68,Yes PSC made $80k!  The stock opened,Modern_Rock,2009-11-23
69,DOLV A/H NEWS 11/23!!,BOOKER,2009-11-23
70,*** Really nice news after hours nice find,$tock Rev,2009-11-23
71,And you are shocked that there is news?,Modern_Rock,2009-11-23
72,Typical pinkssheet bs press release.  lol,Slojab,2009-11-23
73,This not a pinksheet stock.,seankonnery,2009-11-23
74,Lol AH news...who would have thunk it?,MONEYMADE,2009-11-24
75,$2.66,Weak4WallST,2009-11-24
76,** Really nice potential showing from the after,$tock Rev,2009-11-24
77,Dolat Ventures to Focus on West Africa Mining,BRIG_88,2009-11-24
78,Looks to me like the blood diamond issue,BRIG_88,2009-11-24
79,.77 X 1.00 - looks like another rally today!,SHORT CABAL,2009-11-24
80,I stand corrected as the ask has risen,BRIG_88,2009-11-24
81,Here's some background on Sierra Leone diamond production,BRIG_88,2009-11-24
82,Nice find and an interesting read!,SHORT CABAL,2009-11-24
83,Bloody history there but if a stable gov,BRIG_88,2009-11-24
84,Even a NYSE company can put out a,Slojab,2009-11-24
85,.80 X 1.00,SHORT CABAL,2009-11-24
86,DOLV opens up at a buck on NEWS!!,BRIG_88,2009-11-24
87,* From reading the release yesterday it looks,$tock Rev,2009-11-24
88,DOLV hanging tough on a holiday shortened week....next,BRIG_88,2009-11-24
89,* That is true enough this week a,$tock Rev,2009-11-24
90,"Wow remember yesterday ""stay away from this one",billiondollarman,2009-11-24
91,Diamonds are HUGE money...what's not to like?,BRIG_88,2009-11-24
92,Hey you are the wealthy preacher preaching to,billiondollarman,2009-11-24
93,** true statement and also a nice commodity,$tock Rev,2009-11-24
94,** To Promote Social and Economic Development in,$tock Rev,2009-11-24
95,Dolat Ventures Explores Community Initiative Project for West Africa,SHORT CABAL,2009-11-24
96,*** This is how you give back to,$tock Rev,2009-11-25
97,*** Diagram of how the play and pump,$tock Rev,2009-11-25
98,Dolat Ventures Explores Community Initiative Project for West Africa,BRIG_88,2009-11-25
99,Smart move to be involved with the community,BRIG_88,2009-11-25
100,By helping others to have a better existence,$tock Rev,2009-11-25
101,"In many communities in Sierra Leone, there is",BOOKER,2009-11-25
102,DOLV why Sierra Leone?,BPStocks,2009-11-25
103,DOLVRough Diamond Prices Continue to Rise,BPStocks,2009-11-25
104,"""DeBeers is the biggest player in the diamond",BPStocks,2009-11-25
105,Diamond show a continued uptrend over the last,BPStocks,2009-11-25
106,DOLV is talked highly upon all over!,BPStocks,2009-11-25
107,Thank you BP. You have been most informative...and INSPIRING!!,seankonnery,2009-11-25
108,*** Looking forward to the potential today holds ***,$tock Rev,2009-11-27
109,*** Picture of actual playpump system ***,$tock Rev,2009-11-27
110,Some statistics on the diamonds DOLV is pursuing:,BRIG_88,2009-11-27
111,That is a lot of production imo,$tock Rev,2009-11-27
112,SL is working hard to get off that,BRIG_88,2009-11-27
