post_number,subject,username,date
1,ECOS Group Signs Major Contract,LorenS,2001-01-29
2,"Loren,Pleasure to see you here!",Mattu,2001-01-29
3,"Loren, welcome to iHub.  Please come tell",Archangel,2001-01-29
4,"Matt and Arch,",LorenS,2001-01-30
5,<DELETED>,<DELETED>,2001-01-30
6,<DELETED>,<DELETED>,2001-01-30
7,<DELETED>,<DELETED>,2001-01-30
8,"ECOS Group, Inc. Announces Share Exchange Agreement With",LorenS,2001-06-26
9,<DELETED>,<DELETED>,2001-06-26
10,<DELETED>,<DELETED>,2001-06-26
11,<DELETED>,<DELETED>,2001-06-26
12,<DELETED>,<DELETED>,2001-06-26
13,<DELETED>,<DELETED>,2001-06-26
14,<DELETED>,<DELETED>,2001-06-26
15,<DELETED>,<DELETED>,2001-06-26
16,<DELETED>,<DELETED>,2001-06-26
17,Shares of ECOS look to be stabilizing and,pro_trader,2008-10-14
18,picked up a few shares at the bid,uptickrick,2008-10-16
19,got a heads up on this one and,uptickrick,2008-10-16
20,needed to post 3 times to be made,uptickrick,2008-10-16
21,ok...how about one more...lol,uptickrick,2008-10-16
22,The more I read the more I like ,uptickrick,2008-10-16
23,Something appears to be up with shares of,pro_trader,2008-10-17
24,the whole concept of carbon credits and the,uptickrick,2008-10-17
25,Shares of ECOS surged almost 9% in another,pro_trader,2008-10-19
26,today's volume might be telling the tale here.,uptickrick,2008-10-20
27,Despite the fact that shares gave-up a little,pro_trader,2008-10-20
28,The trading range on ECOS is getting tighter,pro_trader,2008-10-23
29,Here is a chart that really caught my,chuck44l,2008-10-26
30,"After  a high-volume shakeout last Friday, shares",pro_trader,2008-10-26
31,picked up a few more shares on Friday.,uptickrick,2008-10-26
32,Common Questions regarding Carbon Credits,uptickrick,2008-10-26
33,Looks like front loaders are pleased to sell,Sola Fide,2008-10-27
34,It is ashame because ECOS has some very,uptickrick,2008-10-27
35,ECOS Video chart by claytrader. ,chuck44l,2008-10-27
36,Current Promotion....,Sola Fide,2008-10-28
37,"I received the ""profile"" for ECOS from Beacon",uptickrick,2008-10-28
38,EcoloCap Signs New Carbon Credit Projects in China,uptickrick,2008-10-28
39,I likewise agree there does appear to be,Sola Fide,2008-10-28
40,I couldn't agree more.  whoever the seller,uptickrick,2008-10-28
41,WOW great news. Thanks for sharing,chuck44l,2008-10-28
42,"MONTREAL, QUEBEC, Oct 28, 2008 (MARKET WIRE via",pro_trader,2008-10-28
43,It's interesting to see a transfer agent that,MARKETEDGE,2008-10-29
44,"With three long ""hammer"" candles signaling a rejection",pro_trader,2008-10-30
45,Shares of ECOS continue to hold support and,pro_trader,2008-11-02
46,The trading range on ECOS continues to get,pro_trader,2008-11-05
47,The coiled-spring looks to be snapping to the,pro_trader,2008-11-07
48,Shares of ECOS are still holding their 13,pro_trader,2008-11-18
49,High volume sell-off into support may have marked,pro_trader,2008-12-01
50,Shares of ECOS rallied over 5% as the,pro_trader,2008-12-04
51,Shares of ECOS look poised for a breakout,pro_trader,2008-12-10
52,Shares of ECOS are sitting just below the,pro_trader,2008-12-18
53,EcoloCap to Make Important Acquisition,di4,2009-05-27
54,None,di4,2009-05-27
55,A highly regarded 'picker' over on SI named,ksuave,2009-06-09
56,PPS increasing in a very silent manner...,uptickrick,2009-06-14
57,ECOS - .35,ksuave,2009-06-15
58,ECOLOCAP SOLUTIONS (ECOS.OB) Looks poised for a breakout!,VincentS,2009-06-17
59,Shares ECOLOCAP SOLUTIONS(OTC BB: ECOS.OB look poised to,VincentS,2009-06-18
60,"ECOS7-21-08 watch list, story is still great with",alien42,2009-07-13
61,ECOS ECOLOCAP SOLUTIONS A very nice move today,chuck44l,2009-09-08
62,ECOS-EcoloCap Solutions Ltd.,JAV,2009-09-09
63,Another green day on low volume keep this,chuck44l,2009-09-09
64,ECOS-ECOLOCAP SOLUTIONS,JAV,2009-09-10
65,I see that Rich Roon / OTC Reporter,STOCKBULLY,2009-09-10
66,I bought the stock yesterday at .17 and,ronsha,2009-09-10
67,If you bought yesterday you must have had,STOCKBULLY,2009-09-10
68,"OTC Reporter.com, LLC and/or its affiliates have received",laurap,2009-09-10
69,one's posting history can be most insightful at times...:),laurap,2009-09-10
70,"biggest volume day ever today, sells outnumber buys,",laurap,2009-09-10
71,ECOS video chart by TI,Jason Bond,2009-09-10
72,100%,STOCKBULLY,2009-09-10
73,"what's that like the Jesse James Gang??-lol Listen,",ronsha,2009-09-10
74,carbon credits are a win win situation imo,$tock Rev,2009-09-10
75,CHECK OUT BCLE IN THE AM. RUMORS OF,ronsha,2009-09-10
76,"thanks but no thanks, watched it trade for",laurap,2009-09-10
77,"""something flying all over""  strange I am",STOCKBULLY,2009-09-10
78,ECOS is no longer in the carbon credits,STOCKBULLY,2009-09-10
79,"""Get in get out that how i make",laurap,2009-09-10
80,"well, isnt that the way to make money",ronsha,2009-09-10
81,I bought the stock yesterday at .17 and,laurap,2009-09-10
82,so the ibox is wrong..................good morning,$tock Rev,2009-09-11
83,CER (carbon credits) business: This is from the,Katfish,2009-09-15
84,you might want to get up to speed,STOCKBULLY,2009-09-15
85,"Let's see now, ECOS now owns 55% of",Katfish,2009-09-15
86,they were never in the CER business...at least,STOCKBULLY,2009-09-15
87,"I just talked to IR, and the CER",Katfish,2009-09-16
88,ECOS - .13/.14 This is supposed to be,Katfish,2009-09-16
89,ECOS news 9/16 after-market,JAV,2009-09-16
90,good luck to you,STOCKBULLY,2009-09-16
91,ECOS - The news is very good with,Katfish,2009-09-17
92,ECOS + 7% With increasing volume over the,chuck44l,2009-09-17
93,Think they will focus on EM fuel and,FanPaw,2009-09-24
94,Looks like I need to put this on,mrtitan,2009-09-28
95,"ECOS-EcoloCap Solutions, Inc. news 9/28 after-market",JAV,2009-09-29
96,ECOS has the story but needs more volume.,alien42,2009-09-29
97,agreed.....a little hype here could make this explode,fud,2009-09-29
98,"Yes, they have the story. Is there more? ",FanPaw,2009-09-30
99,GM everyone.,Katys hotstocks,2009-10-05
