post_number,subject,username,date
1,A pure example of ihub only playing the duds.,Phoenix-Rising,2008-02-10
2,"So, did u play this? Caught this on",buschboy,2008-02-21
3,RTTNews) - NextGen (NXGB.PK) acquired ownership rights of,don schild,2008-04-08
4,Any one knows why this stock is dropping,longonotc,2008-04-28
5,NXGB .042 NOW,freepenny911,2008-06-05
6,wow very strong buy could open .10 cent Tom,freepenny911,2008-06-05
7,Anyone care to speculate as to what is,OTC BB King,2008-06-05
8,Monday could see .25+,freepenny911,2008-06-05
9,Why is that?,stayfocused,2008-06-05
10,we just starting,freepenny911,2008-06-05
11,not bad for today green,freepenny911,2008-06-05
12,Do you wana know my story Ok I,longonotc,2008-06-06
13,I bought at .16 back in April funny,longonotc,2008-06-06
14,I agree with freepenny I tell you why,longonotc,2008-06-06
15,One more thing all the downfall went down,longonotc,2008-06-06
16,Don't worry this stock going back to .25,freepenny911,2008-06-06
17,PROFIT TAKEN I loaded @.03,freepenny911,2008-06-06
18,Time to add more,freepenny911,2008-06-06
19,just add 200k .02,freepenny911,2008-06-06
20,I guess .25 is out of the cards now?,OTC BB King,2008-06-06
21,"My god, what a collapse, down to .011",buxmaker,2008-06-06
22,no reason this going down like this MM's playing,freepenny911,2008-06-06
23,I add 380K we will see next week,freepenny911,2008-06-06
24,"This is wild, we didnt know why it",OTC BB King,2008-06-06
25,"Any news out, this isn't just profit taking.",stayfocused,2008-06-06
26,"no news i found ,some bought .005 now",freepenny911,2008-06-06
27,K thanks.,stayfocused,2008-06-06
28,someone sold 1MLN @market price that whu is,freepenny911,2008-06-06
29,"Thanks for the info, guess they wanted to",stayfocused,2008-06-06
30,"1.8MLN shr sell at market price ,,time to",freepenny911,2008-06-06
31,"LOL, you really think this thing is going",buxmaker,2008-06-06
32,"OK, I'm in for 37k shares at .015",Cuppy,2008-06-06
33,I will buy more just to even out,longonotc,2008-06-06
34,"Sorry about NXGB, what a disaster.",buxmaker,2008-06-06
36,"Yes, ASFX should see at least .05 over",OTC BB King,2008-06-06
37,Anyone have the news behind this trading action today?,Cuppy,2008-06-06
38,"OTC BB King, interesting posts from other boards:",idaho_spud,2008-06-07
39,Like the posting said in the link I,longonotc,2008-06-07
40,"Interesting, thanks.",OTC BB King,2008-06-07
41,I dont understand the volume dried up,longonotc,2008-06-09
42,The only significant news that came out near,Cuppy,2008-06-09
43,All I know there was collaboration with another,longonotc,2008-06-09
44,I feel news out today,freepenny911,2008-06-11
45,Zero volume. Good or bad? Lack of interest,Cuppy,2008-06-12
46,all waiting for news maybe merger or buy,freepenny911,2008-06-12
47,yessss I add more .011,freepenny911,2008-06-12
48,I will wait for big news next week,freepenny911,2008-06-12
49,This going UT .50+ someone sold @ market price,freepenny911,2008-06-12
50,it hasn't been any news since before the,longonotc,2008-06-27
51,no idea,freepenny911,2008-08-15
52,?,freepenny911,2008-08-27
53,thank God it is moving finally,longonotc,2008-11-03
54,I hope news is coming soon,longonotc,2008-11-03
