post_number,subject,username,date
1,12:54 4/14/2010 GGOC Global Gold Corporation Common Stock,JJSeabrook,2010-04-13
2,"March 24, 2010   Caldera Resources Inc.",HDOGTX,2010-05-19
3,GM - what is the float here,frans,2010-11-05
4,Share Structure,HDOGTX,2010-11-05
5,Found the post split bottom? I see Beacon's,Zorro,2010-11-05
6,"Zorro,got the same e-mail. Do you know anything",mowsmows,2010-11-05
7,Looks like the share structure has been reversed back.,mowsmows,2010-11-05
8,Gold is up to 1397 today,mowsmows,2010-11-05
9,"wonder if this will get any traction, the",mowsmows,2010-11-05
10,Only that they did a 100 to 1,Zorro,2010-11-05
11,Not the time to be holding dollars in,Zorro,2010-11-05
12,In for a bit here volume got my attention,amtmommy,2010-11-08
13,volume has picked up!,rebelpenny,2010-11-08
14,"Excel Gold Mining Inc. (EGM, TSX.V) (the ""Company""",rebelpenny,2010-11-08
15,"Nice, looking at their website they look to",amtmommy,2010-11-08
16,"GGOC moving .15 printing,",amtmommy,2010-11-09
17,More volume coming in at .15- Jr. Mining,amtmommy,2010-11-09
18,Premarket L2 .15x.25 let's see how it trades,amtmommy,2010-11-10
19,"Another thin one here, just needs buying pressure",amtmommy,2010-11-10
20,Soemthing brwing for sure .15 x .18 .18 print,amtmommy,2010-11-12
21,6 grand hit at ask on GGOC into,amtmommy,2010-11-12
22,"GGOC closed HOD .18,",amtmommy,2010-11-12
23,I picked up stock here last week. ,misterridethewave,2010-11-15
24,What do you think of the GGOC news,misterridethewave,2010-11-17
25,I think they got a great deal for,Zorro,2010-11-17
26,Agreed.  GGOC is being careful.  I,misterridethewave,2010-11-17
27,Super quiet here.  The company needs to,misterridethewave,2010-12-12
28,Are you still in,misterridethewave,2010-12-12
29,Did you buy stock here,misterridethewave,2010-12-12
30,Volume has dried up.  Maybe news will,misterridethewave,2010-12-12
31,I think next week we see a bounce,misterridethewave,2010-12-12
32,"hold small position, sold most at highs waiting",rebelpenny,2010-12-13
33,I assume news is coming.,misterridethewave,2010-12-17
34,Cleaned up the board.  We could be,misterridethewave,2010-12-17
35,<DELETED>,<DELETED>,2010-12-17
