post_number,subject,username,date
1,New ticker,Fastmoney1,2015-03-07
2,Any info on this company is welcomed,Fastmoney1,2015-03-07
3,Trying to get in at .01 with 50k,Twicebacked,2015-03-08
4,We need some news!! ,Fastmoney1,2015-03-24
5,When is the deadline for the forward split?,DieselJoe,2015-03-24
6,Interesting HMPQ. Moving into CBD's as well.,KUMO TWIST,2015-03-30
7,Explain to me please why this new company,decouverte d Elbe,2015-04-07
8,Ok I spoke with Mr. Rozillo. This company,decouverte d Elbe,2015-04-07
9,This is a New company! The q is,decouverte d Elbe,2015-04-07
10,"$HMPQ Great Name....""=/",captainscotty,2015-04-08
11,Here's the news! I found it by chance-hasn't,decouverte d Elbe,2015-04-08
12,Here's the link for the new website. HMPQ,decouverte d Elbe,2015-04-08
13,"HempAmericana Inc. in TriBeCa, NYC, NY, Provides 1ST",decouverte d Elbe,2015-04-08
14,Nutritional Hemp Hearts & Fiber,decouverte d Elbe,2015-04-08
15,"http://www.hempamericana.com/New company, with a variety of new hemp",decouverte d Elbe,2015-04-09
16,Just started trading!  ,decouverte d Elbe,2015-04-09
17,Fiber & Heart,decouverte d Elbe,2015-04-09
18,"HempAmericana Inc. in TriBeCa, NYC, NY, Provides 1ST",decouverte d Elbe,2015-04-09
19,WWW.HEMPAMERICANA.COM ,decouverte d Elbe,2015-04-09
20,100% PURE HEMP ROLLING PAPERS - 40 sheets,decouverte d Elbe,2015-04-09
21,"WWW.ROLLINGTHUNDERS.COM, is a wholly owned SUBSIDIARY of HEMPAMERICANA",decouverte d Elbe,2015-04-09
22,HMPQ in the process of adding new distributors,decouverte d Elbe,2015-04-09
23,HMPQ..New ticket at the perfect time..MJ stocks are hot!,Bruce the Stock Guy,2015-04-09
24,New company. Bid has been increasing volume slow.,decouverte d Elbe,2015-04-10
25,Welcome aboard Thanks for the info.,Fastmoney1,2015-04-10
26,HMPQ..Not your typical diluting start up..This one has,Bruce the Stock Guy,2015-04-10
27,100% hemp rolling papers is gold ! Yes,Fastmoney1,2015-04-10
28,<DELETED>,<DELETED>,2015-04-10
29,What's the story with this one? Looks like,iTrendz,2015-04-11
30,HMPQ should be delivering news soon on new,decouverte d Elbe,2015-04-13
31,PPS she has to come down a bit :-),Hennypennyaz,2015-04-13
32,and volume needed!,decouverte d Elbe,2015-04-13
33,<DELETED>,<DELETED>,2015-04-13
34,<DELETED>,<DELETED>,2015-04-13
35,"HMPQ has hemp-based products on the market today,",decouverte d Elbe,2015-04-14
36,HMPQ is formulating their own Hemp based energy,decouverte d Elbe,2015-04-15
37,Hemp Americana now in over 40 stores nationwide,decouverte d Elbe,2015-04-18
38,<DELETED>,<DELETED>,2015-04-18
39,<DELETED>,<DELETED>,2015-04-18
40,Hempamericana products now sold in 35 stores in,decouverte d Elbe,2015-04-22
41,HMPQ will rock! New distributors nationwide being sought,decouverte d Elbe,2015-04-24
42,$HMPQ Very Low Float 11.8M shares. They are,GalacticGreen,2015-04-25
43,HMPQ looks like an interesting new company to watch,decouverte d Elbe,2015-04-30
44,Bid moving up. Volume very quiet.,decouverte d Elbe,2015-05-12
45,"Interesting company, time for some DD.",kenco,2015-06-10
46,"With the limited info available, it's hard to",kenco,2015-06-10
47,"Kind of agree with you here, just going",kenco,2015-06-10
48,It's also a good sign to see they,kenco,2015-06-10
49,Rolling Thunders Hemp Paper Now Available in Over,decouverte d Elbe,2015-06-15
50,"Form 8-K for HEMPAMERICANA, INC. ",decouverte d Elbe,2015-06-15
51,HMPQ adds 500 Additional Locations to Buy Rolling,decouverte d Elbe,2015-06-15
52,Looks like she's done boys!!,ForReal,2015-06-15
53,HMPQ terminated registration:,Renee,2015-06-15
54,HMPQ has only just started BIG NEWS!,decouverte d Elbe,2015-06-16
55,HMPQ -next generation grow lights cuts time down,decouverte d Elbe,2015-06-16
56,<DELETED>,<DELETED>,2015-06-16
57,More great News Today HMPQ,decouverte d Elbe,2015-06-16
58,HMPQ only dropped their QB status. Far from,decouverte d Elbe,2015-06-16
59,"100,000 volume! And a tiny float!  These",decouverte d Elbe,2015-06-16
60,HMPQ .20 X .30.  Company actively searching,decouverte d Elbe,2015-06-18
61,HMPQ in full compliance on OTC,decouverte d Elbe,2015-06-18
62,"Independence LED is based in Wayne, Pennsylvania, with",decouverte d Elbe,2015-06-18
63,Peeps sleeping on this one...,FrankWhite ,2015-06-18
64,Hi,stockticks,2015-06-21
65,".13 x .22  spread tightens, tight float",decouverte d Elbe,2015-06-26
66,Looks like .10 x .14 now. Maybe .08,beachsideeddy2,2015-07-10
67,http://finance.yahoo.com/news/hempamericana-executes-strategic-partnership-indep,decouverte d Elbe,2015-07-13
68,Adds 500 Additional Locations to Buy Rolling Thunders,decouverte d Elbe,2015-07-13
69,"HempAmericana, Inc. (HMPQ), a researcher, developer and marketer",decouverte d Elbe,2015-07-13
70,not bad-low volume but they are keeping the,decouverte d Elbe,2015-07-16
71,News today  http://finance.yahoo.com/news/hempamericana-expands-retail-availabil,decouverte d Elbe,2015-07-20
72,"July 20, 2015 / HempAmericana, Inc. (HMPQ), a",decouverte d Elbe,2015-07-20
73,HempAmericana poised to enter Colorado market with new,decouverte d Elbe,2015-07-21
74,New York's Medical Marijuana Licenses Expected to Be,decouverte d Elbe,2015-08-03
75,HempAmericana on YouTube-Rolling Thunder,decouverte d Elbe,2015-08-03
76,Same float 11 million. Good buying ops before,decouverte d Elbe,2015-08-24
77,Wow! More new product news Energy Drink,decouverte d Elbe,2015-08-30
78,HempAmericana Expands Availability to Mobile Vending Trucks with,decouverte d Elbe,2015-08-30
79,"Mama Coca, is an all natural hemp-based 8-hour",decouverte d Elbe,2015-08-31
80,"HempAmericana CEO Salvador Rosillo ""We are delighted to",decouverte d Elbe,2015-08-31
81,"Good volume day 50,000. Just the beginning. HMPQ",decouverte d Elbe,2015-09-01
82,HempAmericana will be bringing it's own hemp relaxation,decouverte d Elbe,2015-09-03
