post_number,subject,username,date
1,"04/25/13...Intelligent Highway Solutions, Inc. Announces Public Trading of",kimzerfantastik,2013-04-25
2,Keeping a close eye on this stock,DaProphet2191,2013-04-29
3,"Brand new stock on an upward pattern, interesting",DaProphet2191,2013-04-30
4,Waiting to see where this stock goes when,hometownJOE,2013-05-13
5,I longed some $1.06 on 4/30. It's kinda,TMcNasty,2013-05-30
6,Website here:,TMcNasty,2013-05-30
7,IHSI could see a breakout this morning with,Dyson,2013-07-17
8,This gives absolutely ZERO indication of what is,Ablivious,2013-11-03
9,Something's wrong with IHSI chart ,Ablivious,2014-01-23
10,This company has know income.They might have some,soldier543,2014-02-02
11,Would you buy IHSI?,KnowBuddy,2014-06-10
12,<DELETED>,<DELETED>,2014-06-10
13,marking,Richpou,2014-06-18
14,Shh....14.6 million outstanding x $0.25 = $3.6 million,HokieHead,2014-07-03
15,"Intelligent Highway Solutions Announces Additional $800,000 Order From",HokieHead,2014-07-03
16,Intelligent Highway Solutions Announces Shipment of Medical Marijuana,HokieHead,2014-07-03
17,"Intelligent Highway Solutions to Test Low Cost, Energy",HokieHead,2014-07-03
18,Amazing possibilities here...,HokieHead,2014-07-03
19,"""In the State of California, there are over",HokieHead,2014-07-05
20,$IHSI recent news/filings,stocktrademan,2014-07-20
21,hold long term,Goodtrader1,2014-08-22
22,been showing good news,Goodtrader1,2014-08-22
23,will def have its big run soon,Goodtrader1,2014-08-22
24,next news will be big,Goodtrader1,2014-08-22
25,IHSI Installs 300W Grow Light at Medical Cannabis,QualityStocks,2014-09-08
26,Updated 24-slide Presentation is Now Available,QualityStocks,2014-09-15
27,Eye for Opportunity: IHSI's Catalyst into Cannabis,QualityStocks,2014-09-16
28,"IHSI Inks Deal with Smith, Dawson & Andrews",QualityStocks,2014-09-23
29,Huge Buying opportunity. IHSI oversold -IMHO,BULL CHARGE,2014-09-25
30,"IHSI Seals Agreement with Government Relations Firm Smith,",QualityStocks,2014-10-01
31,"IHSI Smart, Energy-Efficient Lighting Solutions for Roadways &",QualityStocks,2014-10-10
32,"Sounds great Quality, you're doing a fine job",sandtrap246,2014-10-11
33,IHSI Pursues Greener Pastures,QualityStocks,2014-10-17
34,Board marked.,trackkwizzard,2014-10-24
35,IHSI Technology Provides Multiple Market Opportunities,QualityStocks,2014-10-24
36,<DELETED>,<DELETED>,2014-10-24
37,"So thin, $ihsi",desandan,2014-12-16
38,"Yes, it is.",trackkwizzard,2014-12-16
39,"Need to slap the ask, after 4s nothing",desandan,2014-12-16
40,Chart set to go and we are very,Penthouse,2015-01-03
41,Solid company!!! We are in for a nice,Penthouse,2015-01-03
42,What a nice company here...IMPRESSIVE!,$b_rich$,2015-03-26
43,$IHSI Looking great!!,PRONEW,2015-03-26
44,They appear to be well connected:,$b_rich$,2015-03-26
45,Based on the action $IHSI appears to be,PRONEW,2015-03-26
46,Business Description,$b_rich$,2015-03-27
47,Check this out!,$b_rich$,2015-03-27
48,They own 33% of the shares :-) nice,PRONEW,2015-03-27
49,Yeppers! With only 29M O/S!,$b_rich$,2015-03-27
50,Glad I own shares then :-),PRONEW,2015-03-27
51,"scratch that...I figured it wrong, lol...around a 20M float",$b_rich$,2015-03-27
52,L2 certainly looks that way. $IHSI looks ready,PRONEW,2015-03-27
53,That still works for me,PRONEW,2015-03-27
54,Heck yea! I like the business model they,$b_rich$,2015-03-27
55,IHSI Business Description,$b_rich$,2015-03-29
56,Excellent!,PRONEW,2015-03-29
57,$IHSI 100 MILLION A/S FULL REPORTING MARIJUANA COMPANY,JPerdue2,2015-03-29
58,$IHSI bout to run,PRONEW,2015-03-29
59,$IHSI nice to see you here pronew!,JPerdue2,2015-03-29
60,Likewise Perdue!! Should be a fun week here,PRONEW,2015-03-29
61,Confirmed 22 mil float confirmed on the otcqb,fallin123,2015-03-29
62,Can't wait to add this on Monday did,MOONSHOT,2015-03-29
63,"Buying in tomorrow, I like what I see...",©PROPHETABLE ,2015-03-29
64,A great asset to the board! Glad to,PRONEW,2015-03-29
65,"Thanks, and thanks for the heads up on",©PROPHETABLE ,2015-03-29
66,Nice seeing some familiar names here... did anyone,MOONSHOT,2015-03-29
67,im in too,514,2015-03-29
68,Company headquarters  https://goo.gl/maps/amW8z  co. headquarters[/,fallin123,2015-03-29
69,"Yup, DD has begun...",©PROPHETABLE ,2015-03-29
70,Nice!!!,©PROPHETABLE ,2015-03-29
71,"Nice SS Here, 2.07m Net Income, insanely undervalued..",L_Rab,2015-03-29
72,What's this we have here?  Gonna start,Grolden,2015-03-29
73,Looks like an under-the-radar gem IMO...everything looks great here.,L_Rab,2015-03-29
74, http://ihsi.qualitystocks.net/presentation/  IR presentation from ,fallin123,2015-03-29
75,<DELETED>,<DELETED>,2015-03-29
76,.10+ coming here easily!,PRONEW,2015-03-30
77,"talk about thin, lol! Moving nice this morning:)",$b_rich$,2015-03-30
78,Weeee!!!,PRONEW,2015-03-30
79,"IHSI hasn't even started, imo:) Very thin with",$b_rich$,2015-03-30
80,Nice little churn here today. Way more to,$b_rich$,2015-03-30
81,Yes we are clear from here .01 support,fallin123,2015-03-30
82,.027 bidder UP! Nice day here:),$b_rich$,2015-03-30
83,Solid close!! Cleared out the flippers all retail,fallin123,2015-03-30
84,Nice day here! insanely thin,L_Rab,2015-03-30
85,"Interesting stock here, could be looking at major",ws105,2015-03-30
86,In a serious way:) So darn thin down here!,$b_rich$,2015-03-31
87,"Looking at prior history, my guess would be",ws105,2015-03-31
88,Nothing's changed. Bidding for more .008,JPerdue2,2015-04-07
89,$IHSI UNDERVALUED UNDER A PENNY,JPerdue2,2015-04-07
90,$IHSI BASEMENT PRICES,JPerdue2,2015-04-07
91,$IHSI IM A BUYER DOWN HERE,JPerdue2,2015-04-07
92,"Surprised we're back down here, but I don't",$b_rich$,2015-04-07
93,Yes exactly.. Just filled .008 will bid more,JPerdue2,2015-04-07
94,$IHSI 100 million A/S marijuana stock very thin,JPerdue2,2015-04-07
95,$IHSI YES VERY THIN,JPerdue2,2015-04-07
96,29million o/s 19million float no dilution,ws105,2015-04-07
97,.10+ easy when 10k out. Traded between .1-.4,ws105,2015-04-07
98,$IHSI I like it!,JPerdue2,2015-04-07
99,"IHSI Winner here! ""Intelligent Highway Solutions (IHSI) with",stockmarketrater,2015-04-07
100,"IHSI Loading, please sell me some cheapies!",stockmarketrater,2015-04-07
101,"IHSI- CEO Devon Jones stated ""We are well",stockmarketrater,2015-04-07
102,$IHSI YEP! I was in FOFU at .0064,JPerdue2,2015-04-07
103,IHSI -'With continued growth anticipated and the tight,stockmarketrater,2015-04-07
104,"$IHSI $240,000 market cap but HoneyWell placed an",JPerdue2,2015-04-07
105,$IHSI Biggest Hidden Gem in MJ Right Now,ws105,2015-04-07
106,IHSI..Check this out!!!,$b_rich$,2015-04-07
107,"Great Stuff, Huge Revs and a very impressive",ws105,2015-04-07
108,same here...should be a nice one! Looks like,$b_rich$,2015-04-07
109,$IHSI Starting to show signs of a reversal.,JPerdue2,2015-04-07
110,IHSI-- Going to multi pennies soon!,stockmarketrater,2015-04-07
111,IHSI get some before run!!,stockmarketrater,2015-04-07
112,Weeeeeeeeeeeee IHSI Off TWITTER SierraEquity @SierraEquity  ·,stockmarketrater,2015-04-07
113,Headin' back up now:) Should be a real,$b_rich$,2015-04-07
114,$IHSI Heating Up! Huge Run Coming!!,ws105,2015-04-07
115,$IHSI GOING TO BREAK PREVIOUS HIGHS!,JPerdue2,2015-04-07
116,I believe so too! Contracts and $$$$$$$$! .05,$b_rich$,2015-04-07
117,Agreed! $IHSI The next multi day marijuana runner,JPerdue2,2015-04-07
118,"Absolutely, word is just starting to spread so",ws105,2015-04-07
119,Keep in mind they've had 2 contracts with,$b_rich$,2015-04-07
120,With industry-leading technology and key connections in place,$b_rich$,2015-04-07
121,Wow didn't even realize that when I first,ws105,2015-04-07
122,Boardmarks Creeping 19m float multimillion revenue $IHSI,ws105,2015-04-07
123,That's why I believe IHSI is wayyy undervalued,$b_rich$,2015-04-07
124,Looking forward to another good day here as,ws105,2015-04-08
125,IHSI 10-K due by April 15th ;-),TOUCAN,2015-04-08
126,Boom!!!,gr8investment,2015-04-08
127,$IHSI multi day marijuana runner.. .05 potential?,JPerdue2,2015-04-08
128,looks like .10+++ coming here ;-),TOUCAN,2015-04-08
129,"2 contracts with Honeywell, Inc folks! This is",TOUCAN,2015-04-08
130,Share Structure:,TOUCAN,2015-04-08
131,Looks great this morning!,$b_rich$,2015-04-08
132,Now 0.0195 is a wall? Wtf is going,MOONSHOT,2015-04-08
133,fliptards,sukitfup,2015-04-08
134,Good morning folks!!!! :-),Papa Bear,2015-04-08
135,IHSI:  Great looking play here folks! ,Papa Bear,2015-04-08
136,I'm definitely liking IHSI Papa Bear:),$b_rich$,2015-04-08
137,IHSI:  Good morning my friend!  Just,Papa Bear,2015-04-08
138,It's most definitely got big potential by what,$b_rich$,2015-04-08
139,You bet it does .... Cannot wait to,Papa Bear,2015-04-08
140,I'm anxious to see the next report come,$b_rich$,2015-04-08
141,Same people who bought at .008 levels are,MOONSHOT,2015-04-08
142,$IHSI wild swings on this one... But I,JPerdue2,2015-04-08
143,IHSI: Good morning JP .... DD is stellar,Papa Bear,2015-04-08
144,"Good morning Papa, nice to see you here",JPerdue2,2015-04-08
145,You know it bud .... sounds like a,Papa Bear,2015-04-08
146,I started watching this one yesterday and i,PENNYBUSTER,2015-04-08
147,It sure looks to me like all retail/flipping,$b_rich$,2015-04-08
148,Thats probably true. it did go up over,PENNYBUSTER,2015-04-08
149,.008 to .027 about 240% that's a lot,JPerdue2,2015-04-08
150,"yep! Going back to the 1 chart, the",$b_rich$,2015-04-08
151,very true,PENNYBUSTER,2015-04-08
152,"easy .10+, 10k coming, conference on the 21st weeeeee",TOUCAN,2015-04-08
153,"More dumping just got filled, that bid at",MOONSHOT,2015-04-08
154,IHSI - folks are loading up ;-),TOUCAN,2015-04-08
155,IHSI -- Check this out!,TOUCAN,2015-04-08
156,"let me know when its worth buying, they",IN The Mouth Of Madness,2015-04-08
157,bids stacked ... slap time,TOUCAN,2015-04-08
158,The company is not selling... the flippers are,MOONSHOT,2015-04-08
159,wouldn't be surprised if we see .05+ by,TOUCAN,2015-04-08
160,Conference? where,MOONSHOT,2015-04-08
161,.013s going like crazy ;-),TOUCAN,2015-04-08
162,http://www.cannabisfn.com/mdc/intelligent-highway-solutions-inc/,TOUCAN,2015-04-08
163,That's a pretty big deal! Here's the link,$b_rich$,2015-04-08
164,IHSI - here we go ... booom,TOUCAN,2015-04-08
165,"please mark the board, thanks",TOUCAN,2015-04-08
166,The thing I really like with IHSI is,$b_rich$,2015-04-08
167,"agree, ""diversified"" I like ... ",TOUCAN,2015-04-08
168,IHSI - alerts will be going out on,TOUCAN,2015-04-08
169,$IHSI trading like CAFS did before it ran,JPerdue2,2015-04-08
170,glad to be in this before she pops,TOUCAN,2015-04-08
171,Not very many OTC stocks we can say,$b_rich$,2015-04-08
172,really nice website too ,TOUCAN,2015-04-08
173,"yep. 10-k coming, news/updates & conference = $$$",TOUCAN,2015-04-08
174,.015s going...,TOUCAN,2015-04-08
175,Nice little churn so far today:),$b_rich$,2015-04-08
176,"yep, next leg will be stronger.",TOUCAN,2015-04-08
