post_number,subject,username,date
1,new thread NPWS..any thoughts,johnsomw1,2006-12-01
2,"LOOKS TO BE DOING WELL LATELY!! BUY NOW,",Greencake,2006-12-05
3,do you currently own any shares??,johnsomw1,2006-12-05
4,i currently don't right now...got all my money,johnsomw1,2006-12-05
5,NPWS gonna need to Sell stock to raise,sailing22,2006-12-26
6,couple hundred why?  no significant hold ,Greencake,2007-01-22
7,Five good reasons to own NPWS,dayneyus,2007-01-31
8,EXCELLENT INFO  thanks!,Greencake,2007-03-06
9,This is a nice price!,Greencake,2007-03-15
10,This is about a low as this one,Greencake,2007-03-29
11,BONAFIDE and CONFIRMED!!!,Greencake,2007-04-30
12,o really?,designerportfolio,2007-05-05
13,one word???      =====>,Greencake,2007-05-06
14,What is going on with the sudden huge,Electronic Nerd,2007-05-07
15,IS the SB-2 kicking in here? Dwon volume,john wayne,2007-05-13
16,This company keeps on filing toxic filings! Just,utcheevis,2007-06-13
17,I expect a move on Thursday as I,stocktiger,2007-06-13
18,StockTiger the RSI and Slow Stochastics being OVERBOUGHT,inder,2007-06-13
19,Let me explained you .,tsafi,2007-06-14
20,I have played two Stock Tiger special alerts,lexi2004,2007-06-14
21,I have no problem on what pick you,tsafi,2007-06-14
22,I strongly agree that ST isn't posting just,lexi2004,2007-06-14
23,"While I'm not ST, let me share this:",lexi2004,2007-06-14
24,There is a different IHUB is a board,tsafi,2007-06-14
25,TSAFI...You're welcome.  I have no problem with,lexi2004,2007-06-14
26,No problem I always say “THERE ARE NO,tsafi,2007-06-14
27,ST IS GOOD. Hard to find good technical,mikeanthony,2007-06-14
28,"Yes, agree chart with high volume is very encouraging.",lexi2004,2007-06-14
29,NPWS looks to have another active day.,pompano,2007-06-15
30,Added some at .56 on the pull back./eom,lexi2004,2007-06-15
31,I am in at .57. For newcomers I,deadeyeon,2007-06-18
32,I haven't played HSXI for I've been in,lexi2004,2007-06-19
33,how come npws has such a large following,Vulcanized Crawler,2007-06-23
34,Nice move today. love to see the HOD,deadeyeon,2007-06-26
35,LexiI sold my NPWS and bought TFZP. I,carjo88,2007-07-01
36,Why is this going down? Profit taking? Or,deadeyeon,2007-07-03
37,Glad you did well.  I haven't been,lexi2004,2007-07-10
38,"Lexi, perhaps I will get back into NPWS",carjo88,2007-07-11
39,.07 to .50 in just a short time,lexi2004,2007-07-11
41,So Lexi I take it you are praying,deadeyeon,2007-07-11
42,By the way I am just kidding,deadeyeon,2007-07-11
43,"No,not praying for a hurricane.  Having grown",lexi2004,2007-07-12
44,good morning. I hope they will be done,greggor62,2007-07-17
45,NPWS...I sold when it started going down and,lexi2004,2007-07-17
46,"I never bought, but I have watched it",greggor62,2007-07-17
47,NPWS...was .24 yesterday and so far today with,lexi2004,2007-07-17
48,Roger that. This is a great swing stock.,greggor62,2007-07-17
49,"I'm new to the stock, got in with",lexi2004,2007-07-17
50,"no, but I have heard of it, and",greggor62,2007-07-17
51,Time to buy...,Greencake,2007-07-18
52,i wouldn't buy yet myself...this looks to be,johnsomw1,2007-07-20
53,That is advice I will take... THANK YOU...Will,Greencake,2007-07-20
54,i cant PM...i ment to dont know how,johnsomw1,2007-07-20
55,to me this seems to be a typical,johnsomw1,2007-07-20
56,Still keeping these guys on radar.  We'll,Mav5x5,2007-07-29
57,"no doubt, true, true, Good Luck also",Greencake,2007-07-30
58,Hey guy's.... Well it looks ready to move,The Real Titan,2007-07-30
59,News!(.25) Neah Power Systems ,Greencake,2007-08-06
60,Neah Power Names Dr. Gerard C. D'Couto as,Greencake,2007-09-06
63,"hi, what do you think will be the",pkrose,2007-10-05
64,"Hay pkrose,",MWY,2007-10-05
65,"hey MWY, thanks for replying! ",pkrose,2007-10-09
66,"Hi, pkrose!!",MWY,2007-10-11
67,NPWS - interesting,alien42,2007-12-04
68,Gonna pop today.,greggor62,2008-01-18
69,"Any thoughts, why this stock has tanked so sharp?",iwjw,2008-01-18
70,"They spend alot, and make none.LOL ",greggor62,2008-01-18
71,"Hope my crystal ball tells me, when the",iwjw,2008-01-18
72,i think your timing might be right,greggor62,2008-01-18
73,.10x.18 now. Is the ask that thin?,greggor62,2008-01-18
74,My L2 shows me:,iwjw,2008-01-18
75,pretty tight on the bid side HUH?,greggor62,2008-01-18
76,Neah Power Streamlines Operations,wave,2008-01-22
77,Thanks for that wave.,greggor62,2008-01-22
78,Lotta action here the last 2 days.,greggor62,2008-01-30
79,"Press Release Source: Neah Power Systems, Inc. ",wave,2008-02-05
80,Neah Power Names Dr. Reza Abhari to Strategic,wave,2008-02-12
81,"BOTHELL, Wash.--(BUSINESS WIRE)--Neah Power Systems, Inc., (OTCBB: NPWS",mudturtle,2008-03-05
82,Tue Mar 18 NPWS.OB Neah Power Publishes White,Greencake,2008-03-20
83,I pickek up a few today. I think,greggor62,2008-04-07
84,I picked up a few as well. I,stocksurgeon,2008-04-07
85,".075x.08 and moving...vol- 605,068",stocksurgeon,2008-04-07
86,wow...this one is really moving....i guess it is,Bull Trader,2008-04-07
87,I just got 27k. I think we have,protrade101,2008-04-07
88,We expect this milestone to be completed by,Bull Trader,2008-04-07
89,The Company is also developing a series of,Bull Trader,2008-04-07
90,We are developing a direct methanol micro fuel,Bull Trader,2008-04-07
91,This company is currently renegotiating their collaboration agreement,Bull Trader,2008-04-07
92,Looking like a pretty sweet deal Friend,Greencake,2008-04-07
93,. color=greenNPWS Annotated Weekly Chart,RingDaBell,2008-04-07
94,NPWS (.085) +73% L2 EOD SCREENSHOT:,Bull Trader,2008-04-07
95,Isn't it just beautiful!!!  Congrats to all.,abbytraderwin,2008-04-07
96,Congrats to you as well...Tomorrow should be just,stocksurgeon,2008-04-07
97,next resistance is @ .12,stocksurgeon,2008-04-07
98,"no gaps, lets just pound the .09's in",RingDaBell,2008-04-07
99,Sounds good to me...Im going to do that,stocksurgeon,2008-04-07
100,NPWS a monster,GOLDMAN007,2008-04-07
101,Blew right past 50 SMA next stop 200 SMA,GOLDMAN007,2008-04-07
102,I have been following NPWS for quite some,greggor62,2008-04-07
103,"Nice buying the cheapies, looks like this one",GOLDMAN007,2008-04-07
104,We did good today brother.lol,greggor62,2008-04-07
105,"If you dig, you will see there is",greggor62,2008-04-07
106,according to the charts it sure looks that way,GOLDMAN007,2008-04-07
107,If you read thier PRs it tells the,greggor62,2008-04-07
108,"I have was just reading them over, there",GOLDMAN007,2008-04-07
109,"Huge gains today thats for sure, so i",stocksurgeon,2008-04-07
110,I bought this today because of chart way,protrade101,2008-04-07
111,lol awsome.,greggor62,2008-04-07
112,Chart looking Fantastic! Confirmed reversal and Breakout. ,protrade101,2008-04-07
