post_number,subject,username,date
1,This stock looks like it's ready to go!,urquidi1,2007-09-21
2,Looks like they just went public end of,urquidi1,2007-09-21
3,Strong bid support and not much in the,JackStraw,2007-09-21
4,"Very cool idea, must be good for investment.",ivaline,2007-09-21
5,AUCI looking very strong again today.  If,urquidi1,2007-09-24
6,Awesome move today. Looks like this company is,JackStraw,2007-09-24
7,Does anyone have anymore information regarding auci? ,2007NEPatriots,2007-10-15
8,Break out city!!!,urquidi1,2007-11-02
9,i told all of you this stock was,JackStraw,2007-11-02
10,About Auctions International Inc. ,ivaline,2007-11-02
11,The company appears to be moving forward with,ReneGadez,2007-11-02
12,<DELETED>,<DELETED>,2007-11-02
13,"By utilizing state-of-the-art technology, dealers can make bids",ReneGadez,2007-11-02
14,I'm adding to my position here. I just,ReneGadez,2007-11-13
15,"I posted some more info for u, hope",ReneGadez,2007-11-13
16,Here is something that you may find interesting,ReneGadez,2007-11-15
17,Thanks for the reply.  I found some,2007NEPatriots,2007-11-16
18,"Hey Renegadez, finally found you and the board",OTC Bobby,2007-11-17
19,"Np Wheelsaspinning, it was my pleasure. The thing",ReneGadez,2007-11-18
20,Just finished watching a great day of football.,OTC Bobby,2007-11-18
21,Exactly. The live auctions are very limited and,OTC Bobby,2007-11-18
22,~ I'm taking a starter position here in,stockprofit2023,2007-11-19
23,"Hey ReneGadez, I'll be in and out of",OTC Bobby,2007-11-19
24,"Hey wheels, that sounds great.  I will",ReneGadez,2007-11-19
25,Very smart move imo.  I was sitting,ReneGadez,2007-11-19
26,"Great ReneGadez, I'll try not to mess it",OTC Bobby,2007-11-19
27,Researched some tonight and found AUCI has planned,OTC Bobby,2007-11-19
28,Ok i added you as an assistant to,ReneGadez,2007-11-20
29,"Been a busy morning here. Thanks, I will",OTC Bobby,2007-11-20
30,I added to my position this morning.,OTC Bobby,2007-11-20
31,"Right on buddy, I am going to be",ReneGadez,2007-11-20
32,I just updated the iBox. I will be,ReneGadez,2007-11-20
33,"I made some changes. Leaving the lot now,",OTC Bobby,2007-11-20
34,AUCI already has 50+ dealers and the company,OTC Bobby,2007-11-20
35,"I just added a bit more today, this",ReneGadez,2007-11-21
36,Hope you had a good Thanksgiving. Will be,OTC Bobby,2007-11-23
37,"My Thanksgiving was very nice, spent time with",ReneGadez,2007-11-23
38,"Yes, it was great. Family came over, had",OTC Bobby,2007-11-23
39,"Yes wheels, i agree and im sure they",ReneGadez,2007-11-23
40,"Just think after AUCI tackles North America, I",ReneGadez,2007-11-23
41,"Once people get used to using this, they",OTC Bobby,2007-11-23
42,AUCI only needs a small % of that,OTC Bobby,2007-11-24
43,The auto auction industry is a $350 Billion,OTC Bobby,2007-11-24
44,Great point wheels. You are right that it,ReneGadez,2007-11-24
45,"This is a relatively new IPO, but preparations",OTC Bobby,2007-11-25
46,Does anyone have any numbers for the company?,downtownjohnny,2007-11-25
47,I've just started doing my research on the,downtownjohnny,2007-11-25
48,"Hi downtownjonny, I have been collecting some information",OTC Bobby,2007-11-26
49,"downtown, this is a $350 Billion dollar industry",ReneGadez,2007-11-26
50,Thanks for the update...I made a couple of,downtownjohnny,2007-11-26
51,Sure thing. Dealers are jumping on this and,OTC Bobby,2007-11-26
52,"Correct wheels, it is only the beginning, and",ReneGadez,2007-11-26
53,Downtown you say this could be a home,ReneGadez,2007-11-26
54,"Hi guys, this is looking better every day.",2007NEPatriots,2007-11-27
55,So why is there no  buy volume,horselady,2007-11-27
56,"AUCI just IPOed a few months ago, this",ReneGadez,2007-11-27
57,They are set to take the auto auction,OTC Bobby,2007-11-27
58,"Interesting that you have brought up Manheim, Wheels.",ReneGadez,2007-11-27
59,Nice volume today...  Looks like this stock,urquidi1,2007-11-27
60,"urquidi, volume was great today.  You mentioned",ReneGadez,2007-11-27
61,here is the problem with In-person auctions; they,ReneGadez,2007-11-28
62,"Yes, they have been around for a while",OTC Bobby,2007-11-28
63,Not only in-person. I have been down the,OTC Bobby,2007-11-28
64,Be nice to see some buyers come in,horselady,2007-11-28
65,AUCI's live auctions can help companies move,ReneGadez,2007-11-28
66,This is huge that AUCI is the only,ReneGadez,2007-11-28
67,I was able to pick up some more,zenstinkfist,2007-11-28
68,"Hi guys, I added a little more to",2007NEPatriots,2007-11-28
69,"I grabbed some today, looks good.",Chucky,2007-11-29
70,"Great adds today guys,  I am accumulating",ReneGadez,2007-11-29
71,Is that 5 million trading?,norse raider,2007-11-29
72,"I'm new here, but a friend told me",pipedream61,2007-11-29
73,Auctions International Inc. Issues Progress Report to Shareholders,OTC Bobby,2007-11-29
74,"Hi Zen, welcome to the board. I just",OTC Bobby,2007-11-29
75,correct it is only 5million trading,ReneGadez,2007-11-29
76,Welcome. Word is definitely starting to get out,OTC Bobby,2007-11-29
77,That is great information. Glad the company is,OTC Bobby,2007-11-29
78,An additional advantage of online auctions is the,OTC Bobby,2007-11-29
79,Wow zero volume since before that PR......,norse raider,2007-11-30
80,If the company in the first 3 years,ReneGadez,2007-11-30
81,There seems to be some confusion about how,norse raider,2007-11-30
82,Exactly my point. They don't need 10% of,OTC Bobby,2007-11-30
83,"Heres more great info about Manheim, which is",ReneGadez,2007-12-01
84,"That is a great update. Thank you, I",OTC Bobby,2007-12-01
85,"I agree wheelsa, this marketing campaign that they",ReneGadez,2007-12-01
86,Thank you for that update norse raider. ,ReneGadez,2007-12-01
87,"Hey Renegadez, got some numbers here, using the",OTC Bobby,2007-12-02
88,Came up on my radar in process of,bornfree,2007-12-02
89,Company seems to be implementing ways to grow,bornfree,2007-12-02
90,"Wow great info~ In pr says ""The service",bornfree,2007-12-02
91,"Yes, the shareholder update news is very exciting.",OTC Bobby,2007-12-02
92,here is the link for the move to,ReneGadez,2007-12-02
93,"Those are really impressive numbers, and that is",ReneGadez,2007-12-02
94,I am going to take an educated guess,ReneGadez,2007-12-02
95,"Thanks i knew I saw it somewhere, that",bornfree,2007-12-02
96,Yes. I just updated the iBox with that table.,OTC Bobby,2007-12-02
97,This  AUCI looks very interesting.  1-2.00,Investinginstockmarket,2007-12-02
98,Agreed. :),Chucky,2007-12-03
99,Agree! eom,2007NEPatriots,2007-12-03
100,www.newsmax.com has a write up on AUCI!!! under,urquidi1,2007-12-03
101,Nice page you got here Rene.  I,stockpyle4,2007-12-03
102,"Tried to take a starter today, have order",bornfree,2007-12-03
103,I like this a lot. Still loading.,norse raider,2007-12-03
104,Did your order at .55 fill yet?,stockpyle4,2007-12-03
105,got a starter after a long wait~,bornfree,2007-12-03
106,Loading this one - See why below.,stockerz,2007-12-03
107,Glad I found this group. Nice info and,bumble-bee,2007-12-03
108,Nice find. Growth potential for this company is,OTC Bobby,2007-12-03
109,I know this is a recent IPO but,stockpyle4,2007-12-03
110,Yes. OTCBB listing process has been started by,OTC Bobby,2007-12-03
111,"Welcome aboard stockpyle, great to have you stop by.",ReneGadez,2007-12-04
112,got some news just out...just shows that company,ReneGadez,2007-12-04
113,"hello guys , i was  reading some",MMKILLA,2007-12-04
114,That news is good. I can see some,OTC Bobby,2007-12-04
115,"Hi Stockerz, the points you bring up are",OTC Bobby,2007-12-04
116,getting my feet wet today,Mr Rogers ,2007-12-04
117,"After reading all the information in the Ibox,",stockpyle4,2007-12-04
118,I added to my investment. It will take,bornfree,2007-12-04
119,Auctions International Forms Strategic Alliance With CARFAX,stockpyle4,2007-12-04
120,This is HUGE imo.  This is only,stockpyle4,2007-12-04
121,CarFax is now intergrated with AUCI's auctions. ,ReneGadez,2007-12-04
122,~ Great news......adding more AUCI tomorrow :-),stockprofit2023,2007-12-04
123,wow this is serious with carfax available ,Mr Rogers ,2007-12-04
124,"Wow, nice news on AUCI, that should get",BUBBA,2007-12-04
125,Long time bubba and SP!! Hope you guys,Skylanders,2007-12-04
126,"Hey fdjr13, AUCI is looking good.",BUBBA,2007-12-04
127,Gonna see a fw more boardmarks here soon,GREEEEN_go,2007-12-04
128,I think thats a great idea to add,ReneGadez,2007-12-04
129,"Wheelsa i have to say, that chart that",ReneGadez,2007-12-04
130,this company just popped up on my scans.,TheToothMaker,2007-12-04
131,Now they just release superb news from CarFax....with,TheToothMaker,2007-12-04
132,Very good step forward.~,bornfree,2007-12-04
133,"Yeah true,the auto site's potential alone is enormous.",bornfree,2007-12-04
134,"""We are now focused on increasing our membership",bornfree,2007-12-04
