post_number,subject,username,date
1,Doesn't Look Real- The company President Chet Gutowsky,rzhrgey,2011-06-29
2,10-Q,JER1,2011-10-06
3,OMVS Jumpstarts Development of Mobile Dating Application,JER1,2011-10-06
4,http://www.onthemovesystems.com/,JER1,2011-10-06
5,http://www.omvssolar.com/,JER1,2011-10-06
6,OMVS Technology,JER1,2011-10-06
7,OMVS is using cutting-edge inkjet technology to create,JER1,2011-10-06
8,"Emerging Wireless Markets in Asia, Latin America Key",MARKetTIME,2011-10-10
9,261% Increase in Tablet Sales Could Boost OMVS’,MARKetTIME,2011-10-18
10,OMVS Raises Market Expectations as Bargain Tablets Hit,MARKetTIME,2011-10-25
11,"OMVS up today, very nice.  News of",wade3,2011-12-14
12,OMVS to Combine Bikinis and Mobile Entertainment,SmallCapsMarket,2011-12-22
13,"OMVS ~ 14MM OS as of September 30, 2011.",SmallCapsMarket,2011-12-22
14,OMVS ~ Content is King and Mobile Devices,SmallCapsMarket,2011-12-22
15,OMVS Targets World’s Largest Mobile Market ,SmallCapsMarket,2011-12-22
16,IBOX.......under construction,SmallCapsMarket,2011-12-22
17,OMVS Balance Sheet,Helter Skelter,2012-01-10
18,OMVS Income Statement,Helter Skelter,2012-01-10
19,OMVS L2 screenshot:,Helter Skelter,2012-01-10
20,OMVS NEWS! OMVS Producing Trailer for New Bikini,Helter Skelter,2012-01-10
21,"There were 14,000,000 shares of the Registrant’s $0.0001",Helter Skelter,2012-01-10
22,Is this a bottom,Super2013,2012-04-25
23,No.  ,Voices of Reason,2012-04-25
24,0.005,$$$TOCK 007,2012-08-07
25,1 X 0.01 left on ask,$$$TOCK 007,2012-08-07
26,OMVS Quarterly Report,Voices of Reason,2012-10-24
27,hmmmmmmmmm,Roy London,2013-03-03
28,"Didn't Willie Nelson once sing....""On the Move [down] Again.....""?",Voices of Reason,2013-03-05
29,"Add another ""possible"" business focus for OMVS....on the",Voices of Reason,2013-03-27
30,OMVS is “One to Watch”,QualityStocks,2013-08-19
31,New Website Launched,QualityStocks,2013-08-19
32,On the Move Systems Story,QualityStocks,2013-08-19
33,OMVS Officially Relaunches with New Transportation Business Model,QualityStocks,2013-08-19
34,Take a look at this: It’s really all,Cool_Trades,2013-08-20
35,We are passionate about client satisfaction and understand,Cool_Trades,2013-08-20
36,OMVS Technical Analysis:http://www.barchart.com/technicals/stocks/OMVS,ErnieRee,2013-08-20
37,OMVS Trader’s Cheat Sheet:http://www.barchart.com/cheatsheet.php?sym=OMVS,ErnieRee,2013-08-20
38,OMVS Price/Resistance Levels:Price - 0.1000	Support - 0.0900	Pivot Point,ErnieRee,2013-08-20
