post_number,subject,username,date
1,"WITD ~ 8K...12/28/12, Changes in Control of Registrant,",kimzerfantastik,2012-12-28
2,"Name change /AS increase,",kimzerfantastik,2013-01-09
3,"Pitooey!, Inc.,",kimzerfantastik,2013-01-13
4,01/16/13...White Dental Supply Pivots into Social Media and,kimzerfantastik,2013-01-16
5,Now following board. Greetings K. Odd seeing you,TMcNasty,2013-01-30
6,1/30/2013...PITOOEY!™ announced today ongoing patent and trademark filing,TMcNasty,2013-01-30
7,Prolly need a symbol change here b4 anything,TMcNasty,2013-01-30
8,"Whats in the kettle, brewmaster?",soggy,2013-01-30
9,"The name of White Dental Supply, Inc. will",YeralHax,2013-01-30
10,I dunno. Maybe just spit. PITOOEY!!!,TMcNasty,2013-01-30
11,Symbol change as well? Do we know the,TMcNasty,2013-01-30
12,I believe there will be a symbol change,YeralHax,2013-01-30
13,nice setup for $ WITD  & DDAmanda info,PromoStalker,2013-01-30
14,"White Dental Supply, Inc., WITD, changed to Pitooey!",Renee,2013-02-06
15,lol. now that's funny. i hope they have,"lucky,mydog",2013-02-06
16,hahaha....that hit my funny bone too. Puhtooie on Pitooie.,Renee,2013-02-06
17,I hope PTOO goes PZOO for me.,TMcNasty,2013-02-07
18,Trade you pig!,TMcNasty,2013-02-15
19,"Burning some ""Midnight Oil"" ",TraderTrisha,2013-02-16
20,<DELETED>,<DELETED>,2013-02-16
21,Anything is possible.,TMcNasty,2013-02-18
22,PITOOEY! Concludes Successful Week as Sponsor of the,Awaken,2013-02-20
23,PTOO Aim-High Profits Article for Reference,Awaken,2013-02-20
24,"PTOO recent name change from WITD, new beginnings",Awaken,2013-02-20
25,Follow Pitooey blog entries - http://pitooey.com/category/news/,Awaken,2013-02-20
26,<DELETED>,<DELETED>,2013-02-20
27,Found a pic on Instagram of the PTOO,Awaken,2013-02-21
28,Pitooey is looking good!!!,nit2win,2013-02-21
29,"02/21/13...PITOOEY!, Inc. Announces Formation of New Subsidiary Rockstar",kimzerfantastik,2013-02-21
30,Nice! Now it just needs to trade dangit!,TMcNasty,2013-02-21
31,This initial trading volume looks like the calm,nit2win,2013-02-22
32,It lives!,Jbob,2013-02-22
33,Something tells me we might see some big,bigfish1972,2013-02-23
34,Pitooey! is definitely on my watch list!!!,nit2win,2013-02-24
35,PTOO definitely one to watch with recent name,Awaken,2013-02-24
36,"Added to my list, Looks to be coming",RobertJames,2013-02-25
37,I think you've got the right mindset. There,Awaken,2013-02-25
38,"Choice One Mobile, a subsidiary of PITOOEY!, Inc.,",Awaken,2013-02-26
39,"More news from PTOO today, looks like this",Awaken,2013-02-26
40,PTOO CEO Jacob DiMartino’s Featured interview with CEOnews.TV,Awaken,2013-02-26
41,"EquityNet Research Initiates Analyst Coverage on PITOOEY!, Inc.",RobertJames,2013-02-27
42,"Nice, PTOO getting consistent news now. Could be",Awaken,2013-02-27
43,I have a feeling that Pitooey! will soon,nit2win,2013-02-27
44,Why you no trade today PTOO?,TraderTrisha,2013-02-27
45,They have quite an innovative approach of targeting,Awaken,2013-02-27
46,PTOO - EquityNet Research Report-> http://www.equitynet.net/pics/PTOO-Report-Fin,Awaken,2013-02-27
47,Placing this one on my watch list my,Trth4Sail,2013-03-03
48,Definitely one to have on watch IMO. Good morning,Awaken,2013-03-04
49,PITOOEY! Inc. (PTOO) Engages Crystal Research Associates,RobertJames,2013-03-07
50,"nice news, looks like PTOO will have some",Awaken,2013-03-07
51,Waitin' for the dump before the pump............... PTTTTTTTTTTTTTTOOOOOOOOOOOO,investorcg,2013-03-07
52,WAITING FOR THE DROP. ANYDAY NOW.,K00LAID_4SALE,2013-03-07
53,;),TMcNasty,2013-03-08
54,Pitooey! - The Story (Part 1) - *YouTube Video*,Awaken,2013-03-09
55,That is well done. This one is watchlisted,TMcNasty,2013-03-09
56,"I know, right... Lol. Definitely building up my",Awaken,2013-03-09
57,You'll be waiting a looong time for that,nit2win,2013-03-11
58,KOOLAID is for kids....,nit2win,2013-03-11
59,"Professionally made video, nice. Now drop, plz :)",Big_Money_Upward,2013-03-11
60,"03/21/13 - PITOOEY!, Inc. Proudly Announces the Launch",Awaken,2013-03-21
61,I hear great things are coming for this,nit2win,2013-03-25
62,50 days and 12 hours...,stockmeupnow,2013-03-26
63,Imagine once it goes nationwide this puppy will,Awaken,2013-03-26
64,03/28/13...PITOOEY!™ Has Announced Massive Expansion Into 50 New,kimzerfantastik,2013-03-28
65,Been following their site...looks like PTOO could be,Awaken,2013-03-28
66,Annual report out.,Jbob,2013-04-01
67,"PTOO 50 states in 50 days, been a",Awaken,2013-04-05
68,"PTOO follow on Facebook, new cities/states announced daily->>",Awaken,2013-04-05
69,"Updated iBox to reflect new cities added, I",Awaken,2013-04-05
70,Wow!!! I can't wait for the Pitooey app,nit2win,2013-04-05
71,"Once fully launched, id expect major attention. PTOO",Awaken,2013-04-05
72,Already have their app on my iPhone ;-)Waiting,Trth4Sail,2013-04-06
73,"Nice! Not in my city yet, lol, but",Awaken,2013-04-06
74,Aim High Pitooey!,Jbob,2013-04-07
75,This one looks very interesting; will look to,Black Dog 53,2013-04-07
76,Woohoo....The Pitooey! app is slowly but surely taking,nit2win,2013-04-07
77,http://www.aimhighprofits.com/ptoo-5050-sma-unleashes-pitooey-stock-this-week-25,TMcNasty,2013-04-07
78,Lol. Whats up buddy.,A_1daytrader,2013-04-07
79,<DELETED>,<DELETED>,2013-04-07
80,Lol. I bet.,A_1daytrader,2013-04-07
81,Looks good.,A_1daytrader,2013-04-07
82,Let's roll.,A_1daytrader,2013-04-07
83,This one looks ripe,Kenswift,2013-04-08
84,PTOO has a real product,Kenswift,2013-04-08
85,I wonder when we start to see trading.,Kenswift,2013-04-08
86,Would love to see this start at .60,Kenswift,2013-04-08
87,Me?,chris8sirhc,2013-04-08
88,How many have you found so far?,chris8sirhc,2013-04-08
89,I forgot to take my clotamin today. ,chris8sirhc,2013-04-08
90,Probably Monday,chris8sirhc,2013-04-08
91,Clotamin reference. Epic.,TMcNasty,2013-04-08
92,"Real product, real company. Think any blocks down",Awaken,2013-04-08
93,<DELETED>,<DELETED>,2013-04-08
94,Gonna add that Dip when it comes with this~,Flex,2013-04-08
95,My favorite is the New Orleans poster :D,Big_Money_Upward,2013-04-08
96,<DELETED>,<DELETED>,2013-04-08
97,<DELETED>,<DELETED>,2013-04-08
98,"Guys, spam on the boards you speculate on.",Awaken,2013-04-08
99,Yep!,weemac,2013-04-08
100,Just watching the grass grow here,weemac,2013-04-08
101,Birds chirping! Eh.,A_1daytrader,2013-04-08
102,"Nope, quiet here ;",weemac,2013-04-08
103,Lol yeah.,TMcNasty,2013-04-14
104,<DELETED>,<DELETED>,2013-04-14
105,I smell a winner :),Big_Money_Upward,2013-04-15
106,"8-k On April 16, 2013, Frederick Lawrence submitted",Big_Money_Upward,2013-04-19
107,Lol. I'm waiting. They gonna need some money,Kenswift,2013-04-19
108,"Yeah me too, especially with that bid down",Big_Money_Upward,2013-04-19
109,PTOO is picking up steam here,DITRstocks,2013-05-02
110,"double bottom here already,  a dollar holds",DITRstocks,2013-05-02
111,"Hey, DITR! Agreed, double bottom could be a",Aufklaerung,2013-05-02
112,"Long time, no see, Big_Money! Still around $PTOO?",Aufklaerung,2013-05-02
113,Hey Flex! Still around $PTOO? :) Nice to,Aufklaerung,2013-05-02
114,PTOO~ Could be good~,Flex,2013-05-02
115,Hey flex PTOO saw unusual volume today,DITRstocks,2013-05-02
116,Have not been following it lately~ Looks to,Flex,2013-05-02
117,a wake up here for PTOO,DITRstocks,2013-05-02
118,Like what I see here,DITRstocks,2013-05-02
119,I'd say so too man. Let's watch it,Aufklaerung,2013-05-03
120,Ya I miss your support when you promise,Flex,2013-05-03
121,PTOO is looking great here,DITRstocks,2013-05-03
122,"PITOOEY!™, Inc. is a digital marketing agency that",StockMasterTalk,2013-05-03
123,"PTOO might be heating up here shortly, starting",StockMasterTalk,2013-05-03
124,"Watching this video right now, its the story",StockMasterTalk,2013-05-03
125,PTOO News: http://pitooey.com/category/news/,StockMasterTalk,2013-05-03
126,I love companies that do what they say,nit2win,2013-05-03
127,Completely agree with you nit2win. Did you see,StockMasterTalk,2013-05-03
128,Completely agree!Anyone who has done an ounce of,nit2win,2013-05-03
129,A few small hits the past two days,Awaken,2013-05-03
130,<DELETED>,<DELETED>,2013-05-03
131,<DELETED>,<DELETED>,2013-05-03
132,<DELETED>,<DELETED>,2013-05-03
133,<DELETED>,<DELETED>,2013-05-03
134,<DELETED>,<DELETED>,2013-05-03
135,<DELETED>,<DELETED>,2013-05-03
136,Really . No volume. I think we see,A_1daytrader,2013-05-03
137,Wasn't that coming weeks ago from Tina at,Awaken,2013-05-03
138,That would be nice. I better jump on,StockMasterTalk,2013-05-03
139,"Absolutely, the app industry will just continue to",StockMasterTalk,2013-05-03
140,<DELETED>,<DELETED>,2013-05-03
141,PTOO may be quiet now but may be,Awaken,2013-05-03
142,It's been over an hour and no buys.,A_1daytrader,2013-05-03
143,Looking forward to a press release here for PTOO,DITRstocks,2013-05-03
144,SO FAR so good i like what i,TechnoAnalyst,2013-05-03
145,i see! $PTOO,TechnoAnalyst,2013-05-03
146,Is there a target on this...i heard it,TechnoAnalyst,2013-05-03
