post_number,subject,username,date
1,Good morning.,Grumps17,2010-03-05
2,Pay By The Day Holdings Signs LOI for,THUMBS,2010-03-15
3,.75x4.00 10 for 1 coming per LOI,THUMBS,2010-03-15
4,Just as I thought. lol,Grumps17,2010-03-15
5,very interesting technology coming in here bigG,THUMBS,2010-03-15
6,1.65x4.00,THUMBS,2010-03-15
7,watchin close jus the kind we likes tiny,DF,2010-03-15
8,"With your money, buy them at $4.00.",Grumps17,2010-03-15
9,i wish lol..k gimme a sec lol,DF,2010-03-15
10,tap tap 4.00,DF,2010-03-15
11,$4.00 hit.,Grumps17,2010-03-15
12,This alone could be HUGE imo)))),THUMBS,2010-03-15
13,"United States Patent  6,642,552 ",THUMBS,2010-03-15
14,very interesting bro ,DF,2010-03-15
15,1.65x3.50x1 next 4.00x1 then 2000.00 lookin to add,DF,2010-03-16
16,i think you found us a potential monstaaa,DF,2010-03-16
17,word getting out on 10 for 1 FS,gumzsa,2010-03-16
18,well under wraps still..not fer long imo..specially when,DF,2010-03-16
19,3.50 hitn!,DF,2010-03-16
20,in at 3.50. after FS will have 2000,gumzsa,2010-03-16
21,tight tight bro GG!))got a tiny partial yest,DF,2010-03-16
22,volume coming in,gumzsa,2010-03-16
23,once 350s and 4s go its on imo!)mms,DF,2010-03-16
24,4.00s up 400 had at 350 wow totally,DF,2010-03-16
25,I got my tickets bro!>>>>>>> Im not missing,TOAD,2010-03-16
26,THEY SURE DO.,sweepsingle,2010-03-16
27,U think today the last day around this price?,patou,2010-03-16
28,SO THIN HERE,gumzsa,2010-03-16
29,Hey there how it goin today>>> We may,TOAD,2010-03-16
30,Hey there hows it goin today>>> We may,TOAD,2010-03-16
31,what up toad,gumzsa,2010-03-16
32,They are hiding my bid too))),TOAD,2010-03-16
33,The only reasone were F/S is to create,TOAD,2010-03-16
34,Pay By The Day Holdings Signs LOI ,THUMBS,2010-03-16
35,right on brotha lets do this!),DF,2010-03-16
36,maybe bro,DF,2010-03-16
37,Have to go in a meeting. Back in,patou,2010-03-16
38,cooly,DF,2010-03-16
39,2.50x4.00,DF,2010-03-16
40,Ya just what I was thinking>>> its getting,TOAD,2010-03-16
41,Bid uptick ,TOAD,2010-03-16
42,Meeting cancelled. Just placed an order for 200,patou,2010-03-16
43,nice and nice GL bro!))i think this should,DF,2010-03-16
44,they seemed to touch several different technologies in,THUMBS,2010-03-16
45,no doubt sure sounded like tablesetter pr imo..look,DF,2010-03-16
46,1 at 4 then 35,gumzsa,2010-03-16
47,Hasn't filled yet (200 shares),patou,2010-03-16
48,Just got filled. Was getting nervous on missing,patou,2010-03-16
49,4.00 going,gumzsa,2010-03-16
50,That was me,patou,2010-03-16
51,GG!!!!!!!),DF,2010-03-16
52,Nice grab Pat! Have a good feeling about,THUMBS,2010-03-16
53,4.50 up,gumzsa,2010-03-16
54,4.50 up)))Nice.n.thin!,THUMBS,2010-03-16
55,Nada there too I would guess>>,TOAD,2010-03-16
56,Oh great :( LOL,032798,2010-03-16
57,http://www.oteegee.com/,THUMBS,2010-03-16
58,HEy whats goin on 03>>>,TOAD,2010-03-16
59,"So, we meet again on another stock. ",032798,2010-03-16
60,"I didn't see the news on this, ",032798,2010-03-16
61,"2,000 up lolol",TOAD,2010-03-16
62,"2,000 up!!!!!!!!!!!!!!!!!!!!",gumzsa,2010-03-16
63,"2,000 up on the ask lol>>>> wow",TOAD,2010-03-16
64,I hope you got some :) ,032798,2010-03-16
65,Hopefully this one ends better then the last,TOAD,2010-03-16
66,Got some 3.50z~ you get any?,TOAD,2010-03-16
67,Yup. ,032798,2010-03-16
68,"I don't, ",032798,2010-03-16
69,10.01 up,DF,2010-03-16
70,5.00 up looks like 500 there..mms on THIN,DF,2010-03-16
71,gn all,gumzsa,2010-03-16
72,have a g1 bro and all..lookin forward to,DF,2010-03-16
73,Right on!))) Check ya later playaz,TOAD,2010-03-16
