post_number,subject,username,date
1,"Premier Alliance Group, Inc. Signs Letter of Intent",Pic,2011-09-20
2,9/19/11 8K ...PIMO,Pic,2011-09-20
3,"PIMO Shares Outstanding 	8,106,325 	a/o Aug 01, 2011",Pic,2011-09-20
4,transaction is targeted to be completed by December,Pic,2011-09-20
5,PIMO +36% and some interest,Pic,2011-09-20
6,8/15/11 10Q   PIMO,Pic,2011-09-20
7,Really like GRHU technology. PIMO seems to have,Jtown,2011-09-20
8,I agree Jtown. Very interesting development indeed. I,Pic,2011-09-20
9,PIMO blog:,Pic,2011-09-20
10,Noticed there was insider buying posted on OTC:,Pic,2011-09-23
11,Premier Alliance ($PIMO) CEO interviewed,Pic,2011-09-29
12,New filing 10/20/11:,Pic,2011-10-21
13,10/24/11 PIMO 8K:,Pic,2011-10-24
14,"Looks to be dipping, PIMO",Pic,2011-11-11
15,.71 x .78,Pic,2011-11-14
16,12/13/11 8K:,Pic,2011-12-13
17,Premier Alliance Group Names Graeme Booth as President,Pic,2011-12-16
18,The Company will be hosting a conference call,Pic,2012-03-08
19,Conference call tomorrow. Looking forward to it. PIMO,stupified777,2012-03-13
20,"Harvey Pitt, Former Chairman of the SEC, Joins",Jtown,2012-03-21
21,"PIMO could be building a nice team., IMO.",Pic,2012-03-21
22,yes- adding Pitt was a smart move.,Jtown,2012-03-22
23,se how they operate by quarum in the,ed3/6me,2012-03-26
24,Amendment of the Company’s Certificate of Incorporation filed,Pic,2012-03-28
25,"Premier Alliance Group, Inc., Selected to Provide Auto",Jtown,2012-04-10
26,I can't believe how dead this board is. PIMO,stupified777,2012-04-11
27,Authorized shares increased.,stupified777,2012-04-13
28,Big news out,stupified777,2012-05-23
29,"Premier Alliance Group, Inc., in Partnership With Prime",Pic,2012-05-29
30,PIMO Continues to Build Team,stockpicks209,2012-07-19
31,PIMO Provides Shareholder Update,stockpicks209,2012-08-16
32,PIMO has one of the most impressive BOD’s,stockpicks209,2012-08-20
33,Premier Alliance Selected to Provide Auto Demand Response,Alliance Advisors,2012-09-11
34,Premier Alliance Announces New Service Contracts ,Alliance Advisors,2012-09-24
35,"Premier Alliance Awarded $229,000 in Contracts by Global",Alliance Advisors,2012-10-03
36,Great review on PIMO: by MicroCapCompany ...Business Consulting,Alliance Advisors,2012-10-24
37,"Nice accumulation going on, looking at the 6",Pic,2012-11-26
38,"Nice update. The project, to be completed in",Pic,2013-01-29
39,Another nice contract this year:,Pic,2013-02-20
40,And another project for 2013:,Pic,2013-02-27
41,Great News out today! SOLar is hot right now!,~S.B.A.~,2013-05-29
42,One of the most impressive board of directors,Lucror,2013-07-23
43,Some guy's blog that PIMO posted on their,jenga1,2013-07-26
44,"On July 25, 2013, the Company entered into",Pic,2013-07-30
45,great news,~S.B.A.~,2013-07-30
46,"Premier Alliance Group Inc., PIMO, changed to Root9B",Renee,2014-11-28
47,let's see some contracts and revenues from the,awalkinthesun,2014-12-16
48,"Making a move, maybe they actually inked a contract!",awalkinthesun,2014-12-18
49,"Jenga,In response to your below, recommend to never",awalkinthesun,2014-12-19
50,fair point walk...,jenga1,2015-01-07
51,"Lisa Monaco, Assistant to the President for Homeland",awalkinthesun,2015-03-11
52,good read on hiring of ex gov hackers,awalkinthesun,2015-04-14
53,Looked very MUSCULAR today!  Anyone know of,billnew5,2015-04-15
54,"nada, lets hope for a decent contract win",awalkinthesun,2015-04-16
55,$RTNB recent news/filings,stocktrademan,2015-05-14
56,Joe Granno on Fox News.,billnew5,2015-05-15
57,They got some good press from this in,awalkinthesun,2015-05-21
58,I also hold FEYE which is a huge,awalkinthesun,2015-05-22
59,Any one read article on Seeking Alpha? ,billnew5,2015-05-23
60,"Read it, thanks for the heads up.",awalkinthesun,2015-05-23
61,reading this it would be ,awalkinthesun,2015-05-23
62,meant to say these are some concerns I,awalkinthesun,2015-05-23
63,This is the bet that I am making....,jenga1,2015-05-28
64,yeah I am somewhat aligned that they wouldnt,awalkinthesun,2015-05-29
65,Anyone notice the stock seems to be held,awalkinthesun,2015-05-29
66,please disregard... spoke to soon... hopefully more puff,awalkinthesun,2015-05-29
67,What is So Different About Root9b Technologies Inc (OTCMKTS:RTNB)?,awalkinthesun,2015-05-29
68,When the bough breaks...,willlbone,2015-06-22
69,Always play the bounce off a Pump stopper,willlbone,2015-06-22
70,WillDo you think RTNB will recover and what,awalkinthesun,2015-06-24
71,This was a common short attack by The,willlbone,2015-06-24
72,"Insiders purchases, good sign...",awalkinthesun,2015-06-27
73,"Let's see some more rebound on the stock,",awalkinthesun,2015-07-02
74,There was a two day 50% bounce back,willlbone,2015-07-02
75,Are you holding long also or just the rebound?,awalkinthesun,2015-07-13
76,Not holding but 75 cents would be a buy.,willlbone,2015-07-13
77,"Looks like you may get your chance, heavy",awalkinthesun,2015-07-14
78,RTNB.....IN PLAY,Roy London,2015-09-20
79,nice up day,Roy London,2015-09-23
80,"Show me the revenue, they just filed and",awalkinthesun,2015-09-23
81,i can show you its up from my call,Roy London,2015-09-25
82,and the stock is falling back down... until,awalkinthesun,2015-10-02
83,RTNB on CBS Sat AM .... http://www.cbsnews.com/news/former-nsa-intel-officials-t,awalkinthesun,2015-10-25
84,Gotta watch this one. Legitimate company in great,chmcnfunds,2016-02-10
85,Maybe not so legitimate. Well documented SA expose,chmcnfunds,2016-03-07
86,"SA must be correct. Not typical P&D, but",chmcnfunds,2016-08-16
87,"Knock, knock.",PENDLETUCKY,2016-08-19
88,Three year low,willlbone,2016-08-22
89,"News released before close.  Market liked it,",Slojab,2016-08-22
90,Root9B Technologies Inc. changed to Root9B Holdings Inc.,Renee,2016-12-02
91,"RTNB moved from the OTC to the Nasdaq,",Renee,2016-12-21
92,Thanks for sharing!,jenga1,2017-01-06
93,Loan default likely.,willlbone,2017-08-11
94,Hopefully you are wrong but looking like it.,jenga1,2017-08-11
95,Looks like willlbone was right in the tune,ammobox,2017-08-15
96,Low Float $1-2 price target.,VERITAS77,2017-08-17
97,$1-2 price target accumulation in progress,VERITAS77,2017-08-17
98,https://youtu.be/kBwXygdO4e0,VERITAS77,2017-08-17
99,This is fun,Awl416,2017-08-18
100,Going gangbusters!!!!!,crudeoil24,2017-08-18
101,Halted,Bernija1,2017-08-18
102,Halting it like ever 5 minuets. They should,ammobox,2017-08-18
103,nice bounceee,Tdash,2017-08-18
104,Yep! I'm over at dgl! stuck in a halt!,Bernija1,2017-08-18
105,Mm always save shorts ass scumbags,Awl416,2017-08-18
106,Any idea when there going to re-open $DLG,ammobox,2017-08-18
107,They have to cover there $ass and Nasqaq,ammobox,2017-08-18
108,DGLT is a scam company ! Move on ...,CamboRambo,2017-08-18
109,"I have no idea, there is a BO",Bernija1,2017-08-18
110,T12 and LUDP two completely different codes,Awl416,2017-08-18
111,Not in DGLT was just watching to see,ammobox,2017-08-18
112,Good luck hope you make out good!,ammobox,2017-08-18
113,Yep,Bernija1,2017-08-18
114,"Thanks, that would be great.. 7000 shares @.33!",Bernija1,2017-08-18
115,Great! Making for a nice vacation LOL,ammobox,2017-08-18
116,Circuit breakers kick in. Not enough shares for,crudeoil24,2017-08-18
117,Whats pushing the pps higher?,micar,2017-08-18
118,Who knows but this was trading over 5,Awl416,2017-08-18
119,"This is funny, open and halted in less",ammobox,2017-08-18
120,This thing is gonna break a PAUSE record lol,Tdash,2017-08-18
121,root9B Holdings Inc. (RTNB) Halted due to pending news,stemcell,2017-08-18
122,T1 halt pending NEWS-reconranger,reconranger,2017-08-18
123,Now PENDING NEWS!,Tdash,2017-08-18
124,Halted pending news 11:30 AM,ammobox,2017-08-18
125,This could be deadly if it's not good,ammobox,2017-08-18
126,When are we expected to see news? Today?,ad1,2017-08-18
127,I hope the News is good since insiders,Kamal1234,2017-08-18
128,"Maybe with the spike this morning, it is",trding,2017-08-18
129,"LOL, leaks are everywhere now days, most likely",ammobox,2017-08-18
130,Premarket action tells me some insiders know some,crudeoil24,2017-08-18
131,probably 10-Q it's a few days late apparently,stemcell,2017-08-18
132,Here's the way I'm looking at it. Last,ad1,2017-08-18
133,8k NOTICE OF DELISTING,stemcell,2017-08-18
134,root9B Holdings Files 8K - Listing Notice >RTNB,stemcell,2017-08-18
135,The Nasdaq letter provides that the Company has,Kamal1234,2017-08-18
136,good question does it remain halted until compliance,stemcell,2017-08-18
137,I think this is a normal procedure,Kamal1234,2017-08-18
138,Opens in 15 minutes.,davidsson10,2017-08-18
139,OUCH!!! root9B Holdings Files 8K - Other Events >RTNB,stemcell,2017-08-18
140,traded for 10 seconds lol halted again,stemcell,2017-08-18
141,Loan default and liquidation...,Global Interface,2017-08-18
142,Rip,Awl416,2017-08-18
143,yup...and yet peeps are still trading it roflmao,stemcell,2017-08-18
144,"I have to ask, why are people still",ad1,2017-08-18
145,That's nuts. Like lemmings off a cliff.Good luck,Global Interface,2017-08-18
146,Wondering the same thing! Guess that haven't figured,micar,2017-08-18
147,On a brighter note still up 80+ percent,Awl416,2017-08-18
148,LOL at day traders playing with the insurance,Global Interface,2017-08-18
149,"Root9B Says in Event of Sale of Assets,",ammobox,2017-08-18
150,Great time to short $RTNB if it doesn't,ammobox,2017-08-18
151,"Wow, how does it get pumped from 0.65",Tekterra,2017-08-18
152,RTNB- Too much volume still.  $2 close??,Lone Wolf,2017-08-18
153,No lower,stock1ace1,2017-08-18
