post_number,subject,username,date
1,First.  I don't know they told me,FatFox,2012-05-03
2,Gold forecast to hit new high in 2012,edlaws,2012-05-05
3,RBS Cuts 2012 Gold Forecast; Sees PGMs Outperforming,edlaws,2012-05-05
4,Gold Predictions,edlaws,2012-05-05
5,It's Time to Get into Gold Junior Miners,edlaws,2012-05-05
6,Vladimir Putin Pours Billions Into Gold,edlaws,2012-09-11
7,Gold rises after Moody's U.S. credit warning hits dollar,edlaws,2012-09-11
8,Gone Since March... the Gold Bull Market Is,edlaws,2012-09-11
9,Will Gold And Silver Shine Again? ,edlaws,2012-09-11
10,Santo Mining Corporation Appoints Alain French as President,Stock Martin,2012-09-14
11,News: Santo Mining Corporation Acquires Alexia Gold Claim,Stock Martin,2012-09-21
12,Is this the 40 billion dollar pick?,LARRYMONEY,2012-09-25
13,News Out! Santo Mining Corp. Announces 100% Acquisition,Stock Martin,2012-09-25
14,News Out! Santo Mining Corporation Acquires 100% of,Stock Martin,2012-09-27
15,Nice,WakingBake,2012-09-27
16,"lotta news and nothing , hmmmm",TEFFY-TRADER,2012-09-28
17,maybe someday eh?,TEFFY-TRADER,2012-09-28
18,maybe just a trick,TEFFY-TRADER,2012-09-28
19,"nice nobody know nuttin , honey.",TEFFY-TRADER,2012-09-28
20,SMA is profiling this....http://www.stockmauthority.com/stock-report/,StocksRockStar,2012-09-28
21,1.49 x 1.50,Komando Robot,2012-09-28
22,$3.85M Budget for awareness campaign:,PatiencePaysOff79,2012-09-28
23,"887,200$883,101.0020$0.99538 ",[SMART MONEY] ,2012-09-28
24,WOW!,[SMART MONEY] ,2012-09-28
25,pRICE Iz sTEEP,[SMART MONEY] ,2012-09-28
26,SMA http://www.stockmauthority.com/stock-report/,[SMART MONEY] ,2012-09-28
27,i dont receive any email yet,ming1234,2012-09-28
28,http://www.stockmauthority.com/stock-report/,Komando Robot,2012-09-28
29,Look what time my first post was today,TEFFY-TRADER,2012-09-28
30,emails hitting like crazy!!!,StocksRockStar,2012-09-28
31,Tap into the Next Gold Rush ,[SMART MONEY] ,2012-09-28
32,Ahhhh another frontloaded promo ?,MONSTAMONEYMOVA,2012-09-28
33,They are selling a lot of shares in,PatiencePaysOff79,2012-09-28
34,I tried to get $1.40 but no fill.,Paul Wall,2012-09-28
35,L2 Landscape changes quickly!,[SMART MONEY] ,2012-09-28
36,Impossible fill on most brokers.,madaznfootballer,2012-09-28
37,Yeah what the hell?,Paul Wall,2012-09-28
38,Float 25 milly,TR4GEDY,2012-09-28
39,I tried from $1.38-$1.45 with no luck. I,PatiencePaysOff79,2012-09-28
40,Put in order well before emails came out,madaznfootballer,2012-09-28
41,"Yeah it is, nice 600k whack @ 1.37",Komando Robot,2012-09-28
42,Great call bud,shrudeinvesta,2012-09-28
43,I dont have enuff wood to keep up,[SMART MONEY] ,2012-09-28
44,They are diluting a lot,Komando Robot,2012-09-28
45,This will crash hard and fast watch,big time 21,2012-09-28
46,"Larry knew, but so did Teffy, and otherz;-)",[SMART MONEY] ,2012-09-28
47,LOL cuz your the FAT~FOX,[SMART MONEY] ,2012-09-28
48,SANP kicking butt and taking names here this morning,DITRstocks,2012-09-28
49,Nice momo,DITRstocks,2012-09-28
50,SANP Way tooo jacked,MR. McBALL$,2012-09-28
51,A lot of people knew.,Paul Wall,2012-09-28
52,The mining sector is getting hotter and hotter,DITRstocks,2012-09-28
53,Taking a look at financials now,DITRstocks,2012-09-28
54,agreez,[SMART MONEY] ,2012-09-28
55,"Penny Market is dead guys...BDPS dead, APS dead,",madaznfootballer,2012-09-28
56,aGreed,[SMART MONEY] ,2012-09-28
57,Santo Mining Corporation Acquires 100% of Walter Gold,DITRstocks,2012-09-28
58,So did you get in?  If not,Adapt,2012-09-28
59,"Just so you guys know, the alert was",madaznfootballer,2012-09-28
60,"No fill.  IMpossible fill, if this dumps",madaznfootballer,2012-09-28
61,My thought as well since I have to,Paul Wall,2012-09-28
62,"I'm not sure, but every chart I'm looking",Adapt,2012-09-28
63,YOU all need to sign up for TEFF,bobbytx1,2012-09-28
64,What was the HOD?  Thanks,grawsha,2012-09-28
65,If probably did.  The ask was super,Paul Wall,2012-09-28
66,We need to see new leadership in the,DITRstocks,2012-09-28
67,Funny you mention that,MR. McBALL$,2012-09-28
68,$SANP is sma!,jasonchanning,2012-09-28
69,Nobody gets filled at those levels,DITRstocks,2012-09-28
70,Alert @.90 ????,MR. McBALL$,2012-09-28
71,Damn were you the first to call this??,TR4GEDY,2012-09-28
72,"Probably not, but just gotta be smart about",madaznfootballer,2012-09-28
73,"I was first to post SMA confirmation, went",StocksRockStar,2012-09-28
74,BS!!  TDA shows the low was $1.35.,grawsha,2012-09-28
75,ONLY the orchestrated buys got filled there = L@@K,[SMART MONEY] ,2012-09-28
76,Was going to try this but no fill,Adapt,2012-09-28
77,does it matter?,[SMART MONEY] ,2012-09-28
78,Who is the mm SMA uses?,Adapt,2012-09-28
79,YES!!!!!!!J/K   ; )   WEEEEEEEEEEEEEEEEEEEEE,StocksRockStar,2012-09-28
