,post_number,subject,username,date
0,1,Might Take A Flyer Here.76Mill Outstanding.Seems To Move,flybridge,2006-01-19
1,2,OGTX moves REAL easy...no news and recent heavy,weebie,2006-08-10
2,3,Organetix Signs Letter of Intent to Merge With,StockSwami,2006-09-27
3,4,I've narrowed my plays down to just mergers.,woody55,2006-10-01
4,5,Organetix Signs Definitive Agreement to Acquire Privately Held,Derekz,2007-01-25
5,6,Someone contain this thing!,Greencake,2007-07-11
6,7,This thread is so bullish...is there anybody here?,Greencake,2007-08-06
7,8,not sure but  really  leary of,copytech,2008-01-20
8,9,the merger is  underway  lets see,copytech,2008-01-23
9,10,Watching.,HUSTLA,2008-01-23
10,11,me  too not sure how  long,copytech,2008-01-23
11,12,"yea, needs to trade more volume before i",HUSTLA,2008-01-24
12,13,this looks like it has been dead for,Win4me,2008-06-02
13,14,News Out Today,Win4me,2008-06-16
14,15,Looks like a Great chance to make some$$,MAXJDA,2008-07-23
15,16,<DELETED>,<DELETED>,2008-07-23
16,17,I really like the Solid Gold Chalice found,MAXJDA,2008-07-23
17,18,<DELETED>,<DELETED>,2008-07-23
18,19,our joint venture with blue water sounds like,jazz69,2008-07-25
19,20,"http://forum.treasurenet.com/index.php/topic,170942.msg1245331.html#msg1245331",youhavenoidea,2008-07-27
20,21,Updated webpage,MAXJDA,2008-07-28
21,22,Seafarer Exploration Corp. Completes Private Placement ,MAXJDA,2008-08-08
22,23,Seafarer Exploration Corp. Identifies North Boundary of the,MAXJDA,2008-08-21
23,24,"[video] Kyle Kennedy, CEO of Seafarer Exploration Corp.",MAXJDA,2008-08-21
24,25,Seafarer Exploration Announces theLaunch of Its New Corporate,MAXJDA,2008-09-18
25,26,Seafarer Finds Additional Artifacts ,MAXJDA,2009-01-29
26,27,Seafarer Exploration has started a slow climb. ,MAXJDA,2009-02-10
27,28,Have not been here in awhile.  Anyone,MAXJDA,2009-06-04
28,29,I got an email on it and it,Brian H,2009-06-25
29,30,Nice action today anyone know what going on,PENNYPRINCE 1,2009-07-07
30,31,"Seafarer Exploration Corp., engages in the exploration and",jaysereno,2009-07-08
31,32,Jay it looks like someone has been buying,PENNYPRINCE 1,2009-07-09
32,33,"Hey James,",jaysereno,2009-07-10
33,34,SFRX has risen 5% on high volume,jaysereno,2009-07-10
34,35,"Hey Brian, What are your thoughts on this one?",jaysereno,2009-07-10
35,36,I sure see a move past .04 but,PENNYPRINCE 1,2009-07-11
36,37,It would be great to have a web,PENNYPRINCE 1,2009-07-11
37,38,I see we are down and just bought,PENNYPRINCE 1,2009-07-13
38,39,I would def buy at these levels...I will,jaysereno,2009-07-13
39,40,I am adding a little today after a,PENNYPRINCE 1,2009-07-14
40,41,"Great, I did too...I think if this thing",jaysereno,2009-07-14
41,42,I added a little today at .02,PENNYPRINCE 1,2009-07-14
42,43,I added a little more at .019,PENNYPRINCE 1,2009-07-15
43,44,Seafarer Exploration Corp. (OTCBB:SFRX) announced that its wholly,jaysereno,2009-07-16
44,45,Nice and maybe more news soon. IMO this,PENNYPRINCE 1,2009-07-16
45,46,Nice James444ct...i think i will add too...this could,jaysereno,2009-07-17
46,47,I have been adding and I expect to,PENNYPRINCE 1,2009-07-18
47,48,I'm just leary when I hear management maybe,Bruce the Stock Guy,2009-07-19
48,49,Then DONT BUY,PENNYPRINCE 1,2009-07-19
49,50,Then DONT BUY <<<<<<<I WONT..TY for the heads up..,Bruce the Stock Guy,2009-07-19
50,51,SFRX maybe we can get some news soon.,PENNYPRINCE 1,2009-07-20
51,52,<DELETED>,<DELETED>,2009-07-20
52,53,management may get ride of shares and thats,jaysereno,2009-07-20
53,54,Another good day.,PENNYPRINCE 1,2009-07-21
54,55,YEAH!!!! this one is the one......1000% return EASY!!!,jaysereno,2009-07-21
55,56,Looks like another good day but we need,PENNYPRINCE 1,2009-07-22
56,57,i think it is well on its way...this,jaysereno,2009-07-22
57,58,It was a great day and hopefully it,PENNYPRINCE 1,2009-07-22
58,59,I am bidding and not getting any may,PENNYPRINCE 1,2009-07-23
59,60,yesterday was great!!! and i think if they,jaysereno,2009-07-23
60,61,Lets hope so and I dubt anything on,PENNYPRINCE 1,2009-07-23
61,62,I already put in an order at the,PENNYPRINCE 1,2009-07-23
62,63,news would help but this thing is a,jaysereno,2009-07-24
63,64,News would help I agree but it is,PENNYPRINCE 1,2009-07-24
64,65,With the buying up to .05 and the,PENNYPRINCE 1,2009-07-24
65,66,Nice close up 35%. IMO this is a,PENNYPRINCE 1,2009-07-25
66,67,This one looks very promising.  If it,RedStick,2009-07-25
67,68,I have been here a while and IMO,PENNYPRINCE 1,2009-07-26
68,69,WOW!!!! Friday was just crazy GOOD!!!!,jaysereno,2009-07-27
69,70,Yes and a little selling this am but,PENNYPRINCE 1,2009-07-27
70,71,Maybe we can return to the upside today.,PENNYPRINCE 1,2009-07-28
71,72,"Kinda new to the whole ""stock"" thing, but",ShaunnaTVL,2009-07-28
