post_number,subject,username,date
1,Welcome to the TGLE Board!!!,sparkasse,2006-05-10
2,Volume in germany dried down today.Maybe this was,sparkasse,2006-05-11
3,"good to go on TGLE, sparky, back to",Mikey,2006-05-11
4,Nice close on Hod $.71.,sparkasse,2006-05-12
5,Tripple bottom at $.15,sparkasse,2006-07-27
6,wow TGLE under a dime !!!,sparkasse,2006-07-28
7,What has caused the big sell off this,Derekz,2006-07-28
8,sparkybabie...she's gonna go.....been in and out of this,Mikey,2006-07-28
9,Any one have any idea why the last,harleyman5,2006-07-31
10,Just received a german mailer about TGLE,Frankiy,2006-08-31
11,Wow gap has been closed at $.12 today.,Frankiy,2006-09-27
12,Looks like this may really start to move,kahuna,2006-11-14
13,Titans Tunes has been down for over a,rod1023,2006-11-20
14,what is going on with this stock? ,bullmarket1,2006-11-21
15,trading yet dissolved?,bullmarket1,2006-11-21
16,I am not sure what is going on,rod1023,2006-11-21
17,site down here's my 2 cents....  ,bullmarket1,2006-11-21
18,Links that prove my no content theory. ,bullmarket1,2006-11-21
19,you may want to look at this web,ROADDOG,2006-11-21
20,"High volume, dissolved and no revenue generating web",bullmarket1,2006-11-22
21,I am not sure whats going on with,rod1023,2006-11-23
22,Did anyone call the TA?,Frankiy,2006-11-24
23,Increase Authorized Shares to 200 Million  ,bullmarket1,2006-11-24
24,Has anybody tried to call Titan Tunes in,rod1023,2006-11-28
25,New ticker & name?    ,bullmarket1,2006-11-28
26,I am not sure what would happen if,rod1023,2006-11-30
27,I checked today and the website titan tunes,rod1023,2006-12-02
28,yes it is and i am glad to,ROADDOG,2006-12-02
29,Well I am Glad the Website is up,rod1023,2006-12-05
30,I've been watching TGLE for about a month,odaydrums,2006-12-05
31,TGLE what next?     ,bullmarket1,2006-12-06
32,Well I don't own any shares of TGLE,odaydrums,2006-12-06
33,you can find a listing of titan on,odaydrums,2006-12-07
34,No Orchard      ,bullmarket1,2006-12-07
35,"Yes,I stand corrected.The web site only has,with all due",odaydrums,2006-12-07
36,TGLE I am in at $ 0.0105,Frankiy,2006-12-07
37,In also,Safemaster,2006-12-07
38,TGLE interview,Frankiy,2006-12-07
39,Just got off the phone with Jim the,Frankiy,2006-12-08
40,Naked shorts? I dont know about that.The volume,odaydrums,2006-12-09
41,We need answers!   1. Why were,bullmarket1,2006-12-09
42,FL Corp & Naked Short problems,bullmarket1,2006-12-09
43,Very easy to be answered,Frankiy,2006-12-09
44,Been down that road...  I have called,bullmarket1,2006-12-09
45,"Wow,sorry to hear of all your troubles,thank you",odaydrums,2006-12-10
46,I called Jim.,Frankiy,2006-12-10
47,Just added some TGLE .0090s,Frankiy,2006-12-11
48,TGLE.Is this a good stock Frankie?,ORCA,2006-12-11
49,Taki I spoke to Jim Ceo fo TGLE.,Frankiy,2006-12-11
50,Unfortunatily the CEO is a ZERO so far,ORCA,2006-12-11
51,Timber!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Aggie9518,2006-12-11
52,Takis you know that the naked shorts can,Frankiy,2006-12-11
53,"I am down 1,200 $ already todays buys.Unlreal.Man",ORCA,2006-12-11
54,they gonna be toast sooooonnnnnnn,Frankiy,2006-12-11
55,Willing to corner them like mice.I hope they,ORCA,2006-12-11
56,I just added another 100k at .0065,Frankiy,2006-12-11
57,Okay added 100k at .0065 also. now.,ORCA,2006-12-11
58,<DELETED>,<DELETED>,2006-12-11
59,TGLE news,Cat_Ottawa,2006-12-12
60,TGLE looking better today.,Frankiy,2006-12-12
61,Franky it will look betterif crosses the .01.,ORCA,2006-12-12
62,yep right.,Frankiy,2006-12-12
63,<DELETED>,<DELETED>,2006-12-12
64,I can only tell you the things what,Frankiy,2006-12-12
65,"This thing's forming a bottom, should be a",stockpsychic,2006-12-12
66,Uhhh...Forming a bottom???...I dont see that...Everytime I look,Aggie9518,2006-12-12
67,can someone post L2 foro TGLE please....,Aggie9518,2006-12-12
68,"I don't necessarily think it is yet, but",stockpsychic,2006-12-12
69,OK...Im sorry I thought you said  ,Aggie9518,2006-12-12
70,"it's what I said, but I was basically",stockpsychic,2006-12-12
71,This is the part of the movie where,odaydrums,2006-12-12
72,NOBO?So he lied?,ORCA,2006-12-13
73,What does NOBO news mean anyways. This stock,rod1023,2006-12-13
74,Diliution is killing this stock....CMF way negative and,Aggie9518,2006-12-13
75,"Take note of that ""interview"".If you listen to",odaydrums,2006-12-13
76,Looks like it found bottomed at .0038 and,FullHouseBaby,2006-12-14
77,News too,mkinhaw,2006-12-14
78,Now it's found it's bottom and we're running weeeeeeeee!!!,stockpsychic,2006-12-14
79,It this a trade 2757500 @.0055 at 16:09,BornAgain,2006-12-14
80,TIME FOR rebound now that we shaked all,ORCA,2006-12-14
81,"I bought yesterday at 0.0042, I'm very happy",INXS,2006-12-14
82,TGLE.005.If they take down again Will add several,ORCA,2006-12-15
83,Stupid a$$es you F it up.You will not,ORCA,2006-12-15
84,Do people really think you can roll the,odaydrums,2006-12-15
85,I will make money on it.Average now is,ORCA,2006-12-15
86,Why always one big trade after market closed ??,INXS,2006-12-18
87,TGLE what a scam.WoW. friggen pos from 1.50,ORCA,2006-12-19
88,"DONT FEEL LIKE YOUR ALONE,BOUGHT IT WELL OVER",ROADDOG,2006-12-19
89,Well it closed at .0032 a new low.,rod1023,2006-12-19
90,WOW!! Another new low .0025. You can buy,rod1023,2006-12-21
91,What a surprise the Titan Tunes website is,rod1023,2006-12-21
92,Looks like tax selling is over we should,BornAgain,2006-12-22
93,TGLE I called the TA today ..,Frankiy,2006-12-22
94,2.9M buy at .0024 15:51:43  b&a .0021x.0022,Frankiy,2006-12-22
95,Pos TGLE.0019x.002 Added at .002.,ORCA,2006-12-26
96,"I have been watching this fall , what",apennyorbetter,2006-12-26
97,Another record low .0018 man how low can,rod1023,2006-12-26
98,How many outstanding shares????,apennyorbetter,2006-12-27
99,Another record low .0013 I think it is,rod1023,2006-12-27
100,The Stock Finally stopped going down. The Stock,rod1023,2006-12-28
101,I bet this stock will go down 20%,odaydrums,2006-12-28
102,Hey...I stumbled across this one a few weeks,Xtreme81,2006-12-28
103,"I like todays close a nice hammer, maybe",BornAgain,2006-12-29
104,I wonder what they gonna do with all,Frankiy,2006-12-29
105,TGLE - on watch.eom,Daywalker,2006-12-29
106,TGLE hopefully the turnaround.,Frankiy,2007-01-03
107,TGLE .0018x.0019,Frankiy,2007-01-03
108,It was not a tax loss selling after,penny_visor,2007-01-03
109,For what they are using all that money???,Frankiy,2007-01-03
110,Well it shot up to .0018 and it,rod1023,2007-01-03
111,TGLE just called the TA,Frankiy,2007-01-04
112,TGLE TA says no new issued shares.,Frankiy,2007-01-05
113,TGLE .0016x.0017 6x2,Frankiy,2007-01-05
114,Hearing there gonna be a few news in January.,Frankiy,2007-01-05
115,Well I hope so If they just invest,rod1023,2007-01-05
116,"added today here , turning coming!",euromiljoen,2007-01-05
117,"waiting for contract very soon ,",euromiljoen,2007-01-05
118,what contract? i'm here cause of supposed dilution,koolmc,2007-01-06
119,"on TGLE   January 03, 2007 Stock",euromiljoen,2007-01-07
120,can anyone explain why the site is down,BigDaddy01,2007-01-07
121,TGLE .0020s weeeeeeeeeee,Frankiy,2007-01-08
122,"Wow! Volume is 40,334,670 at this time and",rod1023,2007-01-08
123,Lets break .0025s and we gonna go to,Frankiy,2007-01-08
124,"Volume 110,695,260 now its at .0026. I should",rod1023,2007-01-08
125,lookin good folx  em.,speckledpup,2007-01-08
