post_number,subject,username,date
1,Hello!,IPO$,2009-07-17
2,DCRD (old MUBM) ...ticker symbol change,IPO$,2009-07-29
3,Welcome,IPO$,2009-07-29
4,I am long on DCRD...stay tuned,IPO$,2009-08-20
5,DCRD - Volume picking up now!,IPO$,2009-09-15
6,DCRD - $1.45 by $1.70,IPO$,2009-09-15
7,www.dcrdpaper.com,IPO$,2009-09-15
8,DCRD: $6.8 million net income (after taxes) 12-31-08 audited,IPO$,2009-09-15
9,DCRD: Chinese paper company....www.chditn.com,IPO$,2009-09-15
10,DCRG: $1.60 by $2.40...you will not see these,IPO$,2009-09-15
11,Company Name:  Decor Products International Inc,IPO$,2009-09-16
12,Why the DCRD Penny Stock Master Recommendation: ,IPO$,2009-09-16
13,DCRD F/S - www.sec.gov...See 8-K/A,IPO$,2009-09-16
14,I have been watching this one for some,CluelessStockJunkie,2009-09-17
15,DCRD charts will look good   http://www.hotstockmarket.com/forums/showthread.php,IPO$,2009-09-17
16,I am expecting great things to happen here,IPO$,2009-09-17
17,Bring it on DCRD! Ready to get upticking.,IPO$,2009-09-17
18,Seem like a slow but steady upward movement.,CluelessStockJunkie,2009-09-18
19,We bought into DCRD...We are long on it.,IPO$,2009-09-18
20,"DCRD-1,000 shares BUY at ASK $1.75",IPO$,2009-09-18
21,DCRD - DECOR PRODUCTS INTL (NASDAQ - OTCBB) ,IPO$,2009-09-18
22,DCRD - 6.500 shares at $1.75...$1.95 offer,IPO$,2009-09-18
23,"DCRD - $1.75 up 10 cents - 6,500",IPO$,2009-09-18
24,A small part of that was mine.......notice your,CluelessStockJunkie,2009-09-18
25,good choice in buying DCRD - the company,IPO$,2009-09-18
26,ok,IPO$,2009-09-18
27,<DELETED>,<DELETED>,2009-09-18
28,Asia is booming again. While the U.S. markets,IPO$,2009-09-18
29,DCRD up at $1.95 today,IPO$,2009-09-18
30,"With the new production line, DCRD plans to",IPO$,2009-09-18
31,Niiice :-),*MARINE 1*,2009-09-18
32,Have a good weeked,IPO$,2009-09-18
33,This is going to be another China home,CluelessStockJunkie,2009-09-18
34,DCRD may even be a grand slam! I,IPO$,2009-09-18
35,Twenties I would die for..........lol,CluelessStockJunkie,2009-09-18
36,This is what Friedman was talking about in,jrmafia,2009-09-18
37,Do I hear 30's?,IPO$,2009-09-19
38,BRIC is correct except for Russia at this,IPO$,2009-09-19
39,we have a moderator-yeah!,IPO$,2009-09-19
40,Figured someone needs to sail this ship lol,CluelessStockJunkie,2009-09-19
41,Nice performance so far.  Can't wait to,simple stock man,2009-09-19
42,"you are a stock junkie, but not clueless...you",IPO$,2009-09-20
43,A bit of luck and God blessing.....DCRD will,CluelessStockJunkie,2009-09-20
44,Looking for a good day ...........,CluelessStockJunkie,2009-09-21
45,Here is the lastest 8K ,CluelessStockJunkie,2009-09-21
46,Some volume nothing crazy..........people are starting to see,CluelessStockJunkie,2009-09-21
47,It has more fundamentals that over 95% of them,IPO$,2009-09-21
48,Nice to see the price has held with,simple stock man,2009-09-21
49,None,simple stock man,2009-09-21
50,I see it...looking good,IPO$,2009-09-21
51,Held tight today even thought the market was,simple stock man,2009-09-21
52,yep,IPO$,2009-09-22
53,I must admit I am really excited for,CluelessStockJunkie,2009-09-22
54,Can't wait to see what this does. ,jackyj,2009-09-22
55,me too...will be an early Chriustmas present I believe,IPO$,2009-09-22
56,Some nice stats:,CluelessStockJunkie,2009-09-22
57,like i said i am in and expecting,jrmafia,2009-09-22
58,I am in on this too.  Pretty,simple stock man,2009-09-23
59,"Sales $25,000,000",IPO$,2009-09-23
60,DCRD UP on the bid/ask!!!,IPO$,2009-09-23
61,Is this the start???,simple stock man,2009-09-23
62,I saw that............and looking for a HUGE 2009,CluelessStockJunkie,2009-09-23
63,Interesting article:,CluelessStockJunkie,2009-09-23
64,DCRD - up on bid and ask today...,IPO$,2009-09-23
65,"DCRD As of December 31,   ",IPO$,2009-09-23
66,DCRD - new web site...www.dcrdpaper.com,IPO$,2009-09-23
67,The Seven Reasons Why You Should be,IPO$,2009-09-23
68,Slow and steady is the way to go.........you,CluelessStockJunkie,2009-09-23
69,Right you are!  I am sure DCRD,simple stock man,2009-09-23
70,Check out the info I pulled from the,simple stock man,2009-09-23
71,Very very nice simpleton ...........I like it !,CluelessStockJunkie,2009-09-23
72,Clueless has made me a lot of money,AGreenEyedDevil,2009-09-24
73,"Thanks GED ..........yes, this one will do well",CluelessStockJunkie,2009-09-24
74,"Well until your ""gut"" is wrong I will",AGreenEyedDevil,2009-09-24
75,next Mon or Tues should be a big day,IPO$,2009-09-24
76,watch DCRD over the next four business days....and,IPO$,2009-09-24
77,Lets not jinx ourselves now lol,CluelessStockJunkie,2009-09-24
78,Oooooooo sounds like something is up........,CluelessStockJunkie,2009-09-24
79,"""Demand in this sector has historically been closely",IPO$,2009-09-24
80,"Year to date through August 21, the S&P",IPO$,2009-09-24
81,per wachovia.com:,IPO$,2009-09-24
82,paper mkt caps high:,IPO$,2009-09-24
83,DCRD competition - Int'l Paper ,IPO$,2009-09-24
84,Nice based on this there is plenty of,CluelessStockJunkie,2009-09-24
85,If we did 10% of that this would,CluelessStockJunkie,2009-09-24
86,Wonder what DCRD has in store for us,simple stock man,2009-09-25
87,The bid is @ $1.90!!,simple stock man,2009-09-25
88,$1.97!!!,simple stock man,2009-09-25
89,<DELETED>,<DELETED>,2009-09-25
90,"I saw that, a good sign it is",CluelessStockJunkie,2009-09-25
91,Taking a look at this companies website I,AGreenEyedDevil,2009-09-25
92,"It is very appealing, nice set up and",CluelessStockJunkie,2009-09-25
93,"Waiting for some PRs from this, and things",AGreenEyedDevil,2009-09-28
94,I would think it will be coming in,CluelessStockJunkie,2009-09-28
95,DCRD $2.30 offer this morning,IPO$,2009-09-29
96,I see.......slowly moving up ! !,CluelessStockJunkie,2009-09-29
97,up 20%,IPO$,2009-09-29
98,Up 33% since I first bought in at,CluelessStockJunkie,2009-09-29
99,I am up 33% as well on DCRD!,IPO$,2009-09-29
100,DCRD Paper competitor rec'd a BUY today!!!,IPO$,2009-09-29
101,That fairs well for DCRD,CluelessStockJunkie,2009-09-29
102,Interesting news about a competitor of DCRD...,simple stock man,2009-09-29
103,I see the ask has moved up. ,simple stock man,2009-09-29
104,I'm up 25%,simple stock man,2009-09-29
105,33% myself............good to see your alive and well.,CluelessStockJunkie,2009-09-29
106,"I am too. Time to sit back, do",AGreenEyedDevil,2009-09-29
107,Life is good lol,CluelessStockJunkie,2009-09-29
108,DCRD - I am hoping noce volume comes,IPO$,2009-09-29
109,"$4.00 then up-listing, institutional buying....the sky is the",CluelessStockJunkie,2009-09-29
110,institutional buying will come in at $5.00 per,IPO$,2009-09-29
111,Next two hurdles are $4.00 to uplist and,CluelessStockJunkie,2009-09-29
112,why isnt it moving,bull21,2009-09-29
113,"It just did the reverse, the announcement isn't",CluelessStockJunkie,2009-09-29
114,I love that web site,IPO$,2009-09-29
115,"It has some good info about DCRD, how",CluelessStockJunkie,2009-09-29
116,DCRD $6.8 million audited net earnings for 2008,IPO$,2009-09-29
117,With the low shares outstanding and I would,CluelessStockJunkie,2009-09-29
118,DCRD PE is only 3.5,IPO$,2009-09-29
119,Don't forget the fact that it is a,simple stock man,2009-09-29
120,The site is great!  Has some good,simple stock man,2009-09-29
121,"Tell me about it, I feel like the",CluelessStockJunkie,2009-09-29
122,I am expecting some volume today on DCRD,IPO$,2009-09-30
123,Your not the only one..........I am getting annoyed,CluelessStockJunkie,2009-09-30
124,Let me know when your ready for China.,simple stock man,2009-09-30
125,heading there first week of November,IPO$,2009-10-01
126,"the old TV commercail was ""where's the beef""...I",IPO$,2009-10-01
127,Some DCRD facts:,CluelessStockJunkie,2009-10-01
128,"Financials Are Awesome, Thanks For The Heads Up:",trythisagain,2009-10-01
129,What's The Float #'s?.. Looks Very Low../,trythisagain,2009-10-01
130,"I believe under 250,000 free trading..........I will confirm",CluelessStockJunkie,2009-10-01
131,"Free trading float is 125,000 ! ! !",CluelessStockJunkie,2009-10-01
132,"The $6,800,000 net income is for 2008...I expect",IPO$,2009-10-01
133,pull the nobo to iudentify who the seller was...,IPO$,2009-10-01
134,"135,000 is the float",IPO$,2009-10-01
135,Smart move.............,CluelessStockJunkie,2009-10-01
136,So small it is ripe to x-plode !,CluelessStockJunkie,2009-10-01
137,let's see what happens today,IPO$,2009-10-02
138,Me too. Just watching and waiting.....,AGreenEyedDevil,2009-10-05
139,Where is the buying ????,CluelessStockJunkie,2009-10-05
140,I'm here...on watch... wheres the entry point on,stevenck,2009-10-05
141,I am in at $1.50 and most of,CluelessStockJunkie,2009-10-05
142,Got it..... looks nice....but I may also be,stevenck,2009-10-05
143,DCRD is a real company..........$6.8 million net income.,CluelessStockJunkie,2009-10-05
144,This is nice profit...  Some volume yesterday.,simple stock man,2009-10-06
145,It is great to see that the company,simple stock man,2009-10-06
146,Something else should be noted about DCRD. ,simple stock man,2009-10-06
147,very good points....,IPO$,2009-10-06
148,I agree.....smart man there.,CluelessStockJunkie,2009-10-06
149,I learned from the best.. :),simple stock man,2009-10-06
150,Check this out!!  With the growing middle,simple stock man,2009-10-06
151,HOT OFF THE PRESS!!!,simple stock man,2009-10-06
152,Clueless knew what he was talking about...,simple stock man,2009-10-06
153,VERY nice read...........,CluelessStockJunkie,2009-10-06
154,<DELETED>,<DELETED>,2009-10-06
155,<DELETED>,<DELETED>,2009-10-06
156,That is excellent news!,IPO$,2009-10-07
157,Some volume in today.....and the gap closed.,CluelessStockJunkie,2009-10-07
158,VERY nice.....lookie at the volume.,CluelessStockJunkie,2009-10-07
159,DCRD - volume starting to kick in....spread is tighteining,IPO$,2009-10-07
160,Glad to see some movement.  had to,simple stock man,2009-10-07
161,At $1.70 now.,simple stock man,2009-10-07
162,Nice day.....happy with the volume.,CluelessStockJunkie,2009-10-07
163,"No volume yet, but the gap in bid",simple stock man,2009-10-08
164,Could this be the calm before the storm,simple stock man,2009-10-08
165,More news on the horizon..............??,CluelessStockJunkie,2009-10-08
166,hope so.  I have been hearing some,simple stock man,2009-10-08
167,Sooner than later............,CluelessStockJunkie,2009-10-08
168,DCRD $1.97 offer,IPO$,2009-10-09
169,"Holding steady, no real sellers.",CluelessStockJunkie,2009-10-09
170,funny pix,IPO$,2009-10-09
171,Your right.  Everyone is holding tight until,simple stock man,2009-10-09
172,any news?,IPO$,2009-10-10
173,hope some news breaks soon!,simple stock man,2009-10-12
174,BOOM BOOM BOOM .........all buyers and NO sellers.,CluelessStockJunkie,2009-10-13
175,In the green 32.35%!!!!!!!!!,AGreenEyedDevil,2009-10-13
176,IT'S ABOUT TIME!!!!  GO BABY GO!,simple stock man,2009-10-13
177,The volume is picking up!  Is it,simple stock man,2009-10-13
178,Have a little faith...............best is yet to come.,CluelessStockJunkie,2009-10-13
179,SOON I hope nk:),nkdroth,2009-10-13
