Date,Open,High,Low,Close,Volume
2010-01-20,0.3048,0.3048,0.3048,0.3048,328.0
2010-01-21,0.3048,0.3048,0.3048,0.3048,0.0
2010-01-22,0.3048,0.3048,0.3048,0.3048,0.0
2010-01-25,0.3048,0.3048,0.3048,0.3048,0.0
2010-01-26,0.3048,0.3048,0.3048,0.3048,0.0
2010-01-27,0.3048,0.3048,0.3048,0.3048,0.0
2010-01-28,0.3048,0.3048,0.3048,0.3048,0.0
2010-01-29,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-01,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-02,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-03,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-04,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-05,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-08,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-09,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-10,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-11,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-12,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-15,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-16,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-17,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-18,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-19,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-22,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-23,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-24,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-25,0.3048,0.3048,0.3048,0.3048,0.0
2010-02-26,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-01,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-02,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-03,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-04,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-05,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-08,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-09,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-10,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-11,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-12,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-15,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-16,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-17,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-18,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-19,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-22,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-23,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-24,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-25,0.3048,0.3048,0.3048,0.3048,0.0
2010-03-26,1.6,52.0,1.6,52.0,971.0
2010-03-29,52.0,52.0,39.2,40.0,776.0
2010-03-30,39.2,39.2,39.2,39.2,5.0
2010-03-31,37.6,37.6,37.6,37.6,2.0
2010-04-01,37.6,37.6,37.6,37.6,0.0
2010-04-02,37.6,37.6,37.6,37.6,0.0
2010-04-05,37.6,37.6,37.6,37.6,0.0
2010-04-06,37.6,37.6,36.8,36.8,1262.0
2010-04-07,37.6,37.6,36.8,36.8,0.0
2010-04-08,37.6,37.6,36.8,36.8,0.0
2010-04-09,20.0,36.0,20.0,36.0,8.0
2010-04-12,20.0,36.0,20.0,36.0,0.0
2010-04-13,20.0,36.0,20.0,36.0,0.0
2010-04-14,21.6,21.6,21.6,21.6,58.0
2010-04-15,32.0,32.0,32.0,32.0,6.0
2010-04-16,32.0,32.0,32.0,32.0,0.0
2010-04-19,32.0,36.0,32.0,32.0,88.0
2010-04-20,33.6,40.0,33.6,37.6,162.0
2010-04-21,33.6,40.0,33.6,37.6,0.0
2010-04-22,33.6,40.0,33.6,37.6,0.0
2010-04-23,33.6,40.0,33.6,37.6,0.0
2010-04-26,26.4,34.4,24.0,34.4,423.0
2010-04-27,26.4,34.4,24.0,34.4,0.0
2010-04-28,24.8,31.2,24.8,24.8,187.0
2010-04-29,18.8,32.0,18.8,32.0,12.0
2010-04-30,18.8,32.0,18.8,32.0,0.0
2010-05-03,31.2,32.0,31.2,32.0,68.0
2010-05-04,32.0,37.2,32.0,37.2,125.0
2010-05-05,32.0,37.2,32.0,37.2,0.0
2010-05-06,28.0,28.0,28.0,28.0,312.0
2010-05-07,31.2,31.2,31.2,31.2,12.0
2010-05-10,31.2,33.6,31.2,33.6,443.0
2010-05-11,33.6,38.4,33.52,36.8,4918.0
2010-05-12,38.4,38.4,28.8,33.2,1253.0
2010-05-13,32.8,33.2,30.4,33.2,1366.0
2010-05-14,33.2,33.2,28.0,32.0,90.0
2010-05-17,32.8,32.8,32.8,32.8,62.0
2010-05-18,32.8,32.8,30.4,32.8,162.0
2010-05-19,28.0,28.0,24.8,28.0,129.0
2010-05-20,28.8,28.8,28.0,28.0,150.0
2010-05-21,28.0,28.0,28.0,28.0,487.0
2010-05-24,27.2,31.2,24.8,25.6,513.0
2010-05-25,25.6,25.6,25.6,25.6,162.0
2010-05-26,25.6,27.2,25.6,25.6,726.0
2010-05-27,25.6,27.2,25.6,25.6,0.0
2010-05-28,25.6,26.0,25.6,26.0,125.0
2010-05-31,25.6,26.0,25.6,26.0,0.0
2010-06-01,25.6,26.0,25.6,26.0,0.0
2010-06-02,25.6,26.0,25.6,26.0,0.0
2010-06-03,21.6,26.0,21.6,25.6,108.0
2010-06-04,17.6,17.6,17.6,17.6,6.0
2010-06-07,17.6,17.6,17.6,17.6,0.0
2010-06-08,18.4,27.2,18.4,27.2,16.0
2010-06-09,18.4,27.2,18.4,27.2,0.0
2010-06-10,18.4,27.2,18.4,27.2,11.0
2010-06-11,18.4,20.0,18.4,20.0,123.0
2010-06-14,25.6,25.6,25.6,25.6,12.0
2010-06-15,18.4,24.0,18.4,20.0,365.0
2010-06-16,12.8,22.4,12.8,16.8,506.0
2010-06-17,20.0,20.0,20.0,20.0,6.0
2010-06-18,20.0,20.8,20.0,20.0,250.0
2010-06-21,21.2,23.2,20.0,21.6,17390.0
2010-06-22,23.2,23.2,20.0,20.0,7130.0
2010-06-23,21.6,21.6,16.8,20.8,1008.0
2010-06-24,20.8,20.8,16.4,19.2,1413.0
2010-06-25,18.4,18.8,16.08,16.08,2007.0
2010-06-28,16.0,17.6,16.0,16.8,2352.0
2010-06-29,15.2,16.0,13.6,15.2,953.0
2010-06-30,15.2,15.2,12.88,14.8,673.0
2010-07-01,14.4,14.4,12.8,14.4,675.0
2010-07-02,12.8,14.32,10.0,13.2,262.0
2010-07-05,12.8,14.32,10.0,13.2,0.0
2010-07-06,14.4,14.4,13.6,13.6,86.0
2010-07-07,13.6,13.6,12.0,12.0,1145.0
2010-07-08,12.0,12.4,10.64,12.4,178.0
2010-07-09,12.4,12.4,12.4,12.4,62.0
2010-07-12,12.4,12.8,10.8,12.8,660.0
2010-07-13,12.0,12.8,12.0,12.4,400.0
2010-07-14,12.0,13.6,12.0,13.6,1767.0
2010-07-15,12.4,16.0,12.4,16.0,464.0
2010-07-16,16.0,16.8,14.0,16.0,961.0
2010-07-19,13.6,16.0,13.6,16.0,28.0
2010-07-20,16.0,16.0,13.6,16.0,534.0
2010-07-21,13.6,16.0,13.6,16.0,268.0
2010-07-22,16.0,16.0,14.0,15.2,92.0
2010-07-23,14.0,15.2,14.0,15.2,96.0
2010-07-26,15.2,16.0,14.0,14.0,293.0
2010-07-27,14.08,15.6,14.0,14.0,81.0
2010-07-28,14.0,15.2,14.0,15.2,376.0
2010-07-29,15.192,17.6,13.6,15.6,4759.0
2010-07-30,15.2,15.6,12.0,15.6,2306.0
2010-08-02,12.8,14.4,12.8,14.4,105.0
2010-08-03,12.8,14.4,12.8,14.4,0.0
2010-08-04,13.2,15.52,12.8,13.6,542.0
2010-08-05,13.2,15.12,13.2,15.12,87.0
2010-08-06,15.12,15.2,15.12,15.12,208.0
2010-08-09,13.2,13.6,12.8,12.8,587.0
2010-08-10,12.8,13.6,12.4,12.8,338.0
2010-08-11,12.4,12.4,12.4,12.4,125.0
2010-08-12,12.4,12.4,11.28,12.0,331.0
2010-08-13,11.28,15.2,8.32,15.2,1371.0
2010-08-16,13.6,13.6,13.6,13.6,62.0
2010-08-17,13.6,13.6,13.6,13.6,0.0
