Date,Open,High,Low,Close,Volume
2010-07-08,45.0,45.0,45.0,45.0,6.0
2010-07-09,45.0,45.0,45.0,45.0,0.0
2010-07-12,45.0,45.0,45.0,45.0,0.0
2010-07-13,45.0,45.0,45.0,45.0,0.0
2010-07-14,45.0,45.0,45.0,45.0,0.0
2010-07-15,45.0,45.0,45.0,45.0,0.0
2010-07-16,45.0,45.0,45.0,45.0,0.0
2010-07-19,45.0,45.0,45.0,45.0,0.0
2010-07-20,45.0,45.0,45.0,45.0,0.0
2010-07-21,45.0,45.0,45.0,45.0,0.0
2010-07-22,45.0,45.0,45.0,45.0,0.0
2010-07-23,45.0,45.0,45.0,45.0,0.0
2010-07-26,45.0,45.0,45.0,45.0,0.0
2010-07-27,45.0,45.0,45.0,45.0,0.0
2010-07-28,45.0,45.0,45.0,45.0,0.0
2010-07-29,45.0,45.0,45.0,45.0,8.0
2010-07-30,45.0,45.0,45.0,45.0,0.0
2010-08-02,45.0,45.0,45.0,45.0,0.0
2010-08-03,45.0,45.0,45.0,45.0,11.0
2010-08-04,45.0,45.0,45.0,45.0,0.0
2010-08-05,45.0,45.0,45.0,45.0,0.0
2010-08-06,45.0,45.0,45.0,45.0,0.0
2010-08-09,45.0,45.0,45.0,45.0,0.0
2010-08-10,37.5,37.5,37.5,37.5,11.0
2010-08-11,37.5,37.5,37.5,37.5,0.0
2010-08-12,37.5,37.5,37.5,37.5,0.0
2010-08-13,1.5,1.5,1.5,1.5,8.0
2010-08-16,1.5,1.5,1.5,1.5,0.0
2010-08-17,30.3,30.3,30.3,30.3,3.0
2010-08-18,30.3,30.3,30.3,30.3,0.0
2010-08-19,30.3,30.3,30.3,30.3,0.0
2010-08-20,30.3,30.3,30.3,30.3,0.0
2010-08-23,30.3,30.3,30.3,30.3,0.0
2010-08-24,30.3,30.3,30.3,30.3,0.0
2010-08-25,30.3,30.3,30.3,30.3,0.0
2010-08-26,30.3,30.3,30.3,30.3,0.0
2010-08-27,30.3,30.3,30.3,30.3,0.0
2010-08-30,30.3,30.3,30.3,30.3,0.0
2010-08-31,30.3,30.3,30.3,30.3,0.0
2010-09-01,30.3,30.3,30.3,30.3,0.0
2010-09-02,30.3,30.3,30.3,30.3,0.0
2010-09-03,30.3,30.3,30.3,30.3,0.0
2010-09-06,30.3,30.3,30.3,30.3,0.0
2010-09-07,30.3,30.3,30.3,30.3,0.0
2010-09-08,30.3,30.3,30.3,30.3,0.0
2010-09-09,30.3,30.3,30.3,30.3,0.0
2010-09-10,30.9,30.9,30.9,30.9,3.0
2010-09-13,30.9,30.9,15.3,15.3,216.0
2010-09-14,13.5,13.5,13.5,13.5,166.0
2010-09-15,13.5,13.5,13.5,13.5,0.0
2010-09-16,13.5,13.5,13.5,13.5,0.0
2010-09-17,13.5,13.5,13.5,13.5,0.0
2010-09-20,18.0,18.0,18.0,18.0,60.0
2010-09-21,18.0,18.0,18.0,18.0,0.0
2010-09-22,18.0,18.0,18.0,18.0,33.0
2010-09-23,18.0,18.0,18.0,18.0,0.0
2010-09-24,18.0,18.0,18.0,18.0,0.0
2010-09-27,18.0,18.0,18.0,18.0,0.0
2010-09-28,18.0,18.0,18.0,18.0,0.0
2010-09-29,7.5,15.3,7.5,15.3,342.0
2010-09-30,7.5,7.5,7.5,7.5,500.0
2010-10-01,11.7,11.7,11.7,11.7,30.0
2010-10-04,11.7,11.7,11.7,11.7,0.0
2010-10-05,11.7,11.7,11.7,11.7,0.0
