Date,Open,High,Low,Close,Volume
2012-12-14,100.0,100.0,100.0,100.0,50.0
2012-12-17,100.0,100.0,100.0,100.0,0.0
2012-12-18,100.0,100.0,100.0,100.0,0.0
2012-12-19,100.0,100.0,100.0,100.0,0.0
2012-12-20,100.0,100.0,100.0,100.0,1.0
2012-12-21,100.0,100.0,100.0,100.0,0.0
2012-12-24,100.0,100.0,100.0,100.0,0.0
2012-12-25,100.0,100.0,100.0,100.0,0.0
2012-12-26,2.0,2.0,2.0,2.0,1.0
2012-12-27,2.0,2.0,2.0,2.0,0.0
2012-12-28,2.0,2.0,2.0,2.0,0.0
2012-12-31,2.0,2.0,2.0,2.0,0.0
2013-01-01,2.0,2.0,2.0,2.0,0.0
2013-01-02,2.0,2.0,2.0,2.0,0.0
2013-01-03,60.0,80.0,60.0,80.0,115.0
2013-01-04,80.0,80.0,80.0,80.0,2.0
2013-01-07,70.0,71.36,64.0,71.36,77.0
2013-01-08,70.0,71.36,64.0,71.36,0.0
2013-01-09,70.0,71.36,64.0,71.36,0.0
2013-01-10,60.0,60.0,60.0,60.0,14.0
2013-01-11,60.0,60.0,60.0,60.0,0.0
2013-01-14,60.0,60.0,60.0,60.0,0.0
2013-01-15,60.0,60.0,60.0,60.0,0.0
2013-01-16,60.0,60.0,60.0,60.0,0.0
2013-01-17,60.0,60.0,60.0,60.0,0.0
2013-01-18,60.0,60.0,60.0,60.0,0.0
2013-01-21,60.0,60.0,60.0,60.0,0.0
2013-01-22,60.0,60.0,60.0,60.0,0.0
2013-01-23,60.0,60.0,60.0,60.0,0.0
2013-01-24,60.0,60.0,60.0,60.0,0.0
2013-01-25,60.0,60.0,60.0,60.0,0.0
2013-01-28,60.0,60.0,60.0,60.0,5.0
2013-01-29,60.0,60.0,60.0,60.0,0.0
2013-01-30,60.0,60.0,60.0,60.0,0.0
2013-01-31,60.0,60.0,60.0,60.0,0.0
2013-02-01,60.0,60.0,60.0,60.0,5.0
2013-02-04,50.0,50.0,50.0,50.0,15.0
2013-02-05,50.0,50.0,50.0,50.0,0.0
2013-02-06,50.0,50.0,50.0,50.0,0.0
2013-02-07,50.0,50.0,50.0,50.0,0.0
2013-02-08,50.0,50.0,50.0,50.0,0.0
2013-02-11,50.0,50.0,50.0,50.0,0.0
2013-02-12,50.0,50.0,50.0,50.0,0.0
