Date,Open,High,Low,Close,Volume
2007-11-02,14.8,14.8,14.8,14.8,1250.0
2007-11-05,14.8,14.8,14.8,14.8,1875.0
2007-11-06,14.8,14.8,14.8,14.8,250.0
2007-11-07,14.8,14.8,14.8,14.8,0.0
2007-11-08,14.8,14.8,14.8,14.8,0.0
2007-11-09,14.8,14.8,14.8,14.8,250.0
2007-11-12,14.8,14.8,14.8,14.8,250.0
2007-11-13,14.8,14.8,14.8,14.8,1000.0
2007-11-14,15.0,15.0,15.0,15.0,250.0
2007-11-15,15.0,15.0,15.0,15.0,250.0
2007-11-16,15.0,15.0,15.0,15.0,1000.0
2007-11-19,14.8,14.8,14.8,14.8,250.0
2007-11-20,14.92,15.2,14.92,15.2,2250.0
2007-11-21,15.24,15.32,15.24,15.32,2562.0
2007-11-22,15.24,15.32,15.24,15.32,0.0
2007-11-23,15.32,15.36,15.32,15.36,787.0
2007-11-26,15.36,15.4,15.36,15.4,2587.0
2007-11-27,15.4,15.48,15.4,15.4,2183.0
2007-11-28,15.48,15.56,15.32,15.4,521.0
2007-11-29,15.4,15.4,15.2,15.4,650.0
2007-11-30,15.4,15.44,15.4,15.44,1807.0
2007-12-03,15.44,15.56,15.44,15.56,5325.0
2007-12-04,15.56,15.68,15.56,15.68,5428.0
2007-12-05,15.68,15.72,15.68,15.72,5064.0
2007-12-06,15.72,16.0,15.72,15.96,4027.0
2007-12-07,15.92,16.0,15.8,16.0,1875.0
2007-12-10,16.08,16.32,16.08,16.32,3500.0
2007-12-11,16.4,17.6,16.4,17.6,16925.0
2007-12-12,17.6,17.72,17.24,17.24,11123.0
2007-12-13,17.4,18.32,17.2,18.32,17183.0
2007-12-14,18.4,18.88,18.4,18.6,17370.0
2007-12-17,19.04,19.76,19.0,19.76,11949.0
2007-12-18,19.92,20.2,19.88,20.2,10375.0
2007-12-19,20.32,20.96,19.6,20.96,39809.0
2007-12-20,21.0,21.16,20.4,20.44,10170.0
2007-12-21,20.72,20.8,20.28,20.28,7564.0
2007-12-24,20.28,20.4,20.2,20.24,5828.0
2007-12-25,20.28,20.4,20.2,20.24,0.0
2007-12-26,20.22,20.4,20.0,20.2,2706.0
2007-12-27,20.4,20.4,20.0,20.2,5534.0
2007-12-28,20.6,20.6,20.4,20.6,3212.0
2007-12-31,20.6,21.0,20.6,21.0,7375.0
2008-01-01,20.6,21.0,20.6,21.0,0.0
2008-01-02,21.12,21.44,20.8,21.04,39864.0
2008-01-03,21.2,21.44,21.04,21.28,19889.0
2008-01-04,21.4,21.44,21.04,21.04,6910.0
2008-01-07,21.24,21.4,21.2,21.4,2940.0
2008-01-08,21.4,21.44,20.8,20.8,3870.0
2008-01-09,21.0,21.2,20.6,20.8,4501.0
2008-01-10,20.6,21.0,20.6,21.0,2580.0
2008-01-11,21.0,21.0,20.6,21.0,3694.0
2008-01-14,21.2,21.2,21.0,21.12,7324.0
2008-01-15,21.12,21.16,20.8,21.12,3498.0
2008-01-16,20.6,21.0,20.0,20.6,9161.0
2008-01-17,20.6,20.8,20.4,20.8,2150.0
2008-01-18,20.8,20.8,20.6,20.64,1150.0
2008-01-21,20.8,20.8,20.6,20.64,0.0
2008-01-22,20.0,20.6,18.8,20.0,6192.0
2008-01-23,19.6,20.0,19.4,19.84,5000.0
2008-01-24,19.84,20.4,19.8,20.08,5260.0
2008-01-25,20.4,20.8,20.4,20.52,1438.0
2008-01-28,20.0,20.8,20.0,20.8,1277.0
2008-01-29,20.64,20.76,20.64,20.76,553.0
2008-01-30,20.0,20.8,19.8,20.8,7456.0
2008-01-31,21.0,21.56,21.0,21.56,17939.0
2008-02-01,21.64,21.96,21.36,21.4,5132.0
2008-02-04,21.6,21.64,21.32,21.64,1575.0
2008-02-05,21.64,21.64,21.16,21.2,3062.0
2008-02-06,21.16,21.2,21.0,21.2,2450.0
2008-02-07,21.0,21.2,21.0,21.2,1350.0
2008-02-08,21.56,21.6,21.2,21.44,3350.0
