Date,Open,High,Low,Close,Volume
2012-10-24,120.0,120.0,50.0,50.0,293.0
2012-10-25,30.0,60.0,30.0,57.0,3403.0
2012-10-26,60.0,70.0,60.0,70.0,1017.0
2012-10-29,60.0,70.0,60.0,70.0,0.0
2012-10-30,60.0,70.0,60.0,70.0,0.0
2012-10-31,79.0,79.0,70.0,76.0,284.0
2012-11-01,67.0,78.0,60.0,69.5,178.0
2012-11-02,63.0,89.9,63.0,89.9,649.0
2012-11-05,90.0,92.0,75.0,75.0,144.0
2012-11-06,81.0,85.0,70.0,85.0,253.0
2012-11-07,81.0,96.0,80.0,96.0,1073.0
2012-11-08,95.9,95.9,75.0,86.0,436.0
2012-11-09,86.0,91.0,75.0,90.0,400.0
2012-11-12,110.0,110.0,80.0,90.0,663.0
2012-11-13,100.0,100.0,70.0,85.0,195.0
2012-11-14,77.0,84.0,67.0,84.0,313.0
2012-11-15,70.0,83.9,67.0,83.0,44.0
2012-11-16,80.0,82.0,66.0,80.0,193.0
2012-11-19,90.0,90.0,46.1,70.0,1650.0
2012-11-20,70.0,70.0,46.0,61.0,268.0
2012-11-21,63.0,64.7,63.0,64.7,12.0
2012-11-22,63.0,64.7,63.0,64.7,0.0
2012-11-23,64.7,64.7,50.0,50.0,2.0
2012-11-26,50.0,64.0,50.0,58.0,115.0
2012-11-27,51.1,59.5,45.0,53.0,64.0
2012-11-28,47.0,62.0,47.0,60.0,185.0
2012-11-29,60.0,63.0,55.0,55.0,110.0
2012-11-30,64.0,70.0,60.0,60.0,1188.0
2012-12-03,55.0,60.0,50.0,60.0,168.0
2012-12-04,55.0,60.0,51.0,60.0,70.0
2012-12-05,60.0,70.0,52.1,70.0,151.0
2012-12-06,69.9,80.0,60.0,79.5,161.0
2012-12-07,80.0,80.0,60.0,80.0,17.0
2012-12-10,60.0,90.0,50.1,70.0,280.0
2012-12-11,61.0,70.0,61.0,70.0,55.0
2012-12-12,63.2,70.0,63.2,70.0,47.0
2012-12-13,61.2,68.0,61.2,68.0,15.0
2012-12-14,67.8,74.0,59.5,72.0,309.0
2012-12-17,60.0,73.5,60.0,73.5,301.0
2012-12-18,80.0,80.0,50.0,58.0,1789.0
2012-12-19,61.0,71.0,58.0,58.0,262.0
2012-12-20,60.0,60.0,50.0,50.0,343.0
2012-12-21,55.0,55.0,40.0,50.0,58.0
2012-12-24,42.0,42.0,40.0,40.0,52.0
2012-12-25,42.0,42.0,40.0,40.0,0.0
2012-12-26,40.0,50.0,40.0,50.0,47.0
2012-12-27,55.0,55.0,55.0,55.0,10.0
2012-12-28,55.0,55.0,55.0,55.0,0.0
2012-12-31,40.0,45.0,40.0,45.0,37.0
2013-01-01,40.0,45.0,40.0,45.0,0.0
2013-01-02,40.0,40.0,40.0,40.0,3.0
2013-01-03,40.0,40.0,40.0,40.0,16.0
2013-01-04,40.0,40.0,40.0,40.0,24.0
2013-01-07,25.0,40.0,25.0,40.0,34.0
2013-01-08,25.0,40.0,25.0,40.0,16.0
2013-01-09,25.0,39.5,25.0,39.5,72.0
2013-01-10,25.0,39.5,25.0,39.5,0.0
2013-01-11,30.0,39.4,30.0,34.0,218.0
2013-01-14,34.0,34.0,34.0,34.0,40.0
2013-01-15,32.0,35.0,31.0,35.0,40.0
2013-01-16,31.0,40.0,31.0,40.0,34.0
2013-01-17,31.0,40.0,31.0,40.0,0.0
2013-01-18,40.0,40.0,40.0,40.0,7.0
2013-01-21,40.0,40.0,40.0,40.0,0.0
2013-01-22,20.0,38.0,20.0,38.0,11.0
2013-01-23,23.0,32.0,23.0,30.0,99.0
2013-01-24,36.0,36.0,36.0,36.0,2.0
2013-01-25,30.0,30.0,30.0,30.0,19.0
2013-01-28,30.0,30.0,20.0,20.0,10.0
2013-01-29,20.1,20.1,20.1,20.1,10.0
2013-01-30,25.0,25.0,25.0,25.0,40.0
2013-01-31,25.0,25.0,25.0,25.0,0.0
2013-02-01,20.1,20.1,20.1,20.1,7.0
2013-02-04,25.0,35.0,25.0,31.0,214.0
2013-02-05,31.0,31.0,31.0,31.0,3.0
2013-02-06,31.0,31.0,30.0,30.0,20.0
2013-02-07,25.0,25.0,25.0,25.0,6.0
2013-02-08,25.0,25.0,20.0,20.0,16.0
2013-02-11,20.0,20.0,20.0,20.0,15.0
2013-02-12,20.0,20.0,20.0,20.0,0.0
2013-02-13,21.0,21.0,21.0,21.0,1.0
2013-02-14,29.0,29.0,29.0,29.0,10.0
2013-02-15,29.0,31.0,29.0,29.0,79.0
2013-02-18,29.0,31.0,29.0,29.0,0.0
2013-02-19,29.0,40.0,29.0,35.0,240.0
2013-02-20,31.0,36.0,31.0,35.0,149.0
2013-02-21,35.0,35.0,35.0,35.0,13.0
2013-02-22,41.0,41.0,35.0,35.0,2.0
2013-02-25,41.0,41.0,35.0,35.0,12.0
2013-02-26,41.0,41.0,35.0,35.0,0.0
2013-02-27,32.0,32.0,32.0,32.0,1.0
2013-02-28,32.0,32.0,32.0,32.0,21.0
2013-03-01,32.0,32.0,32.0,32.0,40.0
2013-03-04,32.0,32.0,32.0,32.0,0.0
2013-03-05,27.0,27.0,27.0,27.0,2.0
2013-03-06,27.0,27.0,27.0,27.0,1.0
2013-03-07,27.0,27.0,27.0,27.0,0.0
2013-03-08,25.5,30.0,21.0,21.0,414.0
2013-03-11,25.5,30.0,21.0,21.0,0.0
2013-03-12,30.0,30.0,30.0,30.0,6.0
2013-03-13,30.0,30.0,30.0,30.0,0.0
2013-03-14,30.0,30.0,30.0,30.0,0.0
