Date,Open,High,Low,Close,Volume
2009-11-23,90.0,390.0,90.0,90.0,6.0
2009-11-24,90.0,390.0,90.0,90.0,0.0
2009-11-25,90.0,390.0,90.0,90.0,0.0
2009-11-26,90.0,390.0,90.0,90.0,0.0
2009-11-27,90.0,390.0,90.0,90.0,0.0
2009-11-30,90.0,390.0,90.0,90.0,0.0
2009-12-01,90.0,390.0,90.0,90.0,0.0
2009-12-02,90.0,390.0,90.0,90.0,0.0
2009-12-03,90.0,390.0,90.0,90.0,0.0
2009-12-04,90.0,390.0,90.0,90.0,0.0
2009-12-07,90.0,390.0,90.0,90.0,0.0
2009-12-08,90.0,390.0,90.0,90.0,0.0
2009-12-09,90.0,390.0,90.0,90.0,0.0
2009-12-10,90.0,390.0,90.0,90.0,0.0
2009-12-11,90.0,390.0,90.0,90.0,0.0
2009-12-14,90.0,90.0,15.0,15.0,39.0
2009-12-15,90.0,90.0,15.0,15.0,0.0
2009-12-16,90.0,90.0,15.0,15.0,0.0
2009-12-17,90.0,90.0,15.0,15.0,0.0
2009-12-18,90.0,90.0,15.0,15.0,0.0
2009-12-21,27.0,30.0,27.0,27.0,88.0
2009-12-22,27.0,27.0,21.0,21.0,18.0
2009-12-23,18.0,18.0,15.0,18.0,103.0
2009-12-24,15.0,15.0,15.0,15.0,4.0
2009-12-25,15.0,15.0,15.0,15.0,0.0
2009-12-28,15.0,15.0,15.0,15.0,0.0
2009-12-29,9.0,18.0,9.0,9.3,453.0
2009-12-30,9.0,18.0,9.0,9.3,0.0
2009-12-31,9.0,18.0,9.0,9.3,0.0
2010-01-01,9.0,18.0,9.0,9.3,0.0
2010-01-04,15.0,15.0,15.0,15.0,1.0
2010-01-05,15.0,15.0,15.0,15.0,2.0
2010-01-06,15.0,15.0,15.0,15.0,0.0
2010-01-07,15.0,15.0,15.0,15.0,0.0
2010-01-08,15.0,15.0,15.0,15.0,0.0
2010-01-11,15.0,15.0,15.0,15.0,1.0
2010-01-12,15.0,15.0,15.0,15.0,0.0
2010-01-13,15.0,15.0,15.0,15.0,0.0
2010-01-14,27.0,27.0,27.0,27.0,28.0
2010-01-15,27.0,27.0,22.5,22.5,10.0
2010-01-18,27.0,27.0,22.5,22.5,0.0
2010-01-19,22.5,22.5,18.0,18.0,42.0
2010-01-20,22.5,22.5,18.0,18.0,0.0
2010-01-21,29.4,29.4,18.0,18.0,7.0
2010-01-22,18.0,18.0,18.0,18.0,0.0
2010-01-25,18.0,18.0,18.0,18.0,0.0
2010-01-26,29.4,29.4,18.0,18.0,8.0
2010-01-27,29.4,29.4,18.0,18.0,0.0
2010-01-28,29.4,29.4,18.0,18.0,0.0
2010-01-29,29.4,29.4,18.0,18.0,0.0
2010-02-01,29.4,29.4,18.0,18.0,0.0
2010-02-02,29.4,29.4,18.0,18.0,0.0
2010-02-03,21.0,21.0,21.0,21.0,23.0
2010-02-04,21.0,24.0,21.0,24.0,33.0
2010-02-05,29.4,33.0,29.4,33.0,87.0
2010-02-08,29.4,33.0,29.4,33.0,0.0
2010-02-09,29.4,33.0,29.4,33.0,0.0
2010-02-10,18.0,27.0,18.0,24.0,23.0
2010-02-11,18.0,27.0,18.0,24.0,0.0
2010-02-12,24.0,24.0,24.0,24.0,33.0
2010-02-15,24.0,24.0,24.0,24.0,0.0
2010-02-16,26.7,26.7,24.0,24.0,20.0
2010-02-17,15.3,18.0,6.0,16.5,442.0
