Date,Open,High,Low,Close,Volume
2008-01-15,2.5,2.5,2.45,2.45,6000.0
2008-01-16,2.75,2.75,2.6,2.75,3000.0
2008-01-17,2.75,2.75,2.75,2.75,1000.0
2008-01-18,2.75,2.75,2.5,2.741,1500.0
2008-01-21,2.75,2.75,2.5,2.741,0.0
2008-01-22,2.75,2.75,2.5,2.741,0.0
2008-01-23,2.4,2.7,2.2,2.7,7800.0
2008-01-24,2.4,2.7,2.2,2.7,0.0
2008-01-25,2.4,2.7,2.2,2.7,0.0
2008-01-28,2.61,2.61,2.61,2.61,1400.0
2008-01-29,2.4,2.47,2.4,2.4,2204.0
2008-01-30,2.35,2.35,2.35,2.35,250.0
2008-01-31,2.35,2.35,2.35,2.35,0.0
2008-02-01,2.35,2.35,2.35,2.35,0.0
2008-02-04,2.35,2.35,2.35,2.35,0.0
2008-02-05,1.15,1.25,1.15,1.25,1950.0
2008-02-06,1.15,1.25,1.15,1.25,0.0
2008-02-07,1.05,1.3,1.01,1.3,3800.0
2008-02-08,1.3,1.3,1.25,1.3,4750.0
2008-02-11,1.3,1.3,1.25,1.3,0.0
2008-02-12,1.3,1.3,1.3,1.3,1689.0
2008-02-13,1.05,1.05,1.05,1.05,500.0
2008-02-14,1.05,1.05,1.05,1.05,0.0
2008-02-15,1.25,1.25,1.25,1.25,500.0
2008-02-18,1.25,1.25,1.25,1.25,0.0
2008-02-19,1.27,1.27,1.27,1.27,500.0
2008-02-20,1.27,1.27,1.27,1.27,0.0
2008-02-21,1.45,1.5,1.45,1.45,1500.0
2008-02-22,1.6,1.6,1.4,1.45,2000.0
2008-02-25,1.25,1.25,1.25,1.25,500.0
2008-02-26,1.25,1.25,1.25,1.25,0.0
2008-02-27,1.65,1.65,1.65,1.65,1500.0
2008-02-28,1.65,1.65,1.65,1.65,0.0
2008-02-29,1.65,1.65,1.65,1.65,0.0
2008-03-03,1.65,1.65,1.65,1.65,0.0
2008-03-04,1.65,1.65,1.65,1.65,0.0
2008-03-05,1.65,1.65,1.65,1.65,0.0
2008-03-06,1.55,1.56,1.55,1.56,2500.0
2008-03-07,1.55,1.56,1.55,1.56,0.0
2008-03-10,1.3,1.3,1.25,1.25,1000.0
2008-03-11,1.2,1.2,1.15,1.15,960.0
2008-03-12,1.2,1.2,1.15,1.15,0.0
2008-03-13,1.2,1.2,1.15,1.15,0.0
2008-03-14,1.2,1.2,1.15,1.15,0.0
2008-03-17,1.2,1.2,1.15,1.15,0.0
2008-03-18,1.12,1.12,1.1,1.1,2000.0
2008-03-19,1.12,1.12,1.1,1.1,0.0
2008-03-20,0.8,1.05,0.75,1.05,10000.0
2008-03-21,0.8,1.05,0.75,1.05,0.0
2008-03-24,1.05,1.3,1.05,1.25,2500.0
2008-03-25,1.25,1.25,1.25,1.25,1500.0
2008-03-26,1.25,1.7,1.25,1.7,4500.0
2008-03-27,1.85,1.9,1.75,1.9,10300.0
2008-03-28,1.95,1.95,1.9,1.9,600.0
2008-03-31,1.95,1.95,1.9,1.9,0.0
2008-04-01,1.9,1.9,1.9,1.9,800.0
2008-04-02,1.9,1.95,1.9,1.95,2100.0
2008-04-03,1.95,1.95,1.86,1.86,4500.0
2008-04-04,1.95,1.95,1.95,1.95,500.0
2008-04-07,1.95,2.0,1.9,1.95,4000.0
2008-04-08,2.05,2.05,1.95,2.05,1600.0
2008-04-09,2.05,2.05,2.0,2.0,1000.0
2008-04-10,2.05,2.05,2.0,2.0,3500.0
2008-04-11,2.05,2.05,2.0,2.0,0.0
2008-04-14,1.9,2.05,1.9,2.05,9700.0
2008-04-15,1.96,2.15,1.96,2.12,36500.0
2008-04-16,2.15,2.15,2.0,2.0,3000.0
2008-04-17,2.1,2.25,2.0,2.25,35600.0
2008-04-18,2.3,2.3,2.3,2.3,8900.0
2008-04-21,2.35,2.35,2.35,2.35,3400.0
2008-04-22,2.28,2.3,2.28,2.3,2200.0
2008-04-23,2.25,2.25,2.2,2.2,2500.0
2008-04-24,2.25,2.25,2.2,2.2,0.0
2008-04-25,1.95,2.3,1.95,2.2,4500.0
2008-04-28,1.95,2.3,1.95,2.2,0.0
2008-04-29,2.15,2.3,2.15,2.3,4000.0
2008-04-30,2.1,2.24,2.1,2.24,10000.0
2008-05-01,2.2,2.35,2.2,2.35,33218.0
2008-05-02,2.3,2.35,2.3,2.35,11500.0
2008-05-05,2.3,2.35,2.3,2.35,0.0
2008-05-06,2.3,2.35,2.3,2.35,14490.0
2008-05-07,2.35,2.4,2.35,2.35,22277.0
2008-05-08,2.35,2.4,2.35,2.4,1800.0
2008-05-09,2.38,2.45,2.35,2.45,4627.0
2008-05-12,2.32,2.5,2.32,2.5,20200.0
2008-05-13,2.5,2.55,2.5,2.5,12300.0
2008-05-14,2.55,2.64,2.55,2.64,5200.0
2008-05-15,2.63,2.75,2.63,2.75,15000.0
2008-05-16,2.6,2.75,2.6,2.75,2700.0
2008-05-19,2.6,2.75,2.6,2.75,0.0
2008-05-20,2.6,2.75,2.6,2.75,0.0
2008-05-21,2.5,2.5,2.5,2.5,900.0
2008-05-22,2.51,2.6,2.51,2.6,3000.0
2008-05-23,2.6,2.65,2.25,2.65,3500.0
2008-05-26,2.6,2.65,2.25,2.65,0.0
2008-05-27,2.75,2.75,2.25,2.25,9300.0
2008-05-28,2.75,2.75,2.25,2.25,0.0
2008-05-29,2.6,2.6,2.25,2.5,3100.0
2008-05-30,2.5,2.6,2.5,2.6,1000.0
2008-06-02,2.55,2.55,2.25,2.5,3100.0
2008-06-03,2.55,2.55,2.25,2.25,3100.0
2008-06-04,2.45,2.6,2.45,2.6,7700.0
2008-06-05,2.5,2.7,2.5,2.7,9600.0
2008-06-06,2.7,2.75,2.7,2.75,2500.0
2008-06-09,2.75,2.75,2.75,2.75,1000.0
2008-06-10,2.75,2.8,2.75,2.8,4500.0
2008-06-11,2.8,2.8,2.8,2.8,3500.0
2008-06-12,2.8,2.8,2.79,2.8,6100.0
2008-06-13,2.6,2.75,2.6,2.75,7000.0
2008-06-16,2.6,2.75,2.6,2.75,0.0
2008-06-17,2.55,2.7,2.55,2.7,5400.0
2008-06-18,2.55,2.95,2.55,2.95,18203.0
2008-06-19,2.8,3.0,2.75,3.0,4295.0
2008-06-20,3.0,3.15,3.0,3.15,5900.0
2008-06-23,3.15,3.15,3.15,3.15,3000.0
2008-06-24,3.15,3.2,3.15,3.2,6612.0
2008-06-25,3.05,3.22,3.05,3.22,8588.0
2008-06-26,3.22,3.24,3.05,3.24,7660.0
2008-06-27,3.17,3.25,2.8,3.25,17768.0
2008-06-30,3.25,3.3,3.25,3.25,7075.0
2008-07-01,3.25,3.26,3.25,3.26,2700.0
2008-07-02,3.26,3.27,3.26,3.27,5700.0
2008-07-03,3.27,3.27,3.27,3.27,500.0
2008-07-04,3.27,3.27,3.27,3.27,0.0
2008-07-07,3.27,3.27,3.27,3.27,0.0
2008-07-08,3.19,3.28,3.19,3.28,7000.0
2008-07-09,3.28,3.28,3.0,3.16,6050.0
2008-07-10,3.16,3.25,3.16,3.25,6502.0
2008-07-11,3.2,3.21,3.05,3.21,17400.0
2008-07-14,3.2,3.21,3.05,3.21,0.0
2008-07-15,3.2,3.25,3.05,3.25,4900.0
2008-07-16,3.2,3.25,3.05,3.25,0.0
2008-07-17,3.11,3.28,3.1,3.28,10900.0
2008-07-18,3.3,3.3,3.3,3.3,700.0
2008-07-21,3.3,3.3,3.23,3.25,5500.0
2008-07-22,3.23,3.3,3.23,3.3,7600.0
2008-07-23,3.3,3.3,3.2,3.3,5000.0
2008-07-24,3.3,3.3,3.3,3.3,3200.0
2008-07-25,3.3,3.3,3.25,3.25,2200.0
2008-07-28,3.25,3.25,3.25,3.25,1500.0
2008-07-29,3.25,3.25,3.25,3.25,2500.0
2008-07-30,3.2,3.27,3.2,3.27,10700.0
2008-07-31,3.25,3.27,3.25,3.25,10000.0
2008-08-01,3.27,3.27,3.27,3.27,3000.0
2008-08-04,3.25,3.3,3.25,3.25,9900.0
2008-08-05,3.17,3.25,3.15,3.15,6500.0
2008-08-06,3.18,3.18,3.18,3.18,4700.0
2008-08-07,3.12,3.18,3.12,3.18,5012.0
2008-08-08,3.15,3.18,3.15,3.18,5000.0
2008-08-11,3.18,3.18,3.15,3.15,8000.0
2008-08-12,3.18,3.18,3.18,3.18,6000.0
2008-08-13,3.18,3.2,3.12,3.17,23943.0
2008-08-14,3.18,3.18,3.05,3.05,13700.0
2008-08-15,3.1,3.15,3.1,3.15,7200.0
2008-08-18,3.12,3.15,3.12,3.12,10000.0
2008-08-19,3.12,3.25,3.12,3.25,5000.0
2008-08-20,3.12,3.25,3.12,3.25,0.0
2008-08-21,3.04,3.2,2.8,3.1,8500.0
2008-08-22,2.8,3.0,2.65,3.0,8000.0
2008-08-25,3.1,3.1,3.1,3.1,5000.0
2008-08-26,2.55,2.55,2.55,2.55,1000.0
2008-08-27,2.95,2.95,2.95,2.95,250.0
2008-08-28,2.95,2.95,2.95,2.95,0.0
2008-08-29,2.95,2.95,2.95,2.95,0.0
2008-09-01,2.95,2.95,2.95,2.95,0.0
2008-09-02,2.94,2.95,2.94,2.95,5854.0
2008-09-03,2.95,2.95,2.75,2.9,18427.0
2008-09-04,2.85,2.85,2.85,2.85,3663.0
2008-09-05,2.85,2.9,2.75,2.8,17554.0
2008-09-08,2.75,2.8,2.75,2.8,9485.0
2008-09-09,2.55,2.55,2.5,2.5,18572.0
2008-09-10,2.5,2.5,2.3,2.5,5088.0
2008-09-11,2.5,2.5,2.5,2.5,1177.0
2008-09-12,2.5,2.5,2.48,2.5,3352.0
2008-09-15,2.5,2.5,2.5,2.5,3454.0
2008-09-16,2.5,2.5,2.5,2.5,3277.0
2008-09-17,2.5,2.5,2.5,2.5,0.0
2008-09-18,2.5,2.5,2.5,2.5,0.0
2008-09-19,2.5,2.5,2.5,2.5,0.0
2008-09-22,2.6,2.6,2.5,2.6,12800.0
2008-09-23,2.6,2.6,2.5,2.5,8000.0
2008-09-24,2.55,2.55,2.55,2.55,9000.0
2008-09-25,2.55,2.55,2.55,2.55,5000.0
2008-09-26,2.5,2.5,2.5,2.5,5000.0
2008-09-29,2.5,2.5,2.5,2.5,0.0
2008-09-30,2.5,2.5,2.5,2.5,0.0
