,Date,Open,High,Low,Close,Volume
0,09/19/2007,2000.0,2000.0,1962.5,1962.5,4.0
1,08/12/2008,980.0,980.0,980.0,980.0,2.0
2,08/13/2008,2150.0,2150.0,2150.0,2150.0,0.0
3,09/19/2008,2000.0,2150.0,1995.0,2150.0,38.0
4,10/10/2008,2100.0,2100.0,2100.0,2100.0,0.0
5,10/27/2008,2260.0,2260.0,2260.0,2260.0,0.0
6,10/28/2008,2260.0,2260.0,2260.0,2260.0,1.0
7,11/03/2008,2500.0,2510.0,2500.0,2510.0,1.0
8,11/05/2008,2500.0,2510.0,2500.0,2500.0,2.0
9,11/10/2008,2230.0,2230.0,2230.0,2230.0,1.0
10,11/11/2008,2230.0,2230.0,2230.0,2230.0,0.0
11,11/12/2008,2200.0,2200.0,2200.0,2200.0,3.0
12,11/13/2008,2250.0,2250.0,2250.0,2250.0,1.0
13,11/14/2008,2220.0,2500.0,2220.0,2500.0,1.0
14,11/21/2008,2220.0,2220.0,2100.0,2120.0,4.0
15,12/01/2008,2510.0,2510.0,2510.0,2510.0,0.0
16,12/08/2008,2100.0,2140.0,2100.0,2140.0,1.0
17,12/09/2008,2450.0,2510.0,2450.0,2510.0,8.0
18,12/10/2008,2600.0,2650.0,2590.0,2640.0,16.0
19,12/11/2008,2700.0,2700.0,2690.0,2690.0,2.0
20,12/12/2008,2600.0,2600.0,2600.0,2600.0,0.0
21,12/15/2008,2520.0,2550.0,2520.0,2550.0,1.0
22,12/16/2008,2700.0,2700.0,2400.0,2690.0,1.0
23,12/18/2008,2320.0,2320.0,2300.0,2300.0,5.0
24,12/19/2008,2300.0,2300.0,2300.0,2300.0,5.0
25,12/22/2008,1320.0,1320.0,650.0,650.0,4.0
26,12/23/2008,600.0,600.0,600.0,600.0,2.0
27,01/12/2009,600.0,1050.0,600.0,1050.0,5.0
28,01/14/2009,1150.0,1150.0,1130.0,1130.0,13.0
29,01/20/2009,1200.0,1200.0,1160.0,1180.0,27.0
30,02/03/2009,750.0,750.0,500.0,500.0,34.0
31,03/06/2009,260.0,260.0,200.0,220.0,18.0
32,03/30/2009,220.0,220.0,220.0,220.0,3.0
33,03/31/2009,220.0,220.0,220.0,220.0,5.0
34,04/08/2009,180.0,180.0,100.0,100.0,76.0
35,05/04/2009,70.0,70.0,70.0,70.0,40.0
36,05/05/2009,60.0,60.0,60.0,60.0,5.0
37,09/17/2009,60.0,60.0,60.0,60.0,0.0
38,11/06/2009,500.0,520.0,492.0,500.0,102.0
39,11/09/2009,520.0,520.0,470.0,520.0,20.0
40,11/10/2009,500.0,520.0,500.0,520.0,10.0
41,11/11/2009,520.0,540.0,510.0,535.0,129.0
42,11/12/2009,500.0,600.0,500.0,540.0,381.0
43,11/13/2009,520.0,560.0,500.0,560.0,986.0
44,11/16/2009,600.0,630.0,570.0,600.0,36.0
45,11/17/2009,600.0,600.0,595.0,600.0,21.0
46,11/18/2009,610.0,610.0,600.0,600.0,15.0
47,11/19/2009,600.0,610.0,590.0,595.0,186.0
48,11/20/2009,600.0,600.0,595.0,595.0,20.0
49,11/23/2009,550.0,600.0,546.0,600.0,77.0
50,11/24/2009,540.0,540.0,540.0,540.0,0.0
51,11/27/2009,575.0,600.0,570.0,600.0,332.0
52,11/30/2009,550.0,600.0,550.0,600.0,15.0
53,12/01/2009,600.0,600.0,600.0,600.0,10.0
54,12/04/2009,600.0,620.0,600.0,620.0,45.0
55,12/07/2009,630.0,630.0,620.0,620.0,0.0
56,12/08/2009,550.0,600.0,550.0,550.0,61.0
57,12/09/2009,550.0,600.0,550.0,600.0,27.0
58,12/11/2009,630.0,630.0,630.0,630.0,2.0
59,12/16/2009,600.0,600.0,570.0,570.0,17.0
60,12/17/2009,550.0,550.0,550.0,550.0,10.0
61,12/18/2009,630.0,630.0,630.0,630.0,5.0
62,12/28/2009,500.0,500.0,500.0,500.0,7.0
63,12/30/2009,600.0,630.0,550.0,550.0,175.0
