Date,Open,High,Low,Close,Volume
2007-09-13,2.75,2.75,2.75,2.75,1.0
2007-09-14,2.75,2.75,2.75,2.75,8.0
2007-09-17,3.5,3.5,2.75,2.75,23.0
2007-09-18,3.5,3.5,3.5,3.5,0.0
2007-09-19,3.5,3.5,3.5,3.5,0.0
2007-09-20,3.5,3.5,3.5,3.5,0.0
2007-09-21,3.5,3.5,3.5,3.5,0.0
2007-09-24,3.5,3.5,3.5,3.5,0.0
2007-09-25,3.5,3.5,3.5,3.5,46.0
2007-09-26,3.5,3.5,3.5,3.5,0.0
2007-09-27,3.5,3.5,3.5,3.5,0.0
2007-09-28,3.5,3.5,3.5,3.5,0.0
2007-10-01,3.5,3.5,3.5,3.5,0.0
2007-10-02,2.75,3.0,2.5,2.5,314.0
2007-10-03,2.75,3.0,2.5,2.5,0.0
2007-10-04,2.75,3.0,2.5,2.5,0.0
2007-10-05,2.75,3.0,2.5,2.5,0.0
2007-10-08,2.75,3.0,2.5,2.5,0.0
2007-10-09,3.5,3.5,3.0,3.0,78.0
2007-10-10,3.5,3.5,3.5,3.5,4.0
2007-10-11,3.0,3.0,3.0,3.0,2.0
2007-10-12,2.75,2.75,2.5,2.5,90.0
2007-10-15,2.5,2.5,2.5,2.5,70.0
2007-10-16,2.5,2.5,2.5,2.5,0.0
2007-10-17,2.5,2.5,2.5,2.5,0.0
2007-10-18,2.5,2.5,2.5,2.5,0.0
2007-10-19,2.5,2.5,2.5,2.5,0.0
2007-10-22,2.25,2.25,2.25,2.25,54.0
2007-10-23,2.25,2.25,2.25,2.25,0.0
2007-10-24,2.25,2.25,2.25,2.25,0.0
2007-10-25,2.25,2.25,2.25,2.25,0.0
2007-10-26,2.25,2.25,2.25,2.25,0.0
2007-10-29,2.25,2.25,2.25,2.25,0.0
2007-10-30,2.25,2.25,2.25,2.25,5.0
2007-10-31,3.0,3.0,3.0,3.0,4.0
2007-11-01,3.0,3.0,3.0,3.0,0.0
2007-11-02,3.0,3.0,3.0,3.0,0.0
2007-11-05,3.0,3.0,3.0,3.0,0.0
2007-11-06,3.0,3.0,2.5,2.5,6.0
2007-11-07,3.0,3.0,2.5,2.5,0.0
2007-11-08,3.0,3.0,2.5,2.5,0.0
2007-11-09,2.5,2.5,2.5,2.5,20.0
2007-11-12,2.5,2.5,2.5,2.5,0.0
2007-11-13,2.5,2.5,2.5,2.5,20.0
2007-11-14,2.75,2.75,2.5,2.5,10.0
2007-11-15,2.75,3.5,2.0,2.0,151.0
2007-11-16,2.5,2.5,2.5,2.5,4.0
2007-11-19,2.0,2.0,1.5,1.5,104.0
2007-11-20,2.0,2.0,1.5,1.5,0.0
2007-11-21,2.0,2.0,1.5,1.5,0.0
2007-11-22,2.0,2.0,1.5,1.5,0.0
2007-11-23,2.0,2.0,1.5,1.5,0.0
2007-11-26,1.5,1.5,1.5,1.5,2.0
2007-11-27,1.5,1.5,1.5,1.5,0.0
