Date,Open,High,Low,Close,Volume
2007-09-27,908.8,921.6,883.2,885.76,200.0
2007-09-28,880.64,924.16,875.5456,919.04,382.0
2007-10-01,926.72,926.72,885.76,890.88,451.0
2007-10-02,883.2,911.36,860.16,896.0,229.0
2007-10-03,890.88,901.12,865.28,880.64,242.0
2007-10-04,888.2176,893.44,870.4,883.2,234.0
2007-10-05,893.44,893.44,870.4,885.7344,151.0
2007-10-08,878.08,883.2,829.44,834.56,307.0
2007-10-09,829.44,860.16,829.44,860.16,496.0
2007-10-10,857.6,862.72,837.12,842.24,386.0
2007-10-11,852.48,867.84,824.32,842.24,690.0
2007-10-12,842.24,852.48,806.4,829.44,420.0
2007-10-15,824.32,837.12,760.32,803.84,850.0
2007-10-16,803.84,803.84,775.7056,791.04,386.0
2007-10-17,801.28,806.4,762.1632,770.6112,473.0
2007-10-18,770.56,770.56,737.28,762.88,689.0
2007-10-19,757.7856,757.7856,724.48,734.72,600.0
2007-10-22,747.52,747.52,657.92,683.52,1931.0
2007-10-23,327.68,471.04,236.2112,363.52,14061.0
2007-10-24,355.84,384.0,350.72,353.28,2635.0
2007-10-25,358.4,366.1056,337.92,358.4,2044.0
2007-10-26,355.84,404.48,348.1856,389.2736,1277.0
2007-10-29,404.48,506.88,391.68,486.4,2227.0
2007-10-30,483.84,506.88,419.84,430.08,1322.0
2007-10-31,430.08,445.44,422.4,437.76,430.0
2007-11-01,445.44,445.44,399.36,417.28,555.0
2007-11-02,412.16,437.76,373.76,414.72,1160.0
2007-11-05,389.12,432.64,384.0,399.36,386.0
2007-11-06,396.8,409.6,376.32,378.88,438.0
2007-11-07,373.76,384.0,337.92,337.92,694.0
2007-11-08,340.48,355.84,304.64,325.12,878.0
2007-11-09,320.0,353.28,307.2,317.44,779.0
2007-11-12,330.24,330.24,284.16,294.4,479.0
2007-11-13,286.72,314.88,281.6,289.28,734.0
2007-11-14,299.52,302.08,294.4,294.4,528.0
2007-11-15,296.96,307.2,286.72,299.52,471.0
2007-11-16,296.96,317.44,296.96,304.64,509.0
2007-11-19,312.32,386.56,307.2,371.2,736.0
2007-11-20,363.52,640.0,360.96,578.56,6065.0
2007-11-21,563.2,570.88,506.9056,552.96,1824.0
2007-11-22,563.2,570.88,506.9056,552.96,0.0
2007-11-23,545.28,552.96,512.0,545.28,591.0
2007-11-26,537.6,542.72,514.56,537.6,543.0
2007-11-27,529.92,532.48,499.2,517.12,630.0
2007-11-28,524.8,535.0144,465.92,478.72,980.0
2007-11-29,460.8,499.2,455.68,492.8,805.0
2007-11-30,491.52,517.12,481.28,481.28,802.0
2007-12-03,473.6,524.8,471.04,501.76,305.0
2007-12-04,517.12,578.56,517.12,537.6,757.0
2007-12-05,540.16,558.08,527.36,555.52,518.0
2007-12-06,558.08,558.08,537.6,545.28,313.0
2007-12-07,542.72,558.08,535.04,552.96,339.0
2007-12-10,547.84,560.64,535.04,545.28,221.0
2007-12-11,547.84,547.84,524.8,524.8,226.0
2007-12-12,524.8,535.04,512.0,517.12,228.0
2007-12-13,514.5856,519.68,486.4,504.32,444.0
2007-12-14,496.64,496.64,473.6,473.6,320.0
2007-12-17,465.92,474.0096,432.64,453.12,569.0
2007-12-18,445.44,450.56,417.28,422.4,519.0
2007-12-19,417.28,445.44,414.72,419.84,459.0
2007-12-20,422.4,427.52,401.92,422.4,507.0
2007-12-21,430.08,448.0,412.16,412.16,392.0
2007-12-24,409.6,435.2,409.6,432.6144,185.0
2007-12-25,409.6,435.2,409.6,432.6144,0.0
2007-12-26,422.4,430.08,422.4,424.96,303.0
2007-12-27,422.4,442.88,419.84,430.08,453.0
2007-12-28,422.4,448.0,422.4,440.32,571.0
2007-12-31,435.2,483.84,422.4,473.6,1373.0
2008-01-01,435.2,483.84,422.4,473.6,0.0
2008-01-02,465.92,486.4,417.28,445.44,525.0
2008-01-03,465.92,478.72,435.2,455.68,198.0
2008-01-04,448.0,455.68,419.84,419.84,274.0
2008-01-07,427.52,432.64,396.8,412.16,151.0
2008-01-08,422.4,437.76,396.8,427.52,327.0
2008-01-09,430.08,437.76,389.12,401.92,338.0
2008-01-10,407.04,409.344,396.8,399.36,94.0
2008-01-11,399.36,407.04,373.76,373.76,692.0
2008-01-14,373.76,373.76,350.72,371.2,272.0
