Date,Open,High,Low,Close,Volume
2009-10-28,62.5,62.5,62.5,62.5,8.0
2009-10-29,62.5,62.5,62.5,62.5,0.0
2009-10-30,62.5,62.5,62.5,62.5,0.0
2009-11-02,62.5,62.5,62.5,62.5,0.0
2009-11-03,62.5,62.5,62.5,62.5,0.0
2009-11-04,62.5,62.5,62.5,62.5,0.0
2009-11-05,62.5,62.5,62.5,62.5,0.0
2009-11-06,62.5,62.5,62.5,62.5,0.0
2009-11-09,62.5,62.5,62.5,62.5,0.0
2009-11-10,62.5,62.5,62.5,62.5,0.0
2009-11-11,62.5,62.5,62.5,62.5,0.0
2009-11-12,62.5,62.5,62.5,62.5,0.0
2009-11-13,62.5,62.5,62.5,62.5,0.0
2009-11-16,62.5,62.5,62.5,62.5,0.0
2009-11-17,62.5,62.5,62.5,62.5,0.0
2009-11-18,62.5,62.5,62.5,62.5,0.0
2009-11-19,62.5,62.5,62.5,62.5,0.0
2009-11-20,87.5,87.5,50.0,50.0,120.0
2009-11-23,200.0,225.0,105.0,212.5,454.0
2009-11-24,250.0,250.0,200.0,210.0,89.0
2009-11-25,210.0,210.0,150.0,200.0,118.0
2009-11-26,210.0,210.0,150.0,200.0,0.0
2009-11-27,227.5,227.5,190.0,207.5,267.0
2009-11-30,217.5,217.5,207.5,212.5,289.0
2009-12-01,212.5,212.5,177.5,212.5,123.0
2009-12-02,207.5,207.5,177.5,182.5,40.0
2009-12-03,185.0,207.5,180.0,207.5,38.0
2009-12-04,177.5,185.0,177.5,177.5,26.0
2009-12-07,177.5,180.0,177.5,180.0,16.0
2009-12-08,177.5,202.5,177.5,200.0,34.0
2009-12-09,177.5,177.5,177.5,177.5,1.0
2009-12-10,177.5,177.5,177.5,177.5,13.0
2009-12-11,177.5,215.0,150.0,215.0,15.0
2009-12-14,225.0,225.0,225.0,225.0,1.0
2009-12-15,152.5,215.0,152.5,212.5,24.0
2009-12-16,152.5,215.0,152.5,212.5,0.0
2009-12-17,75.0,227.5,75.0,207.5,33.0
2009-12-18,75.0,227.5,75.0,207.5,0.0
2009-12-21,75.0,207.5,75.0,207.5,20.0
2009-12-22,87.5,197.5,87.5,87.5,18.0
2009-12-23,197.5,200.0,90.0,200.0,26.0
2009-12-24,100.0,197.5,100.0,197.5,6.0
2009-12-25,100.0,197.5,100.0,197.5,0.0
2009-12-28,102.5,195.0,100.0,195.0,53.0
2009-12-29,102.5,195.0,100.0,195.0,0.0
2009-12-30,102.5,195.0,100.0,195.0,0.0
2009-12-31,107.5,207.5,107.5,207.5,8.0
2010-01-01,107.5,207.5,107.5,207.5,0.0
2010-01-04,107.5,207.5,107.5,207.5,0.0
2010-01-05,205.0,207.5,112.5,207.5,34.0
2010-01-06,112.5,197.5,112.5,197.5,7.0
2010-01-07,162.5,162.5,162.5,162.5,13.0
2010-01-08,205.0,205.0,115.0,205.0,17.0
2010-01-11,205.0,205.0,115.0,205.0,0.0
2010-01-12,205.0,205.0,115.0,205.0,0.0
2010-01-13,205.0,205.0,115.0,205.0,0.0
2010-01-14,205.0,205.0,115.0,205.0,0.0
2010-01-15,205.0,205.0,115.0,205.0,0.0
2010-01-18,205.0,205.0,115.0,205.0,0.0
2010-01-19,115.0,115.0,115.0,115.0,20.0
2010-01-20,100.0,162.5,100.0,162.5,4.0
2010-01-21,100.0,200.0,100.0,200.0,22.0
2010-01-22,100.0,200.0,100.0,200.0,0.0
2010-01-25,100.0,200.0,100.0,200.0,0.0
2010-01-26,100.0,200.0,100.0,200.0,0.0
2010-01-27,100.0,200.0,100.0,200.0,0.0
2010-01-28,100.0,200.0,100.0,200.0,0.0
2010-01-29,100.0,200.0,100.0,200.0,0.0
2010-02-01,100.0,200.0,100.0,200.0,0.0
2010-02-02,125.0,125.0,125.0,125.0,0.0
2010-02-03,125.0,125.0,125.0,125.0,0.0
2010-02-04,125.0,125.0,125.0,125.0,0.0
2010-02-05,125.0,125.0,125.0,125.0,0.0
