Date,Open,High,Low,Close,Volume
2015-02-25,0.55,0.55,0.55,0.55,246.0
2015-02-26,0.55,0.55,0.55,0.55,0.0
2015-02-27,0.55,0.55,0.55,0.55,0.0
2015-03-02,0.55,0.55,0.55,0.55,0.0
2015-03-03,1.1,1.1,1.1,1.1,200.0
2015-03-04,1.1,1.1,1.1,1.1,0.0
2015-03-05,1.1,1.1,1.1,1.1,527.0
2015-03-06,1.1,1.1,1.1,1.1,152.0
2015-03-09,1.1,1.1,1.1,1.1,0.0
2015-03-10,1.1,1.1,1.1,1.1,0.0
2015-03-11,1.1,1.1,1.1,1.1,0.0
2015-03-12,1.1,1.1,1.1,1.1,0.0
2015-03-13,1.1,1.1,1.1,1.1,0.0
2015-03-16,0.75,0.75,0.75,0.75,200.0
2015-03-17,0.75,0.75,0.75,0.75,0.0
2015-03-18,0.3,0.3,0.3,0.3,2200.0
2015-03-19,0.3,0.3,0.3,0.3,200.0
2015-03-20,0.3,0.3,0.3,0.3,898.0
2015-03-23,0.3,0.3,0.3,0.3,0.0
2015-03-24,0.3,0.3,0.3,0.3,0.0
2015-03-25,0.3,0.3,0.3,0.3,970.0
2015-03-26,0.3,0.3,0.3,0.3,0.0
2015-03-27,0.1,0.1,0.1,0.1,10000.0
2015-03-30,0.1,0.1,0.1,0.1,0.0
2015-03-31,0.1,0.1,0.1,0.1,0.0
2015-04-01,0.1,0.1,0.1,0.1,0.0
2015-04-02,0.1,0.1,0.1,0.1,0.0
2015-04-03,0.1,0.1,0.1,0.1,0.0
2015-04-06,0.1,0.1,0.1,0.1,0.0
2015-04-07,0.25,0.25,0.25,0.25,1080.0
2015-04-08,0.25,0.25,0.25,0.25,5000.0
2015-04-09,0.25,0.25,0.25,0.25,0.0
2015-04-10,0.25,0.25,0.25,0.25,0.0
2015-04-13,0.25,0.25,0.25,0.25,0.0
2015-04-14,0.25,0.25,0.25,0.25,0.0
2015-04-15,0.3,0.3,0.3,0.3,1340.0
2015-04-16,0.3,0.3,0.13,0.3,6400.0
2015-04-17,0.3,0.3,0.13,0.3,0.0
2015-04-20,0.2,0.2,0.2,0.2,13030.0
2015-04-21,0.29,0.29,0.25,0.25,485.0
2015-04-22,0.22,0.29,0.2,0.29,8350.0
2015-04-23,0.2789,0.2789,0.2789,0.2789,1040.0
2015-04-24,0.2779,0.2779,0.2779,0.2779,130.0
2015-04-27,0.2779,0.2779,0.2779,0.2779,0.0
2015-04-28,0.2779,0.2779,0.2779,0.2779,0.0
2015-04-29,0.3,0.3,0.3,0.3,1000.0
2015-04-30,0.17,0.24,0.13,0.24,10360.0
2015-05-01,0.17,0.24,0.13,0.24,0.0
2015-05-04,0.2599,0.2599,0.2599,0.2599,600.0
2015-05-05,0.2499,0.2499,0.13,0.24,39741.0
2015-05-06,0.16,0.17,0.16,0.16,20796.0
2015-05-07,0.17,0.25,0.17,0.2,4664.0
2015-05-08,0.17800000000000002,0.17800000000000002,0.168,0.17800000000000002,3222.0
2015-05-11,0.23,0.23,0.18,0.18,965.0
2015-05-12,0.22,0.22,0.22,0.22,326.0
2015-05-13,0.22,0.22,0.22,0.22,0.0
2015-05-14,0.22,0.22,0.22,0.22,1000.0
2015-05-15,0.22,0.22,0.15,0.2,9872.0
2015-05-18,0.22,0.22,0.15,0.2,0.0
2015-05-19,0.151,0.1899,0.151,0.1899,360.0
2015-05-20,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.18899999999999997,200.0
2015-05-21,0.14,0.2,0.14,0.2,5123.0
2015-05-22,0.16,0.16,0.16,0.16,1170.0
2015-05-25,0.16,0.16,0.16,0.16,0.0
2015-05-26,0.16,0.16,0.16,0.16,0.0
2015-05-27,0.1899,0.1899,0.1899,0.1899,685.0
2015-05-28,0.1899,0.1899,0.1899,0.1899,540.0
2015-05-29,0.17,0.17,0.163,0.17,5495.0
2015-06-01,0.2199,0.2199,0.2199,0.2199,504.0
2015-06-02,0.2149,0.2149,0.18,0.18,1004.0
2015-06-03,0.18,0.18,0.18,0.18,810.0
2015-06-04,0.18,0.18,0.18,0.18,252.0
2015-06-05,0.1,0.18,0.1,0.18,5675.0
2015-06-08,0.18,0.18,0.11,0.11,69492.0
2015-06-09,0.11,0.1299,0.11,0.125,58590.0
2015-06-10,0.12,0.14,0.12,0.14,17133.0
2015-06-11,0.1249,0.1694,0.121,0.121,11370.0
2015-06-12,0.1224,0.1224,0.1224,0.1224,8712.0
2015-06-15,0.13,0.17,0.13,0.17,10129.0
2015-06-16,0.17,0.18899999999999997,0.15,0.18,100500.0
2015-06-17,0.25,0.25,0.2,0.2,9321.0
2015-06-18,0.21,0.3,0.2,0.3,6070.0
2015-06-19,0.15,0.2464,0.15,0.2464,4235.0
2015-06-22,0.2394,0.2394,0.15,0.15,880.0
2015-06-23,0.2394,0.2394,0.15,0.15,0.0
2015-06-24,0.156,0.156,0.15,0.15,25000.0
2015-06-25,0.156,0.156,0.15,0.15,0.0
2015-06-26,0.1,0.2199,0.1,0.13,6360.0
2015-06-29,0.13,0.13,0.13,0.13,1000.0
2015-06-30,0.13,0.13,0.13,0.13,0.0
2015-07-01,0.1395,0.1395,0.1395,0.1395,500.0
2015-07-02,0.1379,0.1799,0.1,0.1799,1909.0
2015-07-03,0.1379,0.1799,0.1,0.1799,0.0
2015-07-06,0.1799,0.1799,0.1799,0.1799,500.0
2015-07-07,0.1799,0.1799,0.1799,0.1799,500.0
2015-07-08,0.1599,0.2099,0.1599,0.1699,1416.0
2015-07-09,0.1699,0.1699,0.1699,0.1699,1000.0
2015-07-10,0.1599,0.1599,0.1599,0.1599,1481.0
2015-07-13,0.1399,0.1399,0.1,0.1,1200.0
2015-07-14,0.1399,0.1399,0.1,0.1,0.0
2015-07-15,0.1,0.1398,0.1,0.1264,11871.0
2015-07-16,0.16,0.16,0.16,0.16,3726.0
2015-07-17,0.1001,0.16,0.1,0.1,41591.0
2015-07-20,0.14,0.14,0.08,0.08,1297.0
2015-07-21,0.08,0.14,0.08,0.14,742.0
2015-07-22,0.08,0.13,0.08,0.10300000000000001,14686.0
2015-07-23,0.13,0.13,0.129,0.13,13300.0
2015-07-24,0.1101,0.1101,0.08,0.08,22036.0
2015-07-27,0.1499,0.1499,0.1479,0.1479,1217.0
2015-07-28,0.1479,0.1499,0.1479,0.1499,200.0
2015-07-29,0.1479,0.1499,0.1479,0.1499,0.0
2015-07-30,0.1479,0.1499,0.1479,0.1499,0.0
2015-07-31,0.1199,0.1199,0.1199,0.1199,4818.0
2015-08-03,0.1199,0.1199,0.1199,0.1199,0.0
2015-08-04,0.08,0.08,0.08,0.08,9355.0
2015-08-05,0.1,0.1,0.085,0.1,25667.0
2015-08-06,0.1,0.11,0.1,0.11,7900.0
2015-08-07,0.11,0.11,0.11,0.11,5100.0
2015-08-10,0.0703,0.11,0.0703,0.11,9615.0
2015-08-11,0.09,0.09,0.09,0.09,2000.0
2015-08-12,0.09,0.11,0.09,0.11,14886.0
2015-08-13,0.11,0.11,0.07,0.1099,34400.0
2015-08-14,0.0899,0.1098,0.0899,0.1098,12080.0
2015-08-17,0.0899,0.1098,0.0899,0.1098,0.0
2015-08-18,0.0502,0.1089,0.0502,0.1089,9090.0
2015-08-19,0.055,0.0999,0.055,0.0999,10880.0
2015-08-20,0.055,0.0999,0.055,0.0999,10268.0
2015-08-21,0.06,0.09,0.05,0.09,28832.0
2015-08-24,0.09,0.09,0.09,0.09,100.0
2015-08-25,0.09,0.09,0.09,0.09,0.0
2015-08-26,0.09,0.09,0.09,0.09,0.0
2015-08-27,0.09,0.09,0.09,0.09,0.0
2015-08-28,0.09,0.09,0.09,0.09,0.0
2015-08-31,0.09,0.09,0.09,0.09,1800.0
2015-09-01,0.0567,0.09,0.03,0.09,47819.0
2015-09-02,0.09,0.09,0.09,0.09,122.0
2015-09-03,0.09,0.09,0.09,0.09,1500.0
2015-09-04,0.09,0.09,0.09,0.09,0.0
2015-09-07,0.09,0.09,0.09,0.09,0.0
2015-09-08,0.0899,0.0899,0.0899,0.0899,100.0
2015-09-09,0.09,0.09,0.08,0.08,6500.0
2015-09-10,0.07,0.08,0.035,0.08,80950.0
2015-09-11,0.08,0.08,0.04,0.040999999999999995,101375.0
2015-09-14,0.05,0.05,0.035,0.035,22100.0
2015-09-15,0.06,0.09,0.03,0.054000000000000006,124500.0
2015-09-16,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,2200.0
2015-09-17,0.05,0.054000000000000006,0.03,0.054000000000000006,30078.0
2015-09-18,0.03,0.044000000000000004,0.03,0.035,50150.0
2015-09-21,0.03,0.04,0.028999999999999998,0.0399,67482.0
2015-09-22,0.03,0.04,0.03,0.04,27900.0
2015-09-23,0.0251,0.0399,0.025,0.0399,20655.0
2015-09-24,0.0249,0.0399,0.021,0.03,85670.0
2015-09-25,0.022000000000000002,0.035,0.022000000000000002,0.035,22000.0
2015-09-28,0.035,0.035,0.02,0.02,83000.0
2015-09-29,0.0344,0.0344,0.027000000000000003,0.0271,7000.0
2015-09-30,0.02,0.0499,0.02,0.0499,2200.0
2015-10-01,0.02,0.03,0.02,0.025,35350.0
2015-10-02,0.0249,0.0349,0.0225,0.03,83000.0
2015-10-05,0.03,0.03,0.022000000000000002,0.03,29470.0
2015-10-06,0.022000000000000002,0.028999999999999998,0.02,0.028999999999999998,61684.0
2015-10-07,0.02,0.025,0.02,0.025,43100.0
2015-10-08,0.025,0.0319,0.025,0.0295,66040.0
2015-10-09,0.028999999999999998,0.032,0.025,0.0299,150200.0
2015-10-12,0.0319,0.035,0.0286,0.0349,328527.0
2015-10-13,0.0287,0.0287,0.02,0.026000000000000002,215291.0
2015-10-14,0.0259,0.03,0.0259,0.03,51329.0
2015-10-15,0.03,0.0475,0.03,0.0448,285239.0
2015-10-16,0.0446,0.0449,0.0295,0.0295,47116.0
2015-10-19,0.0298,0.035,0.0257,0.0317,174138.0
2015-10-20,0.0374,0.045,0.0231,0.045,131908.0
2015-10-21,0.045,0.09,0.0401,0.0501,94183.0
2015-10-22,0.05,0.05,0.0351,0.0498,119120.0
2015-10-23,0.0498,0.0599,0.04,0.0525,88697.0
2015-10-26,0.06,0.09,0.05,0.0502,786337.0
2015-10-27,0.0599,0.0599,0.0437,0.05,141877.0
2015-10-28,0.0492,0.0694,0.04,0.0498,363565.0
2015-10-29,0.0498,0.0544,0.04,0.042,55980.0
2015-10-30,0.035,0.0541,0.0322,0.0398,287550.0
2015-11-02,0.05,0.05,0.035,0.038,225389.0
2015-11-03,0.0415,0.052000000000000005,0.03,0.043,2420353.0
2015-11-04,0.0445,0.0445,0.0308,0.0392,516169.0
2015-11-05,0.04,0.04,0.0216,0.0339,1202066.0
2015-11-06,0.0347,0.0347,0.0286,0.0307,477714.0
2015-11-09,0.0396,0.0396,0.027999999999999997,0.03,39400.0
2015-11-10,0.0299,0.0299,0.027999999999999997,0.027999999999999997,59718.0
2015-11-11,0.027999999999999997,0.0301,0.0257,0.0301,41866.0
2015-11-12,0.026000000000000002,0.03,0.026000000000000002,0.026000000000000002,7200.0
2015-11-13,0.0299,0.0299,0.0269,0.0269,61600.0
2015-11-16,0.0293,0.0293,0.0264,0.0264,65600.0
2015-11-17,0.0265,0.027999999999999997,0.026000000000000002,0.027999999999999997,127000.0
2015-11-18,0.035,0.0442,0.0335,0.04,1587014.0
2015-11-19,0.039,0.042,0.036000000000000004,0.0409,391942.0
2015-11-20,0.04,0.04,0.0301,0.0349,232162.0
2015-11-23,0.0329,0.0415,0.0309,0.04,155630.0
2015-11-24,0.038,0.0414,0.038,0.0414,74301.0
2015-11-25,0.036000000000000004,0.0445,0.036000000000000004,0.0445,128740.0
2015-11-26,0.036000000000000004,0.0445,0.036000000000000004,0.0445,0.0
2015-11-27,0.0445,0.0495,0.0445,0.045,2800.0
2015-11-30,0.045,0.045,0.044000000000000004,0.044000000000000004,29188.0
2015-12-01,0.0539,0.0539,0.03,0.0368,68912.0
2015-12-02,0.0339,0.0367,0.0312,0.0366,44835.0
2015-12-03,0.0345,0.0345,0.0343,0.0343,20884.0
2015-12-04,0.0367,0.0367,0.0367,0.0367,6500.0
2015-12-07,0.0367,0.0367,0.0367,0.0367,42320.0
2015-12-08,0.0489,0.049,0.0321,0.0458,115609.0
2015-12-09,0.033,0.0489,0.033,0.0449,141800.0
2015-12-10,0.0449,0.0449,0.0449,0.0449,2962.0
2015-12-11,0.0449,0.0449,0.0341,0.0448,52735.0
2015-12-14,0.0341,0.0445,0.0341,0.0445,13100.0
2015-12-15,0.0345,0.0441,0.034,0.0441,73400.0
2015-12-16,0.044000000000000004,0.044000000000000004,0.034,0.035,28600.0
2015-12-17,0.032,0.0321,0.032,0.032,93977.0
2015-12-18,0.035,0.035,0.03,0.03,136590.0
2015-12-21,0.03,0.0349,0.0272,0.0348,38990.0
2015-12-22,0.03,0.0378,0.03,0.0378,23000.0
2015-12-23,0.0438,0.044000000000000004,0.03,0.0399,70611.0
2015-12-24,0.0337,0.036000000000000004,0.0337,0.036000000000000004,1400.0
2015-12-25,0.0337,0.036000000000000004,0.0337,0.036000000000000004,0.0
2015-12-28,0.0301,0.0439,0.03,0.0429,13000.0
2015-12-29,0.0274,0.0438,0.0274,0.0438,23462.0
2015-12-30,0.0438,0.0438,0.0259,0.035,76425.0
2015-12-31,0.026000000000000002,0.0358,0.0259,0.0358,347000.0
2016-01-01,0.026000000000000002,0.0358,0.0259,0.0358,0.0
2016-01-04,0.0358,0.037000000000000005,0.0165,0.02,2672905.0
2016-01-05,0.0252,0.0252,0.02,0.0239,473462.0
2016-01-06,0.0239,0.027000000000000003,0.0225,0.027000000000000003,232009.0
2016-01-07,0.027000000000000003,0.035,0.024,0.0349,247720.0
2016-01-08,0.0248,0.0299,0.0248,0.0273,47610.0
2016-01-11,0.03,0.0345,0.025,0.0264,21289.0
2016-01-12,0.0337,0.0337,0.0151,0.022000000000000002,311068.0
2016-01-13,0.0326,0.0326,0.0244,0.0305,13205.0
2016-01-14,0.0297,0.0297,0.02,0.02,15400.0
2016-01-15,0.0299,0.0299,0.02,0.0285,79045.0
2016-01-18,0.0299,0.0299,0.02,0.0285,0.0
2016-01-19,0.02,0.02,0.018000000000000002,0.0199,128040.0
2016-01-20,0.0255,0.0255,0.0161,0.0191,52911.0
2016-01-21,0.018000000000000002,0.0191,0.018000000000000002,0.0191,24967.0
2016-01-22,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,30160.0
2016-01-25,0.02,0.02,0.02,0.02,4000.0
2016-01-26,0.0198,0.0198,0.0198,0.0198,1000.0
2016-01-27,0.017,0.0171,0.017,0.017,53995.0
2016-01-28,0.0199,0.0199,0.0199,0.0199,600.0
2016-01-29,0.0198,0.0199,0.017,0.0189,41345.0
2016-02-01,0.0187,0.0189,0.017,0.0178,202060.0
2016-02-02,0.0178,0.0178,0.01,0.0143,185557.0
2016-02-03,0.015,0.015,0.013999999999999999,0.013999999999999999,11950.0
2016-02-04,0.012,0.025,0.0101,0.011000000000000001,74083.0
2016-02-05,0.013999999999999999,0.019,0.0112,0.0112,91324.0
2016-02-08,0.019,0.019,0.0189,0.019,46533.0
2016-02-09,0.019,0.019,0.019,0.019,8915.0
2016-02-10,0.012,0.019,0.012,0.019,20500.0
2016-02-11,0.019,0.019,0.012,0.019,18137.0
2016-02-12,0.012,0.0131,0.012,0.0131,15000.0
2016-02-15,0.012,0.0131,0.012,0.0131,0.0
2016-02-16,0.0136,0.0136,0.013000000000000001,0.013000000000000001,10834.0
2016-02-17,0.018000000000000002,0.018000000000000002,0.0179,0.0179,2600.0
2016-02-18,0.0175,0.0175,0.0175,0.0175,10050.0
2016-02-19,0.019,0.019,0.019,0.019,3000.0
2016-02-22,0.019,0.019,0.013999999999999999,0.013999999999999999,105750.0
2016-02-23,0.013999999999999999,0.017,0.013999999999999999,0.017,61400.0
2016-02-24,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,21211.0
2016-02-25,0.017,0.017,0.013999999999999999,0.015,55550.0
2016-02-26,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,22600.0
2016-02-29,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.0
2016-03-01,0.0121,0.015,0.0121,0.015,56550.0
2016-03-02,0.0136,0.0136,0.0136,0.0136,1500.0
2016-03-03,0.015,0.015,0.015,0.015,4600.0
2016-03-04,0.015,0.015,0.0082,0.01,258214.0
2016-03-07,0.011000000000000001,0.013000000000000001,0.011000000000000001,0.0128,15000.0
2016-03-08,0.013999999999999999,0.013999999999999999,0.01,0.0111,323626.0
2016-03-09,0.0111,0.0112,0.0098,0.0112,36290.0
2016-03-10,0.0111,0.0112,0.0098,0.0112,0.0
2016-03-11,0.0111,0.0112,0.0098,0.0112,0.0
2016-03-14,0.015,0.015,0.0098,0.0098,30500.0
2016-03-15,0.0149,0.0149,0.0084,0.012,488755.0
2016-03-16,0.013000000000000001,0.013999999999999999,0.013000000000000001,0.013999999999999999,55099.0
2016-03-17,0.012,0.013999999999999999,0.012,0.013999999999999999,19960.0
2016-03-18,0.012,0.013999999999999999,0.012,0.013999999999999999,0.0
2016-03-21,0.013999999999999999,0.013999999999999999,0.0136,0.013999999999999999,13500.0
2016-03-22,0.013999999999999999,0.013999999999999999,0.0104,0.0105,49992.0
2016-03-23,0.013999999999999999,0.013999999999999999,0.0104,0.0105,0.0
2016-03-24,0.013999999999999999,0.013999999999999999,0.0139,0.0139,8000.0
2016-03-25,0.013999999999999999,0.013999999999999999,0.0139,0.0139,0.0
2016-03-28,0.006,0.0139,0.006,0.0139,343477.0
2016-03-29,0.0139,0.0139,0.0138,0.0138,24371.0
2016-03-30,0.0138,0.0138,0.0138,0.0138,58436.0
2016-03-31,0.0137,0.0138,0.0086,0.0135,33898.0
2016-04-01,0.0138,0.0138,0.0138,0.0138,300.0
2016-04-04,0.0138,0.0138,0.0138,0.0138,7200.0
2016-04-05,0.0138,0.0138,0.0138,0.0138,6666.0
2016-04-06,0.0136,0.0136,0.012,0.012,101300.0
2016-04-07,0.0121,0.0121,0.012,0.012,4700.0
2016-04-08,0.012,0.0138,0.012,0.0138,17200.0
2016-04-11,0.0138,0.0138,0.012,0.012,48789.0
2016-04-12,0.0138,0.0138,0.012,0.012,0.0
2016-04-13,0.0122,0.0122,0.0122,0.0122,1600.0
2016-04-14,0.0122,0.0128,0.0122,0.0128,73483.0
2016-04-15,0.0128,0.0128,0.0128,0.0128,27000.0
2016-04-18,0.012,0.0128,0.012,0.0128,20100.0
2016-04-19,0.0128,0.0128,0.0087,0.0087,121397.0
2016-04-20,0.01,0.0128,0.01,0.0119,63350.0
2016-04-21,0.0128,0.0128,0.012,0.0128,23568.0
2016-04-22,0.0128,0.038,0.0128,0.02,1734784.0
2016-04-25,0.034,0.034,0.0215,0.025,162785.0
2016-04-26,0.025,0.025,0.0215,0.022000000000000002,26266.0
2016-04-27,0.022000000000000002,0.022000000000000002,0.0215,0.022000000000000002,124428.0
2016-04-28,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,85127.0
2016-04-29,0.0215,0.0228,0.021,0.021,45856.0
2016-05-02,0.02,0.0225,0.019,0.019,162000.0
2016-05-03,0.02,0.02,0.019,0.019,53633.0
2016-05-04,0.018000000000000002,0.0192,0.018000000000000002,0.0192,87410.0
2016-05-05,0.017,0.024,0.017,0.017,27654.0
2016-05-06,0.017,0.024,0.017,0.017,0.0
2016-05-09,0.017,0.024,0.017,0.017,0.0
2016-05-10,0.0171,0.0171,0.0171,0.0171,7000.0
2016-05-11,0.0171,0.0171,0.016,0.0171,40000.0
2016-05-12,0.0155,0.0156,0.0155,0.0156,12000.0
2016-05-13,0.0155,0.0156,0.0155,0.0156,0.0
2016-05-16,0.0161,0.023,0.0161,0.023,4739.0
2016-05-17,0.023,0.023,0.017,0.023,68000.0
2016-05-18,0.023,0.023,0.0229,0.0229,39177.0
2016-05-19,0.0229,0.0229,0.0229,0.0229,2000.0
2016-05-20,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,21300.0
2016-05-23,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0
2016-05-24,0.0181,0.02,0.0181,0.0181,40211.0
2016-05-25,0.0228,0.0228,0.0228,0.0228,11086.0
2016-05-26,0.0228,0.0228,0.0228,0.0228,0.0
2016-05-27,0.0228,0.0228,0.0228,0.0228,0.0
2016-05-30,0.0228,0.0228,0.0228,0.0228,0.0
2016-05-31,0.0228,0.0228,0.0228,0.0228,0.0
2016-06-01,0.0228,0.0228,0.0228,0.0228,0.0
2016-06-02,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,4000.0
2016-06-03,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0
2016-06-06,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,14500.0
2016-06-07,0.017,0.017,0.017,0.017,1739.0
2016-06-08,0.017,0.017,0.017,0.017,0.0
2016-06-09,0.017,0.017,0.017,0.017,0.0
2016-06-10,0.017,0.017,0.017,0.017,0.0
2016-06-13,0.017,0.017,0.017,0.017,32500.0
2016-06-14,0.017,0.017,0.017,0.017,3000.0
2016-06-15,0.017,0.017,0.017,0.017,0.0
2016-06-16,0.017,0.017,0.017,0.017,0.0
2016-06-17,0.017,0.017,0.017,0.017,0.0
2016-06-20,0.017,0.017,0.017,0.017,8000.0
2016-06-21,0.017,0.017,0.017,0.017,51066.0
2016-06-22,0.017,0.017,0.017,0.017,0.0
2016-06-23,0.017,0.017,0.017,0.017,0.0
2016-06-24,0.0171,0.0185,0.017,0.0185,55000.0
2016-06-27,0.02,0.023,0.02,0.0229,41000.0
2016-06-28,0.023,0.027999999999999997,0.02,0.02,402884.0
2016-06-29,0.02,0.0201,0.02,0.02,23000.0
2016-06-30,0.02,0.02,0.02,0.02,63520.0
2016-07-01,0.025,0.03,0.0249,0.03,93807.0
2016-07-04,0.025,0.03,0.0249,0.03,0.0
2016-07-05,0.024,0.03,0.018000000000000002,0.03,10930.0
2016-07-06,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,6170.0
2016-07-07,0.0269,0.0269,0.0269,0.0269,1500.0
2016-07-08,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,12978.0
2016-07-11,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,1000.0
2016-07-12,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0
2016-07-13,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0
2016-07-14,0.03,0.03,0.025,0.025,3000.0
2016-07-15,0.018000000000000002,0.0195,0.018000000000000002,0.0195,306168.0
2016-07-18,0.018000000000000002,0.0195,0.018000000000000002,0.0195,0.0
2016-07-19,0.018000000000000002,0.0195,0.018000000000000002,0.0195,0.0
2016-07-20,0.0195,0.027000000000000003,0.0195,0.027000000000000003,25000.0
2016-07-21,0.0265,0.027999999999999997,0.015,0.015,1229500.0
2016-07-22,0.022000000000000002,0.022000000000000002,0.013999999999999999,0.02,323886.0
2016-07-25,0.02,0.022000000000000002,0.0141,0.0208,729744.0
2016-07-26,0.0189,0.0199,0.0143,0.019,452266.0
2016-07-27,0.0084,0.0197,0.004,0.0197,150500.0
2016-07-28,0.008,0.0198,0.008,0.017,197160.0
2016-07-29,0.0129,0.013000000000000001,0.0129,0.013000000000000001,243692.0
2016-08-01,0.016,0.016,0.0101,0.0101,8125.0
2016-08-02,0.013000000000000001,0.0156,0.013000000000000001,0.0156,23375.0
2016-08-03,0.0184,0.02,0.008,0.01,8941003.0
2016-08-04,0.0095,0.0114,0.008,0.01,582600.0
2016-08-05,0.01,0.0105,0.0085,0.0095,900536.0
2016-08-08,0.0095,0.0096,0.0089,0.009000000000000001,1559813.0
2016-08-09,0.009000000000000001,0.0092,0.0066,0.0075,629600.0
