Date,Open,High,Low,Close,Volume
2014-01-06,0.16,0.18,0.16,0.17,4997.0
2014-01-07,0.15,0.15,0.14,0.14,18022.0
2014-01-08,0.15,0.15,0.14,0.14,0.0
2014-01-09,0.15,0.15,0.14,0.14,0.0
2014-01-10,0.15,0.15,0.14,0.14,0.0
2014-01-13,0.15,0.15,0.14,0.14,0.0
2014-01-14,0.15,0.15,0.14,0.14,0.0
2014-01-15,0.15,0.15,0.14,0.14,0.0
2014-01-16,0.15,0.15,0.14,0.14,0.0
2014-01-17,0.15,0.15,0.14,0.14,0.0
2014-01-20,0.15,0.15,0.14,0.14,0.0
2014-01-21,0.15,0.15,0.14,0.14,0.0
2014-01-22,0.15,0.15,0.14,0.14,0.0
2014-01-23,0.15,0.15,0.14,0.14,0.0
2014-01-24,0.15,0.15,0.14,0.14,0.0
2014-01-27,0.15,0.15,0.14,0.14,0.0
2014-01-28,0.15,0.15,0.14,0.14,0.0
2014-01-29,0.15,0.15,0.14,0.14,0.0
2014-01-30,0.15,0.15,0.14,0.14,0.0
2014-01-31,0.15,0.15,0.14,0.14,0.0
2014-02-03,0.15,0.15,0.14,0.14,0.0
2014-02-04,0.15,0.15,0.14,0.14,0.0
2014-02-05,0.15,0.15,0.14,0.14,0.0
2014-02-06,0.15,0.15,0.14,0.14,0.0
2014-02-07,0.15,0.15,0.14,0.14,0.0
2014-02-10,0.15,0.15,0.14,0.14,0.0
2014-02-11,0.15,0.15,0.14,0.14,0.0
2014-02-12,0.15,0.15,0.14,0.14,0.0
2014-02-13,0.15,0.15,0.14,0.14,0.0
2014-02-14,0.15,0.15,0.14,0.14,0.0
2014-02-17,0.15,0.15,0.14,0.14,0.0
2014-02-18,0.15,0.15,0.14,0.14,0.0
2014-02-19,0.15,0.15,0.14,0.14,0.0
2014-02-20,0.15,0.15,0.14,0.14,0.0
2014-02-21,0.15,0.15,0.14,0.14,0.0
2014-02-24,0.15,0.15,0.14,0.14,0.0
2014-02-25,0.15,0.15,0.14,0.14,0.0
2014-02-26,0.15,0.15,0.14,0.14,0.0
2014-02-27,0.15,0.15,0.14,0.14,0.0
2014-02-28,0.15,0.15,0.14,0.14,0.0
2014-03-03,0.15,0.15,0.14,0.14,0.0
2014-03-04,0.15,0.15,0.14,0.14,0.0
2014-03-05,0.15,0.15,0.14,0.14,0.0
2014-03-06,0.15,0.15,0.14,0.14,0.0
2014-03-07,0.15,0.15,0.14,0.14,0.0
2014-03-10,0.15,0.15,0.14,0.14,0.0
2014-03-11,0.15,0.15,0.14,0.14,0.0
2014-03-12,0.15,0.15,0.14,0.14,0.0
2014-03-13,0.15,0.15,0.14,0.14,0.0
2014-03-14,0.15,0.15,0.14,0.14,0.0
2014-03-17,0.15,0.15,0.14,0.14,0.0
2014-03-18,0.15,0.15,0.14,0.14,0.0
2014-03-19,0.15,0.15,0.14,0.14,0.0
2014-03-20,0.15,0.15,0.14,0.14,0.0
2014-03-21,0.15,0.15,0.14,0.14,0.0
2014-03-24,0.15,0.15,0.14,0.14,0.0
2014-03-25,0.15,0.15,0.14,0.14,0.0
2014-03-26,0.15,0.15,0.14,0.14,0.0
2014-03-27,0.15,0.15,0.14,0.14,0.0
2014-03-28,0.15,0.15,0.14,0.14,0.0
2014-03-31,0.15,0.15,0.14,0.14,0.0
2014-04-01,0.15,0.15,0.14,0.14,0.0
2014-04-02,0.15,0.15,0.14,0.14,0.0
2014-04-03,0.15,0.15,0.14,0.14,0.0
2014-04-04,0.15,0.15,0.14,0.14,0.0
2014-04-07,0.15,0.15,0.14,0.14,0.0
2014-04-08,0.15,0.15,0.14,0.14,0.0
2014-04-09,0.15,0.15,0.14,0.14,0.0
2014-04-10,0.15,0.15,0.14,0.14,0.0
2014-04-11,0.15,0.15,0.14,0.14,0.0
2014-04-14,0.15,0.15,0.14,0.14,0.0
2014-04-15,0.15,0.15,0.14,0.14,0.0
2014-04-16,0.15,0.15,0.14,0.14,0.0
2014-04-17,0.15,0.15,0.14,0.14,0.0
2014-04-18,0.15,0.15,0.14,0.14,0.0
2014-04-21,0.15,0.15,0.14,0.14,0.0
2014-04-22,0.15,0.15,0.14,0.14,0.0
2014-04-23,0.15,0.15,0.14,0.14,0.0
2014-04-24,0.15,0.15,0.14,0.14,0.0
2014-04-25,0.15,0.15,0.14,0.14,0.0
2014-04-28,0.15,0.15,0.14,0.14,0.0
2014-04-29,0.15,0.15,0.14,0.14,0.0
2014-04-30,0.15,0.15,0.14,0.14,0.0
2014-05-01,0.15,0.15,0.14,0.14,0.0
2014-05-02,0.15,0.15,0.14,0.14,0.0
2014-05-05,0.15,0.15,0.14,0.14,0.0
2014-05-06,0.15,0.15,0.14,0.14,0.0
2014-05-07,0.15,0.15,0.14,0.14,0.0
2014-05-08,0.15,0.15,0.14,0.14,0.0
2014-05-09,0.1801,0.1801,0.1801,0.1801,1000.0
2014-05-12,0.2,0.3,0.2,0.3,2500.0
2014-05-13,0.3,0.3,0.3,0.3,7300.0
2014-05-14,0.29,0.29,0.26,0.29,28713.0
2014-05-15,0.26,0.26,0.26,0.26,100.0
2014-05-16,0.26,0.26,0.26,0.26,2000.0
2014-05-19,0.22,0.3,0.22,0.29,6100.0
2014-05-20,0.25,0.25,0.25,0.25,5000.0
2014-05-21,0.25,0.25,0.25,0.25,250.0
2014-05-22,0.25,0.25,0.25,0.25,2550.0
2014-05-23,0.24,0.24,0.24,0.24,15000.0
2014-05-26,0.24,0.24,0.24,0.24,0.0
2014-05-27,0.2,0.2,0.2,0.2,250.0
2014-05-28,0.25,0.25,0.25,0.25,800.0
2014-05-29,0.25,0.25,0.25,0.25,0.0
2014-05-30,0.235,0.235,0.235,0.235,1000.0
2014-06-02,0.235,0.235,0.235,0.235,0.0
2014-06-03,0.1601,0.38,0.1601,0.38,5032.0
2014-06-04,0.1601,0.38,0.1601,0.38,0.0
2014-06-05,0.16,0.35,0.16,0.35,19260.0
2014-06-06,0.35,0.35,0.28,0.35,4100.0
2014-06-09,0.35,0.35,0.28,0.35,0.0
2014-06-10,0.35,0.35,0.28,0.35,0.0
2014-06-11,0.35,0.35,0.28,0.35,0.0
2014-06-12,0.35,0.35,0.28,0.35,0.0
2014-06-13,0.32,0.32,0.28,0.28,1750.0
