Date,Open,High,Low,Close,Volume
2013-04-24,1.01,1.01,1.0,1.0,700.0
2013-04-25,1.05,1.07,1.02,1.06,65100.0
2013-04-26,1.11,1.11,1.11,1.11,559.0
2013-04-29,1.11,1.11,1.11,1.11,0.0
2013-04-30,1.13,1.18,1.12,1.18,46850.0
2013-05-01,1.17,1.17,1.14,1.15,20750.0
2013-05-02,1.05,1.05,1.05,1.05,2059.0
2013-05-03,1.05,1.05,1.05,1.05,0.0
2013-05-06,1.05,1.08,1.05,1.08,2100.0
2013-05-07,1.08,1.08,1.07,1.08,21000.0
2013-05-08,1.13,1.13,1.12,1.12,6500.0
2013-05-09,1.05,1.14,1.05,1.13,16500.0
2013-05-10,1.14,1.15,1.13,1.14,9500.0
2013-05-13,1.15,1.15,1.14,1.14,9000.0
2013-05-14,1.15,1.15,1.15,1.15,3600.0
2013-05-15,1.12,1.15,1.1,1.1,4500.0
2013-05-16,1.1,1.15,1.1,1.15,24500.0
2013-05-17,1.18,1.18,1.15,1.17,8200.0
2013-05-20,1.15,1.15,1.15,1.15,3000.0
2013-05-21,1.15,1.15,1.15,1.15,0.0
2013-05-22,1.15,1.15,1.15,1.15,0.0
2013-05-23,1.16,1.16,1.16,1.16,4000.0
2013-05-24,1.16,1.16,1.16,1.16,0.0
2013-05-27,1.16,1.16,1.16,1.16,0.0
2013-05-28,1.16,1.16,1.16,1.16,1500.0
2013-05-29,1.16,1.16,1.16,1.16,0.0
2013-05-30,1.16,1.16,1.16,1.16,0.0
2013-05-31,1.16,1.17,1.15,1.17,12500.0
2013-06-03,1.17,1.17,1.17,1.17,2000.0
2013-06-04,1.17,1.17,1.17,1.17,0.0
2013-06-05,1.17,1.17,1.17,1.17,0.0
2013-06-06,1.17,1.17,1.17,1.17,0.0
2013-06-07,1.15,1.16,1.15,1.16,1925.0
2013-06-10,1.17,1.17,1.17,1.17,500.0
2013-06-11,1.17,1.17,1.17,1.17,10000.0
2013-06-12,1.05,1.17,1.05,1.17,16785.0
2013-06-13,1.05,1.17,1.05,1.17,0.0
2013-06-14,0.99,0.99,0.99,0.99,2000.0
2013-06-17,0.99,0.99,0.99,0.99,0.0
2013-06-18,0.99,0.99,0.99,0.99,0.0
2013-06-19,0.99,0.99,0.99,0.99,0.0
2013-06-20,1.02,1.14,1.02,1.14,20000.0
2013-06-21,1.02,1.14,1.02,1.14,0.0
2013-06-24,1.02,1.14,1.02,1.14,0.0
2013-06-25,1.02,1.14,1.02,1.14,0.0
2013-06-26,1.02,1.14,1.02,1.14,0.0
2013-06-27,1.02,1.14,1.02,1.14,0.0
2013-06-28,1.02,1.14,1.02,1.14,0.0
2013-07-01,1.14,1.14,1.12,1.12,12400.0
2013-07-02,1.14,1.14,1.12,1.12,0.0
2013-07-03,1.14,1.14,1.12,1.12,0.0
2013-07-04,1.14,1.14,1.12,1.12,0.0
2013-07-05,1.14,1.14,1.12,1.12,0.0
2013-07-08,1.12,1.12,1.12,1.12,2000.0
2013-07-09,1.12,1.12,1.12,1.12,0.0
2013-07-10,1.12,1.13,0.85,1.13,10500.0
2013-07-11,1.12,1.12,1.12,1.12,1100.0
2013-07-12,1.12,1.12,1.12,1.12,0.0
2013-07-15,0.7,0.7,0.7,0.7,2000.0
2013-07-16,0.7,0.7,0.7,0.7,0.0
2013-07-17,1.12,1.12,0.52,1.0,60306.0
2013-07-18,1.12,1.12,0.52,1.0,0.0
2013-07-19,1.12,1.12,0.52,1.0,0.0
2013-07-22,1.12,1.12,0.52,1.0,0.0
2013-07-23,1.12,1.12,0.52,1.0,0.0
2013-07-24,1.12,1.12,0.52,1.0,0.0
2013-07-25,1.12,1.12,0.52,1.0,0.0
2013-07-26,1.12,1.12,0.52,1.0,0.0
2013-07-29,1.12,1.12,0.52,1.0,0.0
2013-07-30,1.12,1.12,0.52,1.0,0.0
2013-07-31,0.8,0.9,0.7,0.9,3300.0
2013-08-01,0.8,0.9,0.7,0.9,0.0
2013-08-02,0.8,0.9,0.7,0.9,0.0
2013-08-05,0.8,0.9,0.7,0.9,0.0
2013-08-06,0.6,0.92,0.6,0.92,450.0
2013-08-07,0.9,0.9,0.9,0.9,1430.0
2013-08-08,0.9,0.9,0.9,0.9,1000.0
2013-08-09,0.9,0.9,0.898,0.898,10630.0
2013-08-12,0.9,0.9,0.9,0.9,1000.0
2013-08-13,0.9,0.9,0.898,0.898,14000.0
2013-08-14,0.76,0.76,0.76,0.76,2000.0
2013-08-15,0.76,0.9,0.76,0.9,3150.0
2013-08-16,0.76,0.9,0.76,0.9,0.0
