Date,Open,High,Low,Close,Volume
2008-02-15,1.9,1.9,1.9,1.9,10500.0
2008-02-18,1.9,1.9,1.9,1.9,0.0
2008-02-19,1.9,1.9,1.9,1.9,0.0
2008-02-20,1.9,1.9,1.9,1.9,0.0
2008-02-21,1.9,1.9,1.9,1.9,0.0
2008-02-22,1.9,1.9,1.9,1.9,0.0
2008-02-25,1.9,1.9,1.9,1.9,0.0
2008-02-26,1.9,1.9,1.9,1.9,0.0
2008-02-27,1.9,1.9,1.9,1.9,0.0
2008-02-28,1.9,1.9,1.9,1.9,0.0
2008-02-29,1.9,1.9,1.9,1.9,0.0
2008-03-03,1.9,1.9,1.9,1.9,0.0
2008-03-04,1.9,1.9,1.9,1.9,0.0
2008-03-05,1.9,1.9,1.9,1.9,0.0
2008-03-06,1.9,1.9,1.9,1.9,0.0
2008-03-07,1.9,1.9,1.9,1.9,0.0
2008-03-10,1.9,1.9,1.9,1.9,0.0
2008-03-11,1.9,1.9,1.9,1.9,0.0
2008-03-12,1.9,1.9,1.9,1.9,0.0
2008-03-13,1.9,1.9,1.9,1.9,0.0
2008-03-14,1.9,1.9,1.9,1.9,0.0
2008-03-17,1.9,1.9,1.9,1.9,0.0
2008-03-18,1.9,1.9,1.9,1.9,0.0
2008-03-19,1.9,1.9,1.9,1.9,0.0
2008-03-20,1.9,1.9,1.9,1.9,0.0
2008-03-21,1.9,1.9,1.9,1.9,0.0
2008-03-24,1.9,1.9,1.9,1.9,0.0
2008-03-25,1.9,1.9,1.9,1.9,0.0
2008-03-26,1.9,1.9,1.9,1.9,0.0
2008-03-27,1.9,1.9,1.9,1.9,0.0
2008-03-28,1.9,1.9,1.9,1.9,0.0
2008-03-31,1.9,1.9,1.9,1.9,0.0
2008-04-01,1.9,1.9,1.9,1.9,0.0
2008-04-02,1.9,1.9,1.9,1.9,0.0
2008-04-03,1.9,1.9,1.9,1.9,0.0
2008-04-04,1.9,1.9,1.9,1.9,0.0
2008-04-07,1.9,1.9,1.9,1.9,0.0
2008-04-08,1.9,1.9,1.9,1.9,0.0
2008-04-09,1.9,1.9,1.9,1.9,0.0
2008-04-10,1.9,1.9,1.9,1.9,0.0
2008-04-11,1.9,1.9,1.9,1.9,0.0
2008-04-14,1.9,1.9,1.9,1.9,0.0
2008-04-15,1.9,1.9,1.9,1.9,0.0
2008-04-16,1.9,1.9,1.9,1.9,0.0
2008-04-17,1.9,1.9,1.9,1.9,0.0
2008-04-18,1.9,1.9,1.9,1.9,0.0
2008-04-21,1.9,1.9,1.9,1.9,0.0
2008-04-22,1.9,1.9,1.9,1.9,0.0
2008-04-23,1.9,1.9,1.9,1.9,0.0
2008-04-24,1.9,1.9,1.9,1.9,0.0
2008-04-25,1.9,1.9,1.9,1.9,0.0
2008-04-28,1.9,1.9,1.9,1.9,0.0
2008-04-29,1.9,1.9,1.9,1.9,0.0
2008-04-30,1.9,1.9,1.9,1.9,0.0
2008-05-01,1.9,1.9,1.9,1.9,0.0
2008-05-02,1.9,1.9,1.9,1.9,0.0
2008-05-05,1.9,1.9,1.9,1.9,0.0
2008-05-06,1.9,1.9,1.9,1.9,0.0
2008-05-07,1.9,1.9,1.9,1.9,0.0
2008-05-08,1.9,1.9,1.9,1.9,0.0
2008-05-09,0.6,0.98,0.6,0.98,337833.0
2008-05-12,1.5,1.5,0.75,0.8,9700.0
2008-05-13,1.5,1.5,0.75,0.8,0.0
2008-05-14,1.5,1.5,0.75,0.8,0.0
2008-05-15,1.01,1.01,1.01,1.01,450.0
2008-05-16,1.01,1.01,1.01,1.01,0.0
2008-05-19,0.76,0.76,0.76,0.76,3500.0
2008-05-20,0.76,0.76,0.76,0.76,0.0
2008-05-21,0.76,0.76,0.76,0.76,0.0
2008-05-22,0.85,0.85,0.85,0.85,2500.0
2008-05-23,0.85,0.85,0.85,0.85,0.0
2008-05-26,0.85,0.85,0.85,0.85,0.0
2008-05-27,0.74,0.99,0.74,0.99,3000.0
2008-05-28,0.99,0.99,0.99,0.99,10000.0
2008-05-29,0.99,0.99,0.99,0.99,0.0
2008-05-30,0.99,0.99,0.99,0.99,0.0
2008-06-02,0.99,0.99,0.99,0.99,0.0
2008-06-03,0.99,0.99,0.99,0.99,0.0
2008-06-04,0.99,0.99,0.99,0.99,0.0
2008-06-05,0.76,0.76,0.75,0.75,14000.0
2008-06-06,0.75,0.75,0.75,0.75,4500.0
2008-06-09,0.94,0.94,0.94,0.94,500.0
2008-06-10,0.94,0.94,0.94,0.94,0.0
2008-06-11,0.94,0.94,0.94,0.94,0.0
2008-06-12,0.94,0.94,0.94,0.94,0.0
2008-06-13,0.94,0.94,0.94,0.94,0.0
2008-06-16,0.57,0.57,0.57,0.57,1790.0
2008-06-17,0.46,0.83,0.46,0.83,15500.0
2008-06-18,0.6,0.6,0.6,0.6,166666.0
2008-06-19,0.54,0.57,0.51,0.57,16000.0
2008-06-20,0.54,0.57,0.51,0.57,0.0
2008-06-23,0.54,0.57,0.51,0.57,0.0
2008-06-24,0.54,0.57,0.51,0.57,0.0
2008-06-25,0.54,0.57,0.51,0.57,0.0
2008-06-26,0.54,0.57,0.51,0.57,0.0
2008-06-27,0.54,0.57,0.51,0.57,0.0
2008-06-30,0.54,0.57,0.51,0.57,0.0
2008-07-01,0.54,0.57,0.51,0.57,0.0
2008-07-02,0.8,0.8,0.8,0.8,2500.0
2008-07-03,0.63,0.92,0.63,0.92,5000.0
2008-07-04,0.63,0.92,0.63,0.92,0.0
2008-07-07,0.63,0.92,0.63,0.92,0.0
2008-07-08,0.53,0.53,0.5,0.5,4500.0
2008-07-09,0.86,0.86,0.8,0.8,5000.0
2008-07-10,0.86,0.86,0.6,0.6,13000.0
2008-07-11,0.58,0.62,0.58,0.62,5000.0
2008-07-14,0.58,0.62,0.58,0.62,0.0
2008-07-15,0.58,0.62,0.58,0.62,0.0
2008-07-16,0.6,0.6,0.6,0.6,20000.0
2008-07-17,0.6,0.6,0.55,0.6,19633.0
2008-07-18,0.55,0.6,0.55,0.6,20000.0
2008-07-21,0.55,0.6,0.55,0.55,7500.0
2008-07-22,0.55,0.55,0.55,0.55,8500.0
2008-07-23,0.55,0.55,0.55,0.55,0.0
2008-07-24,0.56,0.56,0.56,0.56,6000.0
2008-07-25,0.56,0.56,0.56,0.56,0.0
2008-07-28,0.56,0.56,0.56,0.56,0.0
2008-07-29,0.56,0.56,0.56,0.56,13000.0
2008-07-30,0.75,0.75,0.75,0.75,2000.0
2008-07-31,0.6,0.61,0.57,0.57,10000.0
