Date,Open,High,Low,Close,Volume
2007-09-13,34.0,56.0,34.0,56.0,27.0
2007-09-14,40.0,40.0,40.0,40.0,2.0
2007-09-17,40.0,40.0,40.0,40.0,3.0
2007-09-18,40.0,40.0,40.0,40.0,9.0
2007-09-19,40.0,40.0,40.0,40.0,0.0
2007-09-20,40.0,40.0,40.0,40.0,0.0
2007-09-21,40.0,40.0,40.0,40.0,18.0
2007-09-24,40.0,40.0,40.0,40.0,0.0
2007-09-25,40.0,40.0,40.0,40.0,0.0
2007-09-26,40.0,40.0,40.0,40.0,0.0
2007-09-27,40.0,40.0,40.0,40.0,0.0
2007-09-28,36.0,36.0,36.0,36.0,7.0
2007-10-01,36.0,36.0,36.0,36.0,0.0
2007-10-02,36.0,36.0,36.0,36.0,0.0
2007-10-03,36.0,36.0,36.0,36.0,7.0
2007-10-04,38.0,38.0,38.0,38.0,19.0
2007-10-05,38.0,38.0,38.0,38.0,0.0
2007-10-08,38.0,38.0,38.0,38.0,0.0
2007-10-09,38.0,38.0,36.0,36.0,12.0
2007-10-10,38.0,38.0,36.0,36.0,0.0
2007-10-11,36.0,36.0,36.0,36.0,2.0
2007-10-12,36.0,36.0,36.0,36.0,0.0
2007-10-15,36.0,36.0,36.0,36.0,0.0
2007-10-16,38.0,38.0,38.0,38.0,8.0
2007-10-17,36.0,36.0,36.0,36.0,5.0
2007-10-18,36.0,36.0,36.0,36.0,20.0
2007-10-19,36.0,36.0,36.0,36.0,0.0
2007-10-22,36.0,36.0,36.0,36.0,0.0
2007-10-23,36.0,36.0,36.0,36.0,0.0
2007-10-24,36.0,36.0,36.0,36.0,0.0
2007-10-25,36.0,36.0,30.0,30.0,12.0
2007-10-26,26.0,26.0,26.0,26.0,0.0
2007-10-29,26.0,26.0,26.0,26.0,0.0
2007-10-30,26.0,26.0,26.0,26.0,0.0
2007-10-31,26.0,26.0,26.0,26.0,10.0
2007-11-01,26.0,26.0,26.0,26.0,0.0
2007-11-02,26.0,26.0,26.0,26.0,0.0
2007-11-05,26.0,26.0,26.0,26.0,0.0
2007-11-06,26.0,26.0,26.0,26.0,2.0
2007-11-07,26.0,26.0,26.0,26.0,0.0
2007-11-08,26.0,26.0,26.0,26.0,0.0
2007-11-09,26.0,26.0,26.0,26.0,9.0
2007-11-12,30.0,30.0,30.0,30.0,0.0
2007-11-13,30.0,30.0,30.0,30.0,0.0
2007-11-14,30.0,30.0,30.0,30.0,0.0
2007-11-15,26.0,26.0,26.0,26.0,0.0
2007-11-16,26.0,26.0,26.0,26.0,0.0
2007-11-19,26.0,26.0,26.0,26.0,0.0
2007-11-20,26.0,26.0,20.0,20.0,17.0
2007-11-21,20.0,26.0,20.0,20.0,17.0
2007-11-22,20.0,26.0,20.0,20.0,0.0
2007-11-23,20.0,26.0,20.0,20.0,0.0
2007-11-26,20.0,26.0,20.0,20.0,0.0
2007-11-27,20.0,20.0,20.0,20.0,5.0
2007-11-28,20.0,20.0,20.0,20.0,0.0
2007-11-29,20.0,20.0,20.0,20.0,0.0
2007-11-30,20.0,20.0,20.0,20.0,0.0
2007-12-03,20.0,20.0,20.0,20.0,0.0
2007-12-04,20.0,20.0,20.0,20.0,0.0
2007-12-05,20.0,20.0,20.0,20.0,0.0
2007-12-06,20.0,20.0,20.0,20.0,0.0
2007-12-07,20.0,20.0,20.0,20.0,0.0
2007-12-10,20.0,20.0,20.0,20.0,0.0
2007-12-11,20.0,20.0,20.0,20.0,0.0
2007-12-12,20.0,20.0,20.0,20.0,0.0
2007-12-13,20.0,20.0,20.0,20.0,0.0
2007-12-14,20.0,20.0,20.0,20.0,0.0
2007-12-17,20.0,20.0,20.0,20.0,0.0
2007-12-18,20.0,20.0,20.0,20.0,0.0
2007-12-19,20.0,20.0,20.0,20.0,0.0
2007-12-20,16.0,16.0,16.0,16.0,1.0
2007-12-21,16.0,16.0,16.0,16.0,2.0
2007-12-24,16.0,16.0,16.0,16.0,0.0
2007-12-25,16.0,16.0,16.0,16.0,0.0
2007-12-26,16.0,16.0,16.0,16.0,0.0
2007-12-27,16.0,16.0,16.0,16.0,0.0
2007-12-28,16.0,16.0,16.0,16.0,0.0
2007-12-31,16.0,16.0,16.0,16.0,0.0
2008-01-01,16.0,16.0,16.0,16.0,0.0
2008-01-02,16.0,16.0,16.0,16.0,0.0
2008-01-03,16.0,16.0,16.0,16.0,5.0
2008-01-04,16.0,16.0,16.0,16.0,0.0
2008-01-07,16.0,16.0,16.0,16.0,0.0
2008-01-08,20.0,20.0,20.0,20.0,5.0
2008-01-09,20.0,20.0,20.0,20.0,0.0
2008-01-10,20.0,40.0,20.0,40.0,65.0
2008-01-11,20.0,40.0,20.0,40.0,0.0
2008-01-14,40.0,40.0,40.0,40.0,5.0
2008-01-15,40.0,40.0,40.0,40.0,22.0
2008-01-16,40.0,40.0,40.0,40.0,0.0
2008-01-17,40.0,40.0,40.0,40.0,0.0
2008-01-18,40.0,40.0,40.0,40.0,0.0
2008-01-21,40.0,40.0,40.0,40.0,0.0
2008-01-22,40.0,40.0,40.0,40.0,0.0
2008-01-23,40.0,40.0,40.0,40.0,0.0
2008-01-24,40.0,40.0,40.0,40.0,0.0
2008-01-25,40.0,40.0,40.0,40.0,0.0
2008-01-28,40.0,40.0,40.0,40.0,0.0
2008-01-29,40.0,40.0,40.0,40.0,0.0
2008-01-30,40.0,40.0,20.0,20.0,5.0
2008-01-31,40.0,40.0,20.0,20.0,0.0
2008-02-01,40.0,40.0,40.0,40.0,2.0
2008-02-04,40.0,40.0,40.0,40.0,0.0
2008-02-05,60.0,80.0,40.0,50.0,59.0
2008-02-06,60.0,70.0,60.0,70.0,10.0
2008-02-07,70.0,100.0,69.6,70.0,40.0
2008-02-08,70.0,100.0,69.6,70.0,0.0
2008-02-11,60.0,60.0,60.0,60.0,2.0
2008-02-12,50.0,50.0,50.0,50.0,2.0
2008-02-13,40.0,40.0,40.0,40.0,17.0
2008-02-14,40.0,40.0,40.0,40.0,0.0
2008-02-15,40.0,40.0,40.0,40.0,0.0
2008-02-18,40.0,40.0,40.0,40.0,0.0
2008-02-19,40.0,40.0,40.0,40.0,5.0
2008-02-20,30.0,30.0,30.0,30.0,2.0
2008-02-21,30.0,30.0,30.0,30.0,0.0
2008-02-22,30.0,30.0,30.0,30.0,0.0
2008-02-25,20.0,20.0,20.0,20.0,23.0
2008-02-26,20.0,20.0,20.0,20.0,0.0
2008-02-27,20.0,20.0,20.0,20.0,0.0
2008-02-28,20.0,20.0,20.0,20.0,0.0
2008-02-29,20.0,20.0,20.0,20.0,5.0
2008-03-03,20.0,20.0,20.0,20.0,0.0
2008-03-04,20.0,20.0,20.0,20.0,0.0
2008-03-05,20.0,20.0,20.0,20.0,2.0
2008-03-06,20.0,20.0,20.0,20.0,0.0
2008-03-07,20.0,20.0,20.0,20.0,5.0
2008-03-10,20.0,20.0,20.0,20.0,0.0
2008-03-11,20.0,20.0,20.0,20.0,0.0
2008-03-12,20.0,20.0,20.0,20.0,0.0
2008-03-13,20.0,20.0,20.0,20.0,0.0
2008-03-14,20.0,20.0,20.0,20.0,0.0
2008-03-17,20.0,20.0,20.0,20.0,0.0
2008-03-18,20.0,20.0,20.0,20.0,0.0
2008-03-19,20.0,20.0,20.0,20.0,0.0
2008-03-20,20.0,20.0,20.0,20.0,17.0
2008-03-21,20.0,20.0,20.0,20.0,0.0
2008-03-24,20.0,20.0,20.0,20.0,0.0
2008-03-25,20.0,20.0,20.0,20.0,0.0
2008-03-26,20.0,20.0,20.0,20.0,2.0
2008-03-27,20.0,20.0,20.0,20.0,0.0
2008-03-28,20.0,20.0,20.0,20.0,0.0
2008-03-31,20.0,20.0,20.0,20.0,0.0
2008-04-01,20.0,20.0,20.0,20.0,0.0
2008-04-02,20.0,20.0,20.0,20.0,0.0
2008-04-03,20.0,20.0,20.0,20.0,0.0
2008-04-04,20.0,20.0,20.0,20.0,0.0
2008-04-07,20.0,20.0,20.0,20.0,0.0
2008-04-08,20.0,20.0,20.0,20.0,0.0
2008-04-09,20.0,20.0,20.0,20.0,0.0
2008-04-10,20.0,20.0,20.0,20.0,0.0
2008-04-11,20.0,20.0,20.0,20.0,0.0
2008-04-14,20.0,20.0,20.0,20.0,0.0
2008-04-15,20.0,20.0,20.0,20.0,0.0
2008-04-16,20.0,20.0,20.0,20.0,5.0
2008-04-17,20.0,20.0,20.0,20.0,7.0
2008-04-18,20.0,20.0,20.0,20.0,0.0
2008-04-21,20.0,20.0,20.0,20.0,0.0
2008-04-22,20.0,20.0,20.0,20.0,0.0
2008-04-23,20.0,20.0,20.0,20.0,0.0
2008-04-24,20.0,20.0,20.0,20.0,0.0
2008-04-25,20.0,20.0,20.0,20.0,0.0
2008-04-28,20.0,20.0,20.0,20.0,0.0
2008-04-29,20.0,20.0,20.0,20.0,0.0
2008-04-30,20.0,20.0,20.0,20.0,0.0
2008-05-01,20.0,20.0,20.0,20.0,15.0
2008-05-02,20.0,20.0,20.0,20.0,0.0
2008-05-05,20.0,20.0,20.0,20.0,0.0
2008-05-06,20.0,20.0,20.0,20.0,0.0
2008-05-07,20.0,20.0,20.0,20.0,1.0
2008-05-08,20.0,20.0,20.0,20.0,0.0
2008-05-09,20.0,20.0,20.0,20.0,0.0
2008-05-12,20.0,20.0,20.0,20.0,0.0
2008-05-13,20.0,20.0,20.0,20.0,0.0
2008-05-14,20.0,20.0,20.0,20.0,0.0
2008-05-15,20.0,20.0,20.0,20.0,0.0
2008-05-16,20.0,20.0,20.0,20.0,0.0
2008-05-19,20.0,20.0,20.0,20.0,0.0
2008-05-20,20.0,20.0,20.0,20.0,0.0
2008-05-21,20.0,20.0,20.0,20.0,0.0
2008-05-22,20.0,20.0,20.0,20.0,2.0
2008-05-23,20.0,20.0,20.0,20.0,0.0
2008-05-26,20.0,20.0,20.0,20.0,0.0
2008-05-27,20.0,20.0,20.0,20.0,0.0
2008-05-28,20.0,20.0,20.0,20.0,0.0
2008-05-29,20.0,20.0,20.0,20.0,0.0
2008-05-30,20.0,20.0,20.0,20.0,0.0
2008-06-02,20.0,20.0,20.0,20.0,0.0
2008-06-03,20.0,20.0,20.0,20.0,0.0
2008-06-04,28.0,28.0,28.0,28.0,3.0
2008-06-05,28.0,28.0,28.0,28.0,0.0
2008-06-06,28.0,28.0,28.0,28.0,0.0
2008-06-09,28.0,28.0,28.0,28.0,0.0
2008-06-10,28.0,28.0,28.0,28.0,0.0
2008-06-11,36.0,36.0,36.0,36.0,5.0
2008-06-12,36.0,36.0,36.0,36.0,0.0
2008-06-13,36.0,36.0,36.0,36.0,0.0
2008-06-16,36.0,36.0,36.0,36.0,0.0
2008-06-17,36.0,36.0,36.0,36.0,0.0
2008-06-18,36.0,36.0,36.0,36.0,0.0
2008-06-19,36.0,36.0,36.0,36.0,0.0
2008-06-20,40.0,40.0,36.0,36.0,1.0
2008-06-23,40.0,40.0,36.0,36.0,0.0
2008-06-24,40.0,40.0,36.0,36.0,0.0
2008-06-25,40.0,40.0,36.0,36.0,0.0
2008-06-26,40.0,40.0,36.0,36.0,0.0
2008-06-27,40.0,40.0,36.0,36.0,0.0
2008-06-30,40.0,40.0,36.0,36.0,0.0
2008-07-01,40.0,40.0,36.0,36.0,0.0
2008-07-02,36.0,36.0,36.0,36.0,1.0
2008-07-03,36.0,36.0,36.0,36.0,0.0
2008-07-04,36.0,36.0,36.0,36.0,0.0
2008-07-07,36.0,36.0,36.0,36.0,0.0
2008-07-08,36.0,36.0,36.0,36.0,0.0
2008-07-09,36.0,36.0,36.0,36.0,0.0
2008-07-10,36.0,36.0,36.0,36.0,0.0
2008-07-11,30.0,30.0,30.0,30.0,4.0
2008-07-14,30.0,30.0,30.0,30.0,0.0
2008-07-15,30.0,30.0,30.0,30.0,0.0
2008-07-16,30.0,30.0,30.0,30.0,0.0
2008-07-17,36.0,36.0,36.0,36.0,3.0
2008-07-18,36.0,36.0,36.0,36.0,0.0
2008-07-21,36.0,36.0,36.0,36.0,0.0
2008-07-22,36.0,36.0,36.0,36.0,0.0
2008-07-23,36.0,36.0,36.0,36.0,0.0
2008-07-24,36.0,36.0,36.0,36.0,5.0
2008-07-25,36.0,36.0,36.0,36.0,0.0
2008-07-28,36.0,36.0,36.0,36.0,0.0
2008-07-29,36.0,36.0,36.0,36.0,0.0
2008-07-30,36.0,36.0,36.0,36.0,0.0
2008-07-31,36.0,36.0,36.0,36.0,1.0
2008-08-01,36.0,36.0,36.0,36.0,0.0
2008-08-04,36.0,36.0,36.0,36.0,0.0
2008-08-05,36.0,36.0,36.0,36.0,0.0
2008-08-06,36.0,36.0,36.0,36.0,0.0
2008-08-07,36.0,36.0,36.0,36.0,0.0
2008-08-08,36.0,36.0,36.0,36.0,0.0
2008-08-11,36.0,36.0,36.0,36.0,0.0
2008-08-12,36.0,36.0,36.0,36.0,0.0
2008-08-13,36.0,36.0,36.0,36.0,0.0
2008-08-14,36.0,36.0,36.0,36.0,0.0
2008-08-15,36.0,36.0,36.0,36.0,0.0
2008-08-18,36.0,36.0,36.0,36.0,0.0
2008-08-19,36.0,36.0,36.0,36.0,6.0
2008-08-20,36.0,36.0,36.0,36.0,0.0
2008-08-21,36.0,36.0,36.0,36.0,0.0
2008-08-22,36.0,36.0,36.0,36.0,0.0
2008-08-25,36.0,36.0,36.0,36.0,0.0
2008-08-26,36.0,36.0,36.0,36.0,0.0
2008-08-27,36.0,36.0,26.0,26.0,21.0
2008-08-28,36.0,36.0,26.0,26.0,0.0
2008-08-29,36.0,36.0,26.0,26.0,0.0
2008-09-01,36.0,36.0,26.0,26.0,0.0
2008-09-02,36.0,36.0,26.0,26.0,0.0
2008-09-03,36.0,36.0,26.0,26.0,0.0
2008-09-04,36.0,36.0,26.0,26.0,0.0
2008-09-05,36.0,36.0,26.0,26.0,0.0
2008-09-08,36.0,36.0,26.0,26.0,0.0
2008-09-09,36.0,36.0,26.0,26.0,0.0
2008-09-10,36.0,36.0,26.0,26.0,0.0
2008-09-11,36.0,36.0,26.0,26.0,0.0
2008-09-12,36.0,36.0,26.0,26.0,0.0
2008-09-15,36.0,36.0,26.0,26.0,0.0
2008-09-16,36.0,36.0,26.0,26.0,0.0
2008-09-17,36.0,36.0,26.0,26.0,0.0
2008-09-18,36.0,36.0,26.0,26.0,0.0
2008-09-19,36.0,36.0,26.0,26.0,0.0
2008-09-22,36.0,36.0,26.0,26.0,0.0
2008-09-23,36.0,36.0,26.0,26.0,0.0
2008-09-24,36.0,36.0,26.0,26.0,0.0
2008-09-25,36.0,36.0,26.0,26.0,0.0
2008-09-26,36.0,36.0,26.0,26.0,0.0
2008-09-29,36.0,36.0,26.0,26.0,0.0
2008-09-30,36.0,36.0,26.0,26.0,0.0
2008-10-01,36.0,36.0,26.0,26.0,0.0
2008-10-02,36.0,36.0,26.0,26.0,0.0
2008-10-03,36.0,36.0,26.0,26.0,0.0
2008-10-06,36.0,36.0,26.0,26.0,0.0
2008-10-07,36.0,36.0,26.0,26.0,0.0
2008-10-08,36.0,36.0,26.0,26.0,0.0
2008-10-09,36.0,36.0,26.0,26.0,0.0
2008-10-10,36.0,36.0,26.0,26.0,0.0
2008-10-13,36.0,36.0,26.0,26.0,0.0
2008-10-14,36.0,36.0,26.0,26.0,0.0
2008-10-15,36.0,36.0,26.0,26.0,0.0
2008-10-16,36.0,36.0,26.0,26.0,0.0
2008-10-17,36.0,36.0,26.0,26.0,0.0
2008-10-20,36.0,36.0,26.0,26.0,0.0
2008-10-21,36.0,36.0,26.0,26.0,0.0
2008-10-22,36.0,36.0,26.0,26.0,0.0
2008-10-23,36.0,36.0,26.0,26.0,0.0
2008-10-24,36.0,36.0,26.0,26.0,0.0
2008-10-27,36.0,36.0,26.0,26.0,0.0
2008-10-28,36.0,36.0,26.0,26.0,0.0
2008-10-29,36.0,36.0,26.0,26.0,0.0
2008-10-30,36.0,36.0,26.0,26.0,0.0
2008-10-31,36.0,36.0,26.0,26.0,0.0
2008-11-03,36.0,36.0,26.0,26.0,0.0
2008-11-04,36.0,36.0,26.0,26.0,0.0
